adj_close,close,date,high,low,open,volume
5.532474,7.660000,2002-01-01,8.100000,7.600000,8.000000,363640
5.568586,7.710000,2002-01-02,7.800000,7.600000,7.600000,104820
5.640813,7.810000,2002-01-03,7.890000,7.540000,7.700000,100650
5.669702,7.850000,2002-01-04,7.990000,7.500000,7.990000,130550
5.568586,7.710000,2002-01-07,8.060000,7.670000,7.900000,85300
5.474692,7.580000,2002-01-08,7.800000,7.450000,7.700000,66680
5.366355,7.430000,2002-01-09,7.650000,7.400000,7.560000,66660
5.258017,7.280000,2002-01-10,7.450000,7.250000,7.410000,77590
5.380800,7.450000,2002-01-11,7.800000,7.100000,7.400000,104790
5.438581,7.530000,2002-01-14,8.000000,7.390000,7.900000,199970
5.366355,7.430000,2002-01-15,7.700000,7.400000,7.410000,115130
5.337464,7.390000,2002-01-16,7.550000,7.230000,7.230000,60490
5.373577,7.440000,2002-01-17,7.640000,7.400000,7.400000,127280
5.380800,7.450000,2002-01-18,7.600000,7.400000,7.480000,98590
5.380800,7.450000,2002-01-21,7.600000,7.300000,7.300000,156220
5.388023,7.460000,2002-01-22,7.590000,7.250000,7.250000,86950
5.416913,7.500000,2002-01-23,7.590000,7.410000,7.410000,92480
5.279684,7.310000,2002-01-24,7.600000,7.300000,7.410000,67470
5.214681,7.220000,2002-01-25,7.430000,7.160000,7.430000,49600
5.532474,7.660000,2002-01-28,7.800000,7.200000,7.300000,445430
5.416913,7.500000,2002-01-29,8.200000,7.400000,7.910000,798790
5.330242,7.380000,2002-01-30,7.500000,7.310000,7.490000,114400
5.388023,7.460000,2002-01-31,7.490000,7.360000,7.420000,121350
5.301353,7.340000,2002-02-01,7.500000,7.260000,7.370000,119370
5.250794,7.270000,2002-02-04,7.490000,7.250000,7.400000,75650
5.171346,7.160000,2002-02-05,7.280000,7.130000,7.130000,81280
5.279684,7.310000,2002-02-06,7.450000,7.000000,7.000000,149280
5.214681,7.220000,2002-02-07,7.500000,7.190000,7.490000,116600
5.214681,7.220000,2002-02-08,7.470000,7.150000,7.470000,111670
5.265239,7.290000,2002-02-11,7.380000,7.210000,7.300000,129380
5.128012,7.100000,2002-02-12,7.490000,7.070000,7.400000,357410
5.120789,7.090000,2002-02-13,7.240000,7.050000,7.210000,375810
5.084675,7.040000,2002-02-14,7.200000,7.000000,7.050000,222020
5.070230,7.020000,2002-02-15,7.100000,7.000000,7.100000,132690
5.120789,7.090000,2002-02-18,7.200000,7.000000,7.100000,117270
5.113565,7.080000,2002-02-19,7.100000,7.040000,7.100000,194050
5.084675,7.040000,2002-02-20,7.090000,6.910000,7.030000,174740
5.756372,7.970000,2002-02-21,8.190000,6.900000,6.900000,1296610
5.792486,8.020000,2002-02-22,8.400000,7.580000,8.000000,1459890
6.052497,8.380000,2002-02-25,8.490000,7.950000,8.400000,1648070
5.929714,8.210000,2002-02-26,8.450000,8.000000,8.320000,779310
5.633590,7.800000,2002-02-27,8.280000,7.750000,8.280000,423390
5.380800,7.450000,2002-02-28,7.870000,7.300000,7.750000,418370
5.402468,7.480000,2002-03-01,7.600000,6.700000,6.700000,196460
6.182503,8.560000,2002-03-04,8.980000,7.500000,7.500000,1286860
5.944159,8.230000,2002-03-05,8.900000,8.110000,8.900000,1051210
5.770817,7.990000,2002-03-06,8.440000,7.910000,8.370000,448310
5.698591,7.890000,2002-03-07,8.170000,7.800000,8.150000,318810
5.568586,7.710000,2002-03-08,8.100000,7.620000,8.100000,242490
5.496361,7.610000,2002-03-11,7.910000,7.570000,7.800000,233890
5.330242,7.380000,2002-03-12,7.640000,7.310000,7.640000,206140
5.453025,7.550000,2002-03-13,7.970000,7.310000,7.500000,439340
5.380800,7.450000,2002-03-14,7.690000,7.410000,7.560000,125800
5.380800,7.450000,2002-03-15,7.600000,7.330000,7.330000,234790
5.416913,7.500000,2002-03-18,7.700000,7.450000,7.690000,331650
5.438581,7.530000,2002-03-19,7.850000,7.490000,7.590000,260170
5.359134,7.420000,2002-03-20,7.600000,7.400000,7.580000,750580
5.359134,7.420000,2002-03-21,7.500000,7.380000,7.450000,82630
5.315796,7.360000,2002-03-22,7.480000,7.250000,7.400000,160400
5.315796,7.360000,2002-03-25,7.360000,7.360000,7.360000,0
5.532474,7.660000,2002-03-26,8.490000,7.570000,8.400000,2094540
5.402468,7.480000,2002-03-27,7.840000,7.450000,7.840000,518140
5.539695,7.670000,2002-03-28,7.800000,7.330000,7.330000,499390
5.539695,7.670000,2002-03-29,7.670000,7.670000,7.670000,0
5.619144,7.780000,2002-04-01,7.980000,7.650000,7.980000,222150
5.453025,7.550000,2002-04-02,7.900000,7.400000,7.730000,311480
5.380800,7.450000,2002-04-03,7.800000,7.310000,7.310000,131460
5.359134,7.420000,2002-04-04,7.600000,7.360000,7.410000,367640
5.359134,7.420000,2002-04-05,7.500000,7.350000,7.500000,238850
5.077453,7.030000,2002-04-08,7.680000,6.950000,7.500000,955900
5.164124,7.150000,2002-04-09,7.340000,7.010000,7.100000,640350
5.467470,7.570000,2002-04-10,7.730000,7.200000,7.200000,1271770
5.518028,7.640000,2002-04-11,7.930000,7.600000,7.930000,1137210
5.568586,7.710000,2002-04-12,7.800000,7.610000,7.650000,424430
5.503583,7.620000,2002-04-15,7.880000,7.550000,7.870000,365140
5.532474,7.660000,2002-04-16,8.100000,7.600000,7.840000,1217930
5.416913,7.500000,2002-04-17,7.890000,7.450000,7.800000,540680
5.467470,7.570000,2002-04-18,7.650000,7.500000,7.500000,125670
5.323019,7.370000,2002-04-19,7.620000,7.320000,7.620000,224350
5.308575,7.350000,2002-04-22,7.440000,7.290000,7.410000,112370
5.337464,7.390000,2002-04-23,7.480000,7.300000,7.350000,84580
5.337464,7.390000,2002-04-24,7.460000,7.370000,7.410000,62770
5.258017,7.280000,2002-04-25,7.500000,7.250000,7.500000,112000
5.214681,7.220000,2002-04-26,7.400000,7.200000,7.350000,82760
5.207460,7.210000,2002-04-29,7.500000,7.150000,7.480000,148170
5.373577,7.440000,2002-04-30,7.500000,7.270000,7.270000,120570
5.373577,7.440000,2002-05-01,7.440000,7.440000,7.440000,0
5.308575,7.350000,2002-05-02,7.700000,7.260000,7.600000,616950
5.554141,7.690000,2002-05-03,7.870000,7.400000,7.400000,1059720
5.525250,7.650000,2002-05-06,7.850000,7.610000,7.810000,698890
5.460248,7.560000,2002-05-07,7.700000,7.510000,7.560000,159450
5.510807,7.630000,2002-05-08,7.720000,7.510000,7.510000,142330
5.481916,7.590000,2002-05-09,7.800000,7.530000,7.720000,170660
5.409690,7.490000,2002-05-10,7.800000,7.460000,7.790000,158810
5.409690,7.490000,2002-05-13,7.890000,7.420000,7.690000,1695270
5.453025,7.550000,2002-05-14,7.610000,7.400000,7.600000,724070
5.806931,8.040000,2002-05-15,8.530000,7.510000,7.580000,5221110
5.676924,7.860000,2002-05-16,8.400000,7.680000,8.160000,2660310
5.561364,7.700000,2002-05-17,7.820000,7.540000,7.800000,668960
5.337464,7.390000,2002-05-20,7.630000,7.350000,7.350000,483040
5.048562,6.990000,2002-05-21,7.300000,6.870000,7.300000,522450
5.055785,7.000000,2002-05-22,7.240000,6.760000,6.760000,401460
5.026896,6.960000,2002-05-23,7.180000,6.910000,7.050000,209790
5.503583,7.620000,2002-05-24,7.820000,7.200000,7.250000,843760
5.373577,7.440000,2002-05-27,7.600000,7.410000,7.500000,443320
5.236349,7.250000,2002-05-28,7.450000,7.200000,7.320000,289280
5.315796,7.360000,2002-05-29,7.400000,7.100000,7.100000,166270
5.214681,7.220000,2002-05-30,7.500000,7.200000,7.440000,210810
5.156901,7.140000,2002-05-31,7.260000,7.120000,7.260000,98960
5.221904,7.230000,2002-06-03,7.400000,7.200000,7.330000,143160
5.395244,7.470000,2002-06-04,7.630000,7.180000,7.390000,373520
5.554141,7.690000,2002-06-05,7.800000,7.500000,7.590000,541660
6.666413,9.230000,2002-06-06,9.230000,7.660000,7.800000,5661670
6.391956,8.850000,2002-06-07,9.870000,8.710000,9.200000,11748950
7.179215,9.940000,2002-06-10,10.280000,9.100000,9.100000,11772920
7.497006,10.380000,2002-06-11,10.770000,9.870000,10.290000,11263170
7.345334,10.170000,2002-06-12,10.650000,10.070000,10.300000,2978970
7.395891,10.240000,2002-06-13,10.480000,10.170000,10.280000,1721990
7.865358,10.890000,2002-06-14,11.240000,10.180000,10.200000,6591670
7.757019,10.740000,2002-06-17,11.190000,10.650000,10.980000,3632690
7.764244,10.750000,2002-06-18,11.300000,10.630000,10.900000,4093770
7.728129,10.700000,2002-06-19,11.100000,10.580000,10.900000,2563690
9.078744,12.570000,2002-06-20,12.840000,10.600000,10.600000,20997530
8.565945,11.860000,2002-06-21,12.490000,11.640000,12.300000,9242300
8.450385,11.700000,2002-06-24,12.280000,11.600000,11.850000,4091960
8.363714,11.580000,2002-06-25,12.240000,11.420000,11.800000,4890060
8.645391,11.970000,2002-06-26,12.370000,11.530000,11.580000,16010830
8.399826,11.630000,2002-06-27,12.090000,11.520000,12.080000,5910220
8.103700,11.220000,2002-06-28,11.940000,11.060000,11.750000,4708330
8.226484,11.390000,2002-07-01,11.500000,11.130000,11.400000,2741680
8.262598,11.440000,2002-07-02,11.650000,11.250000,11.440000,3530330
8.537053,11.820000,2002-07-03,12.040000,11.450000,11.450000,5683740
8.970408,12.420000,2002-07-04,12.580000,11.840000,11.900000,7760950
9.165415,12.690000,2002-07-05,13.230000,12.500000,12.500000,8336500
8.652616,11.980000,2002-07-08,12.900000,11.900000,12.720000,3001270
8.616501,11.930000,2002-07-09,12.480000,11.720000,12.000000,4404430
8.500943,11.770000,2002-07-10,12.020000,11.700000,12.000000,1268370
8.392603,11.620000,2002-07-11,11.800000,11.520000,11.800000,1119070
8.472051,11.730000,2002-07-12,11.970000,11.610000,11.800000,1107940
7.742575,10.720000,2002-07-15,11.730000,10.570000,11.400000,1412650
7.706461,10.670000,2002-07-16,10.990000,10.500000,10.700000,1260410
7.345334,10.170000,2002-07-17,10.850000,10.030000,10.500000,1587750
7.634234,10.570000,2002-07-18,10.700000,10.330000,10.400000,2361700
7.872579,10.900000,2002-07-19,11.000000,10.450000,10.590000,1735830
7.439230,10.300000,2002-07-22,10.900000,10.100000,10.900000,1362280
7.706461,10.670000,2002-07-23,10.770000,9.950000,10.000000,1188110
7.590900,10.510000,2002-07-24,10.880000,10.390000,10.700000,1350680
7.554788,10.460000,2002-07-25,10.850000,10.380000,10.640000,814560
7.208104,9.980000,2002-07-26,10.400000,9.810000,10.310000,730340
6.904757,9.560000,2002-07-29,10.200000,9.230000,10.200000,2099420
6.688081,9.260000,2002-07-30,10.140000,9.040000,9.950000,1996420
6.875869,9.520000,2002-07-31,9.650000,9.040000,9.240000,1515680
6.926426,9.590000,2002-08-01,9.900000,9.520000,9.540000,688990
6.731419,9.320000,2002-08-02,9.450000,9.200000,9.450000,545370
7.590900,10.510000,2002-08-05,10.890000,9.400000,9.580000,2338390
7.966474,11.030000,2002-08-06,11.300000,10.400000,10.460000,5184220
7.915915,10.960000,2002-08-07,11.870000,10.770000,11.330000,5348470
7.547564,10.450000,2002-08-08,11.160000,10.360000,11.000000,1976330
8.255374,11.430000,2002-08-09,11.690000,10.700000,10.750000,6975820
9.078744,12.570000,2002-08-12,12.780000,11.500000,11.530000,12579050
8.515388,11.790000,2002-08-13,12.660000,11.720000,12.660000,4665110
8.638172,11.960000,2002-08-14,12.340000,11.630000,11.970000,7396570
8.638172,11.960000,2002-08-15,11.960000,11.960000,11.960000,0
8.573170,11.870000,2002-08-16,12.290000,11.770000,12.290000,2441420
8.565945,11.860000,2002-08-19,12.160000,11.770000,12.000000,2918460
8.479273,11.740000,2002-08-20,12.000000,11.630000,11.990000,1694030
8.645391,11.970000,2002-08-21,12.300000,11.700000,11.830000,2997390
8.450385,11.700000,2002-08-22,12.090000,11.640000,12.070000,1074250
8.450385,11.700000,2002-08-23,11.890000,11.650000,11.840000,610410
8.147038,11.280000,2002-08-26,11.750000,11.060000,11.750000,1367140
8.175926,11.320000,2002-08-27,11.650000,11.220000,11.380000,1247230
8.341401,11.090000,2002-08-28,11.200000,11.000000,11.000000,641150
8.281229,11.010000,2002-08-29,11.200000,10.910000,11.200000,715490
8.266185,10.990000,2002-08-30,11.140000,10.930000,11.100000,677980
8.536961,11.350000,2002-09-02,11.500000,11.030000,11.030000,1398930
8.807736,11.710000,2002-09-03,11.990000,11.400000,11.500000,2418750
8.725000,11.600000,2002-09-04,11.700000,11.450000,11.500000,929480
8.649786,11.500000,2002-09-05,11.710000,11.430000,11.680000,568370
8.431661,11.210000,2002-09-06,11.460000,11.160000,11.380000,554190
8.416616,11.190000,2002-09-09,11.380000,11.130000,11.200000,393480
8.416616,11.190000,2002-09-10,11.190000,11.190000,11.190000,0
8.454224,11.240000,2002-09-11,11.470000,11.170000,11.290000,383250
8.469266,11.260000,2002-09-12,11.330000,11.170000,11.330000,278070
8.694913,11.560000,2002-09-13,12.000000,11.200000,11.200000,2358260
8.845345,11.760000,2002-09-16,12.400000,11.580000,11.810000,3452740
8.732521,11.610000,2002-09-17,11.990000,11.450000,11.900000,1640120
8.529441,11.340000,2002-09-18,11.590000,11.250000,11.590000,606840
8.363966,11.120000,2002-09-19,11.500000,10.830000,11.500000,784990
8.499355,11.300000,2002-09-20,11.450000,10.700000,11.100000,1058770
8.409094,11.180000,2002-09-23,11.600000,10.960000,11.500000,3575050
8.341401,11.090000,2002-09-24,11.240000,10.930000,11.000000,1685680
8.950647,11.900000,2002-09-25,12.000000,10.930000,10.990000,3408850
9.168774,12.190000,2002-09-26,12.540000,12.010000,12.050000,6825270
9.161253,12.180000,2002-09-27,12.390000,12.060000,12.290000,4044170
8.597134,11.430000,2002-09-30,12.200000,11.220000,12.000000,3494720
8.446706,11.230000,2002-10-01,11.620000,11.090000,11.470000,1929400
8.446706,11.230000,2002-10-02,11.230000,11.230000,11.230000,0
8.672350,11.530000,2002-10-03,11.600000,11.200000,11.200000,2111010
8.725000,11.600000,2002-10-04,11.750000,11.320000,11.500000,1918010
8.679872,11.540000,2002-10-07,11.760000,11.480000,11.630000,1340370
8.649786,11.500000,2002-10-08,11.620000,11.450000,11.570000,642900
8.657307,11.510000,2002-10-09,11.960000,11.450000,11.560000,2726140
8.852868,11.770000,2002-10-10,11.890000,11.430000,11.430000,1290310
9.304159,12.370000,2002-10-11,12.500000,12.160000,12.280000,8084770
9.138686,12.150000,2002-10-14,12.580000,12.040000,12.540000,2132730
9.138686,12.150000,2002-10-15,12.150000,12.150000,12.150000,0
9.033385,12.010000,2002-10-16,12.290000,11.910000,12.290000,818190
9.176292,12.200000,2002-10-17,12.250000,11.850000,11.980000,1126360
