adj_close,close,date,high,low,open,volume
0.920846,5.970000,2002-07-01,6.150000,5.900000,6.125000,711934
0.902336,5.850000,2002-07-02,6.120000,5.815000,5.890000,520842
0.903879,5.860000,2002-07-03,5.925000,5.820000,5.850000,277700
1.476001,5.895000,2002-07-04,5.970000,5.675000,5.750000,597586
1.467238,5.860000,2002-07-05,6.105000,5.830000,5.945000,425350
1.444704,5.770000,2002-07-08,6.025000,5.750000,5.850000,227548
1.430933,5.715000,2002-07-09,5.925000,5.680000,5.850000,310782
1.419666,5.670000,2002-07-10,5.790000,5.565000,5.750000,293170
1.405895,5.615000,2002-07-11,5.750000,5.580000,5.740000,235822
1.379605,5.510000,2002-07-12,5.725000,5.475000,5.675000,310650
1.317009,5.260000,2002-07-15,5.500000,5.235000,5.500000,259934
1.288215,5.145000,2002-07-16,5.495000,5.105000,5.290000,320936
1.271940,5.080000,2002-07-17,5.220000,5.015000,5.200000,396672
1.325773,5.295000,2002-07-18,5.350000,5.150000,5.175000,343394
1.280704,5.115000,2002-07-19,5.330000,5.010000,5.010000,239092
1.251910,5.000000,2002-07-22,5.075000,4.940000,5.050000,219326
1.261925,5.040000,2002-07-23,5.150000,4.875000,4.875000,187574
1.265680,5.055000,2002-07-24,5.195000,5.015000,5.100000,187028
1.280704,5.115000,2002-07-25,5.265000,5.050000,5.195000,216812
1.198078,4.785000,2002-07-26,5.095000,4.750000,5.095000,311778
1.178047,4.705000,2002-07-29,4.900000,4.600000,4.775000,543580
1.149253,4.590000,2002-07-30,4.835000,4.410000,4.825000,272536
1.120459,4.475000,2002-07-31,4.550000,4.300000,4.550000,221288
1.193070,4.765000,2002-08-01,4.825000,4.550000,4.550000,294276
1.179299,4.710000,2002-08-02,4.750000,4.590000,4.600000,124822
1.229375,4.910000,2002-08-05,4.945000,4.780000,4.800000,137250
1.229375,4.910000,2002-08-06,5.125000,4.815000,4.900000,278290
1.275696,5.095000,2002-08-07,5.220000,4.925000,4.990000,445562
1.234383,4.930000,2002-08-08,5.150000,4.905000,5.125000,171092
1.203085,4.805000,2002-08-09,5.045000,4.725000,4.970000,251308
1.238139,4.945000,2002-08-12,5.050000,4.850000,4.945000,126188
1.263177,5.045000,2002-08-13,5.100000,5.005000,5.005000,63650
1.258169,5.025000,2002-08-14,5.085000,4.955000,5.000000,315328
1.258169,5.025000,2002-08-15,5.025000,5.025000,5.025000,0
1.255665,5.015000,2002-08-16,5.125000,5.000000,5.095000,79634
1.251910,5.000000,2002-08-19,5.050000,4.975000,5.045000,480316
1.256917,5.020000,2002-08-20,5.050000,5.000000,5.040000,73628
1.255665,5.015000,2002-08-21,5.175000,5.000000,5.025000,105018
1.230627,4.915000,2002-08-22,5.070000,4.900000,5.000000,110992
1.233131,4.925000,2002-08-23,5.000000,4.875000,5.000000,56170
1.234383,4.930000,2002-08-26,5.000000,4.900000,4.945000,56426
1.228123,4.905000,2002-08-27,4.990000,4.890000,4.970000,47508
1.229375,4.910000,2002-08-28,4.945000,4.885000,4.905000,63654
1.256917,5.020000,2002-08-29,5.145000,4.875000,4.875000,239768
1.253162,5.005000,2002-08-30,5.250000,4.990000,5.250000,177294
1.254414,5.010000,2002-09-02,5.120000,4.975000,5.050000,92896
1.253162,5.005000,2002-09-03,5.025000,4.925000,5.025000,50286
1.256917,5.020000,2002-09-04,5.050000,4.915000,5.000000,30196
1.253162,5.005000,2002-09-05,5.100000,5.000000,5.005000,64082
1.251910,5.000000,2002-09-06,5.050000,4.975000,5.045000,60944
1.249406,4.990000,2002-09-09,5.025000,4.850000,4.900000,26514
1.249406,4.990000,2002-09-10,4.990000,4.990000,4.990000,0
1.251910,5.000000,2002-09-11,5.015000,4.985000,5.000000,26998
1.225619,4.895000,2002-09-12,5.035000,4.890000,5.000000,109824
1.218108,4.865000,2002-09-13,4.975000,4.850000,4.950000,68100
1.193070,4.765000,2002-09-16,4.945000,4.755000,4.860000,68804
1.174291,4.690000,2002-09-17,4.850000,4.655000,4.850000,100390
1.156765,4.620000,2002-09-18,4.845000,4.605000,4.845000,98420
1.131726,4.520000,2002-09-19,4.645000,4.490000,4.645000,167256
1.153009,4.605000,2002-09-20,4.625000,4.415000,4.575000,72372
1.131726,4.520000,2002-09-23,4.700000,4.500000,4.650000,22116
1.086658,4.340000,2002-09-24,4.535000,4.275000,4.535000,39320
1.086658,4.340000,2002-09-25,4.345000,4.250000,4.250000,24180
1.097925,4.385000,2002-09-26,4.445000,4.360000,4.445000,13854
1.114200,4.450000,2002-09-27,4.470000,4.350000,4.400000,16164
1.087910,4.345000,2002-09-30,4.485000,4.275000,4.425000,79358
1.090413,4.355000,2002-10-01,4.390000,4.315000,4.390000,24088
1.090413,4.355000,2002-10-02,4.355000,4.355000,4.355000,0
1.082902,4.325000,2002-10-03,4.375000,4.320000,4.355000,31776
