adj_close,close,date,high,low,open,volume
4.496672,4.740751,2007-03-20,5.114251,4.500001,4.635001,107248928
4.221365,4.450501,2007-03-21,4.839751,4.396501,4.725001,27409304
4.193621,4.421251,2007-03-22,4.680001,4.378501,4.590001,9761642
3.965267,4.180501,2007-03-23,4.497751,4.056751,4.497751,4447198
3.709167,3.910500,2007-03-26,4.142251,3.874500,4.140001,2657043
3.425323,3.611250,2007-03-28,3.982500,3.555000,3.982500,1343599
3.312213,3.492000,2007-03-29,3.645000,3.426750,3.600000,1938132
3.538434,3.730500,2007-03-30,3.825000,3.422250,3.645000,3068377
3.423189,3.609000,2007-04-02,3.820500,3.516750,3.532500,791799
3.425323,3.611250,2007-04-03,3.735000,3.559500,3.611250,421644
3.320750,3.501000,2007-04-04,3.663000,3.476250,3.663000,364666
3.354897,3.537000,2007-04-05,3.757500,3.476250,3.487500,610533
3.386909,3.570750,2007-04-09,3.712500,3.543750,3.575250,469399
3.403982,3.588750,2007-04-10,3.627000,3.424500,3.519000,285088
3.403982,3.588750,2007-04-11,3.678750,3.568500,3.577500,345377
3.344225,3.525750,2007-04-12,3.615750,3.510000,3.532500,78422
3.322884,3.503250,2007-04-13,3.588750,3.422250,3.442500,134622
3.578983,3.773250,2007-04-16,3.838500,3.516750,3.539250,1195799
3.617398,3.813750,2007-04-17,3.951000,3.690000,3.744000,606844
3.971669,4.187251,2007-04-18,4.383001,3.825000,3.825000,5471376
3.901241,4.113001,2007-04-19,4.261501,3.960000,4.230001,778355
3.758251,3.962250,2007-04-20,4.212001,3.937500,4.124251,415711
3.753984,3.957750,2007-04-23,4.115251,3.926250,4.059001,280688
3.956730,4.171501,2007-04-24,4.396501,3.892500,3.915000,2254043
4.202159,4.430251,2007-04-25,4.747501,4.153501,4.162501,5541198
4.097583,4.320001,2007-04-26,4.725001,4.279501,4.556251,2061355
4.176549,4.403251,2007-04-27,4.500001,4.299751,4.374001,729399
4.360086,4.596751,2007-04-30,4.673251,4.329001,4.329001,752444
4.300330,4.533751,2007-05-03,4.729501,4.466251,4.630501,512377
4.449718,4.691251,2007-05-04,4.884751,4.545001,4.545001,2258754
4.577769,4.826251,2007-05-07,5.040001,4.781251,4.950001,1313177
4.498806,4.743001,2007-05-08,4.860001,4.657501,4.725001,597799
4.421976,4.662001,2007-05-09,4.806001,4.567501,4.657501,397199
4.611917,4.862251,2007-05-10,4.945501,4.592251,4.592251,685866
4.626855,4.878001,2007-05-11,5.130001,4.590001,5.130001,771310
4.699416,4.954501,2007-05-14,5.058001,4.896001,4.909501,441777
4.865880,5.130001,2007-05-15,5.285251,4.909501,5.058001,2915488
4.784783,5.044501,2007-05-16,5.283001,4.995001,5.197501,587888
4.650332,4.902751,2007-05-17,5.125501,4.864501,5.085001,407911
4.675942,4.929751,2007-05-18,5.062501,4.860001,4.866751,314777
4.789052,5.049001,2007-05-21,5.175001,4.950001,4.950001,458688
4.893625,5.159251,2007-05-22,5.260501,5.001751,5.001751,1902088
4.825333,5.087251,2007-05-23,5.314501,5.044501,5.197501,999910
4.791184,5.051251,2007-05-24,5.130001,4.965751,4.965751,161777
4.876551,5.141251,2007-05-25,5.213251,4.995001,5.062501,417955
4.887222,5.152501,2007-05-28,5.186251,5.085001,5.161501,280777
4.857345,5.121001,2007-05-29,5.152501,5.044501,5.152501,192777
4.803991,5.064751,2007-05-30,5.130001,5.040001,5.121001,242088
4.669539,4.923001,2007-05-31,5.062501,4.860001,4.860001,356222
4.897894,5.163751,2007-06-01,5.186251,4.990501,4.990501,576910
4.850942,5.114251,2007-06-04,5.199751,5.087251,5.175001,257333
4.754904,5.013001,2007-06-05,5.170501,4.995001,5.107501,96822
4.624721,4.875751,2007-06-06,5.143501,4.864501,5.130001,163422
4.575637,4.824001,2007-06-07,4.947751,4.729501,4.936501,130933
4.663137,4.916251,2007-06-08,4.950001,4.725001,4.729501,114155
4.582038,4.830751,2007-06-11,4.995001,4.774501,4.860001,75955
4.434780,4.675501,2007-06-12,4.747501,4.635001,4.635001,110911
4.323805,4.558501,2007-06-13,4.752001,4.524751,4.603501,60066
4.377158,4.614751,2007-06-14,4.720501,4.527001,4.720501,27844
4.573502,4.821751,2007-06-15,4.830751,4.623751,4.623751,52066
4.505208,4.749751,2007-06-18,4.927501,4.639501,4.927501,40733
4.473197,4.716001,2007-06-19,4.905001,4.590001,4.905001,39311
4.456123,4.698001,2007-06-20,4.783501,4.635001,4.765501,72444
4.507342,4.752001,2007-06-21,4.812751,4.680001,4.684501,70622
4.496672,4.740751,2007-06-22,4.839751,4.689001,4.725001,74177
4.400634,4.639501,2007-06-25,4.860001,4.592251,4.815001,78977
4.526550,4.772251,2007-06-26,4.851001,4.635001,4.729501,745333
4.558561,4.806001,2007-06-27,4.860001,4.747501,4.837501,659577
4.550025,4.797001,2007-06-28,4.815001,4.725001,4.727251,82066
4.492404,4.736251,2007-06-29,4.815001,4.590001,4.680001,117466
4.643928,4.896001,2007-07-02,4.927501,4.704751,4.815001,185755
4.720759,4.977001,2007-07-03,5.130001,4.837501,5.130001,97488
4.641795,4.893751,2007-07-04,5.080501,4.860001,5.080501,58533
4.569232,4.817251,2007-07-05,4.900501,4.797001,4.848751,96999
4.889357,5.154751,2007-07-06,5.238001,4.752001,4.817251,458755
5.314054,5.602501,2007-07-09,6.075001,5.490001,5.850001,3622421
5.243625,5.528251,2007-07-10,5.796001,5.402251,5.715001,2135866
5.764363,6.077251,2007-07-11,6.147001,5.400001,5.400001,3969710
5.804912,6.120001,2007-07-12,6.250501,6.052501,6.210001,2394088
5.478385,5.775751,2007-07-13,6.176251,5.717251,5.861251,940866
5.410091,5.703751,2007-07-16,5.850001,5.647501,5.787001,609888
5.422898,5.717251,2007-07-17,6.025501,5.627251,5.827501,1039533
5.341798,5.631751,2007-07-18,5.805001,5.584501,5.681251,325555
5.525336,5.825251,2007-07-19,5.850001,5.625001,5.649751,703733
5.290578,5.577751,2007-07-20,5.805001,5.537251,5.805001,462666
5.198808,5.481001,2007-07-23,5.656501,5.222251,5.490001,252133
5.104905,5.382001,2007-07-24,5.537251,5.357251,5.485501,867533
4.955517,5.224501,2007-07-25,5.469751,5.184001,5.184001,353644
4.970455,5.240251,2007-07-26,5.287501,5.220001,5.265001,117799
5.145455,5.424751,2007-07-27,5.512501,5.175001,5.224501,286333
5.121979,5.400001,2007-07-30,5.670001,5.355001,5.400001,497933
5.226555,5.510251,2007-07-31,5.555251,5.271751,5.512501,798866
4.955517,5.224501,2007-08-01,5.535001,5.175001,5.535001,237377
4.996064,5.267251,2007-08-02,5.355001,5.179501,5.242501,57155
4.929906,5.197501,2007-08-03,5.332501,5.175001,5.265001,112577
4.908565,5.175001,2007-08-06,5.265001,5.175001,5.175001,155422
5.028078,5.301001,2007-08-07,5.395501,5.181751,5.395501,68666
5.040880,5.314501,2007-08-08,5.377501,5.197501,5.247001,128711
4.934175,5.202001,2007-08-09,5.355001,5.175001,5.355001,110777
4.900028,5.166001,2007-08-10,5.265001,5.040001,5.040001,207422
4.917101,5.184001,2007-08-13,5.265001,5.175001,5.197501,157177
4.925638,5.193001,2007-08-14,5.341501,5.130001,5.184001,41044
4.891493,5.157001,2007-08-16,5.213251,5.042251,5.170501,260244
4.735697,4.992751,2007-08-17,5.136751,4.736251,4.736251,180644
4.904294,5.170501,2007-08-20,5.220001,5.040001,5.107501,122911
4.635392,4.887001,2007-08-21,5.175001,4.860001,5.175001,82933
4.520148,4.765501,2007-08-22,4.833001,4.639501,4.821751,149311
4.524416,4.770001,2007-08-23,4.950001,4.758751,4.950001,111733
4.588441,4.837501,2007-08-24,4.860001,4.722751,4.722751,85466
4.714356,4.970251,2007-08-27,5.125501,4.725001,4.761001,125888
4.810391,5.071501,2007-08-28,5.073751,4.950001,5.060251,3777
4.729295,4.986001,2007-08-29,5.060251,4.839751,4.995001,37755
4.705818,4.961251,2007-08-30,5.085001,4.905001,5.040001,141533
4.793320,5.053501,2007-08-31,5.152501,4.887001,5.040001,72111
4.823197,5.085001,2007-09-03,5.175001,5.044501,5.130001,222799
4.776247,5.035501,2007-09-04,5.130001,4.997251,5.080501,241977
4.784783,5.044501,2007-09-05,5.112001,4.995001,5.015251,87711
4.739965,4.997251,2007-09-06,5.064751,4.950001,5.040001,114488
4.793320,5.053501,2007-09-07,5.265001,4.950001,4.959001,95999
4.874418,5.139001,2007-09-10,5.175001,4.965751,4.965751,128311
4.938443,5.206501,2007-09-11,5.215501,5.175001,5.175001,110755
5.006735,5.278501,2007-09-12,5.355001,5.175001,5.355001,298888
5.100639,5.377501,2007-09-13,5.487751,5.265001,5.487751,604644
5.126248,5.404501,2007-09-14,5.487751,5.310001,5.487751,145755
4.983258,5.253751,2007-09-17,5.400001,5.224501,5.377501,170022
4.929906,5.197501,2007-09-18,5.310001,5.089501,5.152501,362799
4.925638,5.193001,2007-09-19,5.229001,5.175001,5.229001,259666
4.976859,5.247001,2007-09-20,5.332501,4.954501,5.217751,437111
4.968320,5.238001,2007-09-21,5.242501,5.040001,5.224501,141933
4.908565,5.175001,2007-09-24,5.287501,5.062501,5.062501,117822
4.908565,5.175001,2007-09-25,5.211001,5.040001,5.085001,407199
5.393018,5.685751,2007-09-26,5.958001,5.181751,5.330251,1754799
5.286311,5.573251,2007-09-27,5.935501,5.402251,5.636251,247622
5.126248,5.404501,2007-09-28,5.625001,5.310001,5.625001,341577
5.382349,5.674501,2007-10-01,5.895001,5.490001,5.631751,450177
5.181737,5.463001,2007-10-03,6.005251,5.312251,6.005251,279288
