adj_close,close,date,high,low,open,volume
27.949389,33.764709,2000-01-04,35.248871,31.831390,33.784237,158927
26.611721,32.148727,2000-01-05,35.053589,31.855803,35.053589,74199
27.080505,32.715054,2000-01-06,33.198383,32.221958,32.710171,52856
25.221525,30.469280,2000-01-07,32.026676,30.269114,31.831390,46322
24.372858,29.444036,2000-01-10,30.952610,29.302456,30.854967,124679
23.718176,28.653133,2000-01-11,29.487976,28.418793,29.102289,66559
24.102095,29.116936,2000-01-12,29.292690,28.999763,29.292690,6257
22.404762,27.066446,2000-01-13,28.999763,27.066446,28.609196,38835
22.542170,27.232437,2000-01-14,27.632772,26.851633,27.251966,72396
24.348614,29.414743,2000-01-17,29.414743,28.804480,29.097406,392319
23.451452,28.330914,2000-01-18,30.073830,27.828056,29.976187,370945
23.524191,28.418793,2000-01-19,30.269114,28.316269,30.269114,384187
22.214827,26.836987,2000-01-20,29.165756,26.461063,29.165756,136098
22.210785,26.832106,2000-01-21,27.339846,26.461063,26.998096,397921
22.259279,26.890690,2000-01-24,27.339846,26.558706,26.558706,196492
22.214827,26.836987,2000-01-25,27.242203,26.461063,26.656349,244945
22.214827,26.836987,2000-01-26,26.836987,26.836987,26.836987,0
22.069342,26.661230,2000-01-27,26.890690,26.363422,26.656349,245631
21.426779,25.884975,2000-01-28,26.597763,25.484640,25.982616,105906
20.590235,24.874376,2000-01-31,26.158373,24.703503,25.094072,26453
20.283100,24.503336,2000-02-01,25.191713,24.410576,24.605860,265981
21.907698,26.465946,2000-02-02,26.465946,22.594429,22.594429,168861
22.093588,26.690523,2000-02-03,28.120983,25.972853,28.120983,602238
21.309584,25.743393,2000-02-04,28.311386,25.396763,28.120983,153488
21.527811,26.007027,2000-02-07,26.753990,25.875210,26.339010,59840
20.881210,25.225889,2000-02-08,26.265779,24.508219,26.265779,281056
20.275021,24.493572,2000-02-09,27.242203,24.420340,27.242203,59011
20.206314,24.410576,2000-02-10,24.898787,24.215290,24.410576,163822
19.200041,23.194929,2000-02-11,25.865446,22.467493,25.865446,59933
19.478889,23.531796,2000-02-14,23.912600,22.975233,23.434153,41733
18.533236,22.389380,2000-02-15,24.508219,22.262445,24.508219,375984
17.389557,21.007742,2000-02-16,23.434153,20.724579,22.262445,397624
18.153358,21.930462,2000-02-17,22.423555,21.383663,21.735176,217129
16.710621,20.187546,2000-02-18,21.969519,20.187546,21.969519,74219
16.751038,20.236366,2000-02-21,20.602526,19.333176,20.114313,95665
16.997553,20.534176,2000-02-22,20.993095,20.172899,20.988213,84870
15.777092,19.059776,2000-02-23,21.090736,19.059776,21.090736,167755
15.356798,18.552036,2000-02-24,19.850679,18.552036,19.523579,95153
14.281826,17.253395,2000-02-25,19.274591,17.185045,19.274591,37145
13.740295,16.599192,2000-02-28,18.063826,16.403908,17.087402,226213
13.138148,15.871756,2000-02-29,17.927128,15.622768,16.818888,132207
