adj_close,close,date,high,low,open,volume
11.125880,14.356666,2000-01-04,15.093333,14.216666,15.000000,3538335
10.942473,14.120000,2000-01-05,14.800000,13.666666,13.666666,3580725
11.725186,15.130000,2000-01-06,15.250000,14.266666,14.266666,10005150
11.216293,14.473333,2000-01-07,15.266666,14.340000,15.000000,9049230
11.386786,14.693333,2000-01-10,15.266666,13.540000,15.000000,8293575
10.939890,14.116666,2000-01-11,14.860000,13.696666,14.340000,6966765
11.366121,14.666666,2000-01-12,14.793333,14.333333,14.466666,4449855
10.784901,13.916666,2000-01-13,15.000000,13.800000,14.926666,9651285
10.947639,14.126666,2000-01-14,14.266666,13.870000,14.200000,4792095
10.885643,14.046666,2000-01-17,14.643333,13.966666,14.326666,7593495
10.924394,14.096666,2000-01-18,14.326666,14.000000,14.200000,7941915
11.565028,14.923333,2000-01-19,15.226666,14.396666,14.600000,13697310
11.164631,14.406666,2000-01-20,15.000000,14.366666,15.000000,3542265
11.097468,14.320000,2000-01-21,14.460000,14.220000,14.400000,5770590
10.722901,13.836666,2000-01-24,14.400000,13.733333,14.366666,4634925
10.485248,13.530000,2000-01-25,13.860000,13.466666,13.733333,6922935
10.485248,13.530000,2000-01-26,13.530000,13.530000,13.530000,0
10.304420,13.296666,2000-01-27,13.933333,13.153333,13.856666,7318995
9.831693,12.686666,2000-01-28,13.070000,12.600000,13.070000,6851745
9.046399,11.673333,2000-01-31,12.700000,11.673333,12.666666,3838125
9.511378,12.273333,2000-02-01,12.610000,11.166666,11.400000,17598525
9.924688,12.806666,2000-02-02,13.256666,12.266666,12.660000,29959530
10.172678,13.126666,2000-02-03,13.533333,12.866666,12.933333,18779760
9.591455,12.376666,2000-02-04,13.266666,12.233333,13.100000,15370305
9.521709,12.286666,2000-02-07,12.706666,12.233333,12.493333,7285755
9.550121,12.323333,2000-02-08,12.533333,12.036666,12.533333,12337485
9.764533,12.600000,2000-02-09,12.980000,12.403333,12.533333,10387875
9.485544,12.240000,2000-02-10,12.766666,12.183333,12.566666,4897215
9.216890,11.893333,2000-02-11,12.600000,11.800000,12.400000,7741725
8.769994,11.316666,2000-02-14,11.963333,11.210000,11.403333,4732065
8.152611,10.520000,2000-02-15,11.666666,10.413333,11.200000,12543765
8.137108,10.500000,2000-02-16,11.066666,10.200000,10.933333,19986735
8.116444,10.473333,2000-02-17,10.930000,10.340000,10.526666,8110830
7.488722,9.663333,2000-02-18,10.353333,9.636666,10.300000,20385615
8.082861,10.430000,2000-02-21,10.436666,9.800000,9.800000,18992340
7.685045,9.916666,2000-02-22,10.650000,9.820000,10.600000,18456480
7.679881,9.910000,2000-02-23,10.466666,9.866666,10.346666,8072985
7.788377,10.050000,2000-02-24,10.186666,9.796666,10.053333,4479060
7.524890,9.710000,2000-02-25,10.260000,9.666666,10.136666,6084495
8.051862,10.390000,2000-02-28,10.466666,9.533333,9.783333,9989775
7.517138,9.700000,2000-02-29,10.833333,9.560000,10.466666,12688800
7.351814,9.486666,2000-03-01,10.000000,9.333333,9.863333,11400045
6.765425,8.730000,2000-03-02,9.726666,8.730000,9.700000,13463100
6.341779,8.183333,2000-03-03,8.666666,8.100000,8.533333,11421660
6.835170,8.820000,2000-03-06,8.840000,8.366666,8.366666,10848210
6.424441,8.290000,2000-03-07,8.913333,8.200000,8.666666,11092890
6.853254,8.843333,2000-03-08,8.953333,8.340000,8.526666,10567695
6.811923,8.790000,2000-03-09,9.200000,8.386666,9.200000,8422290
6.377944,8.230000,2000-03-10,8.993333,8.170000,8.993333,6982650
6.323695,8.160000,2000-03-13,8.466666,8.133333,8.333333,4996710
6.463188,8.340000,2000-03-14,8.610000,8.070000,8.243333,13221630
6.496770,8.383333,2000-03-15,8.910000,8.333333,8.533333,14885685
6.357276,8.203333,2000-03-16,8.500000,8.140000,8.370000,7792800
6.357276,8.203333,2000-03-17,8.203333,8.203333,8.203333,0
6.357276,8.203333,2000-03-20,8.203333,8.203333,8.203333,0
6.809339,8.786666,2000-03-21,8.860000,8.010000,8.390000,16242000
7.163240,9.243333,2000-03-22,9.490000,8.896666,9.053333,17970495
6.791257,8.763333,2000-03-23,9.300000,8.673333,9.300000,8820255
6.801590,8.776666,2000-03-24,8.926666,8.353333,8.673333,7855125
6.788675,8.760000,2000-03-27,8.980000,8.666666,8.800000,6087480
7.041830,9.086666,2000-03-28,9.233333,8.506666,8.723333,11243385
6.848085,8.836666,2000-03-29,9.600000,8.800000,9.600000,3956745
6.470940,8.350000,2000-03-30,8.766666,8.130000,8.686666,14269845
6.491605,8.376666,2000-03-31,8.566666,8.020000,8.216666,11642010
6.858421,8.850000,2000-04-03,8.956666,8.413333,8.420000,19019325
6.310779,8.143333,2000-04-04,8.800000,8.143333,8.633333,9979425
6.300446,8.130000,2000-04-05,8.730000,8.000000,8.730000,8962545
6.086040,7.853333,2000-04-06,8.266666,7.600000,8.233333,7748970
6.359860,8.206666,2000-04-07,8.333333,7.933333,7.986666,19780725
6.486440,8.370000,2000-04-10,8.680000,8.200000,8.300000,24896040
6.354693,8.200000,2000-04-11,8.333333,7.733333,8.220000,9395145
6.401193,8.260000,2000-04-12,8.560000,8.233333,8.266666,10662900
6.217782,8.023333,2000-04-13,8.180000,7.833333,8.086666,8783490
6.217782,8.023333,2000-04-14,8.023333,8.023333,8.023333,0
6.055041,7.813333,2000-04-17,8.000000,7.400000,7.866666,8322165
5.750224,7.420000,2000-04-18,7.990000,7.313333,7.930000,15023130
5.300746,6.840000,2000-04-19,7.630000,6.826666,7.630000,22521990
4.998511,6.450000,2000-04-20,6.666666,6.326666,6.666666,32434665
4.998511,6.450000,2000-04-21,6.450000,6.450000,6.450000,0
4.665275,6.020000,2000-04-24,6.516666,5.936666,6.513333,11754705
4.766023,6.150000,2000-04-25,6.266666,5.540000,5.666666,29234850
