adj_close,close,date,high,low,open,volume
0.021527,0.218335,2002-07-01,0.223708,0.212113,0.213810,18468968
0.021109,0.214092,2002-07-02,0.223143,0.213244,0.218052,14604782
0.020886,0.211830,2002-07-03,0.216921,0.210981,0.214092,3852022
0.022391,0.227102,2002-07-04,0.232758,0.213810,0.213810,50100446
0.023200,0.235304,2002-07-05,0.238415,0.223708,0.225688,29450709
0.022475,0.227951,2002-07-08,0.246051,0.225688,0.236718,15449814
0.020188,0.204759,2002-07-09,0.229930,0.203628,0.229930,25807513
0.020272,0.205608,2002-07-10,0.213244,0.201931,0.202214,10828921
0.019436,0.197123,2002-07-11,0.206174,0.195992,0.202497,6199754
0.019631,0.199103,2002-07-12,0.205608,0.197689,0.203911,4025809
0.018822,0.190901,2002-07-15,0.201648,0.186942,0.201366,4003144
0.018766,0.190336,2002-07-16,0.196558,0.187508,0.189770,3478814
0.018292,0.185528,2002-07-17,0.194295,0.184962,0.192033,4398417
0.018432,0.186942,2002-07-18,0.195992,0.184962,0.195992,4147655
0.018181,0.184397,2002-07-19,0.189205,0.183265,0.189205,3796898
0.016926,0.171670,2002-07-22,0.181851,0.169973,0.181851,3890775
0.017958,0.182134,2002-07-23,0.185811,0.167145,0.167145,16596666
0.017874,0.181286,2002-07-24,0.192315,0.178457,0.185811,10950908
0.017288,0.175346,2002-07-25,0.191750,0.173932,0.184962,6007440
0.016647,0.168842,2002-07-26,0.175629,0.167993,0.175346,3911743
0.015560,0.157812,2002-07-29,0.172801,0.151590,0.172801,7888758
0.015030,0.152438,2002-07-30,0.166579,0.145368,0.164317,4625277
0.015169,0.153852,2002-07-31,0.157246,0.147913,0.149610,5282308
0.014751,0.149610,2002-08-01,0.161206,0.147630,0.159509,3562931
0.015532,0.157529,2002-08-02,0.164317,0.143671,0.143671,4630687
0.017010,0.172518,2002-08-05,0.175064,0.161488,0.161488,11224476
0.016647,0.168842,2002-08-06,0.173650,0.165731,0.167710,2984820
0.016424,0.166579,2002-08-07,0.176195,0.165731,0.170821,3833424
0.016006,0.162337,2002-08-08,0.172801,0.161488,0.172801,2460171
0.016145,0.163751,2002-08-09,0.169407,0.160074,0.169407,2362900
0.016368,0.166013,2002-08-12,0.167710,0.163751,0.166579,1148195
0.016285,0.165165,2002-08-13,0.168559,0.164317,0.167993,673932
0.015978,0.162054,2002-08-14,0.165165,0.160074,0.163751,915006
0.015978,0.162054,2002-08-15,0.162054,0.162054,0.162054,0
0.016145,0.163751,2002-08-16,0.165731,0.162337,0.165731,1236521
0.016145,0.163751,2002-08-19,0.165165,0.162902,0.163751,568705
0.016536,0.167710,2002-08-20,0.169690,0.159509,0.159509,1730019
0.016285,0.165165,2002-08-21,0.169690,0.162902,0.169690,2063025
0.016034,0.162620,2002-08-22,0.168559,0.162054,0.165731,879011
0.015894,0.161206,2002-08-23,0.165731,0.160074,0.165731,1223155
0.015783,0.160074,2002-08-26,0.163185,0.159226,0.163185,1040741
0.015504,0.157246,2002-08-27,0.162054,0.157246,0.160074,1957020
0.015309,0.155266,2002-08-28,0.157246,0.151590,0.155266,1421127
0.015030,0.152438,2002-08-29,0.155832,0.151590,0.154418,981162
0.015364,0.155832,2002-08-30,0.156680,0.151024,0.151590,4281310
0.015337,0.155549,2002-09-02,0.159509,0.154418,0.158095,1384673
0.015002,0.152155,2002-09-03,0.156680,0.150458,0.155832,7384970
0.015337,0.155549,2002-09-04,0.157529,0.150741,0.151024,1995526
0.016536,0.167710,2002-09-05,0.170821,0.154418,0.156963,13977239
0.016089,0.163185,2002-09-06,0.172235,0.160923,0.167145,9285700
0.015866,0.160923,2002-09-09,0.167710,0.160074,0.165731,7662817
0.015866,0.160923,2002-09-10,0.160923,0.160923,0.160923,0
0.015783,0.160074,2002-09-11,0.164034,0.159791,0.161488,14956351
0.015866,0.160923,2002-09-12,0.161488,0.159509,0.161488,6932453
0.016006,0.162337,2002-09-13,0.171387,0.159791,0.163185,14566029
0.015392,0.156115,2002-09-16,0.165165,0.155549,0.165165,16627498
0.015309,0.155266,2002-09-17,0.158095,0.154135,0.156680,2042835
0.015086,0.153004,2002-09-18,0.155832,0.152438,0.154418,4299484
0.015141,0.153569,2002-09-19,0.154418,0.150741,0.151024,3623571
0.015504,0.157246,2002-09-20,0.158377,0.150741,0.153569,1998284
0.015504,0.157246,2002-09-23,0.159226,0.154984,0.157529,1241612
0.015058,0.152721,2002-09-24,0.156680,0.151590,0.154701,1795291
0.015225,0.154418,2002-09-25,0.156398,0.150741,0.151024,26058523
0.015950,0.161771,2002-09-26,0.166296,0.153287,0.153287,48064222
0.016368,0.166013,2002-09-27,0.170256,0.163185,0.163185,21314830
0.015922,0.161488,2002-09-30,0.168559,0.158943,0.167710,4700767
0.015504,0.157246,2002-10-01,0.160357,0.155832,0.159509,1156504
0.015504,0.157246,2002-10-02,0.157246,0.157246,0.157246,0
0.015225,0.154418,2002-10-03,0.158377,0.153852,0.158095,1167607
0.015086,0.153004,2002-10-04,0.156963,0.151873,0.155549,897221
0.015866,0.160923,2002-10-07,0.162902,0.154418,0.157529,5146425
0.017177,0.174215,2002-10-08,0.176195,0.160640,0.163185,13646001
0.016731,0.169690,2002-10-09,0.179872,0.168559,0.173650,7857289
