adj_close,close,date,high,low,open,volume
1670.718628,1815.949951,2018-08-06,1844.000000,1726.250000,1726.250000,19305566
1628.397339,1769.949951,2018-08-07,1834.000000,1755.000000,1819.800049,3507846
1637.321533,1779.650024,2018-08-08,1798.900024,1742.349976,1762.000000,1678483
1609.168945,1749.050049,2018-08-09,1787.000000,1740.000000,1779.599976,674845
1609.031006,1748.900024,2018-08-10,1768.000000,1740.000000,1740.000000,587382
1569.147827,1705.550049,2018-08-13,1741.199951,1704.500000,1739.000000,726503
1589.756348,1727.949951,2018-08-14,1746.949951,1707.500000,1707.500000,570586
1573.517944,1710.300049,2018-08-16,1741.000000,1707.000000,1726.900024,377188
1578.440063,1715.650024,2018-08-17,1731.800049,1714.050049,1719.699951,320048
1607.420898,1747.150024,2018-08-20,1755.800049,1722.199951,1724.750000,793064
1622.555298,1763.599976,2018-08-21,1773.300049,1747.000000,1757.500000,606276
1687.968872,1834.699951,2018-08-23,1848.800049,1771.199951,1780.000000,2303105
1743.492432,1895.050049,2018-08-24,1924.400024,1822.449951,1834.500000,2700488
1786.687622,1942.000000,2018-08-27,1970.000000,1910.000000,1910.000000,1702446
1714.741821,1863.800049,2018-08-28,1955.449951,1852.050049,1952.000000,1131489
1674.490601,1820.050049,2018-08-29,1865.000000,1807.550049,1865.000000,1022262
1690.637085,1837.599976,2018-08-30,1854.650024,1820.000000,1820.050049,427818
1668.970459,1814.050049,2018-08-31,1844.949951,1810.000000,1840.000000,283317
1602.590698,1741.900024,2018-09-03,1810.000000,1738.000000,1810.000000,1029800
1599.416504,1738.449951,2018-09-04,1772.000000,1731.750000,1749.000000,558416
1547.849243,1682.400024,2018-09-05,1748.800049,1662.000000,1742.000000,1043911
1550.931274,1685.750000,2018-09-06,1715.000000,1681.250000,1690.000000,645979
1538.510986,1672.250000,2018-09-07,1703.949951,1660.000000,1700.199951,718911
1500.835938,1631.300049,2018-09-10,1672.900024,1626.000000,1672.900024,646712
1485.057739,1614.150024,2018-09-11,1665.000000,1608.099976,1640.000000,607873
1500.238037,1630.650024,2018-09-12,1635.349976,1592.900024,1619.900024,694731
1504.654053,1635.449951,2018-09-14,1658.000000,1626.550049,1645.900024,421041
1471.763062,1599.699951,2018-09-17,1625.000000,1595.000000,1625.000000,472311
1413.341553,1536.199951,2018-09-18,1604.500000,1526.000000,1601.250000,831087
1296.176392,1408.849976,2018-09-19,1480.000000,1396.500000,1475.000000,5636088
1272.669922,1383.300049,2018-09-21,1430.000000,1250.000000,1425.000000,1963372
1228.186646,1334.949951,2018-09-24,1414.349976,1325.199951,1390.000000,780175
1285.458252,1397.199951,2018-09-25,1406.849976,1315.750000,1343.400024,963229
1323.961304,1439.050049,2018-09-26,1444.000000,1410.000000,1417.000000,700334
1261.445557,1371.099976,2018-09-27,1445.449951,1365.500000,1439.900024,458882
1221.286621,1327.449951,2018-09-28,1394.000000,1308.000000,1394.000000,635077
1197.319824,1301.400024,2018-10-01,1334.900024,1282.000000,1334.900024,528034
1186.923584,1290.099976,2018-10-03,1321.000000,1280.000000,1300.000000,500186
1189.177612,1292.550049,2018-10-04,1308.699951,1265.750000,1278.000000,502210
1193.685669,1297.449951,2018-10-05,1319.250000,1282.199951,1295.000000,344449
1171.099243,1272.900024,2018-10-08,1302.000000,1251.000000,1297.400024,339225
1167.419189,1268.900024,2018-10-09,1283.949951,1250.000000,1280.250000,274939
1218.020630,1323.900024,2018-10-10,1335.250000,1265.000000,1265.000000,309756
1240.009155,1347.800049,2018-10-11,1389.000000,1250.000000,1281.000000,559977
1259.881592,1369.400024,2018-10-12,1384.900024,1362.050049,1367.000000,246506
1274.234131,1385.000000,2018-10-15,1412.400024,1354.849976,1376.400024,259617
1278.006104,1389.099976,2018-10-16,1407.000000,1381.000000,1393.650024,171655
