adj_close,close,date,high,low,open,volume
14.533046,42.822224,2000-01-04,44.444443,40.955555,42.000000,968589
14.476481,42.655556,2000-01-05,43.077778,40.000000,41.355556,986589
14.238916,41.955555,2000-01-06,45.266666,41.444443,43.277779,1164159
13.846738,40.799999,2000-01-07,42.599998,40.444443,41.866665,609714
13.526216,39.855556,2000-01-10,41.655556,38.922222,40.777779,1160815
12.632510,37.222221,2000-01-11,40.000000,36.666664,39.777779,1516509
13.183064,38.844444,2000-01-12,39.766666,38.000000,38.888889,980032
12.508071,36.855556,2000-01-13,38.222221,36.666664,38.222221,1508868
12.496762,36.822224,2000-01-14,37.488888,36.133331,37.333332,982687
12.142294,35.777779,2000-01-17,37.666664,35.555553,37.666664,3064446
12.704161,37.433334,2000-01-18,38.644444,35.622223,36.233334,2729029
12.734324,37.522221,2000-01-19,39.777779,37.044445,39.544445,3806568
12.685305,37.377777,2000-01-20,38.111111,37.277779,37.777779,1566504
12.591027,37.099998,2000-01-21,37.599998,36.911110,37.222221,1449054
12.949265,38.155556,2000-01-24,38.444443,37.188889,37.777779,2130943
12.813518,37.755554,2000-01-25,38.833332,36.677776,37.622223,1999413
12.813518,37.755554,2000-01-26,37.755554,37.755554,37.755554,0
12.971891,38.222221,2000-01-27,38.666664,36.922222,38.388889,3174102
12.794660,37.700001,2000-01-28,38.311111,37.500000,38.222221,1557522
12.813518,37.755554,2000-01-31,37.988888,36.944443,37.777779,1789065
12.919099,38.066666,2000-02-01,38.277779,37.344444,37.777779,1696023
13.952326,41.111111,2000-02-02,41.111111,38.222221,38.222221,5452704
15.068513,44.400002,2000-02-03,44.400002,43.111111,43.288887,4121640
14.744213,43.444443,2000-02-04,47.511112,40.888889,47.511112,3578517
13.737384,40.477776,2000-02-07,42.888889,39.977776,42.444443,816790
13.809032,40.688889,2000-02-08,43.133331,39.777779,40.666664,4146804
13.778865,40.599998,2000-02-09,42.222221,40.344444,41.555553,1930329
13.842967,40.788887,2000-02-10,40.888889,39.722221,39.722221,852313
13.367834,39.388889,2000-02-11,41.111111,38.888889,40.666664,1518898
12.481677,36.777779,2000-02-14,40.000000,36.488888,38.888889,999850
12.315757,36.288887,2000-02-15,36.666664,35.388889,35.388889,1032052
12.161147,35.833332,2000-02-16,37.777779,35.555553,37.777779,1425699
11.942438,35.188889,2000-02-17,36.422222,34.911110,36.422222,808618
11.629453,34.266666,2000-02-18,35.555553,33.777779,35.555553,747999
11.738805,34.588886,2000-02-21,35.133331,33.122223,33.555553,1298223
11.259903,33.177776,2000-02-22,35.111111,32.888889,33.799999,1060897
11.293840,33.277779,2000-02-23,35.111111,33.111111,35.111111,1630354
11.271216,33.211109,2000-02-24,33.844444,33.000000,33.555553,427585
10.871502,32.033333,2000-02-25,33.544445,31.333332,33.333332,251838
11.742581,34.599998,2000-02-28,34.599998,31.555555,31.577778,772830
10.803627,31.833332,2000-02-29,36.711109,31.833332,35.522221,1819719
11.097757,32.700001,2000-03-01,33.533333,32.000000,32.211109,908802
11.097757,32.700001,2000-03-02,35.322224,32.055553,33.777779,1169919
10.211594,30.088888,2000-03-03,31.333332,30.088888,31.333332,487147
9.397081,27.688889,2000-03-06,30.666666,27.688889,30.088888,1786522
8.646671,25.477777,2000-03-07,28.222221,25.477777,28.200001,1847740
7.982991,23.522223,2000-03-08,25.777777,23.444445,25.577778,1850814
8.416646,24.799999,2000-03-09,25.411112,21.666666,23.333332,3788334
8.295979,24.444445,2000-03-10,26.422222,23.555555,25.111111,2752429
8.288438,24.422222,2000-03-13,25.555555,24.022223,25.088888,1801642
8.929489,26.311111,2000-03-14,26.377777,23.366667,24.444445,2515176
9.645960,28.422222,2000-03-15,28.422222,26.333332,26.666666,2015239
9.325434,27.477777,2000-03-16,28.766666,26.900000,28.466665,713254
9.325434,27.477777,2000-03-17,27.477777,27.477777,27.477777,0
9.325434,27.477777,2000-03-20,27.477777,27.477777,27.477777,0
9.204767,27.122223,2000-03-21,28.222221,26.755554,27.155556,1542154
9.529061,28.077778,2000-03-22,28.433332,27.000000,27.577778,935298
10.045673,29.600000,2000-03-23,29.900000,28.222221,29.100000,1437646
10.588685,31.200001,2000-03-24,31.799999,29.333332,30.222221,1956276
10.271931,30.266666,2000-03-27,31.000000,29.333332,30.700001,653319
10.554747,31.100000,2000-03-28,32.000000,29.555555,30.000000,644224
10.136175,29.866667,2000-03-29,31.444445,29.355555,31.444445,2381629
9.359373,27.577778,2000-03-30,30.211111,27.477777,30.211111,2032213
9.977799,29.400000,2000-03-31,29.788889,25.377777,26.466665,4558486
10.777232,31.755554,2000-04-03,31.755554,29.333332,29.333332,2495569
10.279470,30.288889,2000-04-04,32.444443,29.233334,31.111111,2377264
9.698753,28.577778,2000-04-05,30.222221,28.222221,30.222221,1252116
9.438560,27.811111,2000-04-06,29.911112,26.888887,29.311111,1178572
10.196512,30.044443,2000-04-07,30.044443,28.888887,28.888887,1057009
10.630164,31.322222,2000-04-10,32.333332,30.711111,31.111111,1272546
11.169403,32.911110,2000-04-11,33.111111,30.033333,30.777777,1623874
10.188970,30.022223,2000-04-12,32.000000,29.788889,32.000000,1868962
10.075840,29.688889,2000-04-13,30.544443,29.022223,29.444445,1167106
10.075840,29.688889,2000-04-14,29.688889,29.688889,29.688889,0
10.645416,29.488888,2000-04-17,29.777777,28.011110,28.022223,661428
10.344583,28.655556,2000-04-18,30.222221,28.444445,30.211111,1198053
9.522313,26.377777,2000-04-19,29.299999,26.366667,28.888887,1443204
8.880539,24.600000,2000-04-20,26.666666,24.422222,26.666666,5339308
8.880539,24.600000,2000-04-21,24.600000,24.600000,24.600000,0
8.940706,24.766666,2000-04-24,25.066666,24.288889,24.777777,5349537
9.157304,25.366667,2000-04-25,25.522223,24.222221,25.111111,1231897
9.349837,25.900000,2000-04-26,26.277777,25.488888,25.766666,2025607
9.105161,25.222221,2000-04-27,25.777777,24.888887,25.777777,760441
8.972795,24.855555,2000-04-28,25.522223,24.588888,25.522223,713547
8.972795,24.855555,2000-05-01,24.855555,24.855555,24.855555,0
8.162555,22.611111,2000-05-02,24.666666,22.000000,23.577778,2485944
8.844440,24.500000,2000-05-03,25.244444,22.222221,22.444445,1188499
9.795067,27.133333,2000-05-04,27.444445,24.900000,25.111111,1506393
9.401980,26.044443,2000-05-05,27.555555,25.666666,27.444445,1267177
9.241538,25.600000,2000-05-08,26.622223,25.377777,26.622223,802017
9.097138,25.200001,2000-05-09,25.400000,24.466665,25.122223,1283215
9.073073,25.133333,2000-05-10,25.888887,24.955555,25.355555,835294
9.165327,25.388887,2000-05-11,25.555555,24.444445,24.444445,3518149
9.065049,25.111111,2000-05-12,25.555555,24.922222,25.555555,4219402
8.764216,24.277777,2000-05-15,25.100000,23.588888,24.722221,4286299
9.008892,24.955555,2000-05-16,25.188889,23.911112,24.400000,610150
9.975567,27.633333,2000-05-17,27.955555,25.333332,25.333332,2158020
11.174879,30.955555,2000-05-18,30.955555,26.444445,27.444445,2581879
10.428819,28.888887,2000-05-19,32.444443,27.299999,31.100000,5275890
10.396729,28.799999,2000-05-22,29.777777,27.622223,28.222221,1411632
10.412775,28.844444,2000-05-23,28.888887,27.777777,28.666666,1060974
11.363399,31.477777,2000-05-24,32.311111,28.000000,28.655556,2575206
12.438373,34.455555,2000-05-25,35.255554,31.555555,31.955555,5650159
12.386230,34.311111,2000-05-26,35.355556,31.822222,34.000000,4986261
12.173640,33.722221,2000-05-29,34.477776,32.722221,34.400002,9352692
12.289963,34.044445,2000-05-30,34.222221,32.666664,34.000000,1291914
10.970315,30.388887,2000-05-31,35.088886,30.011110,34.000000,2132455
9.658688,26.755554,2000-06-01,30.422222,26.744444,30.422222,2861590
9.927431,27.500000,2000-06-02,28.200001,26.299999,26.299999,2789860
10.212223,28.288889,2000-06-05,29.311111,27.777777,28.000000,3372264
10.328541,28.611111,2000-06-06,28.777777,27.777777,28.222221,1432183
10.641403,29.477777,2000-06-07,30.222221,28.444445,28.888887,3084106
11.178891,30.966665,2000-06-08,31.222221,29.777777,29.911112,2131155
11.194933,31.011110,2000-06-09,31.444445,30.222221,30.766666,1525783
11.094660,30.733334,2000-06-12,31.311111,30.033333,31.288889,726790
11.267132,31.211111,2000-06-13,32.000000,30.222221,31.033333,1180345
11.279171,31.244444,2000-06-14,31.555555,29.333332,29.333332,532039
10.689536,29.611111,2000-06-15,31.100000,29.444445,30.988888,1581196
10.946248,30.322222,2000-06-16,30.888887,29.111111,29.222221,1911685
11.235047,31.122223,2000-06-19,31.955555,30.111111,30.533333,3163797
11.491753,31.833332,2000-06-20,32.422222,30.688889,31.511110,1161850
11.483732,31.811111,2000-06-21,33.655556,31.133333,32.222221,2383101
11.467690,31.766666,2000-06-22,32.222221,31.111111,31.777777,829831
11.279171,31.244444,2000-06-23,33.377777,30.888887,31.111111,3457377
10.825913,29.988888,2000-06-26,31.555555,29.166666,30.688889,1574401
10.304476,28.544443,2000-06-27,30.000000,28.266666,30.000000,1582087
9.943478,27.544443,2000-06-28,28.888887,27.255554,28.888887,2755219
9.843201,27.266666,2000-06-29,28.222221,26.900000,28.222221,2740594
9.827155,27.222221,2000-06-30,27.777777,27.155556,27.333332,1174756
9.943478,27.544443,2000-07-03,27.666666,27.377777,27.555555,1424515
9.779019,27.088888,2000-07-04,27.755554,27.022223,27.555555,1713456
10.136008,28.077778,2000-07-05,28.433332,27.533333,27.655556,1358842
10.164086,28.155556,2000-07-06,28.666666,27.900000,28.222221,980667
9.947491,27.555555,2000-07-07,27.955555,27.288889,27.955555,1606590
9.947491,27.555555,2000-07-10,27.922222,27.500000,27.777777,1514218
