adj_close,close,date,high,low,open,volume
126.300919,191.649994,2012-12-28,200.850006,188.649994,200.000000,35351056
127.651909,193.699997,2012-12-31,195.500000,188.250000,191.850006,6021827
130.320938,197.750000,2013-01-01,199.800003,194.000000,194.699997,2619486
132.792267,201.500000,2013-01-02,204.350006,197.000000,198.300003,5470399
134.670456,204.350006,2013-01-03,206.500000,200.000000,200.000000,3626134
136.515701,207.149994,2013-01-04,210.000000,202.350006,205.000000,4188477
136.680481,207.399994,2013-01-07,209.000000,206.100006,207.850006,2632614
133.747849,202.949997,2013-01-08,211.050003,201.699997,207.550003,1310534
135.131760,205.050003,2013-01-09,207.899994,203.300003,204.250000,1316038
135.164703,205.100006,2013-01-10,207.000000,203.000000,205.000000,1061770
135.395416,205.449997,2013-01-11,206.800003,203.600006,204.399994,560597
136.944092,207.800003,2013-01-14,208.250000,202.899994,205.199997,440016
135.263550,205.250000,2013-01-15,208.649994,204.000000,207.949997,308822
134.703400,204.399994,2013-01-16,210.000000,202.500000,205.850006,522978
135.065872,204.949997,2013-01-17,207.699997,204.199997,206.600006,1583997
135.098816,205.000000,2013-01-18,206.649994,204.100006,206.350006,1219799
135.131760,205.050003,2013-01-21,207.500000,204.500000,206.850006,599417
135.131760,205.050003,2013-01-22,206.350006,204.149994,205.100006,645165
134.835205,204.600006,2013-01-23,205.149994,203.149994,205.000000,632500
135.823776,206.100006,2013-01-24,210.399994,204.550003,204.649994,1658900
137.273590,208.300003,2013-01-25,209.500000,204.649994,206.949997,446416
138.591599,210.300003,2013-01-28,211.500000,208.000000,209.000000,619340
139.810791,212.149994,2013-01-29,216.000000,210.000000,210.649994,1297700
138.360977,209.949997,2013-01-30,215.000000,208.100006,215.000000,1254754
134.604568,204.250000,2013-01-31,211.250000,201.000000,209.850006,477136
135.757858,206.000000,2013-02-01,210.899994,202.250000,202.250000,535714
138.360977,209.949997,2013-02-04,211.000000,206.350006,208.750000,972954
138.295090,209.850006,2013-02-05,211.899994,207.449997,208.899994,310499
138.393921,210.000000,2013-02-06,211.500000,209.250000,210.250000,1068489
136.779312,207.550003,2013-02-07,210.850006,207.000000,210.850006,55628
136.383896,206.949997,2013-02-08,208.750000,204.449997,207.949997,1147102
134.011459,203.350006,2013-02-11,207.399994,201.149994,201.149994,56809
132.034393,200.350006,2013-02-12,204.600006,195.000000,203.050003,164404
128.574554,195.100006,2013-02-13,202.649994,194.449997,202.649994,294907
127.058784,192.800003,2013-02-14,195.550003,191.500000,195.100006,192159
123.994339,188.149994,2013-02-15,192.800003,181.949997,192.800003,891987
126.465675,191.899994,2013-02-18,192.699997,186.699997,188.000000,820340
126.267975,191.600006,2013-02-19,197.250000,190.100006,197.250000,38966
129.200592,196.050003,2013-02-20,197.000000,192.350006,193.949997,214534
128.376831,194.800003,2013-02-21,197.000000,194.149994,196.399994,217043
126.267975,191.600006,2013-02-22,195.899994,188.000000,195.899994,685089
126.564522,192.050003,2013-02-25,199.000000,188.750000,199.000000,770743
126.564522,192.050003,2013-02-26,193.500000,189.399994,191.149994,324124
121.621902,184.550003,2013-02-27,196.850006,175.550003,196.850006,1815408
126.465675,191.899994,2013-02-28,194.899994,185.000000,185.000000,3208335
125.740746,190.800003,2013-03-01,194.649994,181.000000,181.000000,1026599
126.696342,192.250000,2013-03-04,192.850006,187.750000,187.750000,134278
128.904053,195.600006,2013-03-05,196.600006,191.050003,194.899994,421920
129.793732,196.949997,2013-03-06,197.949997,194.300003,196.550003,1128179
129.134689,195.949997,2013-03-07,197.500000,193.100006,196.899994,255566
127.651909,193.699997,2013-03-08,197.449997,191.500000,195.399994,237353
127.388313,193.300003,2013-03-11,194.000000,189.899994,193.699997,389005
125.114700,189.850006,2013-03-12,193.850006,189.300003,192.500000,416693
125.147652,189.899994,2013-03-13,191.600006,188.050003,188.050003,579140
125.081734,189.800003,2013-03-14,191.750000,189.800003,191.750000,104780
121.984337,185.100006,2013-03-15,190.399994,184.100006,190.000000,174015
120.929932,183.500000,2013-03-18,186.899994,179.649994,186.899994,101719
119.875511,181.899994,2013-03-19,185.800003,180.100006,185.000000,296981
118.557442,179.899994,2013-03-20,184.699997,176.149994,181.899994,560531
114.603333,173.899994,2013-03-21,180.350006,172.350006,178.500000,3101013
114.076126,173.100006,2013-03-22,175.899994,169.600006,175.899994,979167
112.197914,170.250000,2013-03-25,174.949997,166.699997,173.000000,649932
112.033165,170.000000,2013-03-26,172.000000,167.399994,168.000000,3053335
117.931366,178.949997,2013-03-28,185.000000,178.949997,185.000000,338460
118.063194,179.149994,2013-04-01,184.000000,174.050003,176.949997,172211
121.193527,183.899994,2013-04-02,186.000000,176.000000,177.000000,202990
119.513039,181.350006,2013-04-03,184.550003,180.500000,183.350006,890606
118.623344,180.000000,2013-04-04,182.000000,176.550003,180.000000,932854
119.282387,181.000000,2013-04-05,181.949997,178.250000,180.399994,209977
116.975807,177.500000,2013-04-08,183.250000,177.199997,177.550003,43044
116.712227,177.100006,2013-04-09,180.600006,173.649994,178.449997,783067
117.470055,178.250000,2013-04-10,180.000000,171.100006,171.100006,115618
115.394157,175.100006,2013-04-11,179.100006,173.649994,178.250000,12895
112.791046,171.149994,2013-04-12,175.899994,169.199997,173.000000,91657
108.144974,164.100006,2013-04-15,174.800003,159.250000,168.100006,783115
108.210854,164.199997,2013-04-16,167.850006,160.500000,167.850006,188869
112.000214,169.949997,2013-04-17,172.000000,162.949997,163.000000,1060339
112.197914,170.250000,2013-04-18,172.000000,164.300003,165.800003,556273
118.557442,179.899994,2013-04-22,181.899994,165.000000,165.000000,338085
115.394157,175.100006,2013-04-23,178.050003,173.149994,176.000000,50025
116.086113,176.149994,2013-04-25,178.100006,173.000000,173.000000,48718
117.634811,178.500000,2013-04-26,181.050003,176.100006,176.100006,1398468
117.832535,178.800003,2013-04-29,182.100006,174.750000,178.500000,904972
117.173523,177.800003,2013-04-30,183.000000,176.000000,179.899994,1928796
116.086113,176.149994,2013-05-02,179.250000,174.250000,179.000000,471516
115.756630,175.649994,2013-05-03,177.750000,175.050003,177.000000,39362
115.394157,175.100006,2013-05-06,179.000000,172.000000,175.000000,191634
115.723656,175.600006,2013-05-07,176.899994,172.300003,172.300003,104575
