adj_close,close,date,high,low,open,volume
10.172947,13.950000,2000-01-04,13.950000,13.107500,13.947500,1352000
9.616899,13.187500,2000-01-05,14.250000,13.005000,13.200000,3260000
9.595024,13.157500,2000-01-06,13.750000,12.977500,13.442500,1214000
9.006158,12.350000,2000-01-07,13.250000,12.150000,13.050000,1338000
9.161120,12.562500,2000-01-10,13.150000,12.500000,13.150000,974000
8.595961,11.787500,2000-01-11,12.550000,11.662500,12.550000,1678000
8.699875,11.930000,2000-01-12,12.437500,11.810000,12.142500,1172000
8.264156,11.332500,2000-01-13,12.075000,11.250000,12.027500,782000
8.183935,11.222500,2000-01-14,11.625000,11.000000,11.350000,798000
8.346192,11.445000,2000-01-17,11.950000,11.362500,11.597500,850000
8.187582,11.227500,2000-01-18,11.387500,11.110000,11.262500,1502000
8.843900,12.127500,2000-01-19,12.127500,11.945000,12.045000,430000
9.551268,13.097500,2000-01-20,13.097500,12.750000,13.050000,318000
9.055383,12.417500,2000-01-21,13.735000,12.152500,13.735000,3354000
8.792854,12.057500,2000-01-24,12.500000,12.005000,12.252500,1206000
8.769154,12.025000,2000-01-25,12.142500,11.775000,11.855000,1506000
8.769154,12.025000,2000-01-26,12.025000,12.025000,12.025000,0
8.944175,12.265000,2000-01-27,12.740000,11.100000,11.100000,1496000
8.993395,12.332500,2000-01-28,12.500000,12.175000,12.350000,1026000
8.785563,12.047500,2000-01-31,12.500000,12.002500,12.500000,1150000
8.708992,11.942500,2000-02-01,12.500000,11.810000,12.185000,1758000
9.403592,12.895000,2000-02-02,12.900000,12.400000,12.847500,3424000
9.062675,12.427500,2000-02-03,13.450000,12.250000,13.450000,1516000
8.916827,12.227500,2000-02-04,12.745000,12.115000,12.745000,1310000
8.976988,12.310000,2000-02-07,12.750000,12.100000,12.200000,1796000
8.825671,12.102500,2000-02-08,12.315000,11.932500,12.250000,1848000
8.741808,11.987500,2000-02-09,12.500000,11.930000,12.500000,1040000
8.648827,11.860000,2000-02-10,11.997500,11.625000,11.995000,586000
8.461048,11.602500,2000-02-11,11.950000,11.465000,11.950000,770000
7.948756,10.900000,2000-02-14,11.900000,10.755000,11.900000,770000
7.928701,10.872500,2000-02-15,11.000000,10.462500,10.675000,1428000
7.921411,10.862500,2000-02-16,11.097500,10.800000,11.000000,968000
8.555851,11.732500,2000-02-17,11.732500,10.752500,10.850000,1014000
8.256862,11.322500,2000-02-18,12.150000,11.060000,11.950000,1132000
7.970630,10.930000,2000-02-21,11.297500,10.900000,11.297500,826000
7.954223,10.907500,2000-02-22,11.250000,10.655000,10.750000,1596000
7.864892,10.785000,2000-02-23,11.725000,10.652500,11.400000,1164000
7.781027,10.670000,2000-02-24,11.045000,10.565000,10.925000,532000
7.496625,10.280000,2000-02-25,10.750000,10.215000,10.500000,528000
7.472921,10.247500,2000-02-28,10.450000,9.752500,10.025000,656000
7.059077,9.680000,2000-02-29,10.920000,9.430000,10.375000,1634000
7.372651,10.110000,2000-03-01,10.225000,9.117500,9.850000,738000
6.783787,9.302500,2000-03-02,10.150000,9.302500,10.150000,720000
6.242325,8.560000,2000-03-03,8.862500,8.560000,8.850000,672000
5.826656,7.990000,2000-03-06,8.997500,7.952500,8.500000,866000
5.434687,7.452500,2000-03-07,7.750000,7.375000,7.750000,822000
5.235968,7.180000,2000-03-08,7.590000,6.907500,7.512500,768000
5.197683,7.127500,2000-03-09,7.445000,6.900000,7.150000,426000
5.119289,7.020000,2000-03-10,7.200000,6.850000,7.002500,370000
5.489380,7.527500,2000-03-13,7.582500,7.002500,7.350000,896000
5.604236,7.685000,2000-03-14,7.800000,7.250000,7.600000,1688000
5.804778,7.960000,2000-03-15,8.250000,7.750000,7.750000,974000
5.538604,7.595000,2000-03-16,7.850000,7.500000,7.650000,946000
5.538604,7.595000,2000-03-17,7.595000,7.595000,7.595000,0
5.538604,7.595000,2000-03-20,7.595000,7.595000,7.595000,0
5.168513,7.087500,2000-03-21,7.575000,7.062500,7.500000,760000
5.359939,7.350000,2000-03-22,7.442500,7.200000,7.365000,486000
5.265138,7.220000,2000-03-23,7.382500,7.155000,7.382500,282000
5.250552,7.200000,2000-03-24,7.237500,6.950000,7.150000,238000
5.210444,7.145000,2000-03-27,7.250000,7.002500,7.002500,308000
5.126581,7.030000,2000-03-28,7.100000,6.970000,7.020000,412000
5.144813,7.055000,2000-03-29,7.190000,7.050000,7.150000,254000
5.006257,6.865000,2000-03-30,7.010000,6.765000,7.010000,262000
5.407340,7.415000,2000-03-31,7.415000,6.727500,6.752500,856000
5.474796,7.507500,2000-04-03,8.010000,7.307500,8.010000,1272000
5.037249,6.907500,2000-04-04,7.205000,6.907500,7.205000,986000
5.203152,7.135000,2000-04-05,7.325000,6.955000,7.200000,1182000
5.133874,7.040000,2000-04-06,7.235000,6.900000,7.235000,638000
5.545897,7.605000,2000-04-07,7.605000,7.135000,7.245000,1706000
5.713623,7.835000,2000-04-10,8.192500,7.685000,7.875000,1752000
5.646167,7.742500,2000-04-11,7.800000,7.400000,7.500000,820000
