adj_close,close,date,high,low,open,volume
10.241832,16.990000,2002-07-01,17.000000,16.680000,16.700001,223670
10.651759,16.629999,2002-07-02,16.700001,16.000000,16.280001,748555
10.357121,16.170000,2002-07-03,16.570000,16.059999,16.570000,387850
10.196994,15.920000,2002-07-04,16.240000,15.840000,16.240000,188650
10.293072,16.070000,2002-07-05,16.200001,15.900000,16.200001,275475
10.241832,15.990000,2002-07-08,16.480000,15.800000,16.000000,236070
10.261045,16.020000,2002-07-09,16.320000,15.900000,16.320000,198935
10.248238,16.000000,2002-07-10,16.180000,15.900000,16.090000,161410
10.241832,15.990000,2002-07-11,16.600000,15.800000,15.900000,402230
10.203399,15.930000,2002-07-12,16.360001,15.840000,16.360001,130260
9.793471,15.290000,2002-07-15,16.000000,15.160000,16.000000,445625
9.723014,15.180000,2002-07-16,15.600000,15.100000,15.600000,243535
9.684582,15.120000,2002-07-17,15.300000,14.900000,15.110000,233110
9.799875,15.300000,2002-07-18,17.000000,15.300000,17.000000,115665
9.895954,15.450000,2002-07-19,15.540000,15.320000,15.400000,111775
9.543671,14.900000,2002-07-22,16.400000,14.200000,16.360001,578885
9.742229,15.210000,2002-07-23,15.360000,14.440000,14.440000,158915
9.844711,15.370000,2002-07-24,15.550000,15.110000,15.300000,153090
9.844711,15.370000,2002-07-25,15.980000,15.240000,15.940000,157195
9.857522,15.390000,2002-07-26,15.620000,15.000000,15.400000,418445
9.249033,14.440000,2002-07-29,15.200000,14.000000,15.200000,557490
8.954394,13.980000,2002-07-30,14.940000,13.950000,14.720000,645035
9.165767,14.310000,2002-07-31,14.400000,13.600000,13.600000,175245
9.242628,14.430000,2002-08-01,14.760000,14.230000,14.560000,284885
9.076096,14.170000,2002-08-02,14.380000,14.100000,14.100000,138610
9.178576,14.330000,2002-08-05,14.490000,14.150000,14.400000,483800
9.024851,14.090000,2002-08-06,14.500000,14.000000,14.400000,350215
9.095309,14.200000,2002-08-07,14.350000,14.110000,14.350000,127170
8.922371,13.930000,2002-08-08,14.360000,13.850000,14.250000,334215
9.108120,14.220000,2002-08-09,14.300000,13.910000,14.100000,172495
9.287463,14.500000,2002-08-12,14.600000,14.200000,14.400000,121055
9.402757,14.680000,2002-08-13,14.760000,14.400000,14.580000,76935
9.338705,14.580000,2002-08-14,14.780000,14.500000,14.780000,60285
9.338705,14.580000,2002-08-15,14.580000,14.580000,14.580000,0
