adj_close,close,date,high,low,open,volume
6.563207,8.055000,2001-09-10,8.430000,7.250000,7.500000,320210
6.363581,7.810000,2001-09-11,8.390000,7.775000,8.225000,175410
6.000996,7.365000,2001-09-12,7.500000,7.235000,7.235000,80530
6.025441,7.395000,2001-09-13,7.500000,7.255000,7.400000,78400
5.609892,6.885000,2001-09-14,7.080000,6.885000,6.905000,60780
5.165828,6.340000,2001-09-17,6.500000,6.340000,6.500000,135960
5.328787,6.540000,2001-09-18,6.810000,6.350000,6.350000,71170
5.581375,6.850000,2001-09-19,6.950000,6.700000,6.700000,22940
5.593596,6.865000,2001-09-20,7.000000,6.700000,6.995000,21260
5.707669,7.005000,2001-09-21,7.200000,6.420000,6.425000,55310
5.797297,7.115000,2001-09-24,7.280000,7.050000,7.280000,29110
5.634337,6.915000,2001-09-25,7.300000,6.900000,7.300000,22860
5.638410,6.920000,2001-09-26,7.300000,6.900000,7.300000,29330
5.707669,7.005000,2001-09-27,7.075000,6.905000,7.040000,31790
5.271750,6.470000,2001-09-28,7.045000,6.440000,7.010000,113420
5.495821,6.745000,2001-10-01,6.840000,6.600000,6.610000,68780
5.495821,6.745000,2001-10-02,6.745000,6.745000,6.745000,0
5.589524,6.860000,2001-10-03,6.900000,6.700000,6.700000,35470
5.345083,6.560000,2001-10-04,6.980000,6.335000,6.980000,88370
5.434711,6.670000,2001-10-05,6.800000,6.540000,6.790000,39090
5.231011,6.420000,2001-10-08,6.700000,6.405000,6.590000,52270
5.239160,6.430000,2001-10-09,6.540000,6.385000,6.500000,50410
5.194345,6.375000,2001-10-10,6.615000,6.300000,6.615000,143850
5.145458,6.315000,2001-10-11,6.495000,6.260000,6.495000,198430
5.023238,6.165000,2001-10-12,6.400000,6.110000,6.400000,102500
5.121013,6.285000,2001-10-15,6.380000,6.270000,6.375000,99900
5.210641,6.395000,2001-10-16,6.445000,6.300000,6.300000,172820
5.308416,6.515000,2001-10-17,6.600000,6.405000,6.600000,113200
5.235085,6.425000,2001-10-18,6.550000,6.410000,6.500000,91090
5.173974,6.350000,2001-10-19,6.750000,6.335000,6.750000,88370
5.398044,6.625000,2001-10-22,6.700000,6.575000,6.620000,159580
5.410266,6.640000,2001-10-23,6.840000,6.580000,6.700000,167420
5.365454,6.585000,2001-10-24,6.900000,6.480000,6.690000,174210
5.251382,6.445000,2001-10-25,6.610000,6.410000,6.600000,57820
5.251382,6.445000,2001-10-26,6.445000,6.445000,6.445000,0
5.275825,6.475000,2001-10-29,6.625000,6.460000,6.600000,432490
5.182124,6.360000,2001-10-30,6.525000,6.315000,6.400000,445970
5.133235,6.300000,2001-10-31,6.500000,6.260000,6.500000,295170
5.161752,6.335000,2001-11-01,6.500000,6.305000,6.475000,376880
5.385824,6.610000,2001-11-02,6.785000,6.355000,6.435000,326620
5.805445,7.125000,2001-11-05,7.130000,6.825000,6.825000,1424210
6.273954,7.700000,2001-11-06,7.700000,7.170000,7.700000,1588900
6.779129,8.320000,2001-11-07,8.320000,7.980000,7.980000,405700
7.166159,8.795000,2001-11-08,8.950000,8.020000,8.700000,2919050
7.162086,8.790000,2001-11-09,9.300000,8.445000,8.750000,2193640
7.435041,9.125000,2001-11-12,9.450000,9.005000,9.200000,912360
7.308749,8.970000,2001-11-13,9.185000,8.670000,9.100000,415850
7.333192,9.000000,2001-11-14,9.590000,8.855000,9.480000,756810
7.149863,8.775000,2001-11-15,9.000000,8.680000,9.000000,779980
7.149863,8.775000,2001-11-16,8.775000,8.775000,8.775000,0
7.687629,9.435000,2001-11-19,9.435000,8.680000,8.900000,1569010
7.862811,9.650000,2001-11-20,10.100000,9.300000,9.880000,1598210
7.614297,9.345000,2001-11-21,9.730000,9.315000,9.475000,539930
7.549115,9.265000,2001-11-22,9.700000,9.200000,9.300000,678680
7.577634,9.300000,2001-11-23,9.565000,8.910000,9.400000,1089270
8.188732,10.050000,2001-11-26,10.050000,9.500000,9.700000,939570
8.844643,10.855000,2001-11-27,10.855000,10.275000,10.490000,1600560
8.274284,10.155000,2001-11-28,11.000000,10.100000,10.910000,1423080
8.282434,10.165000,2001-11-29,10.435000,9.800000,10.250000,481690
8.282434,10.165000,2001-11-30,10.165000,10.165000,10.165000,0
8.926125,10.955000,2001-12-03,10.955000,10.500000,10.500000,1032270
9.264267,11.370000,2001-12-04,11.550000,11.005000,11.005000,1083090
9.586114,11.765000,2001-12-05,12.000000,10.940000,11.595000,1539780
9.089086,11.155000,2001-12-06,12.000000,11.050000,11.990000,916950
9.280563,11.390000,2001-12-07,11.685000,10.900000,11.100000,706140
10.026106,12.305000,2001-12-10,12.315000,11.805000,12.000000,1217290
9.810184,12.040000,2001-12-11,12.935000,11.900000,12.935000,1128840
9.569814,11.745000,2001-12-12,12.385000,11.675000,12.290000,433010
9.036123,11.090000,2001-12-13,11.800000,10.865000,11.700000,766680
9.137973,11.215000,2001-12-14,11.490000,10.600000,11.000000,690170
9.137973,11.215000,2001-12-17,11.215000,11.215000,11.215000,0
9.272415,11.380000,2001-12-18,12.100000,10.905000,11.300000,829430
8.608353,10.565000,2001-12-19,11.600000,10.540000,11.300000,557930
8.046143,9.875000,2001-12-20,10.565000,9.725000,10.490000,497910
7.406527,9.090000,2001-12-21,9.795000,9.090000,9.300000,427790
7.308749,8.970000,2001-12-24,9.200000,8.375000,9.200000,704860
7.308749,8.970000,2001-12-25,8.970000,8.970000,8.970000,0
7.263937,8.915000,2001-12-26,9.430000,8.805000,9.040000,366820
7.178381,8.810000,2001-12-27,9.000000,8.600000,8.890000,157090
7.451339,9.145000,2001-12-28,9.200000,8.700000,9.000000,252280
7.744667,9.505000,2001-12-31,9.770000,9.210000,9.425000,1492980
7.435041,9.125000,2002-01-01,9.925000,9.035000,9.705000,1832540
7.373931,9.050000,2002-01-02,9.390000,9.010000,9.105000,1224290
7.479857,9.180000,2002-01-03,9.325000,9.120000,9.200000,683560
7.585779,9.310000,2002-01-04,9.470000,9.245000,9.310000,1206140
8.209104,10.075000,2002-01-07,10.320000,9.325000,9.630000,2525780
8.062440,9.895000,2002-01-08,10.525000,9.825000,10.300000,1851160
7.561337,9.280000,2002-01-09,11.800000,9.205000,11.800000,1483740
7.671334,9.415000,2002-01-10,9.605000,9.175000,9.470000,902230
7.483929,9.185000,2002-01-11,9.600000,9.000000,9.420000,1258430
8.869088,10.885000,2002-01-14,11.025000,9.690000,9.690000,4819130
8.905757,10.930000,2002-01-15,11.525000,10.700000,11.295000,6359850
8.983160,11.025000,2002-01-16,11.460000,10.905000,11.080000,3383490
9.378338,11.510000,2002-01-17,12.090000,10.800000,10.950000,7889960
8.583911,10.535000,2002-01-18,11.475000,10.430000,11.400000,4634520
9.125752,11.200000,2002-01-21,11.450000,10.410000,10.600000,3785180
9.105381,11.175000,2002-01-22,12.400000,10.800000,12.400000,2429940
8.820200,10.825000,2002-01-23,11.350000,10.710000,11.200000,1643350
9.020374,10.815000,2002-01-24,11.195000,10.700000,11.180000,1961870
9.099613,10.910000,2002-01-25,11.150000,10.730000,10.980000,1491360
8.882757,10.650000,2002-01-28,11.000000,10.565000,11.000000,1043940
8.861906,10.625000,2002-01-29,10.870000,10.590000,10.770000,665310
8.607515,10.320000,2002-01-30,10.650000,10.035000,10.650000,1883470
8.770157,10.515000,2002-01-31,10.590000,10.310000,10.390000,1250060
8.720112,10.455000,2002-02-01,10.740000,10.410000,10.650000,1435450
8.569982,10.275000,2002-02-04,10.500000,10.220000,10.500000,1023930
8.724284,10.460000,2002-02-05,10.900000,10.100000,10.100000,4317700
8.807690,10.560000,2002-02-06,10.850000,10.500000,10.595000,3012810
8.540792,10.240000,2002-02-07,10.670000,10.150000,10.650000,2433000
8.595006,10.305000,2002-02-08,10.465000,10.165000,10.390000,955390
8.565811,10.270000,2002-02-11,10.500000,10.210000,10.410000,812300
8.745135,10.485000,2002-02-12,10.895000,10.265000,10.350000,1820680
8.703433,10.435000,2002-02-13,10.865000,10.360000,10.675000,1463930
8.707604,10.440000,2002-02-14,10.600000,10.330000,10.595000,669680
8.578325,10.285000,2002-02-15,10.495000,10.215000,10.425000,626150
8.841054,10.600000,2002-02-18,10.780000,10.110000,10.110000,1373310
9.070419,10.875000,2002-02-19,11.400000,10.535000,10.600000,4496390
10.000398,11.990000,2002-02-20,12.250000,10.780000,10.780000,7371290
9.946186,11.925000,2002-02-21,12.640000,11.800000,12.450000,9184040
10.233937,12.270000,2002-02-22,12.490000,11.690000,11.950000,7087770
10.930378,13.105000,2002-02-25,13.580000,12.600000,12.600000,12595080
10.859485,13.020000,2002-02-26,13.590000,12.780000,13.400000,6375960
10.525857,12.620000,2002-02-27,13.400000,12.510000,13.200000,3042590
9.491620,11.380000,2002-02-28,13.005000,11.215000,12.745000,3820200
9.958696,11.940000,2002-03-01,12.050000,11.400000,11.490000,2156980
10.117169,12.130000,2002-03-04,12.380000,12.045000,12.200000,1635260
10.275640,12.320000,2002-03-05,12.600000,12.200000,12.250000,1469790
10.133851,12.150000,2002-03-06,12.580000,12.100000,12.500000,1104060
10.142190,12.160000,2002-03-07,12.450000,11.965000,12.100000,828820
10.046273,12.045000,2002-03-08,12.500000,12.005000,12.345000,678080
9.967035,11.950000,2002-03-11,12.320000,11.880000,12.200000,818940
9.650094,11.570000,2002-03-12,12.190000,11.520000,12.080000,584690
9.679284,11.605000,2002-03-13,11.790000,11.500000,11.530000,576140
10.121338,12.135000,2002-03-14,12.685000,11.635000,11.745000,2781130
10.121338,12.135000,2002-03-15,12.390000,11.910000,12.390000,1070250
10.146359,12.165000,2002-03-18,12.490000,12.100000,12.285000,916760
9.908652,11.880000,2002-03-19,12.345000,11.810000,12.300000,491060
9.746010,11.685000,2002-03-20,12.000000,11.600000,12.000000,499160
9.771033,11.715000,2002-03-21,11.890000,11.650000,11.750000,305230
9.541664,11.440000,2002-03-22,11.750000,11.400000,11.750000,434950
