adj_close,close,date,high,low,open,volume
42.294945,67.250000,2002-07-01,68.125000,58.125000,58.125000,351744
41.823254,66.500000,2002-07-02,67.250000,59.750000,61.250000,191040
43.710014,69.500000,2002-07-03,71.875000,65.625000,68.125000,988736
43.002476,68.375000,2002-07-04,71.250000,68.125000,71.250000,578112
42.766621,68.000000,2002-07-05,70.250000,67.125000,70.250000,351488
43.081097,68.500000,2002-07-08,71.000000,67.625000,68.000000,1232000
42.294945,67.250000,2002-07-09,73.125000,66.375000,68.750000,7625536
40.172333,63.875000,2002-07-10,69.875000,62.625000,66.750000,3665280
38.993111,62.000000,2002-07-11,64.125000,61.250000,63.000000,2383168
40.722633,64.750000,2002-07-12,65.500000,62.000000,63.750000,1711232
40.486794,64.375000,2002-07-15,65.000000,56.250000,56.250000,983168
40.408173,64.250000,2002-07-16,65.125000,63.375000,64.500000,896192
39.150337,62.250000,2002-07-17,64.125000,61.250000,64.125000,459712
39.386189,62.625000,2002-07-18,64.375000,62.250000,64.000000,625216
38.678638,61.500000,2002-07-19,62.500000,60.625000,62.250000,530816
36.791882,58.500000,2002-07-22,60.750000,57.625000,57.875000,558208
37.499424,59.625000,2002-07-23,60.125000,56.250000,57.750000,1331840
35.062351,55.750000,2002-07-24,59.125000,55.250000,58.750000,585472
35.691265,56.750000,2002-07-25,59.250000,55.375000,56.500000,901312
32.782509,52.125000,2002-07-26,55.625000,51.375000,55.625000,764288
32.782509,52.125000,2002-07-29,53.375000,49.375000,53.125000,883456
30.581289,48.625000,2002-07-30,54.375000,46.375000,54.375000,475648
29.166210,46.375000,2002-07-31,47.375000,43.750000,45.625000,1733312
30.266829,48.125000,2002-08-01,48.375000,46.250000,46.875000,1915840
31.603283,50.250000,2002-08-02,52.375000,45.000000,46.250000,849856
31.524673,50.125000,2002-08-05,51.250000,49.625000,50.250000,371264
30.817127,49.000000,2002-08-06,49.875000,45.250000,48.750000,696640
31.288818,49.750000,2002-08-07,51.250000,48.750000,49.500000,520896
30.502674,48.500000,2002-08-08,50.625000,47.125000,50.000000,699776
30.502674,48.500000,2002-08-09,49.375000,47.250000,48.125000,374912
31.052977,49.375000,2002-08-12,50.625000,48.750000,49.125000,397568
30.659901,48.750000,2002-08-13,49.875000,48.250000,49.500000,152512
31.052977,49.375000,2002-08-14,49.750000,47.500000,47.500000,309696
31.052977,49.375000,2002-08-15,49.375000,49.375000,49.375000,0
33.175594,52.750000,2002-08-16,53.625000,49.750000,50.000000,1586944
32.861122,52.250000,2002-08-19,54.375000,51.875000,53.375000,692416
34.197582,54.375000,2002-08-20,55.250000,52.875000,53.125000,913920
33.175594,52.750000,2002-08-21,54.750000,52.250000,54.750000,1915200
