adj_close,close,date,high,low,open,volume
105.299065,282.816864,2008-03-03,283.732849,271.615173,283.732849,68692
100.034241,268.676422,2008-03-04,286.959839,268.676422,286.959839,24510
98.449745,264.420685,2008-03-05,266.334625,255.243103,261.312805,21583
93.620880,251.451126,2008-03-07,269.024872,251.200043,269.024872,29311
95.113823,255.460876,2008-03-10,261.261566,226.775146,226.775146,50192
104.625565,281.007996,2008-03-11,281.007996,256.854675,262.363281,42386
115.088379,309.109558,2008-03-12,309.109558,309.108276,309.108276,15182
103.579544,278.198608,2008-03-13,330.500885,278.198608,330.500885,137541
112.586670,302.390350,2008-03-14,306.019623,256.342255,279.273438,126690
101.346352,272.200623,2008-03-17,290.777435,272.151947,279.017212,55188
98.523689,264.619263,2008-03-18,286.959839,255.957932,281.809937,65999
90.851120,244.011948,2008-03-19,287.216064,240.328873,281.323151,45782
84.735390,227.586060,2008-03-24,256.086060,220.087952,255.957932,55461
90.099411,241.992981,2008-03-25,245.965591,207.536026,207.536026,56593
88.971848,238.964539,2008-03-26,251.064255,233.667313,251.064255,32394
90.704193,243.617386,2008-03-27,247.246658,230.592743,232.642456,29779
98.132080,263.567505,2008-03-28,267.979492,230.592743,243.915878,36297
98.874733,265.562134,2008-03-31,289.924255,263.900574,267.979492,118377
104.374672,280.334167,2008-04-01,292.058502,266.206512,275.302094,80128
103.166046,277.087921,2008-04-02,304.894836,274.430969,294.646271,42698
98.772186,265.286682,2008-04-03,276.839386,261.338440,276.839386,30482
97.187706,261.030975,2008-04-04,289.522003,258.776306,273.892944,74117
106.906433,287.134064,2008-04-07,287.134064,267.743805,271.330780,195539
117.597282,315.847992,2008-04-08,315.847992,299.744934,309.762909,74273
129.357025,347.432800,2008-04-09,347.432800,347.432800,347.432800,70175
135.827118,364.810516,2008-04-10,364.810516,364.810516,364.810516,28690
142.619186,383.052979,2008-04-11,383.052979,383.052979,383.052979,20045
135.488510,363.900970,2008-04-15,402.204987,363.900970,402.204987,262448
128.715500,345.709747,2008-04-16,351.013397,345.709747,347.170166,117472
124.289192,333.821411,2008-04-17,363.004211,331.797333,348.451263,236017
125.028473,335.807068,2008-04-21,345.889099,332.565979,342.558319,56960
119.781807,321.715302,2008-04-22,336.921600,319.844940,336.921600,52881
115.565384,310.390625,2008-04-23,324.290253,307.200775,321.548767,56983
117.010605,314.272278,2008-04-24,323.854675,307.969421,317.705536,32909
122.863029,329.991028,2008-04-25,329.991028,304.894836,322.829834,63462
129.006424,346.491211,2008-04-28,346.491211,338.202698,346.491211,26602
128.443604,344.979553,2008-04-29,363.824097,339.483765,363.824097,214683
134.868423,362.235565,2008-04-30,362.235565,348.963684,348.963684,83028
141.612808,380.349915,2008-05-02,380.349915,380.349915,380.349915,15838
145.886459,391.828308,2008-05-05,399.373810,374.072662,399.373810,538202
140.863937,378.338623,2008-05-06,397.131927,375.379364,397.131927,182105
135.354919,363.542267,2008-05-07,385.602295,361.454132,384.321228,92133
142.123138,381.720642,2008-05-08,381.720642,348.451263,362.517395,103335
137.553757,369.447998,2008-05-09,400.808624,366.386230,394.262329,265937
141.350433,379.645325,2008-05-12,387.908234,354.882233,368.948395,153098
139.146835,373.726776,2008-05-13,395.850861,370.229462,386.524658,128556
