adj_close,close,date,high,low,open,volume
367.633331,367.633331,2021-11-10,374.666656,333.333344,336.333344,205947786
368.924988,368.924988,2021-11-11,373.450012,340.625000,368.950012,43138662
393.049988,393.049988,2021-11-12,401.658325,363.350006,374.666656,34978218
380.375000,380.375000,2021-11-15,388.733337,364.166656,376.833344,20735118
372.791656,372.791656,2021-11-16,385.000000,371.333344,378.000000,9042750
353.841675,353.841675,2021-11-17,376.500000,350.166656,373.333344,16172724
354.208344,354.208344,2021-11-18,363.000000,348.333344,351.666656,11958912
349.616669,349.616669,2021-11-22,361.991669,347.000000,355.875000,10147740
355.816681,355.816681,2021-11-23,357.883331,342.950012,345.000000,5038836
374.583344,374.583344,2021-11-24,386.466675,354.341675,358.333344,15051264
399.591675,399.591675,2021-11-25,405.191681,374.500000,374.575012,15805686
406.183319,406.183319,2021-11-26,428.950012,384.666656,397.500000,22331574
414.399994,414.399994,2021-11-29,422.833344,391.666656,403.500000,10442538
406.741669,406.741669,2021-11-30,426.333344,396.858337,413.000000,5682054
415.516663,415.516663,2021-12-01,422.500000,410.000000,412.500000,4443384
406.366669,406.366669,2021-12-02,426.666656,402.033325,422.500000,6473622
387.450012,387.450012,2021-12-03,410.833344,380.333344,406.575012,5387400
365.200012,365.200012,2021-12-06,392.333344,362.033325,388.333344,11374020
358.983337,358.983337,2021-12-07,376.274994,354.166656,371.333344,12719388
363.808319,363.808319,2021-12-08,374.833344,337.758331,341.500000,50120532
360.575012,360.575012,2021-12-09,376.516663,358.500000,362.333344,19286688
352.466675,352.466675,2021-12-10,363.208344,350.000000,360.583344,11541822
346.958344,346.958344,2021-12-13,359.966675,345.016663,354.166656,8443338
335.933319,335.933319,2021-12-14,346.958344,330.000000,346.666656,12100380
354.799988,354.799988,2021-12-15,357.966675,343.666656,344.833344,15262116
360.991669,360.991669,2021-12-16,362.500000,338.666656,356.483337,14125398
349.799988,349.799988,2021-12-17,361.666656,344.200012,358.975006,7526790
325.450012,325.450012,2021-12-20,344.066681,318.341675,343.333344,10340538
327.241669,327.241669,2021-12-21,342.975006,325.350006,331.333344,8763210
335.075012,335.075012,2021-12-22,337.333344,329.391663,331.658325,4920174
353.591675,353.591675,2021-12-23,355.666656,335.833344,338.299988,8451402
340.808319,340.808319,2021-12-24,354.166656,338.000000,353.333344,5864178
351.141663,351.141663,2021-12-27,354.000000,331.666656,340.000000,5257260
358.875000,358.875000,2021-12-28,360.916656,351.666656,351.666656,3945216
360.000000,360.000000,2021-12-29,362.916656,350.549988,356.666656,5609364
351.274994,351.274994,2021-12-30,363.333344,349.041656,356.633331,3650364
350.258331,350.258331,2021-12-31,355.291656,348.383331,353.991669,2986392
347.708344,347.708344,2022-01-03,355.816681,346.500000,350.833344,3254466
352.325012,352.325012,2022-01-04,355.833344,349.258331,350.000000,3788256
340.500000,340.500000,2022-01-05,353.725006,339.166656,353.500000,5428572
333.841675,333.841675,2022-01-06,340.000000,332.549988,340.000000,5545002
334.225006,334.225006,2022-01-07,339.333344,332.783325,335.000000,3459012
334.241669,334.241669,2022-01-10,339.166656,333.758331,337.500000,1894050
330.333344,330.333344,2022-01-11,336.666656,326.758331,334.241669,3510468
335.141663,335.141663,2022-01-12,337.833344,331.250000,333.166656,2396232
343.258331,343.258331,2022-01-13,344.666656,333.958344,337.325012,3681768
342.941681,342.941681,2022-01-14,346.166656,339.691681,343.141663,1862874
345.216675,345.216675,2022-01-17,348.166656,341.658325,342.666656,1681572
342.591675,342.591675,2022-01-18,347.333344,341.666656,345.500000,1775244
337.633331,337.633331,2022-01-19,342.825012,334.500000,339.258331,2596038
341.808319,341.808319,2022-01-20,344.166656,337.500000,337.500000,1444290
333.049988,333.049988,2022-01-21,342.375000,323.100006,337.500000,3437316
289.325012,289.325012,2022-01-24,331.366669,281.833344,329.166656,22751514
276.774994,276.774994,2022-01-25,290.799988,267.666656,288.166656,21643746
270.299988,270.299988,2022-01-27,279.000000,261.833344,273.766663,9156540
273.933319,273.933319,2022-01-28,282.091675,270.166656,273.500000,5267652
275.258331,275.258331,2022-01-31,279.833344,265.833344,279.833344,6552606
283.950012,283.950012,2022-02-01,288.008331,276.716675,279.166656,8772150
303.741669,303.741669,2022-02-02,306.166656,281.566681,285.424988,11048688
306.033325,306.033325,2022-02-03,308.000000,291.683319,301.666656,8550384
313.058319,313.058319,2022-02-04,314.833344,299.500000,304.166656,6154056
315.866669,315.866669,2022-02-07,319.616669,307.683319,314.141663,6520752
310.316681,310.316681,2022-02-08,317.375000,305.000000,316.000000,3837984
308.308319,308.308319,2022-02-09,312.000000,307.500000,310.350006,2806146
