adj_close,close,date,high,low,open,volume
236.307327,366.162506,2006-04-24,375.725006,250.000000,250.000000,46342060
211.452850,327.649994,2006-04-25,370.000000,310.250000,365.000000,14368480
209.839371,325.149994,2006-04-26,337.500000,319.250000,337.500000,2515764
214.276291,332.024994,2006-04-27,341.725006,326.000000,327.500000,2298448
205.475189,318.387512,2006-04-28,325.000000,280.000000,325.000000,1392384
210.767090,326.587494,2006-05-02,333.750000,308.750000,320.000000,1412796
209.702240,324.937500,2006-05-03,333.000000,321.312500,327.250000,607716
205.362213,318.212494,2006-05-04,327.312500,314.524994,323.750000,340108
203.724640,315.674988,2006-05-05,321.462494,313.750000,316.250000,216780
207.403198,321.375000,2006-05-08,324.700012,313.750000,317.000000,242040
223.504929,346.325012,2006-05-09,352.250000,325.000000,325.000000,2433960
238.993637,370.325012,2006-05-10,373.674988,341.250000,346.250000,2342548
230.684586,357.450012,2006-05-11,405.000000,344.000000,389.487488,2951684
222.746643,345.149994,2006-05-12,357.250000,340.500000,349.750000,1212732
207.588699,321.662506,2006-05-15,357.450012,312.000000,357.450012,1568976
214.542480,332.437500,2006-05-16,342.100006,301.250000,325.000000,1090132
207.604889,321.687500,2006-05-17,347.500000,319.250000,335.000000,671508
197.609741,306.200012,2006-05-18,327.237488,300.000000,322.500000,927720
192.640457,298.500000,2006-05-19,322.500000,292.000000,322.500000,406928
186.275665,288.637512,2006-05-22,310.750000,260.012512,298.500000,711036
187.050095,289.837494,2006-05-23,292.500000,275.250000,287.500000,251996
185.476959,287.399994,2006-05-24,296.100006,284.250000,287.500000,250584
188.945786,292.774994,2006-05-25,299.750000,275.000000,287.399994,326728
195.762482,303.337494,2006-05-26,307.500000,292.562500,292.562500,226212
197.513031,306.049988,2006-05-29,313.750000,302.500000,303.737488,165596
192.874496,298.862488,2006-05-30,315.000000,296.524994,315.000000,101864
195.318863,302.649994,2006-05-31,308.750000,285.750000,290.500000,195796
198.101822,306.962494,2006-06-01,310.500000,301.750000,308.750000,206464
189.930038,294.299988,2006-06-02,304.950012,285.250000,298.774994,162836
186.662842,289.237488,2006-06-05,324.975006,287.500000,324.975006,56992
188.752258,292.475006,2006-06-06,295.000000,275.750000,281.750000,110124
175.836929,272.462494,2006-06-07,291.250000,266.250000,288.750000,182876
143.004089,221.587494,2006-06-08,268.750000,215.000000,268.750000,398004
165.486908,256.424988,2006-06-09,262.250000,212.500000,222.500000,479992
153.249252,237.462494,2006-06-12,256.000000,232.750000,256.000000,184828
145.432251,225.350006,2006-06-13,234.625000,205.000000,225.000000,273492
145.666199,225.712494,2006-06-14,241.225006,225.000000,235.000000,233652
150.998581,233.975006,2006-06-15,240.000000,230.000000,234.574997,127296
161.356537,250.024994,2006-06-16,256.250000,236.250000,239.500000,232484
156.855148,243.050003,2006-06-19,250.000000,240.000000,245.000000,78292
152.724869,236.649994,2006-06-20,243.750000,232.500000,232.500000,95876
154.991714,240.162506,2006-06-21,245.000000,237.500000,237.500000,49568
