adj_close,close,date,high,low,open,volume
153.777390,155.274994,2015-08-11,159.250000,147.500000,147.500000,36881400
153.257446,154.750000,2015-08-12,157.000000,152.500000,153.699997,3625276
156.624664,158.149994,2015-08-13,163.500000,154.100006,155.699997,4183528
158.481552,160.024994,2015-08-14,160.699997,156.550003,159.750000,1331368
171.876129,173.550003,2015-08-17,175.000000,156.149994,159.699997,6994858
181.779694,183.550003,2015-08-18,186.449997,170.625000,174.000000,5721858
175.441391,177.149994,2015-08-19,183.100006,175.800003,181.800003,2192628
167.790894,169.425003,2015-08-20,177.449997,168.100006,175.975006,1280508
170.464874,172.125000,2015-08-21,174.375000,162.500000,165.000000,1619888
154.470642,155.975006,2015-08-24,167.899994,153.000000,165.449997,1543924
153.604080,155.100006,2015-08-25,162.500000,147.824997,162.500000,1778930
157.763565,159.300003,2015-08-26,163.500000,153.750000,156.500000,918764
159.620499,161.175003,2015-08-27,163.699997,159.199997,162.000000,598558
161.997345,163.574997,2015-08-28,168.500000,161.274994,163.500000,719676
162.393478,163.975006,2015-08-31,166.500000,159.850006,163.500000,400304
158.630142,160.175003,2015-09-01,166.000000,157.824997,163.000000,449636
158.852966,160.399994,2015-09-02,164.000000,159.024994,162.000000,338690
166.231125,167.850006,2015-09-03,170.774994,161.649994,162.500000,912786
161.328857,162.899994,2015-09-04,168.199997,160.000000,167.449997,584568
158.902481,160.449997,2015-09-07,165.000000,159.500000,164.000000,534438
165.513107,167.125000,2015-09-08,169.000000,158.774994,162.449997,698484
168.360367,170.000000,2015-09-09,173.300003,167.500000,169.000000,998292
163.309570,164.899994,2015-09-10,167.475006,164.050003,167.475006,284286
163.160995,164.750000,2015-09-11,168.300003,163.774994,165.625000,210824
163.037216,164.625000,2015-09-14,167.975006,163.875000,164.074997,223216
160.437546,162.000000,2015-09-15,167.725006,160.524994,165.050003,312908
159.719513,161.274994,2015-09-16,164.949997,160.800003,163.975006,179060
160.759399,162.324997,2015-09-18,165.100006,161.274994,162.975006,218706
159.447174,161.000000,2015-09-21,163.774994,160.524994,161.475006,213018
158.481552,160.024994,2015-09-22,162.949997,158.899994,162.649994,309734
159.843307,161.399994,2015-09-23,163.100006,157.550003,159.024994,209180
159.199585,160.750000,2015-09-24,162.500000,160.000000,162.350006,113644
159.026276,160.574997,2015-09-28,162.449997,160.125000,161.500000,116000
158.506348,160.050003,2015-09-29,161.100006,158.725006,159.000000,169494
159.422424,160.975006,2015-09-30,162.199997,160.000000,160.274994,125164
163.037216,164.625000,2015-10-01,166.875000,160.800003,161.500000,349052
161.923065,163.500000,2015-10-05,167.050003,162.524994,165.300003,150702
161.205063,162.774994,2015-10-06,165.074997,162.500000,164.425003,137014
160.883179,162.449997,2015-10-07,163.250000,161.399994,162.774994,263900
162.492508,164.074997,2015-10-08,165.500000,161.100006,162.500000,633126
170.539154,172.199997,2015-10-09,174.600006,163.975006,164.524994,745844
168.063248,169.699997,2015-10-12,178.000000,168.750000,174.899994,381098
172.074203,173.750000,2015-10-13,177.399994,169.074997,170.500000,355772
176.728851,178.449997,2015-10-14,179.649994,171.800003,174.699997,328384
178.288681,180.024994,2015-10-15,183.975006,178.975006,179.000000,632478
180.318893,182.074997,2015-10-16,183.149994,169.199997,180.250000,244244
185.196426,187.000000,2015-10-19,189.500000,181.425003,182.975006,1161250
177.545898,179.274994,2015-10-20,191.550003,175.675003,189.000000,1025548
185.840134,187.649994,2015-10-21,192.500000,182.574997,187.750000,1458220
185.988708,187.800003,2015-10-23,190.149994,185.250000,188.500000,267416
184.701233,186.500000,2015-10-26,190.000000,185.600006,187.500000,227854
181.135941,182.899994,2015-10-27,186.750000,181.074997,185.000000,219312
182.002518,183.774994,2015-10-28,184.949997,180.100006,181.750000,247296
184.255569,186.050003,2015-10-29,193.000000,182.274994,184.449997,671080
180.244644,182.000000,2015-10-30,187.750000,180.500000,187.350006,163474
178.214401,179.949997,2015-11-02,183.899994,177.000000,182.500000,167244
177.446869,179.175003,2015-11-03,182.524994,178.500000,180.250000,105018
175.614716,177.324997,2015-11-04,182.500000,175.800003,180.250000,144718
173.980637,175.675003,2015-11-05,180.000000,175.000000,176.750000,72222
175.292862,177.000000,2015-11-06,178.199997,173.000000,177.350006,87198
179.378052,181.125000,2015-11-09,182.875000,169.000000,175.000000,122166
177.743988,179.475006,2015-11-10,183.949997,179.000000,180.975006,104408
180.244644,182.000000,2015-11-13,184.925003,179.125000,181.500000,138642
180.145584,181.899994,2015-11-16,182.500000,180.274994,182.375000,56230
180.318893,182.074997,2015-11-17,183.500000,181.000000,183.000000,58770
178.981918,180.725006,2015-11-18,184.800003,180.024994,181.274994,101644
181.779694,183.550003,2015-11-19,184.899994,182.000000,182.500000,81630
184.948822,186.750000,2015-11-20,188.975006,183.100006,184.925003,158774
181.086426,182.850006,2015-11-23,188.000000,181.500000,185.024994,207434
180.640762,182.399994,2015-11-24,184.500000,180.550003,183.000000,238284
179.303802,181.050003,2015-11-26,184.300003,180.100006,184.300003,119274
178.511520,180.250000,2015-11-27,182.500000,180.000000,181.500000,51202
176.307953,178.024994,2015-11-30,182.000000,176.875000,182.000000,89634
176.951706,178.675003,2015-12-01,181.800003,178.000000,179.399994,117426
178.808624,180.550003,2015-12-02,181.500000,179.000000,179.000000,126054
180.640762,182.399994,2015-12-03,199.000000,180.550003,180.550003,1130904
180.987396,182.750000,2015-12-04,186.975006,181.274994,182.350006,819976
183.339508,185.125000,2015-12-07,186.000000,181.774994,181.774994,463280
180.393173,182.149994,2015-12-08,188.000000,177.500000,182.500000,271536
175.837540,177.550003,2015-12-09,181.250000,176.000000,179.500000,775180
180.145584,181.899994,2015-12-10,182.699997,176.500000,180.000000,113352
177.397385,179.125000,2015-12-11,183.250000,178.500000,181.899994,67482
177.595444,179.324997,2015-12-14,182.000000,177.425003,179.949997,51300
178.362976,180.100006,2015-12-15,181.500000,179.500000,180.899994,639286
186.310547,188.125000,2015-12-16,189.699997,180.000000,180.050003,382608
188.241745,190.074997,2015-12-17,191.000000,185.574997,189.975006,513752
191.113785,192.975006,2015-12-18,194.000000,187.774994,189.500000,413518
192.549789,194.425003,2015-12-21,196.000000,191.550003,192.500000,305514
192.970703,194.850006,2015-12-22,195.500000,193.500000,195.250000,172598
193.168777,195.050003,2015-12-23,201.000000,193.524994,193.524994,554666
195.545624,197.449997,2015-12-24,200.125000,195.699997,195.975006,273704
196.288391,198.199997,2015-12-28,200.024994,196.250000,197.500000,207090
200.744980,202.699997,2015-12-29,206.399994,198.199997,198.500000,1332346
202.651413,204.625000,2015-12-30,206.000000,202.949997,203.475006,297280
206.266205,208.274994,2015-12-31,209.850006,204.000000,205.975006,360574
206.835663,208.850006,2016-01-01,213.725006,207.574997,208.949997,235254
205.300629,207.300003,2016-01-04,213.000000,202.500000,213.000000,448884
208.964935,211.000000,2016-01-05,218.000000,207.500000,209.000000,445716
207.603195,209.625000,2016-01-06,215.000000,207.625000,212.500000,404482
202.700943,204.675003,2016-01-07,208.000000,202.500000,207.500000,415134
201.066864,203.024994,2016-01-08,212.100006,202.500000,205.875000,206744
201.958191,203.925003,2016-01-11,206.524994,199.000000,202.475006,227658
199.927933,201.875000,2016-01-12,206.000000,200.000000,203.774994,130440
200.571655,202.524994,2016-01-13,204.949997,192.500000,204.949997,419392
195.174225,197.074997,2016-01-14,204.500000,192.000000,198.000000,395246
189.801544,191.649994,2016-01-15,200.975006,189.500000,199.850006,120456
183.017624,184.800003,2016-01-18,195.725006,180.375000,191.750000,300452
185.567795,187.375000,2016-01-19,191.449997,182.774994,182.774994,834438
178.164886,179.899994,2016-01-20,186.074997,177.899994,185.500000,217498
182.596710,184.375000,2016-01-21,193.500000,180.074997,182.850006,290852
195.545624,197.449997,2016-01-22,206.000000,186.000000,192.500000,1234800
196.535965,198.449997,2016-01-25,202.000000,196.000000,201.800003,148502
191.386108,193.250000,2016-01-27,199.500000,191.050003,198.500000,127744
199.581314,201.524994,2016-01-28,202.149994,191.925003,192.375000,239598
199.160416,201.100006,2016-01-29,204.899994,199.500000,203.500000,162300
197.897690,199.824997,2016-02-01,203.000000,197.399994,201.074997,160812
199.061371,201.000000,2016-02-02,205.750000,198.475006,198.699997,555820
191.658463,193.524994,2016-02-03,199.750000,192.375000,198.899994,102676
187.845627,189.675003,2016-02-04,198.800003,186.975006,196.500000,89194
198.071014,200.000000,2016-02-05,202.000000,187.024994,190.449997,195258
194.604767,196.500000,2016-02-08,201.250000,195.850006,200.000000,81602
190.271973,192.125000,2016-02-09,194.500000,189.500000,192.050003,111250
185.518280,187.324997,2016-02-10,193.000000,185.100006,189.250000,219664
186.087738,187.899994,2016-02-11,190.475006,182.750000,187.500000,148992
186.087738,187.899994,2016-02-12,189.000000,183.699997,187.524994,106634
189.182587,191.024994,2016-02-15,193.500000,189.449997,189.449997,92084
185.988708,187.800003,2016-02-16,192.500000,186.925003,191.699997,63844
