adj_close,close,date,high,low,open,volume
0.598672,2.852752,2002-07-01,2.879481,2.631627,2.631627,12345
0.591023,2.816303,2002-07-02,3.037427,2.774994,3.037427,9650
0.590003,2.811443,2002-07-03,2.835742,2.755554,2.755554,7757
0.571135,2.721535,2002-07-04,2.787143,2.709385,2.709385,4712
0.575215,2.740974,2002-07-05,2.792003,2.692376,2.692376,5144
0.590003,2.811443,2002-07-08,2.930510,2.765274,2.915930,5876
0.592043,2.821163,2002-07-09,2.855182,2.794433,2.816303,16090
0.570625,2.719105,2002-07-10,2.874621,2.714245,2.874621,10992
0.544109,2.592748,2002-07-11,2.714245,2.592748,2.672936,6823
0.556857,2.653497,2002-07-12,2.692376,2.636487,2.672936,1419
0.541049,2.578168,2002-07-15,2.631627,2.524710,2.592748,4218
0.537479,2.561159,2002-07-16,2.626767,2.549009,2.549009,7613
0.535439,2.551439,2002-07-17,2.570878,2.432372,2.432372,1851
0.544109,2.592748,2002-07-18,2.592748,2.512560,2.512560,3292
0.552268,2.631627,2002-07-19,2.631627,2.337604,2.337604,2366
0.530340,2.527140,2002-07-22,2.551439,2.514990,2.551439,5967
0.530850,2.529569,2002-07-23,2.551439,2.429942,2.541719,3024
0.520651,2.480971,2002-07-24,2.510130,2.480971,2.507700,4971
0.526770,2.510130,2002-07-25,2.510130,2.480971,2.480971,2983
0.531360,2.531999,2002-07-26,2.546579,2.327884,2.327884,3921
0.528810,2.519850,2002-07-29,2.522280,2.327884,2.386203,6378
0.495664,2.361903,2002-07-30,2.592748,2.349754,2.592748,7415
0.502803,2.395923,2002-07-31,2.429942,2.388633,2.388633,4637
0.503313,2.398353,2002-08-01,2.531999,2.388633,2.471251,9695
0.514022,2.449381,2002-08-02,2.449381,2.349754,2.349754,7905
0.510962,2.434802,2002-08-05,2.471251,2.247696,2.250126,5247
0.528810,2.519850,2002-08-06,2.519850,2.342464,2.471251,3502
0.526770,2.510130,2002-08-07,2.551439,2.476111,2.476111,2777
0.569606,2.714245,2002-08-08,2.762844,2.349754,2.349754,15469
0.526770,2.510130,2002-08-09,2.595178,2.510130,2.595178,411
0.526770,2.510130,2002-08-12,2.753124,2.510130,2.753124,3806
0.521161,2.483401,2002-08-13,2.531999,2.471251,2.480971,1481
0.543599,2.590318,2002-08-14,2.590318,2.490690,2.490690,1432
0.543599,2.590318,2002-08-15,2.590318,2.590318,2.590318,0
0.528810,2.519850,2002-08-16,2.522280,2.510130,2.510130,514
0.544109,2.592748,2002-08-19,2.592748,2.534429,2.592748,1263
0.534419,2.546579,2002-08-20,2.546579,2.471251,2.471251,3292
0.536459,2.556299,2002-08-21,2.556299,2.454241,2.454241,2856
0.536459,2.556299,2002-08-22,2.556299,2.556299,2.556299,0
0.526770,2.510130,2002-08-23,2.546579,2.429942,2.514990,1790
0.528810,2.519850,2002-08-26,2.544149,2.510130,2.510130,1814
0.518611,2.471251,2002-08-27,2.531999,2.471251,2.527140,2284
0.533400,2.541719,2002-08-28,2.541719,2.541719,2.541719,823
0.535439,2.551439,2002-08-29,2.551439,2.510130,2.510130,2366
0.535439,2.551439,2002-08-30,2.551439,2.546579,2.546579,2057
0.531360,2.531999,2002-09-02,2.531999,2.531999,2.531999,1028
0.528810,2.519850,2002-09-03,2.531999,2.519850,2.531999,1234
0.521161,2.483401,2002-09-04,2.485831,2.446951,2.446951,617
0.518611,2.471251,2002-09-05,2.471251,2.471251,2.471251,205
0.505863,2.410502,2002-09-06,2.480971,2.398353,2.480971,1234
0.497194,2.369193,2002-09-09,2.388633,2.271996,2.271996,411
0.497194,2.369193,2002-09-10,2.369193,2.369193,2.369193,0
0.486485,2.318164,2002-09-11,2.352184,2.318164,2.352184,1234
0.486485,2.318164,2002-09-12,2.318164,2.318164,2.318164,0
0.493624,2.352184,2002-09-13,2.352184,2.347324,2.347324,415
0.482405,2.298725,2002-09-16,2.369193,2.245266,2.369193,3074
0.479346,2.284145,2002-09-17,2.289005,2.220967,2.220967,1028
0.477816,2.276855,2002-09-18,2.471251,2.274426,2.471251,1995
0.480366,2.289005,2002-09-19,2.308445,2.289005,2.308445,740
0.467617,2.228257,2002-09-20,2.228257,2.228257,2.228257,823
0.472717,2.252556,2002-09-23,2.257416,2.228257,2.228257,942
0.486485,2.318164,2002-09-24,2.349754,2.237976,2.237976,4633
0.509942,2.429942,2002-09-25,2.429942,2.308445,2.327884,5782
0.501273,2.388633,2002-09-26,2.388633,2.308445,2.308445,1650
0.505863,2.410502,2002-09-27,2.410502,2.388633,2.388633,2674
0.501273,2.388633,2002-09-30,2.417792,2.388633,2.388633,1337
0.501273,2.388633,2002-10-01,2.393493,2.388633,2.391063,5090
0.501273,2.388633,2002-10-02,2.388633,2.388633,2.388633,0
0.501273,2.388633,2002-10-03,2.391063,2.308445,2.308445,2469
0.501273,2.388633,2002-10-04,2.391063,2.388633,2.388633,3148
0.498724,2.376483,2002-10-07,2.386203,2.313305,2.313305,2242
0.508413,2.422652,2002-10-08,2.422652,2.388633,2.388633,3090
0.501273,2.388633,2002-10-09,2.388633,2.267136,2.267136,617
0.502803,2.395923,2002-10-10,2.398353,2.388633,2.388633,3152
0.502803,2.395923,2002-10-11,2.395923,2.388633,2.391063,2469
0.501273,2.388633,2002-10-14,2.410502,2.388633,2.410502,925
0.501273,2.388633,2002-10-15,2.388633,2.388633,2.388633,0
0.503313,2.398353,2002-10-16,2.398353,2.398353,2.398353,411
0.518611,2.471251,2002-10-17,2.471251,2.403212,2.403212,2160
0.518611,2.471251,2002-10-18,2.471251,2.471251,2.471251,0
0.528810,2.519850,2002-10-21,2.590318,2.410502,2.410502,4876
0.518611,2.471251,2002-10-22,2.471251,2.388633,2.388633,1234
0.510452,2.432372,2002-10-23,2.432372,2.432372,2.432372,823
0.509942,2.429942,2002-10-24,2.429942,2.410502,2.410502,823
0.511982,2.439662,2002-10-25,2.495550,2.429942,2.429942,1419
0.510452,2.432372,2002-10-28,2.507700,2.388633,2.429942,2489
0.522691,2.490690,2002-10-29,2.490690,2.228257,2.228257,1567
0.535439,2.551439,2002-10-30,2.551439,2.480971,2.480971,3498
0.526770,2.510130,2002-10-31,2.551439,2.471251,2.551439,1481
0.526770,2.510130,2002-11-01,2.510130,2.510130,2.510130,411
0.509942,2.429942,2002-11-04,2.429942,2.429942,2.429942,411
0.509942,2.429942,2002-11-05,2.429942,2.429942,2.429942,0
0.509942,2.429942,2002-11-06,2.429942,2.429942,2.429942,0
0.509942,2.429942,2002-11-07,2.429942,2.429942,2.429942,411
0.511982,2.439662,2002-11-08,2.442092,2.228257,2.228257,411
0.514022,2.449381,2002-11-11,2.449381,2.439662,2.449381,1028
0.522181,2.488260,2002-11-12,2.488260,2.432372,2.432372,1769
0.526260,2.507700,2002-11-13,2.507700,2.505270,2.505270,617
0.523711,2.495550,2002-11-14,2.549009,2.451811,2.549009,4325
0.522691,2.490690,2002-11-15,2.551439,2.490690,2.510130,3395
0.514022,2.449381,2002-11-18,2.449381,2.398353,2.398353,847
0.514022,2.449381,2002-11-19,2.449381,2.449381,2.449381,0
0.514022,2.449381,2002-11-20,2.449381,2.449381,2.449381,0
