adj_close,close,date,high,low,open,volume
774.349976,774.349976,2018-10-08,787.000000,710.049988,750.000000,3534258
767.700012,767.700012,2018-10-09,785.000000,731.000000,762.000000,293295
791.299988,791.299988,2018-10-10,798.000000,766.000000,766.000000,254753
758.299988,758.299988,2018-10-11,774.700012,745.000000,760.000000,64953
781.400024,781.400024,2018-10-12,785.200012,760.000000,760.000000,49674
783.400024,783.400024,2018-10-15,794.500000,758.099976,758.099976,40739
779.400024,779.400024,2018-10-16,797.000000,774.900024,780.049988,72475
775.500000,775.500000,2018-10-17,792.000000,768.950012,780.150024,77718
736.650024,736.650024,2018-10-19,770.950012,732.000000,770.000000,154689
678.400024,678.400024,2018-10-22,750.000000,651.000000,750.000000,66813
635.099976,635.099976,2018-10-23,680.000000,623.099976,680.000000,127341
643.299988,643.299988,2018-10-24,650.599976,612.250000,645.950012,38009
643.549988,643.549988,2018-10-25,660.799988,617.049988,639.900024,68841
662.799988,662.799988,2018-10-26,670.000000,622.299988,657.700012,66917
635.400024,635.400024,2018-10-29,664.849976,625.250000,655.049988,26365
645.500000,645.500000,2018-10-30,648.000000,627.950012,630.000000,30058
662.750000,662.750000,2018-10-31,671.000000,622.000000,640.049988,64324
660.150024,660.150024,2018-11-01,665.000000,643.000000,659.049988,18275
670.299988,670.299988,2018-11-02,679.950012,662.000000,667.000000,16821
650.200012,650.200012,2018-11-05,666.000000,648.900024,656.000000,103024
662.349976,662.349976,2018-11-06,665.650024,649.950012,650.200012,36501
657.950012,657.950012,2018-11-07,665.000000,638.700012,665.000000,1916
668.799988,668.799988,2018-11-09,670.000000,651.099976,658.049988,7177
660.000000,660.000000,2018-11-12,675.000000,654.000000,665.000000,74733
665.150024,665.150024,2018-11-13,673.000000,652.750000,659.799988,56424
674.750000,674.750000,2018-11-14,680.000000,666.299988,666.349976,100282
680.200012,680.200012,2018-11-15,683.950012,666.599976,674.750000,6829
675.099976,675.099976,2018-11-16,683.750000,670.000000,683.750000,7699
685.200012,685.200012,2018-11-19,689.000000,668.000000,671.049988,16158
690.250000,690.250000,2018-11-20,695.000000,676.549988,680.450012,7517
690.650024,690.650024,2018-11-21,706.599976,687.250000,687.950012,7138
732.049988,732.049988,2018-11-22,740.000000,686.849976,690.000000,25064
732.599976,732.599976,2018-11-26,742.500000,726.000000,733.000000,16043
725.549988,725.549988,2018-11-27,735.000000,716.000000,728.000000,16482
774.700012,774.700012,2018-11-28,784.849976,720.049988,732.500000,114237
762.400024,762.400024,2018-11-29,782.049988,757.000000,762.200012,9773
769.349976,769.349976,2018-11-30,779.950012,751.000000,757.049988,188248
779.150024,779.150024,2018-12-03,785.000000,760.099976,770.500000,111929
771.200012,771.200012,2018-12-04,780.000000,765.099976,770.049988,11560
776.049988,776.049988,2018-12-05,799.799988,761.000000,764.049988,14960
775.099976,775.099976,2018-12-06,786.000000,765.000000,777.000000,6641
778.549988,778.549988,2018-12-07,784.000000,765.000000,771.049988,8816
774.599976,774.599976,2018-12-10,784.000000,732.750000,732.750000,13727
785.900024,785.900024,2018-12-11,790.000000,759.250000,761.750000,17432
805.549988,805.549988,2018-12-12,815.299988,777.000000,778.049988,57679
835.000000,835.000000,2018-12-13,865.000000,797.099976,814.400024,490161
839.450012,839.450012,2018-12-14,848.950012,822.500000,822.500000,317736
839.950012,839.950012,2018-12-17,847.900024,835.599976,840.000000,83533
835.700012,835.700012,2018-12-18,844.799988,821.000000,836.799988,108114
849.299988,849.299988,2018-12-19,855.000000,833.049988,833.099976,44806
843.349976,843.349976,2018-12-20,851.000000,838.000000,847.799988,9331
823.000000,823.000000,2018-12-21,854.000000,805.150024,843.349976,22012
788.400024,788.400024,2018-12-24,826.950012,780.049988,812.200012,19024
800.349976,800.349976,2018-12-26,868.000000,735.000000,788.450012,41382
807.299988,807.299988,2018-12-27,836.000000,792.099976,819.750000,18326
816.750000,816.750000,2018-12-28,825.000000,810.000000,810.000000,13414
857.500000,857.500000,2018-12-31,863.200012,820.000000,835.000000,137147
845.250000,845.250000,2019-01-01,865.000000,840.000000,851.000000,15420
840.650024,840.650024,2019-01-02,856.750000,829.950012,840.250000,10812
837.650024,837.650024,2019-01-03,845.950012,830.200012,830.200012,5728
840.849976,840.849976,2019-01-04,843.950012,830.900024,831.049988,10472
840.650024,840.650024,2019-01-07,846.750000,835.049988,835.049988,11036
841.950012,841.950012,2019-01-08,846.900024,836.150024,836.150024,46053
843.799988,843.799988,2019-01-09,845.000000,835.299988,835.299988,15787
840.950012,840.950012,2019-01-10,846.000000,838.299988,840.049988,4463
842.700012,842.700012,2019-01-11,848.950012,835.000000,840.000000,8986
828.950012,828.950012,2019-01-14,836.000000,808.799988,827.849976,9203
849.849976,849.849976,2019-01-15,852.000000,828.000000,828.000000,17858
841.099976,841.099976,2019-01-16,855.000000,837.400024,840.950012,8364
853.849976,853.849976,2019-01-17,857.000000,836.049988,849.950012,21528
842.599976,842.599976,2019-01-18,860.000000,836.799988,860.000000,3431
837.250000,837.250000,2019-01-21,850.000000,830.000000,832.000000,3788
850.700012,850.700012,2019-01-22,855.000000,842.000000,842.200012,7646
854.150024,854.150024,2019-01-23,858.599976,849.549988,849.549988,8962
854.500000,854.500000,2019-01-24,859.849976,845.900024,849.049988,3740
850.099976,850.099976,2019-01-25,858.450012,830.250000,830.250000,3797
826.400024,826.400024,2019-01-28,850.000000,824.049988,849.950012,6575
828.650024,828.650024,2019-01-29,838.000000,825.000000,825.049988,9311
