adj_close,close,date,high,low,open,volume
11.760017,19.651060,2000-01-04,20.194407,18.654922,19.469944,8392
12.708405,21.235823,2000-01-05,21.235823,19.469944,19.469944,18551
12.735500,21.281101,2000-01-06,22.458355,20.828312,21.733891,12588
12.247759,20.466082,2000-01-07,21.281101,20.149128,21.281101,3644
12.301951,20.556639,2000-01-10,20.828312,20.284966,20.420801,8392
11.380661,19.017155,2000-01-11,19.922733,19.017155,19.741617,18662
11.570337,19.334106,2000-01-12,19.334106,19.334106,19.334106,110
11.814207,19.741617,2000-01-13,20.194407,19.017155,20.194407,1545
11.082596,18.519087,2000-01-14,19.832174,18.202133,19.469944,1214
11.760017,19.651060,2000-01-17,20.013290,18.337971,18.337971,11263
11.380661,19.017155,2000-01-18,19.469944,18.836039,19.469944,7177
12.301951,20.556639,2000-01-19,20.556639,19.107712,19.922733,14245
12.572919,21.009428,2000-01-20,21.733891,20.194407,20.375523,15349
13.358729,22.322517,2000-01-21,22.548912,20.828312,20.828312,12919
14.442603,24.133675,2000-01-24,24.133675,21.054707,21.054707,38870
14.686472,24.541185,2000-01-25,26.035391,23.997837,25.537321,98942
14.686472,24.541185,2000-01-26,24.541185,24.541185,24.541185,0
15.878731,26.533459,2000-01-27,26.533459,26.533459,26.533459,27606
17.152285,28.661570,2000-01-28,28.661570,28.435175,28.525732,57090
18.534218,30.970795,2000-01-31,30.970795,30.970795,30.970795,73764
20.024544,33.461136,2000-02-01,33.461136,33.461136,33.461136,148855
21.650352,36.177872,2000-02-02,36.177872,36.177872,36.177872,62501
23.384546,39.075726,2000-02-03,39.075726,39.075726,39.075726,219638
25.254225,42.199970,2000-02-04,42.199970,42.199970,42.199970,78071
27.286489,45.595894,2000-02-07,45.595894,45.595894,45.595894,73875
29.481327,49.263489,2000-02-08,49.263489,49.263489,49.263489,88230
28.668427,47.905117,2000-02-09,53.202755,45.369499,53.202755,1216017
30.971657,51.753826,2000-02-10,51.753826,44.373360,49.670998,930675
33.464561,55.919491,2000-02-11,55.919491,48.901257,54.334728,1167209
30.836170,51.527435,2000-02-14,60.402107,51.482155,58.862621,1047727
33.301987,55.647816,2000-02-15,55.647816,49.897392,50.304901,960821
35.984566,60.130432,2000-02-16,60.130432,57.277859,57.866486,1182227
38.883926,64.975281,2000-02-17,64.975281,61.081291,61.579357,853818
42.000053,70.182358,2000-02-18,70.182358,70.182358,70.182358,35005
45.360062,75.796944,2000-02-21,75.796944,75.796944,75.796944,33459
48.991035,81.864326,2000-02-22,81.864326,81.864326,81.864326,110868
50.508450,84.399940,2000-02-23,88.429771,77.925056,88.429771,1809892
52.025875,86.935562,2000-02-24,91.191788,83.403809,91.191788,933767
47.880070,80.007889,2000-02-25,88.293930,80.007889,88.293930,175467
47.311035,79.057030,2000-02-28,85.124405,73.623558,73.623558,717552
43.544575,72.763260,2000-02-29,83.766037,72.763260,81.411537,581948
47.012970,78.558960,2000-03-01,78.604240,66.967552,67.465622,731686
45.224571,75.570549,2000-03-02,84.852737,73.034927,83.313248,617174
41.620701,69.548454,2000-03-03,76.068619,69.548454,76.068619,306654
38.314892,64.024422,2000-03-06,70.454033,64.024422,68.823990,239846
35.252953,58.907902,2000-03-07,63.390514,58.907902,58.953178,206276
34.900692,58.319275,2000-03-08,63.616913,54.198891,58.907902,745710
32.976814,55.104469,2000-03-09,60.130432,53.655544,58.681507,345635
30.592297,51.119923,2000-03-10,57.957043,50.712414,53.429150,216215
28.234877,47.180656,2000-03-13,55.240307,47.044819,47.090096,293182
25.985842,43.422504,2000-03-14,48.720139,43.422504,47.905117,372248
28.072294,46.908981,2000-03-15,46.908981,45.324219,46.908981,126219
29.860687,49.897392,2000-03-16,50.667133,46.908981,46.908981,255319
29.860687,49.897392,2000-03-17,49.897392,49.897392,49.897392,0
29.860687,49.897392,2000-03-20,49.897392,49.897392,49.897392,0
27.611650,46.139240,2000-03-21,51.572712,45.912846,51.572712,244709
29.833590,49.852112,2000-03-22,49.852112,47.090096,47.090096,78816
28.018099,46.818424,2000-03-23,53.429150,45.912846,53.429150,133144
28.532938,47.678722,2000-03-24,48.448467,43.467781,45.731728,111107
29.264561,48.901257,2000-03-27,50.486019,46.727867,47.995674,134697
