adj_close,close,date,high,low,open,volume
4.468837,6.630000,2002-07-01,7.000000,6.600000,7.000000,56440
4.445244,6.595000,2002-07-02,6.790000,6.565000,6.790000,65450
4.512649,6.695000,2002-07-03,6.890000,6.600000,6.890000,41620
4.532870,6.725000,2002-07-04,6.790000,6.660000,6.725000,33980
4.529500,6.720000,2002-07-05,6.800000,6.650000,6.700000,47050
4.762041,7.065000,2002-07-08,7.145000,6.855000,6.950000,164850
4.846295,7.190000,2002-07-09,7.500000,7.150000,7.500000,173220
4.775521,7.085000,2002-07-10,7.300000,7.000000,7.200000,115430
4.667677,6.925000,2002-07-11,7.145000,6.900000,7.100000,77030
4.687897,6.955000,2002-07-12,7.020000,6.700000,6.700000,23240
4.623864,6.860000,2002-07-15,6.900000,6.800000,6.900000,41690
4.505908,6.685000,2002-07-16,6.740000,6.550000,6.700000,93700
4.542980,6.740000,2002-07-17,6.825000,6.700000,6.705000,44260
4.512649,6.695000,2002-07-18,6.995000,6.670000,6.995000,37620
4.542980,6.740000,2002-07-19,6.795000,6.630000,6.715000,29380
4.549720,6.750000,2002-07-22,6.790000,6.600000,6.600000,59020
4.563200,6.770000,2002-07-23,6.835000,6.710000,6.740000,65640
4.542980,6.740000,2002-07-24,6.900000,6.705000,6.800000,67600
4.573311,6.785000,2002-07-25,6.800000,6.730000,6.730000,34550
4.580053,6.795000,2002-07-26,6.810000,6.640000,6.700000,135460
4.576683,6.790000,2002-07-29,6.825000,6.650000,6.800000,326350
4.583423,6.800000,2002-07-30,6.825000,6.745000,6.800000,287200
4.576683,6.790000,2002-07-31,6.810000,6.540000,6.545000,185310
4.583423,6.800000,2002-08-01,6.865000,6.750000,6.865000,102440
4.573311,6.785000,2002-08-02,6.825000,6.760000,6.800000,108820
4.569942,6.780000,2002-08-05,6.820000,6.745000,6.800000,90290
4.586792,6.805000,2002-08-06,6.825000,6.765000,6.800000,45530
4.650825,6.900000,2002-08-07,6.900000,6.800000,6.800000,51680
4.573311,6.785000,2002-08-08,6.900000,6.775000,6.895000,45700
4.583423,6.800000,2002-08-09,6.850000,6.605000,6.605000,46010
4.583423,6.800000,2002-08-12,6.865000,6.800000,6.800000,40020
4.583423,6.800000,2002-08-13,6.800000,6.800000,6.800000,19850
4.583423,6.800000,2002-08-14,6.845000,6.800000,6.800000,46150
4.583423,6.800000,2002-08-15,6.800000,6.800000,6.800000,0
4.586792,6.805000,2002-08-16,6.835000,6.800000,6.810000,30080
4.583423,6.800000,2002-08-19,6.825000,6.800000,6.805000,16130
4.583423,6.800000,2002-08-20,6.825000,6.800000,6.810000,57700
4.583423,6.800000,2002-08-21,6.820000,6.800000,6.800000,19550
4.583423,6.800000,2002-08-22,6.825000,6.800000,6.805000,9250
4.583423,6.800000,2002-08-23,6.825000,6.800000,6.800000,30330
4.583423,6.800000,2002-08-26,6.850000,6.800000,6.800000,36680
4.586792,6.805000,2002-08-27,6.850000,6.800000,6.850000,14960
4.583423,6.800000,2002-08-28,6.850000,6.800000,6.800000,6470
4.607014,6.835000,2002-08-29,6.850000,6.800000,6.850000,62820
4.583423,6.800000,2002-08-30,6.835000,6.800000,6.800000,35150
4.590162,6.810000,2002-09-02,6.885000,6.800000,6.850000,36460
4.613753,6.845000,2002-09-03,6.850000,6.800000,6.800000,34850
4.637345,6.880000,2002-09-04,6.945000,6.800000,6.800000,58200
4.586792,6.805000,2002-09-05,6.900000,6.805000,6.900000,11260
4.613753,6.845000,2002-09-06,6.875000,6.800000,6.805000,23990
4.627234,6.865000,2002-09-09,6.900000,6.800000,6.800000,73340
4.627234,6.865000,2002-09-10,6.865000,6.865000,6.865000,0
4.593533,6.815000,2002-09-11,6.900000,6.800000,6.900000,16540
4.586792,6.805000,2002-09-12,6.825000,6.800000,6.800000,34880
4.586792,6.805000,2002-09-13,6.890000,6.805000,6.805000,24750
4.600274,6.825000,2002-09-16,6.850000,6.810000,6.850000,5580
4.590162,6.810000,2002-09-17,6.845000,6.805000,6.815000,22560
4.583423,6.800000,2002-09-18,6.840000,6.800000,6.800000,23990
4.482318,6.650000,2002-09-19,6.800000,6.650000,6.795000,13060
4.458726,6.615000,2002-09-20,6.630000,6.400000,6.420000,49340
4.448616,6.600000,2002-09-23,6.600000,6.485000,6.485000,56500
4.448616,6.600000,2002-09-24,6.600000,6.525000,6.600000,48760
4.482318,6.650000,2002-09-25,6.800000,6.600000,6.605000,21100
4.451987,6.605000,2002-09-26,6.790000,6.600000,6.610000,6700
4.478948,6.645000,2002-09-27,6.775000,6.600000,6.775000,16850
4.451987,6.605000,2002-09-30,6.690000,6.605000,6.630000,6780
4.465466,6.625000,2002-10-01,6.675000,6.520000,6.600000,15800
4.465466,6.625000,2002-10-02,6.625000,6.625000,6.625000,0
4.516019,6.700000,2002-10-03,6.700000,6.580000,6.580000,98150
4.516019,6.700000,2002-10-04,6.700000,6.610000,6.610000,59850
4.654197,6.905000,2002-10-07,6.955000,6.610000,6.630000,81390
4.495798,6.670000,2002-10-08,6.800000,6.660000,6.700000,7920
4.516019,6.700000,2002-10-09,6.760000,6.675000,6.725000,61640
4.516019,6.700000,2002-10-10,6.800000,6.685000,6.775000,10380
4.499168,6.675000,2002-10-11,6.700000,6.605000,6.630000,37990
4.526130,6.715000,2002-10-14,6.790000,6.625000,6.690000,24010
4.526130,6.715000,2002-10-15,6.715000,6.715000,6.715000,0
4.532870,6.725000,2002-10-16,6.740000,6.700000,6.700000,8570
4.519390,6.705000,2002-10-17,6.745000,6.700000,6.705000,56210
4.516019,6.700000,2002-10-18,6.750000,6.700000,6.740000,8200
4.573311,6.785000,2002-10-21,6.800000,6.705000,6.750000,32140
4.516019,6.700000,2002-10-22,6.775000,6.700000,6.775000,13000
4.546350,6.745000,2002-10-23,6.775000,6.700000,6.775000,54250
4.516019,6.700000,2002-10-24,6.740000,6.700000,6.705000,45250
4.519390,6.705000,2002-10-25,6.800000,6.700000,6.700000,99350
4.580053,6.795000,2002-10-28,6.800000,6.715000,6.800000,17630
4.556461,6.760000,2002-10-29,6.780000,6.710000,6.710000,32370
4.576683,6.790000,2002-10-30,6.800000,6.710000,6.710000,33040
4.583423,6.800000,2002-10-31,6.865000,6.740000,6.740000,22410
4.593533,6.815000,2002-11-01,6.820000,6.755000,6.800000,12590
4.573311,6.785000,2002-11-04,6.885000,6.765000,6.800000,12200
4.549720,6.750000,2002-11-05,6.855000,6.750000,6.850000,3850
4.549720,6.750000,2002-11-06,6.750000,6.750000,6.750000,0
4.583423,6.800000,2002-11-07,6.825000,6.750000,6.755000,30460
4.553092,6.755000,2002-11-08,6.800000,6.755000,6.755000,49010
4.583423,6.800000,2002-11-11,6.850000,6.755000,6.755000,31610
4.586792,6.805000,2002-11-12,6.850000,6.805000,6.825000,16430
4.607014,6.835000,2002-11-13,6.875000,6.805000,6.805000,12590
4.583423,6.800000,2002-11-14,6.850000,6.800000,6.805000,32450
