adj_close,close,date,high,low,open,volume
3.339716,5.456138,2002-07-01,5.492880,5.345913,5.382655,155855
3.322848,5.428582,2002-07-02,5.557178,5.391840,5.511251,271462
3.328470,5.437767,2002-07-03,5.639847,5.391840,5.639847,72696
3.272247,5.345913,2002-07-04,5.538807,5.290801,5.419397,52512
3.334094,5.446953,2002-07-05,5.474509,5.290801,5.290801,50133
3.328470,5.437767,2002-07-08,5.492880,5.382655,5.382655,43988
3.294736,5.382655,2002-07-09,5.419397,5.235688,5.345913,39736
3.227268,5.272430,2002-07-10,5.410211,5.235688,5.410211,31571
3.165421,5.171390,2002-07-11,5.327542,5.162205,5.327542,38784
3.176666,5.189761,2002-07-12,5.235688,5.116278,5.125463,21800
3.142931,5.134649,2002-07-15,5.189761,5.061165,5.143834,47335
3.148553,5.143834,2002-07-16,5.281615,5.143834,5.272430,9743
3.086706,5.042794,2002-07-17,5.134649,4.923384,5.134649,79882
3.159798,5.162205,2002-07-18,5.281615,5.097907,5.281615,44363
3.193533,5.217317,2002-07-19,5.235688,5.125463,5.143834,31707
3.047350,4.978496,2002-07-22,5.198946,4.978496,5.198946,20793
3.052973,4.987682,2002-07-23,5.033609,4.923384,4.969311,9036
3.064218,5.006053,2002-07-24,5.097907,4.960126,4.978496,44744
3.036105,4.960126,2002-07-25,5.061165,4.960126,4.969311,16738
2.957392,4.831530,2002-07-26,4.960126,4.794788,4.960126,50079
2.895545,4.730490,2002-07-29,4.849901,4.721305,4.785603,45185
2.906789,4.748861,2002-07-30,4.950940,4.739676,4.776417,32448
2.934901,4.794788,2002-07-31,4.831530,4.611080,4.611080,21637
2.946147,4.813159,2002-08-01,4.960126,4.730490,4.960126,14914
2.923656,4.776417,2002-08-02,4.813159,4.638636,4.647821,18317
2.912412,4.758046,2002-08-05,4.868271,4.592709,4.592709,20303
2.923656,4.776417,2002-08-06,4.822344,4.767232,4.794788,10886
2.963014,4.840715,2002-08-07,4.840715,4.758046,4.776417,15780
