adj_close,close,date,high,low,open,volume
49.148907,59.849998,2000-01-04,61.500000,59.000000,60.000000,46689
46.726368,56.900002,2000-01-05,59.500000,56.750000,58.000000,53900
50.339653,61.299999,2000-01-06,61.450001,56.099998,56.099998,104562
47.383327,57.700001,2000-01-07,61.400002,57.150002,60.750000,54691
47.547562,57.900002,2000-01-10,59.500000,57.599998,58.299999,40840
45.781990,55.750000,2000-01-11,57.700001,55.000000,57.599998,66566
46.521076,56.650002,2000-01-12,57.450001,55.500000,56.849998,41408
46.069405,56.099998,2000-01-13,57.349998,55.750000,56.750000,15120
42.538239,51.799999,2000-01-14,55.049999,51.650002,55.049999,79035
41.347496,50.349998,2000-01-17,53.500000,50.000000,53.000000,75050
41.060074,50.000000,2000-01-18,50.400002,49.049999,49.500000,49104
40.977955,49.900002,2000-01-19,51.000000,49.650002,51.000000,57381
40.690529,49.549999,2000-01-20,50.299999,49.150002,50.000000,13010
39.007065,47.500000,2000-01-21,48.650002,47.349998,48.650002,41610
39.664036,48.299999,2000-01-24,49.900002,48.000000,49.900002,42334
38.514351,46.900002,2000-01-25,50.000000,46.000000,50.000000,54856
38.514351,46.900002,2000-01-26,46.900002,46.900002,46.900002,0
37.857388,46.099998,2000-01-27,49.750000,46.000000,48.000000,138075
40.895836,49.799999,2000-01-28,49.799999,47.000000,48.000000,266922
38.760715,47.200001,2000-01-31,52.400002,47.000000,52.400002,182225
38.021626,46.299999,2000-02-01,48.000000,44.799999,46.099998,147150
39.499798,48.099998,2000-02-02,48.599998,47.099998,48.000000,94001
38.226929,46.549999,2000-02-03,49.950001,46.000000,49.000000,47330
37.693153,45.900002,2000-02-04,46.799999,44.599998,46.500000,45246
36.214985,44.099998,2000-02-07,46.000000,43.750000,46.000000,35076
37.118305,45.200001,2000-02-08,46.000000,43.000000,44.000000,85175
38.021626,46.299999,2000-02-09,48.799999,45.700001,48.799999,82852
37.241482,45.349998,2000-02-10,46.000000,44.750000,44.750000,20655
35.516964,43.250000,2000-02-11,48.000000,43.000000,48.000000,36648
35.024239,42.650002,2000-02-14,44.000000,40.400002,43.250000,28355
33.710323,41.049999,2000-02-15,43.000000,40.500000,41.150002,53717
33.587139,40.900002,2000-02-16,41.900002,40.549999,41.900002,24545
35.065304,42.700001,2000-02-17,43.000000,41.000000,41.000000,25930
33.669258,41.000000,2000-02-18,43.000000,40.000000,40.000000,37519
33.751377,41.099998,2000-02-21,41.500000,40.099998,40.099998,24500
32.724880,39.849998,2000-02-22,41.799999,39.549999,40.599998,41327
32.232162,39.250000,2000-02-23,40.849998,39.049999,40.500000,25730
31.985804,38.950001,2000-02-24,40.000000,38.299999,40.000000,23560
30.384453,37.000000,2000-02-25,39.000000,36.500000,38.049999,42540
32.806992,39.950001,2000-02-28,40.000000,36.500000,36.799999,29605
32.314278,39.349998,2000-02-29,43.099998,38.150002,41.650002,77415
