adj_close,close,date,high,low,open,volume
2.958285,3.930000,2002-07-01,4.000000,3.790000,3.810000,37080
3.123889,4.150000,2002-07-02,4.380000,3.910000,4.000000,350980
3.364767,4.470000,2002-07-03,4.600000,3.750000,3.750000,865140
3.394876,4.510000,2002-07-04,4.700000,4.410000,4.500000,1013200
3.507788,4.660000,2002-07-05,4.950000,4.250000,4.600000,993120
3.763721,5.000000,2002-07-08,5.240000,4.950000,4.950000,1224740
3.613173,4.800000,2002-07-09,5.150000,4.750000,5.150000,712980
3.605645,4.790000,2002-07-10,4.950000,4.700000,4.950000,320760
3.485206,4.630000,2002-07-11,4.750000,4.610000,4.700000,144600
3.575536,4.750000,2002-07-12,4.830000,4.640000,4.690000,175280
3.402404,4.520000,2002-07-15,4.750000,4.500000,4.750000,121560
3.312075,4.400000,2002-07-16,4.650000,4.350000,4.600000,121840
3.304546,4.390000,2002-07-17,5.270000,4.250000,5.270000,225160
3.312075,4.400000,2002-07-18,4.550000,4.260000,4.300000,153660
3.244328,4.310000,2002-07-19,4.460000,4.290000,4.400000,190220
3.086251,4.100000,2002-07-22,4.900000,4.010000,4.900000,120760
3.153998,4.190000,2002-07-23,4.300000,4.060000,4.300000,104480
3.086251,4.100000,2002-07-24,4.250000,4.090000,4.200000,39440
3.071197,4.080000,2002-07-25,4.180000,4.050000,4.150000,108840
2.935703,3.900000,2002-07-26,4.100000,3.750000,4.100000,123240
2.762572,3.670000,2002-07-29,4.400000,3.610000,4.400000,317780
2.777627,3.690000,2002-07-30,4.000000,3.650000,3.990000,169420
2.747517,3.650000,2002-07-31,3.840000,3.400000,3.840000,113100
2.657187,3.530000,2002-08-01,4.250000,3.500000,4.250000,166420
2.619550,3.480000,2002-08-02,3.990000,3.420000,3.990000,157580
2.702352,3.590000,2002-08-05,4.100000,3.520000,4.100000,108340
2.845374,3.780000,2002-08-06,3.950000,3.530000,3.650000,139880
2.830318,3.760000,2002-08-07,3.900000,3.700000,3.850000,258980
2.732462,3.630000,2002-08-08,3.950000,3.610000,3.950000,40760
2.785154,3.700000,2002-08-09,3.770000,3.610000,3.700000,80260
2.777627,3.690000,2002-08-12,3.750000,3.660000,3.750000,19760
2.830318,3.760000,2002-08-13,3.790000,3.680000,3.680000,41800
2.883010,3.830000,2002-08-14,3.890000,3.700000,3.700000,58720
2.883010,3.830000,2002-08-15,3.830000,3.830000,3.830000,0
2.875483,3.820000,2002-08-16,3.900000,3.800000,3.840000,43820
2.980868,3.960000,2002-08-19,4.050000,3.860000,3.880000,97200
3.199163,4.250000,2002-08-20,4.290000,3.950000,3.950000,237280
3.116361,4.140000,2002-08-21,4.220000,4.120000,4.120000,78340
3.078724,4.090000,2002-08-22,4.210000,4.060000,4.160000,30560
3.108835,4.130000,2002-08-23,4.150000,4.000000,4.100000,39600
3.086251,4.100000,2002-08-26,4.140000,4.020000,4.020000,64480
2.980868,3.960000,2002-08-27,4.100000,3.960000,4.100000,82760
2.973341,3.950000,2002-08-28,4.000000,3.900000,3.900000,81520
2.935703,3.900000,2002-08-29,3.950000,3.880000,3.950000,69080
2.905593,3.860000,2002-08-30,3.980000,3.830000,3.970000,182980
3.003450,3.990000,2002-09-02,4.000000,3.880000,4.000000,54860
2.905593,3.860000,2002-09-03,3.980000,3.830000,3.980000,67320
2.875483,3.820000,2002-09-04,3.920000,3.810000,3.920000,15520
2.928175,3.890000,2002-09-05,3.890000,3.810000,3.880000,8400
2.845374,3.780000,2002-09-06,3.850000,3.770000,3.810000,14900
2.830318,3.760000,2002-09-09,3.880000,3.760000,3.760000,25320
2.830318,3.760000,2002-09-10,3.760000,3.760000,3.760000,0
2.830318,3.760000,2002-09-11,3.850000,3.650000,3.710000,10160
2.845374,3.780000,2002-09-12,3.850000,3.710000,3.710000,33820
2.928175,3.890000,2002-09-13,3.950000,3.800000,3.800000,74360
2.905593,3.860000,2002-09-16,3.900000,3.850000,3.860000,22220
2.898066,3.850000,2002-09-17,3.930000,3.850000,3.930000,12220
2.867956,3.810000,2002-09-18,3.850000,3.800000,3.800000,4640
2.815264,3.740000,2002-09-19,3.800000,3.730000,3.800000,23200
2.807736,3.730000,2002-09-20,3.740000,3.660000,3.660000,20620
2.739990,3.640000,2002-09-23,3.710000,3.610000,3.710000,16800
2.762572,3.670000,2002-09-24,3.670000,3.570000,3.660000,100500
2.732462,3.630000,2002-09-25,3.680000,3.630000,3.630000,19520
2.747517,3.650000,2002-09-26,3.740000,3.640000,3.740000,5660
