adj_close,close,date,high,low,open,volume
0.295477,1.372500,2002-07-01,1.375000,1.295000,1.295000,21640
0.286220,1.329500,2002-07-02,1.380000,1.325000,1.380000,14300
0.294616,1.368500,2002-07-03,1.450000,1.351000,1.358500,185700
0.301721,1.401500,2002-07-04,1.415000,1.375000,1.375000,41690
0.300429,1.395500,2002-07-05,1.410000,1.380500,1.400000,310550
0.300321,1.395000,2002-07-08,1.410000,1.375500,1.408500,12430
0.303228,1.408500,2002-07-09,1.435000,1.380000,1.380000,27670
0.300752,1.397000,2002-07-10,1.405000,1.385000,1.400000,20690
0.297953,1.384000,2002-07-11,1.405000,1.365000,1.365000,15000
0.296016,1.375000,2002-07-12,1.375000,1.355000,1.375000,3850
0.289342,1.344000,2002-07-15,1.360000,1.327000,1.360000,6660
0.284283,1.320500,2002-07-16,1.340000,1.310500,1.340000,11600
0.285682,1.327000,2002-07-17,1.340000,1.295000,1.335000,13570
0.290311,1.348500,2002-07-18,1.350000,1.310500,1.310500,8580
0.289557,1.345000,2002-07-19,1.359000,1.326000,1.326000,11330
0.289772,1.346000,2002-07-22,1.355000,1.336500,1.344500,49460
0.285682,1.327000,2002-07-23,1.335000,1.255000,1.260000,5100
0.289449,1.344500,2002-07-24,1.345000,1.330000,1.330000,17600
0.290203,1.348000,2002-07-25,1.358500,1.330000,1.345000,32310
0.286005,1.328500,2002-07-26,1.336000,1.316500,1.323500,10360
0.286328,1.330000,2002-07-29,1.330000,1.307000,1.312500,31630
0.284390,1.321000,2002-07-30,1.330000,1.313000,1.325000,14450
0.270182,1.255000,2002-07-31,1.275000,1.230500,1.275000,154090
0.270504,1.256500,2002-08-01,1.277500,1.250000,1.270500,8700
0.263185,1.222500,2002-08-02,1.297500,1.205500,1.228500,16710
0.256834,1.193000,2002-08-05,1.260000,1.180000,1.250000,10900
0.257910,1.198000,2002-08-06,1.219500,1.190000,1.219500,6880
0.257587,1.196500,2002-08-07,1.225000,1.192000,1.205000,14490
0.257803,1.197500,2002-08-08,1.205000,1.191000,1.200000,2900
0.260494,1.210000,2002-08-09,1.245000,1.185000,1.198500,14240
0.262108,1.217500,2002-08-12,1.225000,1.215000,1.217500,5120
0.260817,1.211500,2002-08-13,1.219500,1.205000,1.212500,1870
0.253389,1.177000,2002-08-14,1.199500,1.170000,1.190500,6540
0.253389,1.177000,2002-08-15,1.177000,1.177000,1.177000,0
0.246608,1.145500,2002-08-16,1.184000,1.140500,1.180000,6650
0.257695,1.197000,2002-08-19,1.198000,1.163500,1.179000,10510
0.257695,1.197000,2002-08-20,1.212500,1.180000,1.200000,3540
0.258341,1.200000,2002-08-21,1.200000,1.190000,1.190000,1500
0.261570,1.215000,2002-08-22,1.215000,1.200000,1.200000,2010
0.260817,1.211500,2002-08-23,1.212500,1.211500,1.212500,700
0.257372,1.195500,2002-08-26,1.210000,1.190000,1.210000,4320
0.255865,1.188500,2002-08-27,1.199500,1.185000,1.199500,3610
0.259956,1.207500,2002-08-28,1.207500,1.185000,1.200000,6550
