adj_close,close,date,high,low,open,volume
2.983943,6.360000,2002-07-01,6.560000,6.100000,6.200000,594050
3.059011,6.520000,2002-07-02,6.610000,6.240000,6.610000,594725
3.218529,6.860000,2002-07-03,7.100000,6.560000,6.580000,978175
3.195070,6.810000,2002-07-04,7.080000,6.650000,6.900000,568900
3.317056,7.070000,2002-07-05,7.120000,6.830000,7.010000,1542850
3.711162,7.910000,2002-07-08,8.180000,7.300000,7.470000,3012400
3.575100,7.620000,2002-07-09,8.000000,7.520000,7.640000,1354400
3.462499,7.380000,2002-07-10,7.920000,7.350000,7.600000,717100
3.312363,7.060000,2002-07-11,7.480000,7.020000,7.240000,752625
3.274829,6.980000,2002-07-12,7.320000,6.910000,7.210000,698875
3.237296,6.900000,2002-07-15,7.000000,6.750000,6.850000,294150
3.105927,6.620000,2002-07-16,6.800000,6.580000,6.650000,369675
3.068393,6.540000,2002-07-17,6.820000,6.430000,6.820000,127500
3.087161,6.580000,2002-07-18,7.150000,6.540000,6.600000,330350
3.110619,6.630000,2002-07-19,6.800000,6.560000,6.700000,326975
2.885416,6.150000,2002-07-22,6.500000,6.080000,6.260000,226500
2.955792,6.300000,2002-07-23,6.740000,5.450000,5.460000,174900
2.932333,6.250000,2002-07-24,6.520000,6.200000,6.340000,60875
2.913566,6.210000,2002-07-25,6.400000,6.200000,6.340000,77525
2.711822,5.780000,2002-07-26,6.100000,5.700000,6.100000,250150
2.575761,5.490000,2002-07-29,6.090000,4.940000,5.700000,657900
2.542919,5.420000,2002-07-30,5.600000,5.400000,5.450000,184250
2.641446,5.630000,2002-07-31,5.660000,5.010000,5.050000,139975
2.627371,5.600000,2002-08-01,5.750000,5.500000,5.740000,88500
2.538228,5.410000,2002-08-02,5.530000,5.280000,5.430000,148050
2.599220,5.540000,2002-08-05,5.590000,5.380000,5.500000,250025
2.683671,5.720000,2002-08-06,5.770000,5.600000,5.600000,77450
2.763430,5.890000,2002-08-07,5.950000,5.800000,5.800000,102900
2.622679,5.590000,2002-08-08,5.780000,5.440000,5.540000,283175
2.603912,5.550000,2002-08-09,5.790000,5.250000,5.250000,128050
2.702438,5.760000,2002-08-12,5.770000,5.600000,5.680000,87775
2.707130,5.770000,2002-08-13,5.830000,5.550000,5.800000,235575
2.660213,5.670000,2002-08-14,5.790000,5.520000,5.520000,91275
2.660213,5.670000,2002-08-15,5.670000,5.670000,5.670000,0
2.721205,5.800000,2002-08-16,5.850000,5.330000,5.330000,132775
2.721205,5.800000,2002-08-19,6.000000,5.640000,6.000000,119250
2.800964,5.970000,2002-08-20,6.000000,5.700000,5.990000,294075
2.805656,5.980000,2002-08-21,6.220000,5.820000,5.850000,395125
2.768122,5.900000,2002-08-22,6.200000,5.850000,5.950000,498900
2.815039,6.000000,2002-08-23,6.100000,5.900000,6.000000,345050
2.702438,5.760000,2002-08-26,6.010000,5.740000,6.000000,119400
2.646137,5.640000,2002-08-27,5.930000,5.590000,5.810000,106100
2.646137,5.640000,2002-08-28,5.800000,5.530000,5.650000,100825
2.547611,5.430000,2002-08-29,5.620000,5.420000,5.610000,61550
2.571069,5.480000,2002-08-30,5.550000,5.460000,5.550000,56250
2.556994,5.450000,2002-09-02,5.600000,5.420000,5.520000,81450
2.641446,5.630000,2002-09-03,5.690000,5.430000,5.690000,120500
2.603912,5.550000,2002-09-04,5.640000,5.550000,5.600000,52700
2.627371,5.600000,2002-09-05,5.600000,5.450000,5.500000,227300
2.580453,5.500000,2002-09-06,5.560000,5.460000,5.550000,109475
2.500694,5.330000,2002-09-09,5.500000,5.260000,5.440000,44225
2.500694,5.330000,2002-09-10,5.330000,5.330000,5.330000,0
2.552303,5.440000,2002-09-11,5.560000,5.400000,5.560000,19500
2.566378,5.470000,2002-09-12,5.500000,5.410000,5.410000,27500
2.528844,5.390000,2002-09-13,5.430000,5.390000,5.400000,24000
2.519461,5.370000,2002-09-16,5.490000,5.350000,5.390000,43300
2.533536,5.400000,2002-09-17,5.400000,5.330000,5.340000,52500
2.500694,5.330000,2002-09-18,5.530000,5.300000,5.330000,45075
2.383400,5.080000,2002-09-19,5.260000,4.990000,5.260000,392500
2.420935,5.160000,2002-09-20,5.160000,5.070000,5.070000,12000
2.467851,5.260000,2002-09-23,5.360000,5.150000,5.160000,98250
2.416243,5.150000,2002-09-24,5.180000,5.020000,5.180000,123500
2.369325,5.050000,2002-09-25,5.050000,5.020000,5.040000,57450
2.374017,5.060000,2002-09-26,5.540000,4.890000,5.040000,33025
2.420935,5.160000,2002-09-27,5.270000,5.110000,5.270000,22000
2.420935,5.160000,2002-09-30,5.410000,4.650000,4.650000,69750
2.378709,5.070000,2002-10-01,5.200000,5.010000,5.200000,111800
2.378709,5.070000,2002-10-02,5.070000,5.070000,5.070000,0
2.378709,5.070000,2002-10-03,5.070000,5.000000,5.040000,144600
2.369325,5.050000,2002-10-04,5.150000,5.050000,5.100000,153250
2.369325,5.050000,2002-10-07,5.190000,5.050000,5.060000,103800
