adj_close,close,date,high,low,open,volume
4.147232,8.438969,2005-05-17,9.622912,8.293004,8.703870,137839075
4.426194,9.006613,2005-05-18,9.568851,8.336253,8.336253,180241334
4.503241,9.163391,2005-05-19,9.487759,9.093111,9.147173,51237265
4.423537,9.001207,2005-05-20,9.395855,8.947146,9.244483,25051558
4.346490,8.844429,2005-05-23,9.352605,8.703870,9.190422,11439549
4.288042,8.725494,2005-05-24,8.941740,8.622778,8.920115,6704379
4.195054,8.536280,2005-05-25,8.779556,8.493031,8.768743,5227111
4.115351,8.374096,2005-05-26,8.747119,8.325441,8.547092,10290372
4.277415,8.703870,2005-05-27,9.039050,8.406533,8.422751,19304527
4.242877,8.633590,2005-05-30,8.801180,8.552498,8.757931,8142737
4.288042,8.725494,2005-05-31,8.795774,8.563310,8.693058,5754337
4.354461,8.860648,2005-06-01,9.103923,8.660621,8.811992,18325981
4.296012,8.741713,2005-06-02,8.952552,8.703870,8.952552,4814654
4.269444,8.687651,2005-06-03,8.811992,8.638996,8.795774,3613240
4.396971,8.947146,2005-06-06,9.114736,8.774150,8.806586,6467102
4.394313,8.941740,2005-06-07,9.022832,8.811992,8.974176,3747319
4.755635,9.676973,2005-06-08,9.882406,8.930927,8.941740,47601624
4.787516,9.741847,2005-06-09,10.141901,9.676973,9.768878,38597393
4.726410,9.617506,2005-06-10,9.844563,9.347199,9.812127,14979780
4.784860,9.736441,2005-06-13,9.985123,9.520196,9.568851,18546518
4.848623,9.866188,2005-06-14,10.152713,9.514789,9.768878,16381809
4.776890,9.720222,2005-06-15,10.055402,9.676973,9.936468,7474504
4.553719,9.266107,2005-06-16,9.774284,9.244483,9.747253,6648812
4.532466,9.222858,2005-06-17,9.503977,9.201234,9.309356,7402346
4.699843,9.563445,2005-06-20,9.666161,9.303950,9.325575,8821512
4.625453,9.412073,2005-06-21,9.666161,9.352605,9.612100,6234412
4.641393,9.444510,2005-06-22,9.509383,9.271514,9.509383,5880407
4.723754,9.612100,2005-06-23,9.785096,9.460728,9.514789,11055846
4.774232,9.714816,2005-06-24,9.828345,9.298544,9.541820,6812201
4.633422,9.428291,2005-06-27,9.828345,9.320169,9.720222,5181358
4.588257,9.336387,2005-06-28,9.487759,9.287732,9.460728,2692323
4.572318,9.303950,2005-06-29,9.439104,9.266107,9.298544,1262890
4.569660,9.298544,2005-06-30,9.395855,9.244483,9.358012,2437427
4.516525,9.190422,2005-07-01,9.406667,9.082299,9.406667,2168732
4.476673,9.109330,2005-07-04,9.352605,8.947146,9.190422,2531450
4.500584,9.157985,2005-07-05,9.395855,9.082299,9.082299,3970409
4.532466,9.222858,2005-07-06,9.401261,9.082299,9.260701,3476303
4.439477,9.033644,2005-07-07,9.368824,8.984989,9.271514,2197088
4.513867,9.185015,2005-07-08,9.271514,9.082299,9.185015,1987271
4.620140,9.401261,2005-07-11,9.839157,9.298544,9.363418,11556380
4.636080,9.433697,2005-07-12,9.509383,9.039050,9.406667,5740945
4.734380,9.633724,2005-07-13,9.763471,9.439104,9.514789,7606133
5.053193,10.282460,2005-07-14,10.617640,9.649943,9.676973,35862710
5.021313,10.217586,2005-07-15,10.633858,10.163525,10.433832,13899238
4.962865,10.098652,2005-07-18,10.374364,10.055402,10.336521,4785622
4.923012,10.017560,2005-07-19,10.244617,9.947280,10.195962,3574034
4.968177,10.109464,2005-07-20,10.379770,10.001341,10.125682,3195816
4.843309,9.855376,2005-07-21,10.352740,9.731035,10.320303,5513074
4.907071,9.985123,2005-07-22,10.736575,9.925655,10.055402,13638266
4.691872,9.547226,2005-07-25,10.190556,9.514789,10.055402,7936249
4.646707,9.455322,2005-07-26,9.731035,9.352605,9.731035,2975307
