adj_close,close,date,high,low,open,volume
67.587021,68.102409,2014-12-18,68.102409,64.870583,64.870583,947441
70.933823,71.474739,2014-12-19,71.474739,71.474739,71.474739,64601
70.283058,70.819008,2014-12-22,75.034424,69.507545,75.034424,8076062
67.494049,68.008728,2014-12-23,74.331856,67.306160,71.193710,18978143
70.840866,71.381065,2014-12-24,71.381065,66.697266,67.493515,905139
74.373604,74.940750,2014-12-26,74.940750,73.535606,74.940750,936481
74.513046,75.081261,2014-12-29,78.172569,74.003990,76.767433,868340
72.653717,73.207748,2014-12-30,75.502808,71.708931,75.502808,533873
76.279427,76.861107,2014-12-31,76.861107,73.676125,73.676125,868138
80.091080,80.701820,2015-01-01,80.701820,78.313080,78.687790,594580
82.694153,83.324745,2015-01-02,88.945305,82.715851,83.465263,3675757
85.204262,85.853996,2015-01-05,87.540161,82.762688,84.027313,2180050
80.230522,80.842331,2015-01-06,84.823563,80.561310,84.214668,1790570
83.158989,83.793129,2015-01-07,84.917236,79.999252,81.451225,1871377
90.085030,90.771980,2015-01-08,94.144318,83.512100,85.151428,6814236
107.562828,108.383057,2015-01-09,108.898277,91.427711,91.708740,13220339
120.810631,121.731880,2015-01-12,125.900459,106.228516,110.537605,18666447
112.397110,113.254211,2015-01-13,122.902832,110.865471,118.874763,8002882
109.375679,110.209740,2015-01-14,116.860733,107.212112,114.284645,3494112
111.513924,112.364288,2015-01-15,116.579704,108.991951,111.708557,2943212
118.021614,118.921600,2015-01-16,120.560928,109.928711,111.568039,4448936
116.162277,117.048080,2015-01-19,122.621803,116.298676,119.764687,1765311
112.676010,113.535233,2015-01-20,117.750656,111.942741,117.094917,1221107
109.608109,110.443932,2015-01-21,115.830299,109.600845,113.582077,1164618
108.864365,109.694519,2015-01-22,114.237808,109.132469,110.959145,1212154
103.425797,104.214478,2015-01-23,112.036423,102.856178,111.474365,1274985
113.745132,114.612511,2015-01-27,114.612511,99.483849,105.010727,2047207
106.865570,107.680489,2015-01-28,118.968437,106.462700,116.767059,2306477
106.912056,107.727325,2015-01-29,112.598473,106.369026,107.539978,1547884
100.962173,101.732071,2015-01-30,110.256577,99.858551,108.991951,1625324
110.305359,111.146500,2015-02-02,111.895905,101.451042,103.043533,2677607
108.446014,109.272980,2015-02-03,113.020020,106.603218,111.942741,1125077
107.097992,107.914680,2015-02-04,112.270615,106.790565,110.069229,1291338
106.679649,107.493141,2015-02-05,113.347885,106.087997,108.617249,1779407
105.238655,106.041161,2015-02-06,109.835037,105.385429,108.523575,1155357
100.497330,101.263687,2015-02-09,107.118431,100.795311,104.917046,728741
97.197014,97.938194,2015-02-10,104.823372,97.188782,100.233253,839953
93.664261,94.378510,2015-02-11,101.076340,92.130287,99.015465,1680463
98.033707,98.781273,2015-02-12,100.233253,94.612694,94.612694,1290780
99.521179,100.280090,2015-02-13,103.792938,98.921791,99.671196,1061597
99.474701,100.233253,2015-02-16,103.605583,99.390167,100.935822,832227
98.219643,98.968628,2015-02-18,102.387802,98.359734,101.123177,827968
106.214806,107.024757,2015-02-19,108.570412,98.500252,98.968628,2609765
105.610519,106.415863,2015-02-20,110.912308,103.511909,106.696892,2162923
105.099205,105.900650,2015-02-23,110.537605,105.010727,107.305786,1126562
102.867996,103.652428,2015-02-24,108.570412,102.200447,105.900650,730218
103.053932,103.839775,2015-02-25,105.479103,102.200447,103.839775,798281
98.730965,99.483849,2015-02-26,104.120804,98.734436,104.120804,746132
99.800087,100.561119,2015-02-27,102.434639,99.296494,99.483849,520101
null,null,2015-02-28,null,null,null,null
111.606895,112.457962,2015-03-02,114.003616,99.671196,102.200447,3006962
111.235023,112.083260,2015-03-03,116.064484,109.226143,112.551636,2165842
105.749977,106.556381,2015-03-04,114.190964,105.900650,113.301048,849228
107.051514,107.867844,2015-03-05,109.788200,105.432266,106.603218,792976
107.330414,108.148872,2015-03-09,114.097290,107.493141,108.102028,970270
111.095566,111.942741,2015-03-10,117.001244,108.664085,108.664085,2681332
111.699852,112.551636,2015-03-11,115.923973,111.474365,113.066856,1421260
111.513924,112.364288,2015-03-12,115.268242,111.474365,113.722588,850759
107.005028,107.821007,2015-03-13,114.003616,106.977921,113.113693,1013723
105.006233,105.806969,2015-03-16,108.991951,104.354996,107.821007,572964
105.842934,106.650055,2015-03-17,108.476738,105.010727,106.743729,427961
105.052719,105.853806,2015-03-18,107.258949,105.479103,107.258949,336836
106.307770,107.118431,2015-03-19,111.005981,106.509537,106.837402,928522
106.075363,106.884247,2015-03-20,107.727325,103.090370,107.118431,877203
100.590294,101.357361,2015-03-23,107.633652,100.326927,107.633652,672652
98.452065,99.202820,2015-03-24,103.418236,98.640762,101.170013,469120
96.499763,97.235626,2015-03-25,101.825745,96.579887,99.671196,511291
94.779861,95.502617,2015-03-26,97.844513,94.659531,96.486214,495356
94.872833,95.596291,2015-03-27,97.329300,90.959335,95.736809,1054597
98.452065,99.202820,2015-03-30,99.999062,96.392540,97.001434,703182
99.660629,100.420601,2015-03-31,101.732071,97.001434,99.390167,534723
102.775024,103.558746,2015-04-01,104.448669,99.296494,100.607956,717131
102.728546,103.511909,2015-04-06,105.666458,101.919418,103.839775,519079
101.473488,102.247284,2015-04-07,104.354996,100.982658,104.354996,433865
110.119415,110.959145,2015-04-08,112.364288,102.340958,103.418236,2085372
111.142059,111.989586,2015-04-09,114.097290,108.195709,111.895905,1812113
128.015564,128.991760,2015-04-10,130.865280,112.176933,112.176933,6594640
125.087105,126.040970,2015-04-13,132.691971,124.776344,128.944931,2306766
125.551941,126.509354,2015-04-15,134.237625,122.481285,126.415680,3295843
123.878540,124.823189,2015-04-16,128.008163,121.310341,126.462517,1441107
124.575790,125.525757,2015-04-17,131.567856,123.090179,124.588997,1866069
117.091942,117.984840,2015-04-20,127.820816,115.689781,125.525757,1193755
120.206345,121.122986,2015-04-21,125.057373,117.094917,118.968437,1146742
120.020409,120.935638,2015-04-22,124.588997,117.094917,121.919235,933264
118.486458,119.389984,2015-04-23,123.652237,118.500061,122.059746,617773
111.560410,112.411125,2015-04-24,120.045715,110.256577,119.905197,675474
102.682060,103.465073,2015-04-27,115.783455,102.387802,113.254211,715051
100.869202,101.638390,2015-04-28,102.949852,95.174751,99.483849,1065997
103.983597,104.776535,2015-04-29,107.867844,100.280090,101.170013,797403
105.517555,106.322189,2015-04-30,108.289383,102.996696,103.043533,437862
107.934700,108.757767,2015-05-04,110.162903,106.884247,106.884247,387638
108.027664,108.851440,2015-05-05,111.849068,107.727325,109.132469,451267
99.893044,100.654793,2015-05-06,109.507172,100.326927,108.570412,554053
99.335243,100.092735,2015-05-07,102.621986,98.359734,100.233253,506258
101.938324,102.715668,2015-05-08,106.228516,101.919418,102.294121,450803
102.310196,103.090370,2015-05-11,105.572784,102.106773,104.308159,251100
99.428215,100.186417,2015-05-12,104.120804,99.764870,102.340958,316460
101.380524,102.153610,2015-05-13,103.699265,100.045898,100.935822,379557
102.960960,103.746101,2015-05-14,105.104401,100.607956,102.106773,329148
102.682060,103.465073,2015-05-15,105.572784,102.668823,103.746101,264804
100.776237,101.544716,2015-05-18,104.354996,100.888985,103.558746,324413
104.401947,105.198074,2015-05-19,107.539978,101.263687,101.732071,568801
104.216019,105.010727,2015-05-20,106.743729,103.558746,104.917046,276884
102.496117,103.277718,2015-05-21,105.853806,102.434639,105.338593,239807
103.286346,104.073967,2015-05-22,106.228516,103.839775,104.401833,257896
101.194580,101.966255,2015-05-25,104.589188,101.638390,104.027130,134306
101.798874,102.575150,2015-05-26,104.729698,101.357361,101.919418,204044
98.126678,98.874954,2015-05-27,101.966255,98.125542,101.404205,427391
102.356674,103.137207,2015-05-28,103.511909,99.062302,99.062302,353108
105.238655,106.041161,2015-05-29,107.165276,103.043533,103.418236,539990
102.263710,103.043533,2015-06-01,106.650055,102.575150,106.275352,183786
97.104034,97.844513,2015-06-02,104.823372,96.579887,103.371399,550392
93.850197,94.565857,2015-06-03,98.312897,90.959335,98.078705,764147
96.406784,97.141945,2015-06-04,98.266060,94.612694,95.127914,367793
96.220848,96.954597,2015-06-05,98.828117,95.315269,95.315269,222062
93.524811,94.237991,2015-06-08,97.985031,92.270798,96.907761,293155
93.524811,94.237991,2015-06-09,96.064674,92.364471,94.237991,257933
95.477119,96.205185,2015-06-10,97.469810,93.910126,93.910126,220031
92.641617,93.348068,2015-06-11,97.422974,92.739182,97.095108,245719
91.758438,92.458153,2015-06-12,94.144318,91.989769,93.113884,170896
93.106461,93.816452,2015-06-15,95.034241,92.458153,92.458153,193479
92.688110,93.394913,2015-06-16,94.003799,91.380875,94.003799,163577
93.617775,94.331673,2015-06-17,95.783646,92.832855,93.863289,275336
95.802498,96.533051,2015-06-18,98.687599,93.816452,94.565857,438084
96.964584,97.704002,2015-06-19,99.530685,96.486214,97.188782,302666
101.566452,102.340958,2015-06-22,105.947487,97.282463,97.469810,651540
102.077774,102.856178,2015-06-23,106.603218,102.294121,104.167641,394604
98.870407,99.624359,2015-06-24,103.324562,99.109138,103.230881,213975
99.056351,99.811714,2015-06-25,102.294121,98.453407,98.453407,215884
97.197014,97.938194,2015-06-26,100.748466,97.376137,99.296494,255100
94.640411,95.362106,2015-06-29,96.252022,93.582260,95.081078,276536
95.756020,96.486214,2015-06-30,98.172379,94.659531,95.830482,211422
98.498550,99.249657,2015-07-01,100.654793,96.298866,96.860916,559749
97.661842,98.406570,2015-07-02,100.982658,97.657166,99.249657,280214
95.756020,96.486214,2015-07-03,99.577522,95.877319,98.781273,274295
96.778656,97.516647,2015-07-06,98.172379,94.612694,96.252022,205826
97.057556,97.797676,2015-07-07,100.233253,96.720406,98.172379,443643
94.547447,95.268425,2015-07-08,98.078705,94.800049,97.188782,511271
99.242279,99.999062,2015-07-09,102.528313,95.268425,95.268425,1019025
98.730965,99.483849,2015-07-10,102.013092,98.593925,101.357361,394531
102.496117,103.277718,2015-07-13,104.776535,98.500252,99.437004,878792
106.772606,107.586815,2015-07-14,109.319817,103.511909,103.511909,1363257
111.420959,112.270615,2015-07-15,113.956779,107.352623,108.383057,1845030
107.748756,108.570412,2015-07-16,113.254211,107.821007,113.254211,508826
107.748756,108.570412,2015-07-17,111.942741,107.165276,109.038788,502234
108.864365,109.694519,2015-07-20,111.380692,107.821007,109.413490,439681
106.540192,107.352623,2015-07-21,113.254211,106.134834,109.554008,698518
108.353050,109.179306,2015-07-22,111.287010,106.837402,107.305786,271970
108.910851,109.741364,2015-07-23,113.675751,108.195709,109.881874,586212
107.516342,108.336220,2015-07-24,111.146500,107.727325,109.600845,454483
104.262497,105.057564,2015-07-27,108.523575,104.308159,107.961517,284382
111.467445,112.317451,2015-07-28,116.860733,104.448669,105.572784,2989564
115.790405,116.673378,2015-07-29,118.500061,112.504799,113.441559,1798440
117.510300,118.406387,2015-07-30,120.186226,115.970810,117.375946,1132552
130.246780,131.239990,2015-07-31,133.019836,118.406387,118.406387,4283975
142.704346,143.792557,2015-08-03,149.319443,131.989395,131.989395,5498097
148.654251,149.787827,2015-08-04,153.394348,138.078339,145.197708,3295573
150.560059,151.708176,2015-08-05,157.703445,146.274979,150.677750,2703106
152.047546,153.207001,2015-08-06,155.970428,148.663712,150.911942,1992731
170.873352,172.176376,2015-08-07,181.262939,151.848694,152.223404,6603247
159.624344,160.841583,2015-08-10,175.642380,158.499680,171.989014,2146072
163.389526,164.635468,2015-08-11,172.270050,159.764313,162.059372,1501156
152.930740,154.096924,2015-08-12,167.679932,152.785461,161.497314,1438164
147.864014,148.991577,2015-08-13,160.560562,147.586441,155.408386,930465
159.531387,160.747910,2015-08-14,164.869644,150.162521,150.162521,1974672
163.157104,164.401276,2015-08-17,167.117874,154.658966,161.122620,1179532
181.053253,182.433884,2015-08-18,189.225388,163.932892,166.368469,5059731
180.309509,181.684479,2015-08-19,190.536850,178.265305,181.684479,3250287
175.661163,177.000687,2015-08-20,188.288635,174.237244,181.028748,2129155
179.286865,180.654037,2015-08-21,182.574402,168.616684,171.520645,1629804
161.390732,162.621429,2015-08-24,173.019455,162.621429,169.834473,1205106
153.256119,154.424789,2015-08-25,163.932892,146.368652,162.996124,2332513
150.513580,151.661346,2015-08-26,160.466873,148.663712,152.036041,884437
161.158310,162.387238,2015-08-27,166.790009,154.893158,155.502060,1465171
154.975998,156.157791,2015-08-28,167.117874,154.284271,165.057007,963440
157.114243,158.312332,2015-08-31,160.747910,152.504425,155.033676,962330
152.419403,153.581696,2015-09-01,162.153046,150.818253,155.033676,1101154
153.813904,154.986832,2015-09-02,159.202255,152.082886,157.094543,978946
159.066544,160.279526,2015-09-03,162.715103,155.970428,155.970428,1056437
157.672043,158.874390,2015-09-04,163.277161,154.705811,160.185852,1403672
147.492157,148.616867,2015-09-07,162.902451,146.743362,160.185852,689174
148.886673,150.022018,2015-09-08,153.534866,139.249283,149.694153,1028767
153.813904,154.986832,2015-09-09,157.750275,153.441193,153.441193,505006
155.952164,157.141388,2015-09-10,158.171814,149.694153,150.911942,593981
158.787659,159.998505,2015-09-11,164.026566,157.562927,158.031311,1023454
159.949738,161.169449,2015-09-14,164.775970,158.874390,161.122620,474464
155.719742,156.907196,2015-09-15,162.434082,155.876755,161.169449,336394
154.092819,155.267868,2015-09-16,160.092178,154.003235,158.312332,317121
149.165558,150.303040,2015-09-18,161.872025,148.944733,157.000870,1078429
155.208420,156.391983,2015-09-21,157.375580,148.616867,150.068848,1345616
151.024902,152.176559,2015-09-22,161.778336,150.396713,157.375580,1174331
158.462265,159.670639,2015-09-23,161.872025,149.038422,149.038422,1235554
162.924683,164.167084,2015-09-24,169.366089,158.687042,159.249100,1638713
158.973572,160.185852,2015-09-28,167.211548,159.389603,165.338028,719543
157.067764,158.265503,2015-09-29,161.309967,152.317078,157.375580,811608
160.321609,161.544159,2015-09-30,164.541779,159.342773,159.904831,719113
170.455017,171.754837,2015-10-01,174.471436,161.309967,163.183487,3183662
174.963898,176.298111,2015-10-05,179.295746,172.551071,173.768860,2045801
