adj_close,close,date,high,low,open,volume
31.849541,41.529999,2018-09-28,46.500000,40.910000,41.200001,56754790
32.746826,42.700001,2018-10-01,43.485001,40.660000,41.810001,6246240
32.317360,42.139999,2018-10-03,43.785000,41.855000,43.134998,2797650
31.220680,40.709999,2018-10-04,41.900002,40.400002,41.900002,2323640
30.660839,39.980000,2018-10-05,40.910000,38.830002,40.700001,3735300
29.299589,38.205002,2018-10-08,40.000000,38.000000,39.799999,1343180
27.888481,36.365002,2018-10-09,38.625000,35.500000,38.250000,2516940
27.995852,36.505001,2018-10-10,38.439999,35.669998,36.700001,6824820
27.681417,36.095001,2018-10-11,37.310001,35.005001,35.980000,1919870
28.222084,36.799999,2018-10-12,37.340000,36.209999,37.099998,2589690
28.789597,37.540001,2018-10-15,37.880001,36.855000,37.400002,2281080
29.096352,37.939999,2018-10-16,39.200001,37.200001,37.840000,2342680
28.191410,36.759998,2018-10-17,38.480000,36.560001,38.480000,1099970
27.742771,36.174999,2018-10-19,36.709999,36.000000,36.709999,594940
27.286467,35.580002,2018-10-22,36.490002,35.500000,36.389999,508450
26.676771,34.785000,2018-10-23,35.580002,34.605000,35.580002,609410
26.496548,34.549999,2018-10-24,35.459999,34.400002,35.299999,556270
26.281820,34.270000,2018-10-25,34.935001,33.799999,34.380001,539670
26.577076,34.654999,2018-10-26,35.299999,34.095001,34.320000,613980
26.730453,34.855000,2018-10-29,35.185001,34.500000,35.000000,576260
26.715120,34.834999,2018-10-30,35.744999,34.709999,35.090000,777200
26.642262,34.740002,2018-10-31,35.180000,34.455002,35.090000,404030
27.332472,35.639999,2018-11-01,36.200001,34.700001,34.910000,1432030
27.677589,36.090000,2018-11-02,37.119999,35.865002,36.060001,1817750
28.041855,36.564999,2018-11-05,36.900002,36.200001,36.299999,433010
27.915331,36.400002,2018-11-06,37.000000,36.200001,37.000000,400310
28.478998,37.134998,2018-11-07,37.355000,36.494999,36.740002,499290
29.548826,38.529999,2018-11-09,39.000000,37.209999,37.349998,1340130
31.259033,40.759998,2018-11-12,41.764999,38.849998,38.875000,3099970
31.872547,41.560001,2018-11-13,41.980000,40.400002,40.700001,2841870
32.298187,42.115002,2018-11-14,42.500000,40.799999,42.500000,5148410
32.390209,42.235001,2018-11-15,43.180000,41.500000,42.419998,3015070
31.822697,41.494999,2018-11-16,42.700001,41.205002,42.130001,1028090
31.450754,41.009998,2018-11-19,41.779999,40.680000,41.494999,428820
30.818058,40.185001,2018-11-20,41.375000,40.000000,40.799999,487210
30.541975,39.825001,2018-11-21,40.669998,39.605000,40.200001,553750
29.817251,38.880001,2018-11-22,40.200001,38.700001,39.970001,382310
29.851761,38.924999,2018-11-26,39.744999,37.700001,39.000000,652240
31.324217,40.845001,2018-11-27,41.095001,38.500000,38.500000,1075660
32.486076,42.360001,2018-11-28,42.599998,41.000000,41.000000,2184300
32.804348,42.775002,2018-11-29,43.485001,41.799999,42.500000,1564090
32.957722,42.974998,2018-11-30,43.099998,42.255001,42.799999,674970
33.183956,43.270000,2018-12-03,43.889999,42.799999,43.200001,748810
32.666302,42.595001,2018-12-04,43.299999,42.130001,43.299999,384860
33.318165,43.445000,2018-12-05,43.900002,42.200001,42.200001,2394120
33.068920,43.119999,2018-12-06,43.959999,42.250000,43.389999,1958240
32.973064,42.994999,2018-12-07,43.750000,42.650002,43.349998,1430850
31.926233,41.630001,2018-12-10,42.599998,41.465000,41.799999,703030
31.895565,41.590000,2018-12-11,42.294998,40.355000,41.205002,504790
32.581940,42.485001,2018-12-12,43.000000,41.724998,42.000000,470890
32.524422,42.410000,2018-12-13,43.290001,42.299999,42.990002,355890
32.612621,42.525002,2018-12-14,43.044998,42.055000,42.209999,342160
35.185581,45.880001,2018-12-17,47.099998,42.700001,43.000000,14966000
35.542191,46.345001,2018-12-18,46.875000,45.325001,45.639999,5064700
35.254601,45.970001,2018-12-19,46.764999,45.720001,46.529999,1632580
34.836639,45.424999,2018-12-20,46.599998,44.865002,45.500000,1546660
34.322815,44.755001,2018-12-21,45.705002,44.455002,45.200001,981360
33.525227,43.715000,2018-12-24,44.900002,43.619999,44.755001,540850
34.023716,44.365002,2018-12-26,44.799999,42.599998,43.500000,1146320
34.706264,45.255001,2018-12-27,45.485001,44.090000,44.400002,983050
34.782951,45.355000,2018-12-28,45.939999,45.080002,45.255001,564860
34.169430,44.555000,2018-12-31,45.895000,44.500000,45.500000,601810
34.292130,44.715000,2019-01-01,45.294998,44.305000,44.735001,409800
33.548237,43.744999,2019-01-02,44.990002,43.599998,44.509998,374770
32.827347,42.805000,2019-01-03,44.154999,42.660000,43.799999,630570
32.336529,42.165001,2019-01-04,43.279999,42.049999,43.000000,581990
31.953079,41.665001,2019-01-07,43.189999,41.509998,42.500000,637140
31.646320,41.264999,2019-01-08,41.930000,41.154999,41.700001,475480
31.638643,41.255001,2019-01-09,42.209999,41.154999,41.400002,712090
31.749851,41.400002,2019-01-10,42.180000,41.200001,41.270000,636240
31.941576,41.650002,2019-01-11,42.180000,41.355000,41.880001,761540
31.692327,41.325001,2019-01-14,41.900002,41.060001,41.410000,418180
31.508274,41.084999,2019-01-15,41.570000,40.820000,41.400002,589360
31.968414,41.685001,2019-01-16,41.900002,41.099998,41.099998,471310
32.302017,42.119999,2019-01-17,43.195000,41.730000,41.799999,1548890
31.489098,41.060001,2019-01-18,42.349998,40.915001,42.349998,689570
31.270529,40.775002,2019-01-21,41.540001,40.610001,41.099998,330360
30.430773,39.680000,2019-01-22,40.775002,39.439999,40.775002,619770
29.901606,38.990002,2019-01-23,39.994999,38.805000,39.500000,367350
29.498981,38.465000,2019-01-24,39.369999,38.369999,39.369999,461120
29.759731,38.805000,2019-01-25,39.950001,38.500000,38.599998,1005850
28.808765,37.564999,2019-01-28,39.384998,37.099998,39.000000,644440
29.119370,37.970001,2019-01-29,38.389999,37.599998,37.599998,295770
29.625526,38.630001,2019-01-30,39.299999,38.180000,38.200001,329240
29.890099,38.974998,2019-01-31,39.349998,38.605000,39.009998,488890
29.487476,38.450001,2019-02-01,39.389999,38.320000,39.389999,362150
29.142374,38.000000,2019-02-04,39.099998,37.669998,38.599998,347270
29.663862,38.680000,2019-02-05,39.000000,38.005001,38.099998,402340
29.556501,38.540001,2019-02-06,39.244999,38.099998,38.904999,355160
29.882433,38.965000,2019-02-07,39.275002,38.575001,38.779999,438850
29.667698,38.685001,2019-02-08,39.285000,38.560001,39.049999,784270
29.767401,38.814999,2019-02-11,39.205002,38.099998,38.619999,360280
29.947620,39.049999,2019-02-12,39.400002,38.610001,39.200001,349950
29.544994,38.525002,2019-02-14,38.945000,38.349998,38.549999,200330
29.988333,38.014999,2019-02-15,38.299999,37.110001,37.110001,360010
28.986485,36.744999,2019-02-18,38.000000,36.200001,38.000000,181000
29.100868,36.889999,2019-02-19,37.470001,36.400002,36.735001,281020
29.227089,37.049999,2019-02-20,37.310001,36.630001,36.645000,274710
29.700403,37.650002,2019-02-21,37.970001,37.000000,37.400002,203770
30.142160,38.209999,2019-02-22,38.480000,37.509998,37.509998,219460
30.323597,38.439999,2019-02-25,38.599998,38.000000,38.000000,114900
29.834505,37.820000,2019-02-26,38.195000,37.500000,38.099998,184930
30.067225,38.115002,2019-02-27,39.340000,37.514999,37.700001,439930
31.589701,40.044998,2019-02-28,40.599998,38.110001,38.110001,1099940
32.102470,40.695000,2019-03-01,41.299999,39.465000,40.500000,1108170
33.104313,41.965000,2019-03-05,42.840000,35.810001,40.895000,1629170
33.707783,42.730000,2019-03-06,43.000000,41.700001,42.400002,803630
33.624950,42.625000,2019-03-07,43.099998,42.215000,43.080002,469100
33.912884,42.990002,2019-03-08,44.000000,42.000000,42.360001,1053720
33.861614,42.924999,2019-03-11,43.549999,42.665001,42.665001,388910
33.826118,42.880001,2019-03-12,43.500000,42.700001,43.200001,747210
33.230522,42.125000,2019-03-13,43.294998,41.869999,43.294998,436080
33.009651,41.845001,2019-03-14,42.700001,41.610001,41.825001,271910
32.532391,41.240002,2019-03-15,42.400002,41.110001,41.900002,309140
32.354897,41.014999,2019-03-18,42.099998,40.830002,41.110001,293720
32.177402,40.790001,2019-03-19,41.250000,40.610001,41.099998,235950
32.153744,40.759998,2019-03-20,41.750000,40.654999,41.035000,462100
31.660706,40.134998,2019-03-22,41.000000,40.005001,40.904999,196470
30.978344,39.270000,2019-03-25,39.974998,39.200001,39.974998,157140
