adj_close,close,date,high,low,open,volume
5.741953,8.290000,2002-08-12,8.350000,8.180000,8.205000,319840
5.970523,8.620000,2002-08-13,8.960000,8.350000,8.500000,1255090
5.939353,8.575000,2002-08-14,8.840000,8.550000,8.640000,555980
5.939353,8.575000,2002-08-15,8.575000,8.575000,8.575000,0
5.956670,8.600000,2002-08-16,8.730000,8.580000,8.680000,229830
6.081344,8.780000,2002-08-19,8.850000,8.615000,8.675000,589210
6.081344,8.780000,2002-08-20,8.895000,8.700000,8.850000,354950
6.199093,8.950000,2002-08-21,9.030000,8.710000,8.800000,761470
6.275283,9.060000,2002-08-22,9.300000,8.870000,9.000000,564820
6.348010,9.165000,2002-08-23,9.475000,9.125000,9.150000,906280
6.396493,9.235000,2002-08-26,9.390000,9.125000,9.140000,321580
6.244114,9.015000,2002-08-27,9.210000,7.770000,9.200000,293600
6.209483,8.965000,2002-08-28,9.095000,8.910000,8.980000,178810
6.157535,8.890000,2002-08-29,9.015000,8.850000,9.015000,137690
6.271820,9.055000,2002-08-30,9.140000,8.885000,8.940000,302290
6.133291,8.855000,2002-09-02,9.200000,8.815000,9.190000,236300
6.067492,8.760000,2002-09-03,8.950000,8.700000,8.890000,341120
6.053639,8.740000,2002-09-04,8.840000,8.600000,8.700000,229340
6.112514,8.825000,2002-09-05,8.870000,8.800000,8.800000,166570
6.029396,8.705000,2002-09-06,8.810000,8.700000,8.800000,140840
5.946281,8.585000,2002-09-09,8.790000,8.575000,8.790000,223140
5.946281,8.585000,2002-09-10,8.585000,8.585000,8.585000,0
6.081344,8.780000,2002-09-11,8.850000,8.630000,8.695000,201520
6.129829,8.850000,2002-09-12,8.885000,8.800000,8.860000,291800
6.164461,8.900000,2002-09-13,9.025000,8.810000,8.825000,1867470
6.025933,8.700000,2002-09-16,9.400000,8.650000,9.400000,179600
6.154071,8.885000,2002-09-17,8.920000,8.675000,8.795000,328600
6.070956,8.765000,2002-09-18,8.895000,8.715000,8.730000,70870
6.022471,8.695000,2002-09-19,8.800000,8.600000,8.725000,148560
5.994764,8.655000,2002-09-20,8.730000,8.530000,8.600000,137080
6.043251,8.725000,2002-09-23,8.880000,8.460000,8.505000,99960
6.005154,8.670000,2002-09-24,8.700000,8.610000,8.660000,102630
6.043251,8.725000,2002-09-25,8.740000,8.450000,8.505000,82320
6.070956,8.765000,2002-09-26,8.800000,8.715000,8.720000,69350
6.282209,9.070000,2002-09-27,9.450000,8.760000,8.765000,1170480
6.285673,9.075000,2002-09-30,9.300000,8.920000,9.300000,705580
6.247579,9.020000,2002-10-01,9.100000,8.850000,9.095000,389900
6.247579,9.020000,2002-10-02,9.020000,9.020000,9.020000,0
6.327231,9.135000,2002-10-03,9.200000,8.965000,9.015000,246360
6.261431,9.040000,2002-10-04,9.230000,9.000000,9.180000,322580
6.316840,9.120000,2002-10-07,9.400000,9.010000,9.400000,412770
6.341083,9.155000,2002-10-08,9.350000,9.140000,9.300000,444940
6.171387,8.910000,2002-10-09,9.230000,8.800000,9.125000,316440
6.095198,8.800000,2002-10-10,8.945000,8.765000,8.800000,189550
5.942818,8.580000,2002-10-11,8.855000,8.520000,8.805000,466450
5.835459,8.425000,2002-10-14,8.595000,8.360000,8.550000,531710
5.835459,8.425000,2002-10-15,8.425000,8.425000,8.425000,0
5.831995,8.420000,2002-10-16,8.525000,8.400000,8.500000,151690
5.693469,8.220000,2002-10-17,8.400000,8.200000,8.400000,320140
5.762732,8.320000,2002-10-18,8.490000,8.200000,8.490000,187530
5.700395,8.230000,2002-10-21,8.415000,8.150000,8.345000,182820
5.710784,8.245000,2002-10-22,8.385000,8.180000,8.375000,172460
5.672690,8.190000,2002-10-23,8.275000,8.160000,8.275000,111700
5.617279,8.110000,2002-10-24,8.200000,8.035000,8.200000,197860
5.582647,8.060000,2002-10-25,8.150000,8.010000,8.030000,180030
5.534163,7.990000,2002-10-28,8.600000,7.865000,8.600000,406080
5.648448,8.155000,2002-10-29,8.195000,8.015000,8.070000,184960
5.683079,8.205000,2002-10-30,8.285000,8.130000,8.250000,143980
5.769658,8.330000,2002-10-31,8.360000,8.200000,8.250000,112650
5.717710,8.255000,2002-11-01,8.360000,8.250000,8.300000,149650
5.766196,8.325000,2002-11-04,8.370000,8.250000,8.320000,48940
5.773121,8.335000,2002-11-05,8.375000,8.265000,8.350000,71050
5.773121,8.335000,2002-11-06,8.335000,8.335000,8.335000,0
5.693469,8.220000,2002-11-07,8.400000,8.200000,8.400000,172660
5.634595,8.135000,2002-11-08,8.280000,8.075000,8.280000,263760
5.679616,8.200000,2002-11-11,8.300000,8.150000,8.200000,151150
5.679616,8.200000,2002-11-12,8.210000,8.090000,8.190000,167940
5.641521,8.145000,2002-11-13,8.220000,8.020000,8.020000,150530
5.561868,8.030000,2002-11-14,8.200000,8.000000,8.150000,168680
5.572258,8.045000,2002-11-15,8.100000,8.010000,8.100000,169080
5.593036,8.075000,2002-11-18,8.150000,8.000000,8.125000,297020
5.593036,8.075000,2002-11-19,8.075000,8.075000,8.075000,0
5.613815,8.105000,2002-11-20,8.190000,8.050000,8.105000,470200
5.631131,8.130000,2002-11-21,8.200000,8.100000,8.100000,256540
5.728101,8.270000,2002-11-22,8.390000,8.180000,8.195000,1005400
5.651911,8.160000,2002-11-25,8.395000,8.105000,8.205000,497260
5.731563,8.275000,2002-11-26,8.320000,8.220000,8.290000,359390
5.696932,8.225000,2002-11-27,8.380000,8.205000,8.275000,574470
5.748880,8.300000,2002-11-28,8.370000,8.260000,8.345000,215200
5.748880,8.300000,2002-11-29,8.300000,8.300000,8.300000,0
6.098660,8.805000,2002-12-02,8.850000,8.400000,8.445000,1145120
6.133291,8.855000,2002-12-03,9.090000,8.750000,8.985000,936410
5.977449,8.630000,2002-12-04,8.830000,8.610000,8.830000,237530
5.991302,8.650000,2002-12-05,8.750000,8.590000,8.590000,267860
6.192165,8.940000,2002-12-06,8.990000,8.610000,8.610000,668550
6.157535,8.890000,2002-12-09,9.245000,8.800000,9.105000,958880
6.240651,9.010000,2002-12-10,9.050000,8.850000,8.990000,504700
6.251040,9.025000,2002-12-11,9.230000,8.950000,9.100000,1047370
6.767055,9.770000,2002-12-12,9.850000,9.085000,9.190000,3015330
7.082205,10.225000,2002-12-13,10.300000,9.850000,9.860000,2449680
7.085666,10.230000,2002-12-16,10.640000,10.125000,10.270000,2145970
7.179173,10.365000,2002-12-17,10.575000,9.730000,10.200000,1860100
7.210343,10.410000,2002-12-18,10.700000,10.320000,10.500000,1507560
7.016403,10.130000,2002-12-19,10.490000,10.000000,10.400000,878730
6.943677,10.025000,2002-12-20,10.275000,10.000000,10.010000,470970
6.829392,9.860000,2002-12-23,10.040000,9.805000,10.000000,576410
6.929823,10.005000,2002-12-24,10.180000,9.910000,9.910000,456670
6.929823,10.005000,2002-12-25,10.005000,10.005000,10.005000,0
6.905582,9.970000,2002-12-26,10.190000,9.900000,10.185000,404430
6.870949,9.920000,2002-12-27,10.055000,9.880000,10.055000,303910
6.791296,9.805000,2002-12-30,10.100000,9.710000,10.100000,437740
6.742813,9.735000,2002-12-31,9.935000,9.690000,9.935000,433120
6.708181,9.685000,2003-01-01,9.880000,9.620000,9.880000,192670
6.999086,10.105000,2003-01-02,10.250000,9.765000,9.825000,1447280
