adj_close,close,date,high,low,open,volume
8.930645,19.270000,2002-07-01,19.400000,19.150000,19.375000,71160
9.065044,19.559999,2002-07-02,19.799999,19.225000,19.400000,99270
9.208715,19.870001,2002-07-03,20.340000,19.315001,19.315001,199720
9.366287,20.209999,2002-07-04,20.500000,19.900000,20.150000,791530
9.533128,20.570000,2002-07-05,21.000000,20.200001,20.200001,695480
9.477513,20.450001,2002-07-08,20.900000,20.299999,20.500000,250740
9.639718,20.799999,2002-07-09,21.745001,19.900000,19.900000,992650
9.760217,21.059999,2002-07-10,21.549999,20.700001,21.000000,733000
9.753262,21.045000,2002-07-11,21.840000,20.555000,21.200001,842190
9.813514,21.174999,2002-07-12,21.500000,21.010000,21.350000,419170
9.292138,20.049999,2002-07-15,21.370001,19.950001,21.200001,285850
9.157735,19.760000,2002-07-16,20.340000,19.700001,20.100000,153400
8.949181,19.309999,2002-07-17,19.965000,19.155001,19.965000,216310
9.275911,20.014999,2002-07-18,20.049999,19.500000,19.500000,187800
9.150783,19.745001,2002-07-19,20.400000,19.520000,19.850000,231430
8.923695,19.254999,2002-07-22,19.700001,18.809999,19.590000,158610
9.037239,19.500000,2002-07-23,19.650000,19.000000,19.000000,100430
8.886618,19.174999,2002-07-24,19.400000,19.010000,19.014999,38740
8.613181,18.584999,2002-07-25,19.490000,18.500000,19.490000,137210
8.325846,17.965000,2002-07-26,18.795000,17.900000,18.504999,164930
8.205348,17.705000,2002-07-29,18.040001,17.200001,18.040001,184050
8.397682,18.120001,2002-07-30,18.500000,17.750000,18.250000,353250
8.362918,18.045000,2002-07-31,18.790001,17.360001,17.750000,172670
8.427803,18.184999,2002-08-01,18.700001,18.000000,18.700001,83870
8.423168,18.174999,2002-08-02,18.290001,17.730000,18.004999,77370
8.335114,17.985001,2002-08-05,18.420000,17.934999,18.344999,129280
8.386092,18.094999,2002-08-06,18.299999,17.900000,17.900000,126070
8.576106,18.504999,2002-08-07,18.650000,18.200001,18.350000,108550
8.552938,18.455000,2002-08-08,18.549999,18.299999,18.400000,61290
8.710505,18.795000,2002-08-09,18.830000,18.150000,18.395000,60950
8.921374,19.250000,2002-08-12,19.600000,18.500000,18.600000,111900
8.821736,19.035000,2002-08-13,19.975000,18.990000,19.975000,68720
8.722091,18.820000,2002-08-14,19.385000,18.670000,19.000000,49880
8.722091,18.820000,2002-08-15,18.820000,18.820000,18.820000,0
8.705874,18.785000,2002-08-16,19.195000,18.670000,19.000000,61980
8.689652,18.750000,2002-08-19,19.100000,18.700001,18.700001,38710
8.694285,18.760000,2002-08-20,19.190001,18.700001,18.990000,36950
8.687338,18.745001,2002-08-21,19.045000,18.674999,19.045000,15580
8.634035,18.629999,2002-08-22,19.100000,18.575001,19.100000,26040
8.606231,18.570000,2002-08-23,18.870001,18.500000,18.700001,26090
8.548298,18.445000,2002-08-26,18.580000,18.430000,18.565001,25870
8.548298,18.445000,2002-08-27,18.590000,18.315001,18.510000,31760
8.552938,18.455000,2002-08-28,18.785000,18.450001,18.450001,27180
8.566839,18.485001,2002-08-29,18.700001,18.400000,18.500000,31070
8.576106,18.504999,2002-08-30,18.600000,18.370001,18.400000,46720
8.659527,18.684999,2002-09-02,18.840000,18.650000,18.775000,25220
8.543664,18.434999,2002-09-03,18.549999,18.010000,18.010000,20790
8.522809,18.389999,2002-09-04,18.459999,18.285000,18.400000,7500
8.481099,18.299999,2002-09-05,18.440001,18.254999,18.290001,14400
8.388411,18.100000,2002-09-06,18.320000,18.030001,18.320000,21520
8.156687,17.600000,2002-09-09,18.485001,17.600000,18.485001,45600
8.156687,17.600000,2002-09-10,17.600000,17.600000,17.600000,0
8.254010,17.809999,2002-09-11,17.875000,17.650000,17.805000,10180
8.240108,17.780001,2002-09-12,17.885000,17.650000,17.875000,12400
8.175224,17.639999,2002-09-13,17.700001,17.535000,17.700001,13950
8.031555,17.330000,2002-09-16,17.535000,17.309999,17.520000,13380
8.017653,17.299999,2002-09-17,17.500000,17.100000,17.200001,10060
8.031555,17.330000,2002-09-18,17.389999,17.270000,17.309999,21700
7.924963,17.100000,2002-09-19,17.305000,16.799999,17.299999,15340
7.790562,16.809999,2002-09-20,16.995001,16.705000,16.799999,21640
7.690920,16.594999,2002-09-23,16.895000,16.049999,16.799999,35640
7.354921,15.870000,2002-09-24,16.500000,15.800000,16.500000,32150
7.368825,15.900000,2002-09-25,16.174999,15.850000,15.910000,35500
7.487004,16.155001,2002-09-26,16.325001,16.000000,16.000000,6050
7.572744,16.340000,2002-09-27,16.400000,16.275000,16.309999,11450
7.454564,16.084999,2002-09-30,16.500000,15.425000,16.500000,7130
7.345653,15.850000,2002-10-01,16.100000,15.700000,16.004999,25510
7.345653,15.850000,2002-10-02,15.850000,15.850000,15.850000,0
7.368825,15.900000,2002-10-03,16.000000,15.875000,15.930000,10440
7.364192,15.890000,2002-10-04,15.920000,15.800000,15.900000,6200
7.547253,16.285000,2002-10-07,16.400000,16.000000,16.025000,22330
7.602867,16.405001,2002-10-08,16.600000,16.250000,16.250000,13400
7.635307,16.475000,2002-10-09,16.535000,16.299999,16.315001,8410
7.463832,16.105000,2002-10-10,16.525000,16.000000,16.500000,14530
7.621403,16.445000,2002-10-11,16.495001,16.245001,16.400000,7490
7.834589,16.905001,2002-10-14,17.000000,16.400000,16.834999,45470
7.834589,16.905001,2002-10-15,16.905001,16.905001,16.905001,0
8.040826,17.350000,2002-10-16,17.500000,16.900000,16.900000,57000
7.878618,17.000000,2002-10-17,17.450001,16.900000,17.200001,18490
7.850810,16.940001,2002-10-18,17.100000,16.920000,17.004999,16570
7.751170,16.725000,2002-10-21,17.190001,16.700001,17.100000,8390
7.880934,17.004999,2002-10-22,17.200001,16.830000,16.830000,45700
7.792881,16.815001,2002-10-23,17.200001,16.754999,17.200001,15620
7.829955,16.895000,2002-10-24,17.100000,16.745001,16.750000,28690
7.853127,16.945000,2002-10-25,17.025000,16.500000,16.850000,55520
7.746536,16.715000,2002-10-28,17.000000,16.715000,16.805000,10900
7.871665,16.985001,2002-10-29,17.200001,16.799999,16.799999,17320
7.941183,17.135000,2002-10-30,17.475000,17.004999,17.299999,125600
8.256329,17.815001,2002-10-31,17.900000,17.424999,17.525000,141070
8.349018,18.014999,2002-11-01,18.184999,17.299999,17.299999,56780
8.448660,18.230000,2002-11-04,18.495001,18.000000,18.400000,36310
8.397682,18.120001,2002-11-05,18.299999,17.865000,18.299999,13820
8.397682,18.120001,2002-11-06,18.120001,18.120001,18.120001,0
8.467196,18.270000,2002-11-07,18.434999,17.930000,17.930000,110630
8.362918,18.045000,2002-11-08,18.165001,17.764999,17.764999,50630
8.404634,18.135000,2002-11-11,18.150000,17.950001,17.950001,84050
8.309625,17.930000,2002-11-12,18.184999,17.809999,18.094999,37300
8.353653,18.025000,2002-11-13,18.115000,17.920000,18.084999,14240
8.369871,18.059999,2002-11-14,18.400000,18.010000,18.160000,35200
8.323528,17.959999,2002-11-15,18.299999,17.879999,18.299999,71980
8.321211,17.955000,2002-11-18,18.495001,17.809999,18.290001,54290
8.321211,17.955000,2002-11-19,17.955000,17.955000,17.955000,0
8.395362,18.115000,2002-11-20,18.150000,17.959999,18.010000,18170
8.413899,18.155001,2002-11-21,18.299999,18.004999,18.100000,16310
8.362918,18.045000,2002-11-22,18.200001,18.020000,18.200001,48260
8.423168,18.174999,2002-11-25,18.290001,18.014999,18.290001,29800
8.353653,18.025000,2002-11-26,18.469999,17.930000,18.200001,28880
8.369871,18.059999,2002-11-27,18.290001,17.865000,17.865000,26800
8.520493,18.385000,2002-11-28,18.469999,18.000000,18.100000,61650
8.372190,18.065001,2002-11-29,18.500000,18.000000,18.500000,57550
8.824053,19.040001,2002-12-02,19.125000,18.389999,18.400000,289350
8.678065,18.725000,2002-12-03,19.830000,18.600000,19.830000,149830
8.550614,18.450001,2002-12-04,18.700001,18.200001,18.200001,48700
8.603912,18.565001,2002-12-05,18.990000,18.500000,18.875000,74570
8.490368,18.320000,2002-12-06,18.780001,18.320000,18.605000,27120
8.481099,18.299999,2002-12-09,18.870001,18.200001,18.775000,52140
8.485735,18.309999,2002-12-10,18.650000,18.200001,18.200001,58930
8.254010,17.809999,2002-12-11,18.320000,17.700001,18.320000,107790
8.270231,17.844999,2002-12-12,18.090000,17.799999,17.805000,30210
8.249377,17.799999,2002-12-13,17.980000,17.709999,17.900000,52960
8.161322,17.610001,2002-12-16,18.045000,17.500000,17.950001,70700
8.117292,17.514999,2002-12-17,17.900000,17.410000,17.855000,52670
8.423168,18.174999,2002-12-18,18.370001,17.625000,17.625000,122880
8.659527,18.684999,2002-12-19,19.100000,18.209999,18.235001,259760
8.555252,18.459999,2002-12-20,18.990000,18.405001,18.980000,110590
8.499636,18.340000,2002-12-23,18.725000,17.799999,18.725000,91860
8.485735,18.309999,2002-12-24,18.690001,18.275000,18.350000,49940
8.485735,18.309999,2002-12-25,18.309999,18.309999,18.309999,0
8.622451,18.605000,2002-12-26,18.709999,18.330000,18.500000,67090
8.585376,18.525000,2002-12-27,19.000000,18.465000,18.670000,143400
8.383777,18.090000,2002-12-30,18.790001,18.049999,18.790001,129870
8.409262,18.145000,2002-12-31,18.330000,18.025000,18.250000,74560
8.425486,18.180000,2003-01-01,18.400000,18.150000,18.400000,37280
8.457927,18.250000,2003-01-02,18.490000,18.200001,18.395000,45320
8.513541,18.370001,2003-01-03,18.580000,18.200001,18.360001,52040
8.522809,18.389999,2003-01-06,18.990000,18.325001,18.990000,96460
8.552938,18.455000,2003-01-07,18.500000,18.230000,18.475000,34140
8.617817,18.594999,2003-01-08,18.785000,18.110001,18.110001,115480
9.095169,19.625000,2003-01-09,19.799999,18.625000,18.625000,571870
9.085899,19.605000,2003-01-10,20.200001,19.510000,19.900000,330950
9.187860,19.825001,2003-01-13,20.299999,19.500000,19.700001,172420
9.139196,19.719999,2003-01-14,20.195000,19.510000,20.049999,79930
9.150783,19.745001,2003-01-15,19.900000,19.305000,19.889999,56960
9.405678,20.295000,2003-01-16,20.450001,19.815001,19.924999,597120
9.477513,20.450001,2003-01-17,20.990000,20.275000,20.295000,543280
9.419581,20.325001,2003-01-20,20.790001,20.200001,20.450001,335740
9.273596,20.010000,2003-01-21,20.545000,19.910000,20.305000,258870
9.262011,19.985001,2003-01-22,20.200001,19.805000,20.190001,134840
8.891249,19.184999,2003-01-23,20.049999,19.110001,20.049999,167940
8.520493,18.385000,2003-01-24,19.645000,18.209999,19.500000,160180
8.358288,18.035000,2003-01-27,18.424999,17.900000,18.299999,94660
8.395362,18.115000,2003-01-28,18.295000,17.610001,17.700001,111820
8.291086,17.889999,2003-01-29,18.184999,17.809999,18.100000,81130
8.175224,17.639999,2003-01-30,18.049999,17.600000,17.969999,75970
8.300355,17.910000,2003-01-31,18.100000,17.625000,17.625000,27070
8.386092,18.094999,2003-02-03,18.200001,18.000000,18.090000,23390
8.314259,17.940001,2003-02-04,18.469999,17.900000,18.200001,20240
8.302670,17.915001,2003-02-05,17.995001,17.735001,17.875000,10180
8.251695,17.805000,2003-02-06,17.900000,17.705000,17.830000,7810
8.221569,17.740000,2003-02-07,18.000000,17.719999,18.000000,27060
8.203032,17.700001,2003-02-10,17.799999,17.600000,17.799999,14500
8.145100,17.575001,2003-02-11,17.950001,17.549999,17.945000,17300
7.973624,17.205000,2003-02-12,17.465000,17.020000,17.430000,21810
7.973624,17.205000,2003-02-13,17.205000,17.205000,17.205000,0
7.758121,16.740000,2003-02-14,17.225000,16.615000,17.200001,30240
7.982893,17.225000,2003-02-17,17.280001,16.975000,17.000000,43930
8.142782,17.570000,2003-02-18,18.000000,17.504999,17.700001,59800
8.154370,17.594999,2003-02-19,17.795000,17.549999,17.555000,31050
7.848495,16.934999,2003-02-20,17.600000,16.850000,17.379999,102630
7.843858,16.924999,2003-02-21,17.219999,16.805000,17.049999,93120
7.823003,16.879999,2003-02-24,17.100000,16.834999,17.100000,60510
7.679336,16.570000,2003-02-25,16.870001,16.400000,16.870001,75350
7.542617,16.275000,2003-02-26,16.565001,16.200001,16.565001,61310
7.616769,16.434999,2003-02-27,16.645000,16.389999,16.400000,64840
7.628354,16.459999,2003-02-28,16.889999,16.299999,16.700001,67150
7.602867,16.405001,2003-03-03,16.799999,16.379999,16.799999,17590
7.526396,16.240000,2003-03-04,16.500000,16.100000,16.200001,32500
7.352603,15.865000,2003-03-05,16.295000,15.800000,16.110001,827410
7.401266,15.970000,2003-03-06,16.100000,15.920000,16.100000,49080
7.456880,16.090000,2003-03-07,16.215000,15.510000,15.900000,800640
7.283087,15.715000,2003-03-10,16.700001,15.670000,16.700001,22160
7.241377,15.625000,2003-03-11,15.850000,15.550000,15.550000,26060
7.359555,15.880000,2003-03-12,16.100000,15.700000,15.700000,43000
7.338700,15.835000,2003-03-13,15.880000,15.650000,15.800000,23300
7.338700,15.835000,2003-03-14,15.835000,15.835000,15.835000,0
7.246010,15.635000,2003-03-17,15.700000,15.275000,15.275000,57690
7.246010,15.635000,2003-03-18,15.635000,15.635000,15.635000,0
7.197348,15.530000,2003-03-19,15.750000,15.320000,15.750000,72330
7.477736,16.135000,2003-03-20,16.400000,15.530000,15.600000,29550
7.656163,16.520000,2003-03-21,16.665001,15.610000,15.610000,37970
