adj_close,close,date,high,low,open,volume
1.423243,2.121266,2004-12-17,2.500000,0.500000,0.500000,33045
1.394706,2.078733,2004-12-20,2.325000,2.000000,2.320000,62580
1.408125,2.098733,2004-12-21,2.150000,2.027533,2.125000,25455
1.381287,2.058733,2004-12-22,2.350000,1.975000,2.350000,13995
1.344386,2.003733,2004-12-23,2.225000,1.980000,2.225000,5055
1.391352,2.073733,2004-12-24,2.162533,1.950000,2.162533,7725
1.360354,2.027533,2004-12-27,2.030000,1.975000,1.975000,3615
1.240390,1.848733,2004-12-28,2.000000,1.828733,1.875000,10275
1.262217,1.881266,2004-12-29,2.100000,1.875000,2.100000,59550
1.266422,1.887533,2004-12-30,1.996266,1.875000,1.996266,18720
1.279841,1.907533,2004-12-31,1.983733,1.752533,1.752533,10155
1.517175,2.261266,2005-01-03,2.290000,1.800000,1.888733,165855
1.569151,2.338733,2005-01-04,2.500000,2.231266,2.450000,87105
1.416534,2.111266,2005-01-05,2.718733,2.075000,2.718733,24015
1.699179,2.532533,2005-01-06,2.533733,2.125000,2.225000,165795
1.791411,2.670000,2005-01-07,2.975000,2.552533,2.725000,389430
1.654718,2.466266,2005-01-10,2.800000,2.152533,2.773733,53775
1.631235,2.431266,2005-01-11,2.525000,2.422533,2.450000,23700
1.468509,2.188733,2005-01-12,2.405000,2.188733,2.405000,31935
1.481928,2.208733,2005-01-13,2.375000,2.200000,2.372533,11625
1.341881,2.000000,2005-01-14,2.212533,2.000000,2.212533,47820
1.242939,1.852533,2005-01-17,2.031266,1.808733,2.031266,7590
1.324257,1.973733,2005-01-18,2.025000,1.901266,2.025000,5205
1.213552,1.808733,2005-01-19,1.925000,1.787533,1.906266,24900
1.117116,1.665000,2005-01-20,1.875000,1.631266,1.875000,75960
1.190069,1.773733,2005-01-24,1.785000,1.700000,1.747533,5505
1.211048,1.805000,2005-01-25,1.875000,1.787533,1.875000,17115
1.199328,1.787533,2005-01-27,1.875000,1.777533,1.875000,27105
1.218606,1.816266,2005-01-28,1.875000,1.777533,1.777533,21435
1.194274,1.780000,2005-01-31,1.920000,1.775000,1.837533,13350
1.173296,1.748733,2005-02-01,1.847533,1.725000,1.787533,48180
1.180855,1.760000,2005-02-02,1.868733,1.715000,1.847533,25515
1.241240,1.850000,2005-02-03,1.873733,1.812533,1.812533,22650
1.259713,1.877533,2005-02-04,1.882533,1.825000,1.825000,12345
1.337676,1.993733,2005-02-07,2.045000,1.900000,1.900000,21405
1.422394,2.120000,2005-02-08,2.185000,1.918733,1.920000,51585
1.466005,2.185000,2005-02-09,2.300000,2.140000,2.275000,177435
1.417384,2.112533,2005-02-10,2.275000,2.005000,2.275000,41160
1.362009,2.030000,2005-02-11,2.175000,1.901266,2.001266,33315
1.307484,1.948733,2005-02-14,2.073733,1.938733,2.073733,19455
1.258013,1.875000,2005-02-15,1.952533,1.875000,1.950000,10155
1.253004,1.867533,2005-02-16,1.948733,1.830000,1.830000,6810
1.242939,1.852533,2005-02-17,1.900000,1.837533,1.900000,9810
1.241240,1.850000,2005-02-18,1.900000,1.850000,1.893733,4260
1.258013,1.875000,2005-02-21,1.875000,1.825000,1.825000,2100
1.383837,2.062533,2005-02-22,2.062533,1.825000,1.925000,68775
1.522185,2.268733,2005-02-23,2.268733,2.126266,2.250000,44820
1.598538,2.382533,2005-02-24,2.382533,2.300000,2.382533,319755
1.518830,2.263733,2005-02-25,2.471266,2.263733,2.412533,80505
1.443371,2.151266,2005-02-28,2.250000,2.151266,2.160000,30660
1.409824,2.101266,2005-03-01,2.150000,2.097533,2.097533,23445
1.412330,2.105000,2005-03-02,2.142533,2.075000,2.075000,9315
1.413179,2.106266,2005-03-03,2.165000,2.097533,2.100000,29175
1.386341,2.066266,2005-03-04,2.162533,2.062533,2.162533,11925
1.428253,2.128733,2005-03-07,2.162533,2.025000,2.162533,66465
1.433307,2.136266,2005-03-08,2.231266,2.075000,2.125000,91455
1.440867,2.147533,2005-03-09,2.217533,2.125000,2.175000,34770
1.406470,2.096266,2005-03-10,2.222533,2.088733,2.222533,10785
1.404770,2.093733,2005-03-11,2.175000,2.073733,2.175000,11280
1.396406,2.081266,2005-03-14,2.156266,2.055000,2.156266,10965
1.341881,2.000000,2005-03-15,2.172533,1.980000,2.172533,22005
1.284851,1.915000,2005-03-16,2.100000,1.902533,2.100000,13995
1.308334,1.950000,2005-03-17,2.000000,1.923733,2.000000,5565
1.322602,1.971266,2005-03-18,2.037533,1.901266,2.037533,8055
1.325108,1.975000,2005-03-21,2.000000,1.975000,1.987533,6900
1.259713,1.877533,2005-03-22,1.936266,1.876266,1.888733,4635
1.208542,1.801266,2005-03-23,1.968733,1.788733,1.968733,4560
1.169136,1.742533,2005-03-24,1.850000,1.737533,1.737533,6255
1.179200,1.757533,2005-03-28,1.828733,1.713733,1.828733,10035
1.123825,1.675000,2005-03-29,1.837533,1.675000,1.837533,13755
1.123825,1.675000,2005-03-30,1.712533,1.675000,1.677533,1500
1.169136,1.742533,2005-03-31,1.757533,1.737533,1.757533,11070
1.178350,1.756266,2005-04-01,1.797533,1.728733,1.775000,11475
1.162427,1.732533,2005-04-04,1.775000,1.700000,1.747533,8745
1.157372,1.725000,2005-04-05,1.773733,1.725000,1.773733,2760
1.140599,1.700000,2005-04-06,1.725000,1.687533,1.725000,11775
1.119620,1.668733,2005-04-07,1.762533,1.645000,1.761266,25815
1.082719,1.613733,2005-04-08,1.687533,1.600000,1.687533,25500
1.117116,1.665000,2005-04-11,1.686266,1.578733,1.686266,3015
1.088623,1.622533,2005-04-12,1.686266,1.616266,1.686266,2805
