adj_close,close,date,high,low,open,volume
3.028471,3.630000,2002-08-12,3.700000,3.560000,3.560000,280260
2.986756,3.580000,2002-08-13,3.700000,3.560000,3.700000,128545
2.911670,3.490000,2002-08-14,3.600000,3.470000,3.600000,111490
2.911670,3.490000,2002-08-15,3.490000,3.490000,3.490000,0
2.903327,3.480000,2002-08-16,3.680000,3.460000,3.670000,147870
2.853270,3.420000,2002-08-19,3.560000,3.400000,3.420000,95935
2.878298,3.450000,2002-08-20,3.500000,3.420000,3.430000,82350
2.861613,3.430000,2002-08-21,3.490000,3.420000,3.450000,56770
2.828240,3.390000,2002-08-22,3.480000,3.370000,3.440000,86590
2.803212,3.360000,2002-08-23,3.410000,3.330000,3.410000,82000
2.836584,3.400000,2002-08-26,3.460000,3.340000,3.390000,122015
2.803212,3.360000,2002-08-27,3.480000,3.350000,3.480000,88480
2.728126,3.270000,2002-08-28,3.360000,3.250000,3.360000,89285
2.703098,3.240000,2002-08-29,3.290000,3.230000,3.250000,42520
2.619669,3.140000,2002-08-30,3.240000,3.120000,3.230000,141360
2.653040,3.180000,2002-09-02,3.250000,3.160000,3.210000,118495
2.561268,3.070000,2002-09-03,3.220000,3.050000,3.220000,75155
2.536240,3.040000,2002-09-04,3.110000,3.020000,3.060000,66015
2.577954,3.090000,2002-09-05,3.180000,3.060000,3.160000,141575
2.678069,3.210000,2002-09-06,3.710000,3.060000,3.110000,564955
2.661383,3.190000,2002-09-09,3.300000,3.170000,3.240000,124170
2.661383,3.190000,2002-09-10,3.190000,3.190000,3.190000,0
2.636354,3.160000,2002-09-11,3.220000,3.120000,3.220000,100430
2.628011,3.150000,2002-09-12,3.200000,3.120000,3.150000,81355
2.861613,3.430000,2002-09-13,3.500000,3.110000,3.110000,1465545
2.861613,3.430000,2002-09-16,3.650000,3.380000,3.500000,755060
3.020128,3.620000,2002-09-17,3.740000,3.400000,3.440000,848065
3.178643,3.810000,2002-09-18,3.970000,3.600000,3.660000,2071730
2.894984,3.470000,2002-09-19,4.010000,3.390000,4.010000,1611730
2.903327,3.480000,2002-09-20,3.770000,3.400000,3.500000,1887130
2.928356,3.510000,2002-09-23,3.640000,3.460000,3.590000,570315
2.786526,3.340000,2002-09-24,3.560000,3.320000,3.510000,328200
2.794869,3.350000,2002-09-25,3.430000,3.270000,3.270000,192400
2.811555,3.370000,2002-09-26,3.490000,3.350000,3.420000,120725
2.819898,3.380000,2002-09-27,3.440000,3.350000,3.400000,163190
2.694754,3.230000,2002-09-30,3.480000,3.210000,3.480000,180610
2.619669,3.140000,2002-10-01,3.290000,3.130000,3.200000,225750
2.619669,3.140000,2002-10-02,3.140000,3.140000,3.140000,0
2.536240,3.040000,2002-10-03,3.260000,2.950000,3.230000,266420
2.436125,2.920000,2002-10-04,3.300000,2.840000,3.120000,432930
2.502868,3.000000,2002-10-07,3.110000,2.860000,2.980000,362660
2.519555,3.020000,2002-10-08,3.080000,2.990000,3.010000,189655
2.477840,2.970000,2002-10-09,3.080000,2.940000,3.070000,60775
2.427782,2.910000,2002-10-10,2.980000,2.650000,2.980000,48475
2.452811,2.940000,2002-10-11,3.040000,2.920000,3.040000,83010
2.419439,2.900000,2002-10-14,2.980000,2.880000,2.910000,59505
2.419439,2.900000,2002-10-15,2.900000,2.900000,2.900000,0
2.344353,2.810000,2002-10-16,2.960000,2.760000,2.920000,137000
2.310982,2.770000,2002-10-17,2.870000,2.710000,2.710000,65855
2.302639,2.760000,2002-10-18,2.860000,2.720000,2.720000,120955
2.260924,2.710000,2002-10-21,2.780000,2.700000,2.760000,78235
2.227553,2.670000,2002-10-22,2.780000,2.650000,2.750000,66745
2.127438,2.550000,2002-10-23,2.720000,2.540000,2.650000,115780
2.085723,2.500000,2002-10-24,2.620000,2.480000,2.600000,103780
2.077380,2.490000,2002-10-25,2.560000,2.360000,2.530000,152050
2.044009,2.450000,2002-10-28,2.470000,2.420000,2.420000,60470
2.194181,2.630000,2002-10-29,2.700000,2.400000,2.400000,136200
2.210867,2.650000,2002-10-30,2.710000,2.620000,2.690000,105460
2.210867,2.650000,2002-10-31,2.740000,2.620000,2.740000,73155
2.235895,2.680000,2002-11-01,2.730000,2.590000,2.680000,91635
2.244239,2.690000,2002-11-04,2.890000,2.620000,2.890000,15900
2.160809,2.590000,2002-11-05,2.730000,2.510000,2.700000,86675
2.160809,2.590000,2002-11-06,2.590000,2.590000,2.590000,0
2.152467,2.580000,2002-11-07,2.680000,2.570000,2.600000,54220
2.160809,2.590000,2002-11-08,2.640000,2.580000,2.600000,35910
2.285953,2.740000,2002-11-11,2.900000,2.720000,2.800000,478395
2.210867,2.650000,2002-11-12,2.830000,2.620000,2.780000,203285
2.210867,2.650000,2002-11-13,2.710000,2.630000,2.650000,53105
2.252581,2.700000,2002-11-14,3.100000,2.650000,3.100000,118650
2.277610,2.730000,2002-11-15,2.750000,2.690000,2.720000,72030
2.327667,2.790000,2002-11-18,2.850000,2.710000,2.780000,152695
2.327667,2.790000,2002-11-19,2.790000,2.790000,2.790000,0
2.502868,3.000000,2002-11-20,3.150000,2.740000,2.740000,702465
2.427782,2.910000,2002-11-21,3.130000,2.900000,3.060000,306140
2.436125,2.920000,2002-11-22,3.030000,2.880000,2.930000,228320
2.461154,2.950000,2002-11-25,3.030000,2.940000,2.940000,77855
2.577954,3.090000,2002-11-26,3.130000,2.950000,3.000000,180900
2.444468,2.930000,2002-11-27,3.110000,2.920000,3.110000,153565
2.486182,2.980000,2002-11-28,3.020000,2.920000,2.920000,90215
2.486182,2.980000,2002-11-29,2.980000,2.980000,2.980000,0
2.728126,3.270000,2002-12-02,3.340000,3.210000,3.250000,361440
2.611326,3.130000,2002-12-03,3.300000,3.100000,3.280000,289490
2.569611,3.080000,2002-12-04,3.120000,3.030000,3.070000,148925
2.511211,3.010000,2002-12-05,3.150000,3.000000,3.120000,214475
2.636354,3.160000,2002-12-06,3.240000,3.040000,3.040000,309685
2.586297,3.100000,2002-12-09,3.300000,3.050000,3.300000,210270
2.502868,3.000000,2002-12-10,3.150000,2.960000,3.150000,132145
2.519555,3.020000,2002-12-11,3.110000,3.000000,3.100000,97975
2.469496,2.960000,2002-12-12,3.060000,2.940000,3.060000,126775
2.477840,2.970000,2002-12-13,3.050000,2.920000,2.920000,84600
2.402754,2.880000,2002-12-16,3.020000,2.850000,3.000000,109425
2.402754,2.880000,2002-12-17,3.000000,2.850000,2.970000,83680
2.344353,2.810000,2002-12-18,2.940000,2.800000,2.830000,145580
2.402754,2.880000,2002-12-19,2.900000,2.780000,2.780000,139010
2.719784,3.260000,2002-12-20,3.370000,2.900000,2.900000,1199070
2.653040,3.180000,2002-12-23,3.350000,3.110000,3.300000,588445
2.669726,3.200000,2002-12-24,3.260000,3.140000,3.190000,149185
2.669726,3.200000,2002-12-25,3.200000,3.200000,3.200000,0
2.661383,3.190000,2002-12-26,3.270000,3.170000,3.240000,155945
2.552926,3.060000,2002-12-27,3.220000,3.030000,3.200000,117145
2.569611,3.080000,2002-12-30,3.160000,3.000000,3.000000,86090
2.678069,3.210000,2002-12-31,3.280000,3.070000,3.100000,256785
2.694754,3.230000,2003-01-01,3.270000,3.190000,3.220000,128040
2.602983,3.120000,2003-01-02,3.280000,3.080000,3.210000,221535
2.577954,3.090000,2003-01-03,3.240000,3.020000,3.020000,149065
