adj_close,close,date,high,low,open,volume
6.544353,7.800000,2000-01-04,8.800000,7.600000,8.800000,88000
6.141622,7.320000,2000-01-05,7.800000,7.280000,7.800000,72500
6.326208,7.540000,2000-01-06,7.740000,7.250000,7.600000,44000
6.024160,7.180000,2000-01-07,7.600000,6.980000,7.210000,27500
5.998989,7.150000,2000-01-10,7.300000,6.730000,7.160000,42500
5.579478,6.650000,2000-01-11,7.000000,6.600000,6.920000,81500
5.973818,7.120000,2000-01-12,7.180000,6.400000,6.400000,36500
5.864745,6.990000,2000-01-13,7.340000,6.800000,7.200000,27000
5.915087,7.050000,2000-01-14,7.150000,6.850000,6.860000,31000
5.554309,6.620000,2000-01-17,7.080000,6.600000,6.930000,39000
5.579478,6.650000,2000-01-18,6.880000,6.400000,6.410000,52000
5.957037,7.100000,2000-01-19,7.190000,6.760000,6.760000,54500
5.873136,7.000000,2000-01-20,7.400000,6.860000,7.180000,35500
5.705333,6.800000,2000-01-21,7.000000,6.750000,7.000000,27500
5.487188,6.540000,2000-01-24,6.760000,6.500000,6.530000,30000
5.285821,6.300000,2000-01-25,6.550000,6.200000,6.200000,44000
5.285821,6.300000,2000-01-26,6.300000,6.300000,6.300000,0
5.495579,6.550000,2000-01-27,6.780000,6.500000,6.600000,42000
5.487188,6.540000,2000-01-28,6.580000,6.320000,6.560000,28500
5.302604,6.320000,2000-01-31,6.580000,6.220000,6.580000,35500
4.883095,5.820000,2000-02-01,6.020000,5.820000,6.020000,54500
5.134799,6.120000,2000-02-02,6.200000,5.500000,5.600000,139500
5.017337,5.980000,2000-02-03,6.170000,5.830000,6.000000,28500
4.975384,5.930000,2000-02-04,6.100000,5.620000,5.940000,82500
4.748850,5.660000,2000-02-07,5.990000,5.520000,5.990000,61500
4.631387,5.520000,2000-02-08,5.650000,5.360000,5.400000,54500
4.698509,5.600000,2000-02-09,5.950000,5.500000,5.700000,46000
4.782410,5.700000,2000-02-10,5.780000,5.550000,5.780000,27000
4.581046,5.460000,2000-02-11,5.540000,5.350000,5.460000,16500
4.270609,5.090000,2000-02-14,5.390000,5.070000,5.230000,12500
4.119586,4.910000,2000-02-15,5.400000,4.800000,5.190000,34500
4.446803,5.300000,2000-02-16,5.300000,5.000000,5.000000,25000
4.807582,5.730000,2000-02-17,5.730000,5.400000,5.650000,12500
5.193529,6.190000,2000-02-18,6.190000,6.190000,6.190000,15500
5.587869,6.660000,2000-02-21,6.680000,6.200000,6.680000,148000
5.814404,6.930000,2000-02-22,7.200000,6.300000,6.420000,242500
5.587869,6.660000,2000-02-23,7.450000,6.540000,7.380000,104500
5.201922,6.200000,2000-02-24,6.740000,6.180000,6.510000,55500
5.084457,6.060000,2000-02-25,6.500000,5.850000,6.400000,12500
5.000556,5.960000,2000-02-28,6.000000,5.600000,5.800000,56500
4.815972,5.740000,2000-02-29,6.200000,5.600000,5.850000,89500
4.832751,5.760000,2000-03-01,5.850000,5.600000,5.720000,18000
4.455193,5.310000,2000-03-02,5.940000,5.300000,5.840000,36000
4.136365,4.930000,2000-03-03,5.200000,4.890000,4.900000,34000
3.817538,4.550000,2000-03-06,4.800000,4.550000,4.630000,22500
3.674906,4.380000,2000-03-07,4.660000,4.300000,4.500000,57000
3.859487,4.600000,2000-03-08,4.600000,4.100000,4.300000,29000
4.002122,4.770000,2000-03-09,4.900000,4.680000,4.760000,10500
4.111195,4.900000,2000-03-10,5.080000,4.900000,5.040000,10000
3.968562,4.730000,2000-03-13,4.960000,4.530000,4.600000,22500
3.708466,4.420000,2000-03-14,4.600000,4.360000,4.580000,36000
3.993733,4.760000,2000-03-15,4.760000,4.600000,4.600000,9000
4.018903,4.790000,2000-03-16,4.860000,4.620000,4.860000,21500
4.018903,4.790000,2000-03-17,4.790000,4.790000,4.790000,0
4.018903,4.790000,2000-03-20,4.790000,4.790000,4.790000,0
3.716855,4.430000,2000-03-21,4.620000,4.420000,4.620000,18500
3.809150,4.540000,2000-03-22,4.700000,4.540000,4.660000,7500
3.574223,4.260000,2000-03-23,4.590000,4.240000,4.590000,6500
3.649735,4.350000,2000-03-24,4.400000,3.940000,4.260000,10500
3.465151,4.130000,2000-03-27,4.250000,4.100000,4.150000,21500
3.263785,3.890000,2000-03-28,4.160000,3.880000,4.000000,26500
3.339298,3.980000,2000-03-29,4.160000,3.900000,4.160000,21500
3.481930,4.150000,2000-03-30,4.150000,4.000000,4.080000,7500
3.381248,4.030000,2000-03-31,4.160000,3.960000,4.150000,16000
3.389639,4.040000,2000-04-03,4.200000,4.000000,4.020000,22000
3.196664,3.810000,2000-04-04,3.900000,3.740000,3.800000,19500
3.356077,4.000000,2000-04-05,4.130000,4.000000,4.120000,3500
3.188273,3.800000,2000-04-06,3.990000,3.780000,3.990000,5000
3.666515,4.370000,2000-04-07,4.510000,3.820000,3.820000,8000
3.607783,4.300000,2000-04-10,4.360000,4.110000,4.360000,12000
3.356077,4.000000,2000-04-11,4.100000,3.970000,4.020000,26500
3.456760,4.120000,2000-04-12,4.150000,3.810000,3.810000,11000
3.356077,4.000000,2000-04-13,4.070000,4.000000,4.000000,4500
3.356077,4.000000,2000-04-14,4.000000,4.000000,4.000000,0
3.087592,3.680000,2000-04-17,3.760000,3.680000,3.760000,3500
3.104372,3.700000,2000-04-18,3.840000,3.600000,3.650000,7000
3.146323,3.750000,2000-04-19,3.800000,3.700000,3.800000,8000
3.137932,3.740000,2000-04-20,3.800000,3.600000,3.600000,9500
3.137932,3.740000,2000-04-21,3.740000,3.740000,3.740000,0
2.684862,3.200000,2000-04-24,3.420000,2.850000,3.420000,14500
2.793934,3.330000,2000-04-25,3.580000,3.000000,3.000000,18000
3.003689,3.580000,2000-04-26,3.600000,3.470000,3.600000,11500
2.894617,3.450000,2000-04-27,3.600000,3.450000,3.600000,8000
2.701643,3.220000,2000-04-28,3.400000,3.200000,3.400000,12000
2.701643,3.220000,2000-05-01,3.220000,3.220000,3.220000,0
2.617741,3.120000,2000-05-02,3.130000,3.000000,3.000000,10500
2.919787,3.480000,2000-05-03,3.490000,3.050000,3.120000,8500
3.037250,3.620000,2000-05-04,3.800000,3.510000,3.520000,22500
3.288956,3.920000,2000-05-05,3.960000,3.650000,3.920000,12500
3.028860,3.610000,2000-05-08,3.800000,3.600000,3.800000,8000
2.961739,3.530000,2000-05-09,3.560000,3.420000,3.500000,8000
3.062421,3.650000,2000-05-10,3.650000,3.460000,3.470000,7000
2.852666,3.400000,2000-05-11,3.410000,3.400000,3.410000,1500
2.861057,3.410000,2000-05-12,3.410000,3.400000,3.400000,2500
2.743594,3.270000,2000-05-15,3.390000,3.100000,3.310000,6000
2.785544,3.320000,2000-05-16,3.420000,3.100000,3.100000,7500
2.760374,3.290000,2000-05-17,3.450000,3.220000,3.220000,10000
2.751983,3.280000,2000-05-18,3.300000,3.200000,3.200000,2500
2.684862,3.200000,2000-05-19,3.320000,3.200000,3.200000,6000
2.617741,3.120000,2000-05-22,3.250000,3.120000,3.250000,6000
2.349255,2.800000,2000-05-23,3.180000,2.800000,3.040000,18000
2.483497,2.960000,2000-05-24,2.970000,2.900000,2.900000,9500
2.550619,3.040000,2000-05-25,3.070000,2.900000,2.980000,28500
2.592570,3.090000,2000-05-26,3.090000,3.000000,3.060000,9500
2.642910,3.150000,2000-05-29,3.240000,3.100000,3.200000,5500
