adj_close,close,date,high,low,open,volume
2.215173,6.200000,2000-08-23,7.000000,6.000000,7.000000,2900
1.982937,5.550000,2000-08-24,6.200000,5.000000,6.100000,16700
2.000801,5.600000,2000-08-25,6.000000,5.500000,6.000000,3660
2.072258,5.800000,2000-08-28,6.550000,5.750000,6.550000,502
2.054394,5.750000,2000-08-29,6.500000,5.750000,6.500000,19201
2.054394,5.750000,2000-08-30,6.350000,5.750000,6.200000,12202
2.165442,5.850000,2000-08-31,6.000000,5.750000,6.000000,3900
2.165442,5.850000,2000-09-01,5.850000,5.850000,5.850000,0
2.091410,5.650000,2000-09-04,6.950000,5.400000,6.950000,3912
2.202458,5.950000,2000-09-05,5.950000,5.500000,5.700000,54802
2.202458,5.950000,2000-09-06,6.000000,5.700000,5.950000,9200
2.294999,6.200000,2000-09-07,6.200000,5.900000,5.900000,3500
2.146934,5.800000,2000-09-08,6.200000,5.300000,6.200000,41600
2.109918,5.700000,2000-09-11,5.850000,5.650000,5.650000,8900
2.091410,5.650000,2000-09-12,5.800000,5.650000,5.750000,13051
2.035886,5.500000,2000-09-13,5.900000,5.450000,5.900000,10807
1.924838,5.200000,2000-09-14,5.900000,5.200000,5.900000,65476
1.869314,5.050000,2000-09-15,5.600000,5.000000,5.500000,84602
1.943346,5.250000,2000-09-18,5.350000,5.100000,5.350000,27091
1.943346,5.250000,2000-09-19,5.300000,5.150000,5.300000,24119
2.035886,5.500000,2000-09-20,6.500000,5.300000,6.500000,2002
2.054394,5.550000,2000-09-21,8.000000,5.550000,8.000000,3204
1.998870,5.400000,2000-09-22,5.600000,5.400000,5.500000,16000
2.146934,5.800000,2000-09-25,6.450000,5.600000,6.450000,18701
2.128427,5.750000,2000-09-26,5.950000,5.550000,5.750000,42000
2.220967,6.000000,2000-09-27,6.300000,6.000000,6.300000,2
2.109918,5.700000,2000-09-28,5.850000,5.700000,5.850000,12700
2.109918,5.700000,2000-09-29,5.850000,5.600000,5.750000,15800
2.109918,5.700000,2000-10-02,5.700000,5.700000,5.700000,0
2.072902,5.600000,2000-10-03,5.800000,5.600000,5.800000,12102
2.128427,5.750000,2000-10-04,5.800000,5.450000,5.800000,2800
2.128427,5.750000,2000-10-05,5.750000,5.600000,5.750000,825
2.109918,5.700000,2000-10-06,5.700000,5.650000,5.700000,8400
1.998870,5.400000,2000-10-09,6.000000,5.400000,6.000000,5100
2.035886,5.500000,2000-10-10,5.550000,5.500000,5.550000,15925
2.072902,5.600000,2000-10-11,5.600000,5.300000,5.300000,1600
2.072902,5.600000,2000-10-12,5.650000,5.400000,5.400000,5201
1.961854,5.300000,2000-10-13,5.350000,5.150000,5.300000,30001
1.887821,5.100000,2000-10-16,5.400000,5.100000,5.400000,8500
1.906330,5.150000,2000-10-17,5.250000,5.050000,5.100000,12500
1.943346,5.250000,2000-10-18,5.250000,5.250000,5.250000,1100
1.980362,5.350000,2000-10-19,5.400000,5.200000,5.300000,3413
1.980362,5.350000,2000-10-20,5.350000,5.200000,5.300000,14000
1.961854,5.300000,2000-10-23,5.350000,5.300000,5.350000,250
1.906330,5.150000,2000-10-24,5.500000,5.100000,5.400000,8100
1.943346,5.250000,2000-10-25,5.250000,5.100000,5.250000,11700
2.017378,5.450000,2000-10-26,5.500000,5.400000,5.450000,3700
1.943346,5.250000,2000-10-27,5.450000,5.250000,5.450000,3300
1.998870,5.400000,2000-10-30,5.450000,5.250000,5.350000,10152
1.961854,5.300000,2000-10-31,5.450000,5.250000,5.250000,6500
2.202458,5.950000,2000-11-01,5.950000,5.600000,5.600000,18700
2.239475,6.050000,2000-11-02,6.500000,5.900000,5.900000,44310
2.387540,6.450000,2000-11-03,6.500000,6.100000,6.500000,28090
