adj_close,close,date,high,low,open,volume
1.530455,2.340000,2002-07-01,2.340000,2.210000,2.320000,441200
1.687424,2.580000,2002-07-02,2.580000,2.340000,2.570000,1946940
1.857476,2.840000,2002-07-03,2.840000,2.610000,2.660000,4030840
2.040606,3.120000,2002-07-04,3.120000,2.950000,2.990000,2315800
2.060228,3.150000,2002-07-05,3.440000,3.010000,3.300000,6273960
1.929420,2.950000,2002-07-08,3.350000,2.900000,3.300000,3054480
1.864016,2.850000,2002-07-09,3.130000,2.810000,2.900000,2529300
1.726667,2.640000,2002-07-10,2.950000,2.600000,2.850000,981180
1.896718,2.900000,2002-07-11,2.900000,2.550000,2.560000,1851160
1.903258,2.910000,2002-07-12,3.200000,2.860000,3.050000,4054340
1.798611,2.750000,2002-07-15,2.930000,2.650000,2.910000,1120600
1.850935,2.830000,2002-07-16,3.030000,2.710000,2.950000,1942520
1.798611,2.750000,2002-07-17,2.900000,2.670000,2.850000,1542680
1.870556,2.860000,2002-07-18,3.000000,2.750000,2.800000,2051900
1.818233,2.780000,2002-07-19,2.990000,2.690000,2.990000,1966760
1.641642,2.510000,2002-07-22,2.740000,2.500000,2.740000,1132980
1.582778,2.420000,2002-07-23,2.530000,2.280000,2.500000,1099560
1.425809,2.180000,2002-07-24,2.450000,2.180000,2.450000,913620
1.569697,2.400000,2002-07-25,2.400000,2.230000,2.330000,1417000
1.438889,2.200000,2002-07-26,2.590000,2.180000,2.590000,1120760
1.412728,2.160000,2002-07-29,2.200000,1.980000,2.200000,1106740
1.275379,1.950000,2002-07-30,2.350000,1.950000,2.350000,556880
1.196894,1.830000,2002-07-31,1.950000,1.760000,1.810000,1634300
1.151112,1.760000,2002-08-01,2.000000,1.750000,2.000000,288880
1.203435,1.840000,2002-08-02,1.930000,1.670000,1.670000,268800
1.275379,1.950000,2002-08-05,1.990000,1.760000,1.950000,913200
1.399647,2.140000,2002-08-06,2.140000,1.890000,1.950000,2608260
1.497753,2.290000,2002-08-07,2.340000,2.220000,2.250000,1938620
1.497753,2.290000,2002-08-08,2.480000,2.210000,2.300000,3303580
1.523914,2.330000,2002-08-09,2.390000,2.260000,2.350000,1114240
