adj_close,close,date,high,low,open,volume
127.767159,172.520004,2018-07-03,177.600006,169.600006,169.720001,9260072
122.345978,165.199997,2018-07-04,173.320007,164.000000,172.800003,3962721
117.161850,158.199997,2018-07-05,164.720001,157.119995,163.839996,4080661
116.806358,157.720001,2018-07-06,163.119995,155.919998,156.000000,2001950
116.125031,156.800003,2018-07-09,160.800003,156.080002,158.960007,1038981
119.265114,161.039993,2018-07-10,164.399994,155.800003,157.800003,3665581
118.998535,160.679993,2018-07-11,166.639999,160.000000,160.759995,1773270
121.368423,163.880005,2018-07-12,165.199997,161.399994,161.440002,1457445
118.613434,160.160004,2018-07-13,165.000000,159.479996,163.600006,723100
115.384453,155.800003,2018-07-16,161.119995,155.199997,160.360001,599098
115.117828,155.440002,2018-07-17,157.279999,153.720001,156.000000,562660
117.013741,158.000000,2018-07-18,160.720001,154.479996,156.440002,1111223
116.362007,157.119995,2018-07-19,160.279999,154.479996,158.639999,581450
115.562149,156.039993,2018-07-20,157.559998,154.679993,156.919998,299201
117.369240,158.479996,2018-07-23,160.399994,156.199997,156.639999,561325
118.643051,160.199997,2018-07-24,161.600006,157.960007,158.360001,640007
121.842377,164.520004,2018-07-25,165.919998,160.240005,160.240005,1257163
132.181091,178.479996,2018-07-26,180.759995,164.839996,165.080002,4858982
156.798401,211.720001,2018-07-27,214.160004,176.080002,180.800003,13336327
151.732758,204.880005,2018-07-30,227.600006,202.000000,210.720001,11375062
147.940903,199.759995,2018-07-31,212.000000,196.399994,204.559998,5051922
150.014603,202.559998,2018-08-01,207.919998,199.600006,200.399994,2264581
152.354843,205.720001,2018-08-02,207.800003,200.800003,203.880005,1706893
166.900131,225.360001,2018-08-03,228.000000,206.880005,207.119995,7092276
166.692719,225.080002,2018-08-06,232.360001,220.240005,227.600006,3164566
163.404495,220.639999,2018-08-07,226.399994,217.639999,224.800003,1126692
163.937775,221.360001,2018-08-08,225.360001,219.199997,220.800003,1001658
162.871277,219.919998,2018-08-09,223.759995,217.240005,221.440002,933487
155.198746,209.559998,2018-08-10,219.960007,208.199997,219.199997,663136
160.116302,216.199997,2018-08-13,220.960007,204.119995,205.600006,1762862
161.123459,217.559998,2018-08-14,222.160004,214.919998,218.080002,853651
169.151489,228.399994,2018-08-16,231.880005,213.720001,216.800003,2444762
183.459824,247.720001,2018-08-17,260.799988,232.720001,234.800003,15165892
183.607880,247.919998,2018-08-20,255.119995,246.000000,248.800003,5037715
185.592712,250.600006,2018-08-21,257.480011,246.039993,247.759995,4513162
186.599884,251.960007,2018-08-23,254.759995,248.160004,251.360001,1812037
184.259598,248.800003,2018-08-24,254.559998,247.399994,251.080002,1178473
175.431747,236.880005,2018-08-27,257.040009,232.880005,250.720001,6748652
173.832062,234.720001,2018-08-28,243.199997,233.679993,239.199997,1385193
169.269989,228.559998,2018-08-29,237.199997,226.720001,234.440002,1098097
170.573456,230.320007,2018-08-30,234.720001,224.320007,229.520004,1250231
169.210754,228.479996,2018-08-31,233.759995,227.279999,231.759995,593876
165.833649,223.919998,2018-09-03,230.800003,222.759995,229.600006,625438
156.472549,211.279999,2018-09-04,225.520004,208.000000,224.000000,1188571
149.362839,201.679993,2018-09-05,215.600006,196.000000,211.279999,1710162
156.709549,211.600006,2018-09-06,213.520004,201.679993,204.759995,1798160
154.635880,208.800003,2018-09-07,212.279999,206.320007,211.919998,680188
159.701523,215.639999,2018-09-10,220.000000,212.600006,212.600006,1905833
155.791809,208.800003,2018-09-11,218.399994,208.000000,217.800003,649583
151.344879,202.839996,2018-09-12,210.000000,196.000000,208.800003,1139216
153.941422,206.320007,2018-09-14,209.880005,204.399994,205.199997,620098
151.255356,202.720001,2018-09-17,207.800003,200.000000,207.720001,865072
147.823181,198.119995,2018-09-18,204.559998,197.080002,203.679993,576076
151.434448,202.960007,2018-09-19,209.520004,199.199997,207.520004,1364266
143.406067,192.199997,2018-09-21,204.800003,176.000000,204.800003,1090788
136.720764,183.240005,2018-09-24,193.559998,182.000000,192.800003,544591
141.257202,189.320007,2018-09-25,191.720001,182.199997,182.559998,908867
150.718170,202.000000,2018-09-26,203.520004,190.000000,190.759995,1129342
149.434814,200.279999,2018-09-27,209.479996,198.720001,201.880005,1125371
146.897964,196.880005,2018-09-28,200.279999,192.679993,200.000000,713680
147.464996,197.639999,2018-10-01,199.839996,188.039993,195.199997,552140
147.912689,198.240005,2018-10-03,202.800003,194.199997,194.440002,411551
144.092514,193.119995,2018-10-04,197.440002,191.199997,194.399994,299436
136.153702,182.479996,2018-10-05,195.479996,180.720001,193.119995,486288
138.660675,185.839996,2018-10-08,190.320007,182.479996,183.199997,524608
135.855270,182.080002,2018-10-09,187.600006,180.039993,187.399994,288740
142.958389,191.600006,2018-10-10,194.240005,182.080002,182.399994,548230
139.287460,186.679993,2018-10-11,190.000000,182.399994,183.399994,322772
144.928192,194.240005,2018-10-12,195.919998,188.720001,188.720001,379316
149.673553,200.600006,2018-10-15,203.839996,194.240005,194.240005,599330
150.330154,201.479996,2018-10-16,205.600006,199.199997,201.279999,344830
143.764221,192.679993,2018-10-17,203.039993,192.000000,201.600006,266395
140.928940,188.880005,2018-10-19,193.080002,185.720001,191.600006,210276
143.167297,191.880005,2018-10-22,193.279999,185.119995,189.600006,302320
142.122742,190.479996,2018-10-23,194.399994,187.600006,189.600006,214980
143.346359,192.119995,2018-10-24,195.199997,189.720001,192.000000,226743
142.092880,190.440002,2018-10-25,191.839996,188.600006,189.520004,150076
142.182419,190.559998,2018-10-26,193.440002,187.199997,190.800003,191635
150.001831,201.039993,2018-10-29,202.240005,190.399994,190.559998,412198
151.374710,202.880005,2018-10-30,208.839996,198.880005,199.279999,295846
151.315079,202.800003,2018-10-31,204.880005,198.759995,202.399994,266897
157.582520,211.199997,2018-11-01,212.800003,201.119995,202.880005,439990
154.508469,207.080002,2018-11-02,215.039993,204.479996,212.800003,239346
157.463150,211.039993,2018-11-05,212.800003,203.479996,205.600006,258531
158.358490,212.240005,2018-11-06,215.960007,210.039993,211.080002,170471
161.402740,216.320007,2018-11-07,217.119995,213.279999,213.720001,158566
169.490738,227.160004,2018-11-09,232.600006,214.440002,216.000000,800473
167.670197,224.720001,2018-11-12,228.839996,222.199997,228.000000,243087
181.130341,242.759995,2018-11-13,248.800003,220.160004,224.800003,4015667
188.084320,252.080002,2018-11-14,257.279999,245.199997,251.199997,3095430
177.459427,237.839996,2018-11-15,247.880005,236.000000,244.559998,813585
175.967178,235.839996,2018-11-16,242.800003,228.240005,235.199997,810042
169.281860,226.880005,2018-11-19,236.800003,225.600006,236.000000,577712
161.581772,216.559998,2018-11-20,227.800003,215.080002,226.199997,498658
166.386871,223.000000,2018-11-21,233.360001,216.880005,216.880005,1279702
163.014343,218.479996,2018-11-22,225.119995,217.279999,224.000000,419865
161.014725,215.800003,2018-11-26,228.000000,213.880005,219.119995,594686
163.432159,219.039993,2018-11-27,220.399994,215.600006,215.600006,357382
159.731384,214.080002,2018-11-28,220.600006,212.880005,219.839996,308727
159.671692,214.000000,2018-11-29,219.119995,213.000000,216.000000,239362
159.164322,213.320007,2018-11-30,218.320007,212.000000,214.320007,227108
160.268585,214.800003,2018-12-03,218.039993,213.919998,214.639999,228575
163.074036,218.559998,2018-12-04,225.960007,212.919998,214.240005,1114340
160.656601,215.320007,2018-12-05,219.839996,213.679993,216.800003,262217
161.730988,216.759995,2018-12-06,218.800003,214.080002,214.160004,410961
163.253113,218.800003,2018-12-07,220.000000,216.279999,217.199997,322516
156.955826,210.360001,2018-12-10,216.000000,208.919998,214.399994,158218
161.880219,216.960007,2018-12-11,218.960007,207.240005,208.000000,341003
162.835281,218.240005,2018-12-12,223.880005,217.559998,217.559998,360980
163.551590,219.199997,2018-12-13,227.199997,218.279999,220.839996,526190
159.940277,214.360001,2018-12-14,221.399994,213.679993,219.160004,289890
171.908218,230.399994,2018-12-17,235.919998,215.800003,215.839996,1713298
172.266373,230.880005,2018-12-18,236.800003,229.199997,233.600006,1282016
169.341522,226.960007,2018-12-19,231.399994,225.039993,231.360001,359836
175.967178,235.839996,2018-12-20,237.600006,224.559998,225.600006,955357
171.758987,230.199997,2018-12-21,238.160004,225.600006,236.000000,1477687
169.968292,227.800003,2018-12-24,232.639999,226.440002,228.240005,407217
167.013580,223.839996,2018-12-26,228.600006,221.679993,226.399994,525601
167.377930,220.520004,2018-12-27,223.160004,220.000000,221.440002,311918
