adj_close,close,date,high,low,open,volume
6.813429,7.660000,2004-05-05,7.800000,6.070000,7.690000,26468455
7.934177,8.920000,2004-05-06,9.100000,7.920000,7.980000,19565135
7.480542,8.410000,2004-05-07,9.370000,8.100000,9.200000,10954565
7.622858,8.570000,2004-05-10,8.880000,7.670000,8.030000,7644765
6.475427,7.280000,2004-05-11,8.500000,7.000000,8.300000,4090210
6.546585,7.360000,2004-05-12,7.680000,6.720000,7.400000,2896620
7.124748,8.010000,2004-05-13,8.700000,6.450000,7.200000,7173340
6.635533,7.460000,2004-05-14,8.390000,7.110000,8.390000,4401330
5.363575,6.030000,2004-05-17,7.200000,5.970000,7.200000,953450
6.430953,7.230000,2004-05-18,7.240000,5.900000,6.000000,1831820
6.137423,6.900000,2004-05-19,7.800000,6.820000,7.420000,2668940
6.235267,7.010000,2004-05-20,7.350000,6.900000,7.200000,1802025
6.386478,7.180000,2004-05-21,7.580000,6.810000,6.830000,1426635
6.306425,7.090000,2004-05-24,7.290000,7.040000,7.290000,1198595
6.742271,7.580000,2004-05-25,7.690000,6.900000,7.090000,1919695
6.751166,7.590000,2004-05-26,7.770000,7.460000,7.680000,1447640
6.760062,7.600000,2004-05-27,8.050000,7.470000,7.630000,1882245
5.995107,6.740000,2004-05-28,7.690000,6.620000,7.200000,1270150
5.977316,6.720000,2004-05-31,6.890000,6.530000,6.620000,744080
6.084055,6.840000,2004-06-01,7.050000,6.800000,6.960000,559600
5.870578,6.600000,2004-06-02,6.980000,6.530000,6.960000,414660
5.461418,6.140000,2004-06-03,6.740000,6.030000,6.700000,719070
5.301311,5.960000,2004-06-04,6.250000,5.810000,6.190000,401080
5.443628,6.120000,2004-06-07,6.200000,6.000000,6.040000,380820
5.488102,6.170000,2004-06-08,6.300000,6.110000,6.180000,349605
5.425838,6.100000,2004-06-09,6.290000,6.020000,6.120000,338630
5.221256,5.870000,2004-06-10,6.100000,5.840000,6.030000,192455
4.989992,5.610000,2004-06-11,5.920000,5.580000,5.900000,224395
4.634199,5.210000,2004-06-14,5.850000,5.130000,5.850000,264565
4.456303,5.010000,2004-06-15,5.400000,4.960000,5.400000,303375
4.563041,5.130000,2004-06-16,5.260000,5.040000,5.040000,330560
4.660886,5.240000,2004-06-17,5.290000,4.800000,4.800000,177825
4.847674,5.450000,2004-06-18,5.760000,5.080000,5.200000,529470
4.491881,5.050000,2004-06-21,5.740000,5.030000,5.440000,264245
4.447409,5.000000,2004-06-22,5.160000,4.900000,5.050000,151005
4.313986,4.850000,2004-06-23,5.110000,4.820000,5.110000,86825
4.144985,4.660000,2004-06-24,4.960000,4.610000,4.660000,108855
4.465199,5.020000,2004-06-25,5.130000,4.600000,4.700000,269955
4.660886,5.240000,2004-06-28,5.350000,4.980000,5.100000,177095
4.812095,5.410000,2004-06-29,5.820000,5.110000,5.110000,706990
4.803202,5.400000,2004-06-30,5.780000,5.350000,5.560000,182910
4.749833,5.340000,2004-07-01,5.500000,5.270000,5.420000,129450
4.714253,5.300000,2004-07-02,5.500000,4.620000,4.620000,141930
4.651989,5.230000,2004-07-05,5.400000,5.110000,5.110000,49320
4.643093,5.220000,2004-07-06,5.690000,4.920000,4.920000,36350
4.820990,5.420000,2004-07-07,5.510000,5.270000,5.270000,214635
4.296196,4.830000,2004-07-08,5.590000,4.750000,5.590000,308210
4.322881,4.860000,2004-07-09,5.120000,4.410000,4.410000,162815
4.936623,5.550000,2004-07-12,5.670000,4.820000,5.000000,852685
4.936623,5.550000,2004-07-13,5.800000,5.500000,5.790000,679195
5.016676,5.640000,2004-07-14,5.790000,5.540000,5.660000,370795
5.532577,6.220000,2004-07-15,6.360000,5.500000,5.790000,1043685
5.657105,6.360000,2004-07-16,6.700000,6.180000,6.360000,1655395
5.541472,6.230000,2004-07-19,6.660000,6.100000,6.350000,594240
5.683788,6.390000,2004-07-20,6.720000,6.100000,6.300000,1183715
5.488102,6.170000,2004-07-21,6.550000,6.080000,6.480000,390595
5.461418,6.140000,2004-07-22,6.400000,6.100000,6.220000,393535
5.336891,6.000000,2004-07-23,6.260000,5.940000,6.260000,341240
5.230153,5.880000,2004-07-26,6.090000,5.800000,6.020000,232885
5.434734,6.110000,2004-07-27,6.400000,5.900000,6.200000,760215
5.310205,5.970000,2004-07-28,6.190000,5.920000,6.080000,136545
5.434734,6.110000,2004-07-29,6.300000,5.950000,6.300000,169655
6.101844,6.860000,2004-07-30,7.150000,5.980000,6.200000,2345270
5.879474,6.610000,2004-08-02,6.940000,6.460000,6.900000,572370
5.923948,6.660000,2004-08-03,6.780000,6.560000,6.680000,290530
6.004001,6.750000,2004-08-04,7.070000,6.610000,6.690000,513380
6.173004,6.940000,2004-08-05,7.220000,6.760000,6.990000,1239020
5.852789,6.580000,2004-08-06,6.990000,6.520000,6.990000,594265
5.808315,6.530000,2004-08-09,6.700000,6.430000,6.700000,222510
5.817210,6.540000,2004-08-10,6.680000,6.500000,6.680000,230800
5.594841,6.290000,2004-08-11,6.560000,6.240000,6.560000,232560
5.390260,6.060000,2004-08-12,6.240000,6.000000,6.240000,231820
5.541472,6.230000,2004-08-13,6.490000,6.070000,6.490000,110790
5.550364,6.240000,2004-08-16,6.350000,6.120000,6.350000,75805
5.799421,6.520000,2004-08-17,6.650000,6.220000,6.310000,283940
5.728264,6.440000,2004-08-18,6.750000,6.420000,6.500000,221540
5.977316,6.720000,2004-08-19,6.930000,6.450000,6.570000,473090
5.763842,6.480000,2004-08-20,6.840000,6.430000,6.640000,143570
5.692684,6.400000,2004-08-23,6.560000,6.340000,6.500000,69265
5.737156,6.450000,2004-08-24,6.510000,6.340000,6.340000,61960
5.968422,6.710000,2004-08-25,6.890000,6.420000,6.420000,228860
6.075160,6.830000,2004-08-26,7.090000,6.800000,6.880000,649485
6.777851,7.620000,2004-08-27,7.840000,6.820000,6.980000,2761515
6.635533,7.460000,2004-08-30,7.860000,7.380000,7.750000,1079865
6.617743,7.440000,2004-08-31,7.670000,7.360000,7.500000,755730
7.338224,8.250000,2004-09-01,8.380000,7.300000,7.300000,2873070
6.804535,7.650000,2004-09-02,8.480000,7.500000,8.480000,1905005
7.018010,7.890000,2004-09-03,8.090000,7.650000,7.890000,779065
6.991326,7.860000,2004-09-06,8.160000,7.650000,8.160000,895795
7.142538,8.030000,2004-09-07,8.160000,7.850000,7.970000,629235
7.427172,8.350000,2004-09-08,8.550000,8.020000,8.140000,1851615
7.115853,8.000000,2004-09-09,8.480000,7.850000,8.480000,1747520
