adj_close,close,date,high,low,open,volume
360.947052,376.149994,2021-06-24,399.000000,370.000000,380.000000,27035744
373.277649,389.000000,2021-06-25,406.000000,373.700012,378.399994,10269222
362.866211,378.149994,2021-06-28,393.950012,375.250000,387.799988,3087635
349.575958,364.299988,2021-06-29,382.950012,362.200012,378.149994,2125937
354.661774,369.600006,2021-06-30,377.450012,361.100006,368.000000,1886702
355.669281,370.649994,2021-07-01,376.549988,369.500000,370.100006,943360
356.484955,371.500000,2021-07-02,376.899994,368.149994,372.000000,961818
366.848450,382.299988,2021-07-05,392.899994,374.049988,374.649994,2291282
375.052887,390.850006,2021-07-06,408.750000,384.000000,384.000000,6408745
396.211700,412.899994,2021-07-07,417.000000,392.000000,392.000000,5818253
399.810120,416.649994,2021-07-08,424.399994,402.200012,417.649994,8518828
401.729279,418.649994,2021-07-09,428.399994,413.500000,420.000000,4367357
402.832794,419.799988,2021-07-12,428.500000,413.700012,427.000000,1994569
401.105530,418.000000,2021-07-13,425.700012,416.000000,423.600006,1193228
396.835388,413.549988,2021-07-14,419.549988,412.649994,416.100006,985470
389.782471,406.200012,2021-07-15,416.600006,404.250000,415.100006,988576
396.595490,413.299988,2021-07-16,418.000000,407.100006,408.000000,1120122
412.812469,430.200012,2021-07-19,435.299988,413.000000,414.850006,3215214
424.423401,442.299988,2021-07-20,461.149994,425.100006,435.500000,10403297
427.014282,445.000000,2021-07-22,457.700012,439.100006,449.500000,2861222
413.867981,431.299988,2021-07-23,449.850006,427.399994,448.299988,1766694
410.605438,427.899994,2021-07-26,433.850006,423.000000,429.950012,1356084
411.517059,428.850006,2021-07-27,438.399994,424.250000,426.500000,1451770
402.161102,419.100006,2021-07-28,429.450012,414.250000,428.000000,1145843
418.953827,436.600006,2021-07-29,446.200012,416.250000,420.750000,2619010
418.761871,436.399994,2021-07-30,446.000000,430.549988,434.899994,1633309
411.660950,429.000000,2021-08-02,442.500000,427.000000,438.750000,1402611
408.830170,426.049988,2021-08-03,431.799988,422.600006,429.500000,1398636
407.438782,424.600006,2021-08-04,435.000000,423.000000,430.200012,1158467
406.479218,423.600006,2021-08-05,428.000000,413.500000,426.000000,1356995
404.080231,421.100006,2021-08-06,429.899994,420.100006,425.200012,734435
404.943878,422.000000,2021-08-09,428.950012,418.149994,425.000000,1206755
390.694061,407.149994,2021-08-10,423.450012,400.049988,421.000000,849161
390.070343,406.500000,2021-08-11,414.799988,392.000000,409.200012,1175593
400.433838,417.299988,2021-08-12,419.700012,405.950012,408.549988,790842
398.178864,414.950012,2021-08-13,421.500000,411.700012,420.000000,590276
398.562653,415.350006,2021-08-16,427.399994,406.200012,414.000000,1003609
399.666168,416.500000,2021-08-17,430.799988,414.299988,415.350006,1256146
395.252075,411.899994,2021-08-18,419.000000,407.000000,418.000000,553236
375.868530,391.700012,2021-08-20,409.500000,385.500000,406.899994,1034752
349.288116,364.000000,2021-08-23,397.899994,361.350006,395.799988,1391010
369.199432,384.750000,2021-08-24,386.799988,366.149994,366.149994,911514
374.285187,390.049988,2021-08-25,402.000000,386.250000,386.700012,814266
369.295410,384.850006,2021-08-26,394.350006,381.100006,390.600006,357086
370.878693,386.500000,2021-08-27,391.450012,381.200012,384.850006,377832
378.651306,394.600006,2021-08-30,401.500000,389.000000,391.100006,549577
375.820526,391.649994,2021-08-31,399.000000,387.950012,394.000000,476321
374.429169,390.200012,2021-09-01,402.799988,388.450012,393.649994,497537
379.322998,395.299988,2021-09-02,400.399994,391.000000,394.899994,504973
379.131134,395.100006,2021-09-03,399.000000,391.500000,395.399994,395946
378.841278,392.100006,2021-09-06,399.799988,390.500000,395.049988,423865
377.681824,390.899994,2021-09-07,397.350006,390.000000,393.500000,279185
373.140778,386.200012,2021-09-08,392.600006,384.549988,391.700012,254600
393.430664,407.200012,2021-09-09,409.700012,382.000000,384.000000,1508434
399.131195,413.100006,2021-09-13,415.500000,405.600006,407.799988,937703
393.044159,406.799988,2021-09-14,417.750000,400.000000,416.399994,530582
393.768799,407.549988,2021-09-15,409.700012,403.500000,406.649994,366574
393.237427,407.000000,2021-09-16,413.000000,403.000000,408.000000,473559
387.343689,400.899994,2021-09-17,409.899994,393.000000,409.899994,484230
369.082794,382.000000,2021-09-20,398.899994,378.700012,393.000000,477813
362.609344,375.299988,2021-09-21,383.899994,367.399994,375.100006,807594
363.865417,376.600006,2021-09-22,382.950012,373.500000,379.899994,366822
368.986176,381.899994,2021-09-23,387.899994,380.000000,385.000000,309562
361.884705,374.549988,2021-09-24,383.149994,372.000000,381.899994,333034
356.135895,368.600006,2021-09-27,375.799988,362.500000,375.500000,614774
356.908844,369.399994,2021-09-28,376.899994,366.600006,375.000000,518220
352.319458,364.649994,2021-09-29,372.000000,362.000000,368.000000,620744
356.280823,368.750000,2021-09-30,381.799988,365.000000,366.000000,3097847
360.097290,372.700012,2021-10-01,378.399994,367.000000,368.000000,1011018
360.725250,373.350006,2021-10-04,378.000000,372.000000,376.850006,618155
357.391937,369.899994,2021-10-05,376.000000,367.799988,374.000000,657597
348.647980,360.850006,2021-10-06,375.700012,359.500000,372.799988,978155
346.860504,359.000000,2021-10-07,367.000000,357.000000,364.950012,587371
351.498199,363.799988,2021-10-08,372.950012,360.000000,360.000000,828315
351.449890,363.750000,2021-10-11,367.049988,362.799988,366.700012,380372
351.643158,363.950012,2021-10-12,369.000000,362.500000,364.000000,449841
350.532013,362.799988,2021-10-13,369.000000,362.000000,369.000000,746514
350.000610,362.250000,2021-10-14,366.899994,361.500000,364.750000,626190
361.546539,374.200012,2021-10-18,381.799988,365.000000,365.000000,1384819
355.024841,367.450012,2021-10-19,382.350006,365.000000,379.899994,918036
350.097260,362.350006,2021-10-20,371.750000,360.399994,371.200012,388065
348.019989,360.200012,2021-10-21,365.549988,359.049988,365.549988,280500
342.222839,354.200012,2021-10-22,365.399994,351.250000,362.000000,377713
328.841187,340.350006,2021-10-25,357.399994,338.000000,357.000000,483075
338.261475,350.100006,2021-10-26,353.950012,340.500000,349.450012,310273
334.396729,346.100006,2021-10-27,356.750000,343.750000,351.950012,295696
328.116547,339.600006,2021-10-28,354.399994,336.899994,346.100006,370748
325.266296,336.649994,2021-10-29,342.250000,333.049988,340.500000,324026
330.580322,342.149994,2021-11-01,345.450012,339.299988,339.299988,259954
329.952301,341.500000,2021-11-02,345.649994,338.200012,344.549988,233701
333.237305,344.899994,2021-11-03,351.000000,341.500000,341.500000,288646
344.396759,356.450012,2021-11-04,358.700012,345.100006,347.500000,237619
346.860504,359.000000,2021-11-08,367.100006,355.649994,362.000000,661734
338.068237,349.899994,2021-11-09,373.000000,347.799988,365.000000,2070304
338.696259,350.549988,2021-11-10,355.850006,346.500000,349.000000,384646
338.937805,350.799988,2021-11-11,354.000000,349.450012,351.799988,276902
335.652802,347.399994,2021-11-12,352.500000,346.250000,351.299988,269142
333.575439,345.250000,2021-11-15,349.899994,341.500000,349.850006,304164
336.957123,348.750000,2021-11-16,354.600006,343.299988,346.899994,355127
337.297485,346.850006,2021-11-17,349.700012,344.049988,346.100006,301692
331.219635,340.600006,2021-11-18,347.000000,339.549988,346.200012,248513
321.738159,330.850006,2021-11-22,342.000000,327.049988,341.000000,379130
324.363800,333.549988,2021-11-23,338.500000,329.250000,331.000000,235538
324.558258,333.750000,2021-11-24,338.799988,332.250000,335.950012,172700
324.752747,333.950012,2021-11-25,336.700012,331.049988,334.000000,131071
307.588867,316.299988,2021-11-26,332.950012,304.299988,332.950012,640098
303.796295,312.399994,2021-11-29,319.799988,302.049988,315.049988,439536
302.629303,311.200012,2021-11-30,320.750000,308.200012,315.000000,220290
301.559601,310.100006,2021-12-01,316.000000,309.000000,314.799988,186185
300.830261,309.350006,2021-12-02,314.500000,303.600006,310.000000,301827
300.489899,309.000000,2021-12-03,314.750000,306.000000,310.899994,374009
