adj_close,close,date,high,low,open,volume
2.824174,7.068750,2002-07-01,7.256250,7.050000,7.218750,461999
2.876612,7.200000,2002-07-02,7.312500,6.450000,6.937500,1059221
2.973998,7.443750,2002-07-03,7.687500,7.162500,7.162500,3263213
2.914068,7.293750,2002-07-04,7.800000,7.237500,7.762500,2013258
2.869121,7.181250,2002-07-05,7.500000,7.050000,7.462500,1676602
2.914068,7.293750,2002-07-08,7.706250,7.218750,7.350000,1196789
2.846648,7.125000,2002-07-09,7.312500,7.068750,7.312500,612226
2.734280,6.843750,2002-07-10,7.275000,6.768750,7.200000,1070615
2.674350,6.693750,2002-07-11,6.918750,6.562500,6.750000,1290887
2.674350,6.693750,2002-07-12,7.087500,6.581250,6.937500,998381
2.614421,6.543750,2002-07-15,6.825000,6.431250,6.750000,826722
2.606930,6.525000,2002-07-16,6.768750,6.431250,6.562500,656669
2.614421,6.543750,2002-07-17,6.675000,6.431250,6.487500,575106
2.636895,6.600000,2002-07-18,6.787500,6.450000,6.712500,798359
2.487071,6.225000,2002-07-19,6.375000,6.075000,6.375000,1160034
2.314774,5.793750,2002-07-22,6.075000,5.737500,6.075000,1005229
2.419650,6.056250,2002-07-23,6.168750,5.662500,6.075000,1061519
2.404668,6.018750,2002-07-24,6.075000,5.906250,6.075000,749026
2.412159,6.037500,2002-07-25,6.318750,6.000000,6.206250,787138
2.314774,5.793750,2002-07-26,6.037500,5.718750,6.037500,616615
2.209898,5.531250,2002-07-29,5.962500,5.287500,5.756250,775869
2.164950,5.418750,2002-07-30,5.887500,5.268750,5.812500,803373
2.134986,5.343750,2002-07-31,5.550000,4.875000,5.362500,1056890
2.149969,5.381250,2002-08-01,5.606250,5.287500,5.287500,554815
2.112512,5.287500,2002-08-02,5.362500,4.950000,4.987500,533237
2.149969,5.381250,2002-08-05,5.475000,5.343750,5.343750,378218
2.209898,5.531250,2002-08-06,5.625000,5.287500,5.625000,392959
2.299792,5.756250,2002-08-07,5.850000,5.625000,5.700000,689023
2.209898,5.531250,2002-08-08,5.850000,5.456250,5.850000,427927
2.209898,5.531250,2002-08-09,5.662500,5.362500,5.550000,477026
2.232371,5.587500,2002-08-12,5.662500,5.325000,5.325000,271519
2.217389,5.550000,2002-08-13,5.700000,5.531250,5.625000,197722
2.202406,5.512500,2002-08-14,5.587500,5.437500,5.550000,125178
2.202406,5.512500,2002-08-15,5.512500,5.512500,5.512500,0
2.202406,5.512500,2002-08-16,5.700000,5.456250,5.700000,190709
2.187423,5.475000,2002-08-19,5.568750,5.437500,5.475000,150885
2.262336,5.662500,2002-08-20,5.737500,5.493750,5.493750,519871
2.277318,5.700000,2002-08-21,5.793750,5.625000,5.718750,581226
2.224880,5.568750,2002-08-22,5.812500,5.531250,5.812500,334237
2.239862,5.606250,2002-08-23,5.681250,5.550000,5.568750,304202
2.209898,5.531250,2002-08-26,5.662500,5.512500,5.587500,193538
2.172442,5.437500,2002-08-27,5.625000,5.418750,5.587500,320847
2.149969,5.381250,2002-08-28,5.437500,5.325000,5.400000,160311
2.120003,5.306250,2002-08-29,5.418750,5.268750,5.362500,194655
2.172442,5.437500,2002-08-30,5.493750,5.325000,5.381250,244879
2.292300,5.737500,2002-09-02,5.793750,5.512500,5.606250,755109
2.202406,5.512500,2002-09-03,5.718750,5.456250,5.531250,396210
2.202406,5.512500,2002-09-04,5.550000,5.306250,5.306250,223242
2.187423,5.475000,2002-09-05,5.587500,5.437500,5.550000,290954
2.142477,5.362500,2002-09-06,5.587500,5.325000,5.550000,415791
2.127495,5.325000,2002-09-09,5.512500,5.287500,5.512500,286010
2.127495,5.325000,2002-09-10,5.325000,5.325000,5.325000,0
2.142477,5.362500,2002-09-11,5.493750,5.343750,5.475000,198759
2.187423,5.475000,2002-09-12,5.550000,5.362500,5.418750,298781
2.134986,5.343750,2002-09-13,5.475000,5.306250,5.475000,153525
2.134986,5.343750,2002-09-16,5.437500,5.325000,5.437500,149362
2.157459,5.400000,2002-09-17,5.437500,5.343750,5.437500,141911
2.105021,5.268750,2002-09-18,5.400000,5.250000,5.381250,167991
2.075056,5.193750,2002-09-19,5.325000,5.118750,5.250000,198015
2.082548,5.212500,2002-09-20,5.250000,4.987500,5.156250,200533
2.075056,5.193750,2002-09-23,5.325000,5.156250,5.287500,174853
2.030109,5.081250,2002-09-24,5.156250,5.043750,5.156250,162325
2.015127,5.043750,2002-09-25,5.118750,4.893750,4.968750,140087
2.075056,5.193750,2002-09-26,5.250000,5.062500,5.118750,167450
2.060074,5.156250,2002-09-27,5.212500,5.081250,5.100000,194423
1.992653,4.987500,2002-09-30,5.156250,4.968750,5.118750,147735
1.962688,4.912500,2002-10-01,5.062500,4.875000,5.062500,237549
1.962688,4.912500,2002-10-02,4.912500,4.912500,4.912500,0
1.947706,4.875000,2002-10-03,5.043750,4.856250,5.043750,193703
1.910250,4.781250,2002-10-04,4.875000,4.725000,4.875000,131391
1.895268,4.743750,2002-10-07,4.875000,4.500000,4.500000,213935
1.962688,4.912500,2002-10-08,4.987500,4.743750,4.743750,276519
1.955198,4.893750,2002-10-09,5.118750,4.875000,4.987500,307010
1.955198,4.893750,2002-10-10,4.931250,4.800000,4.800000,137802
1.992653,4.987500,2002-10-11,5.175000,4.912500,5.175000,253591
1.992653,4.987500,2002-10-14,5.137500,4.950000,5.062500,175909
1.992653,4.987500,2002-10-15,4.987500,4.987500,4.987500,0
2.015127,5.043750,2002-10-16,5.325000,5.006250,5.193750,561338
2.209898,5.531250,2002-10-17,5.606250,5.212500,5.231250,1401159
2.179933,5.456250,2002-10-18,5.700000,5.418750,5.662500,869341
2.367213,5.925000,2002-10-21,6.075000,5.400000,5.550000,1076319
2.247354,5.625000,2002-10-22,6.037500,5.550000,5.943750,1267290
2.224880,5.568750,2002-10-23,5.756250,5.531250,5.587500,430370
2.172442,5.437500,2002-10-24,5.700000,5.362500,5.456250,314159
2.112512,5.287500,2002-10-25,5.437500,5.212500,5.437500,248053
2.082548,5.212500,2002-10-28,5.287500,5.137500,5.287500,264063
2.472088,6.187500,2002-10-29,6.262500,5.212500,5.250000,2240794
2.299792,5.756250,2002-10-30,6.093750,5.643750,6.093750,938986
2.352230,5.887500,2002-10-31,5.943750,5.625000,5.756250,883151
2.314774,5.793750,2002-11-01,5.868750,5.718750,5.793750,260533
2.344738,5.868750,2002-11-04,5.981250,5.793750,5.981250,146261
2.427141,6.075000,2002-11-05,6.187500,5.775000,5.887500,614442
2.427141,6.075000,2002-11-06,6.075000,6.075000,6.075000,0
2.434633,6.093750,2002-11-07,6.450000,6.000000,6.000000,1769634
2.427141,6.075000,2002-11-08,6.150000,5.943750,6.018750,517495
2.389686,5.981250,2002-11-11,6.187500,5.643750,5.643750,306218
2.427141,6.075000,2002-11-12,6.243750,5.887500,5.887500,1054367
2.434726,6.018750,2002-11-13,6.131250,5.981250,6.000000,338434
2.586423,6.393750,2002-11-14,6.675000,6.000000,6.187500,1197917
2.813967,6.956250,2002-11-15,7.087500,6.412500,6.487500,3834514
2.851892,7.050000,2002-11-18,7.125000,6.787500,6.993750,1615642
2.851892,7.050000,2002-11-19,7.050000,7.050000,7.050000,0
2.768459,6.843750,2002-11-20,7.125000,6.750000,7.087500,1168258
2.874646,7.106250,2002-11-21,7.312500,6.937500,6.993750,1970194
2.813967,6.956250,2002-11-22,7.406250,6.881250,7.350000,1317962
2.791213,6.900000,2002-11-25,7.012500,6.843750,6.975000,593223
2.867061,7.087500,2002-11-26,7.462500,6.862500,6.862500,2079599
2.851892,7.050000,2002-11-27,7.237500,6.937500,7.050000,1068103
2.874646,7.106250,2002-11-28,7.275000,6.843750,6.843750,799031
2.920154,7.218750,2002-11-29,7.275000,6.956250,7.125000,1212151
3.064267,7.575000,2002-12-02,7.725000,7.200000,7.293750,2510042
2.867061,7.087500,2002-12-03,7.875000,6.956250,7.668750,1875311
2.791213,6.900000,2002-12-04,7.106250,6.843750,6.843750,976253
2.920154,7.218750,2002-12-05,7.331250,7.012500,7.031250,832365
2.980833,7.368750,2002-12-06,7.481250,7.031250,7.350000,1032029
2.836721,7.012500,2002-12-09,7.556250,6.937500,7.425000,1135458
2.859476,7.068750,2002-12-10,7.237500,6.787500,6.918750,535517
2.806383,6.937500,2002-12-11,7.256250,6.900000,7.181250,643650
2.791213,6.900000,2002-12-12,7.012500,6.843750,6.937500,341151
2.806383,6.937500,2002-12-13,7.125000,6.900000,7.125000,379386
2.707780,6.693750,2002-12-16,7.050000,6.637500,7.050000,586671
2.700195,6.675000,2002-12-17,6.825000,6.562500,6.825000,501431
2.685026,6.637500,2002-12-18,6.750000,6.618750,6.656250,216658
2.821553,6.975000,2002-12-19,7.125000,6.525000,6.600000,771455
2.760874,6.825000,2002-12-20,7.087500,6.768750,7.031250,757191
2.677440,6.618750,2002-12-23,6.918750,6.525000,6.881250,576202
2.783627,6.881250,2002-12-24,6.937500,6.375000,6.637500,584450
2.783627,6.881250,2002-12-25,6.881250,6.881250,6.881250,0
2.768459,6.843750,2002-12-26,7.012500,6.806250,6.862500,365314
2.707780,6.693750,2002-12-27,6.937500,6.656250,6.881250,248266
2.753289,6.806250,2002-12-30,6.937500,6.562500,6.562500,558253
