adj_close,close,date,high,low,open,volume
70.696434,71.775002,2012-05-29,74.800003,71.000000,72.474998,647908
69.908463,70.974998,2012-05-30,72.224998,70.699997,71.449997,385972
69.317474,70.375000,2012-05-31,70.849998,68.525002,70.000000,329520
70.080826,71.150002,2012-06-01,71.875000,70.074997,70.650002,293926
67.076645,68.099998,2012-06-04,71.500000,66.074997,70.525002,317198
66.879654,67.900002,2012-06-05,70.875000,67.550003,68.400002,256738
66.190193,67.199997,2012-06-06,70.099998,65.900002,68.500000,364498
66.116302,67.125000,2012-06-07,69.900002,67.000000,68.425003,271194
65.968567,66.974998,2012-06-08,68.449997,66.400002,67.000000,256522
65.771568,66.775002,2012-06-11,67.449997,64.550003,64.550003,197852
65.032829,66.025002,2012-06-12,67.199997,64.550003,64.550003,258434
65.697693,66.699997,2012-06-13,71.974998,66.000000,67.349998,302444
64.515724,65.500000,2012-06-14,66.824997,64.550003,66.074997,212108
64.441864,65.425003,2012-06-15,66.775002,65.025002,66.750000,290484
63.801617,64.775002,2012-06-18,66.699997,64.150002,64.150002,207158
63.506134,64.474998,2012-06-19,67.474998,63.625000,64.875000,281850
63.309132,64.275002,2012-06-20,65.449997,63.799999,65.449997,287114
62.053288,63.000000,2012-06-21,65.400002,60.849998,65.400002,259148
63.186012,64.150002,2012-06-22,64.925003,63.000000,63.950001,498212
63.776997,64.750000,2012-06-25,65.250000,63.700001,64.550003,227136
62.841270,63.799999,2012-06-26,64.750000,63.049999,64.750000,258032
64.491104,65.474998,2012-06-27,66.349998,64.074997,64.474998,358594
65.549950,66.550003,2012-06-28,68.400002,64.550003,64.550003,339616
68.972740,70.025002,2012-06-29,70.250000,65.625000,66.425003,428710
68.997345,70.050003,2012-07-02,70.949997,67.099998,70.550003,280494
69.563713,70.625000,2012-07-03,71.449997,68.675003,71.250000,249042
68.701866,69.750000,2012-07-04,71.199997,68.574997,69.800003,204426
69.071236,70.125000,2012-07-05,70.949997,68.525002,70.000000,250972
69.859215,70.925003,2012-07-06,71.974998,69.000000,71.400002,323852
68.554123,69.599998,2012-07-09,71.050003,69.500000,70.750000,199360
68.849609,69.900002,2012-07-10,71.349998,69.000000,69.750000,209462
68.751122,69.800003,2012-07-11,70.750000,69.074997,70.000000,216836
68.283241,69.324997,2012-07-12,69.949997,68.500000,68.750000,198628
66.805786,67.824997,2012-07-13,70.474998,67.025002,70.000000,213302
68.209373,69.250000,2012-07-16,70.000000,66.550003,70.000000,355870
67.889267,68.925003,2012-07-17,70.349998,68.000000,70.250000,220056
68.160110,69.199997,2012-07-18,70.000000,68.375000,68.375000,279490
67.618393,68.650002,2012-07-19,69.849998,68.050003,69.500000,148244
