adj_close,close,date,high,low,open,volume
173.640701,189.925003,2007-01-05,189.925003,182.475006,188.699997,12945264
177.114899,193.725006,2007-01-08,193.725006,193.725006,193.725006,280552
180.657669,197.600006,2007-01-09,197.600006,197.600006,197.600006,358706
184.268997,201.550003,2007-01-10,201.550003,201.550003,201.550003,396400
187.971741,205.600006,2007-01-11,205.600006,202.500000,205.600006,3524604
191.743057,209.725006,2007-01-12,209.725006,201.500000,209.725006,3847062
195.582947,213.925003,2007-01-15,213.925003,213.925003,213.925003,306746
199.514267,218.225006,2007-01-16,218.225006,218.225006,218.225006,295398
203.514160,222.600006,2007-01-17,222.600006,214.324997,222.600006,2673284
199.445694,218.149994,2007-01-18,227.050003,218.149994,226.000000,1103220
195.468674,213.800003,2007-01-19,222.500000,213.800003,218.500000,284286
191.560211,209.524994,2007-01-22,212.000000,209.524994,209.550003,118388
187.743179,205.350006,2007-01-23,208.350006,205.350006,205.524994,1146166
187.217468,204.774994,2007-01-24,209.475006,201.250000,201.250000,1678018
184.520401,201.824997,2007-01-25,206.500000,200.699997,200.699997,826198
182.577591,199.699997,2007-01-29,201.500000,197.800003,201.250000,349174
178.943436,195.725006,2007-01-31,203.449997,195.725006,200.050003,326022
182.531876,199.649994,2007-02-01,199.649994,191.824997,192.500000,703460
186.188950,203.649994,2007-02-02,203.649994,203.649994,203.649994,101218
182.463318,199.574997,2007-02-05,207.725006,199.574997,207.449997,550518
178.829132,195.600006,2007-02-06,198.524994,195.600006,198.500000,151806
175.263504,191.699997,2007-02-07,198.500000,191.699997,195.600006,275432
171.766464,187.875000,2007-02-08,192.500000,187.875000,192.000000,128722
168.749420,184.574997,2007-02-09,187.750000,184.125000,184.149994,320104
165.389511,180.899994,2007-02-12,181.300003,180.899994,181.300003,16890
162.098236,177.300003,2007-02-13,177.300003,177.300003,177.300003,12130
158.875443,173.774994,2007-02-14,173.774994,173.774994,173.774994,36780
157.069778,171.800003,2007-02-15,177.250000,170.300003,170.300003,1017264
153.938446,168.375000,2007-02-19,173.350006,168.375000,172.250000,525380
151.104218,165.274994,2007-02-20,170.449997,165.024994,167.949997,736772
154.144119,168.600006,2007-02-21,168.600006,165.800003,166.000000,231966
155.766937,170.375000,2007-02-22,171.975006,166.000000,171.449997,189724
154.509827,169.000000,2007-02-23,171.500000,166.975006,169.449997,295070
151.424210,165.625000,2007-02-26,168.500000,165.625000,166.000000,33940
148.407166,162.324997,2007-02-27,165.625000,162.324997,165.625000,26714
145.458649,159.100006,2007-02-28,159.100006,159.100006,159.100006,3896
142.555893,155.925003,2007-03-01,155.925003,155.925003,155.925003,4180
139.721680,152.824997,2007-03-02,152.824997,152.824997,152.824997,6168
136.933212,149.774994,2007-03-05,149.774994,149.774994,149.774994,1656
134.213287,146.800003,2007-03-06,146.800003,146.800003,146.800003,5682
131.539078,143.875000,2007-03-07,143.875000,143.875000,143.875000,21996
128.910599,141.000000,2007-03-08,141.000000,141.000000,141.000000,36136
126.350670,138.199997,2007-03-09,140.500000,138.199997,138.199997,207670
128.887695,140.975006,2007-03-12,140.975006,135.449997,135.449997,317254
131.470505,143.800003,2007-03-13,143.800003,143.800003,143.800003,51852
134.098984,146.675003,2007-03-14,146.675003,140.949997,140.949997,227424
136.796066,149.625000,2007-03-15,149.625000,149.625000,149.625000,11756
139.538849,152.625000,2007-03-16,152.625000,152.625000,152.625000,18940
142.327316,155.675003,2007-03-19,155.675003,155.675003,155.675003,25218
145.184387,158.800003,2007-03-20,158.800003,158.800003,158.800003,237004
148.087173,161.975006,2007-03-21,161.975006,161.975006,161.975006,40860
151.058533,165.225006,2007-03-22,165.225006,165.225006,165.225006,41388
154.093933,167.524994,2007-03-23,167.524994,167.500000,167.500000,28120
157.175354,170.875000,2007-03-26,170.875000,164.175003,170.875000,544646
157.635300,171.375000,2007-03-28,173.725006,167.475006,170.500000,364656
157.175354,170.875000,2007-03-29,174.250000,167.949997,173.449997,183692
160.325775,174.300003,2007-03-30,174.300003,170.000000,170.000000,489708
163.016251,177.225006,2007-04-02,177.800003,170.824997,174.000000,463256
163.154236,177.375000,2007-04-03,180.774994,174.050003,177.524994,169224
164.556961,178.899994,2007-04-04,180.149994,176.500000,176.500000,241492
167.523422,182.125000,2007-04-05,182.500000,179.024994,179.024994,101408
169.041092,183.774994,2007-04-09,185.774994,182.125000,182.125000,63134
165.660782,180.100006,2007-04-10,186.975006,180.100006,184.125000,110288
162.349411,176.500000,2007-04-11,177.574997,176.500000,177.550003,81820
164.763916,179.125000,2007-04-12,180.050003,172.975006,172.975006,298392
166.649582,181.175003,2007-04-13,182.725006,177.500000,182.000000,381938
169.983917,184.800003,2007-04-16,184.800003,183.024994,184.000000,110238
173.387314,188.500000,2007-04-17,188.500000,185.500000,188.399994,185740
176.859619,192.274994,2007-04-18,192.274994,190.949997,190.949997,123014
180.401001,196.125000,2007-04-19,196.125000,190.000000,194.725006,383088
184.011322,200.050003,2007-04-20,200.050003,200.000000,200.000000,29946
187.690582,204.050003,2007-04-23,204.050003,204.050003,204.050003,71624
191.461868,208.149994,2007-04-24,208.149994,208.000000,208.149994,276684
195.302185,212.324997,2007-04-25,212.324997,212.324997,212.324997,18488
199.211426,216.574997,2007-04-26,216.574997,216.574997,216.574997,14852
203.212677,220.925003,2007-04-27,220.925003,212.250000,220.850006,438826
199.188461,216.550003,2007-04-30,225.000000,216.524994,223.750000,385018
195.210190,212.225006,2007-05-03,220.000000,212.225006,220.000000,316050
191.323929,208.000000,2007-05-04,211.500000,208.000000,210.949997,217242
187.506622,203.850006,2007-05-07,204.000000,203.850006,203.850006,236290
187.667587,204.024994,2007-05-08,207.925003,199.774994,199.774994,281590
184.379227,200.449997,2007-05-09,203.000000,199.949997,202.500000,51622
188.081512,204.475006,2007-05-10,204.475006,198.500000,198.500000,50820
191.300949,207.975006,2007-05-11,208.574997,201.000000,204.500000,107038
188.725418,205.175003,2007-05-14,212.125000,204.000000,212.125000,96802
186.149887,202.375000,2007-05-15,208.000000,201.125000,201.500000,72488
185.827957,202.024994,2007-05-16,203.475006,200.024994,203.449997,54132
188.863388,205.324997,2007-05-17,206.074997,200.000000,202.024994,121400
189.691223,206.225006,2007-05-18,209.449997,202.500000,202.500000,321126
188.173508,204.574997,2007-05-21,209.800003,202.699997,207.449997,104210
184.425232,200.500000,2007-05-22,205.899994,200.500000,203.100006,32456
188.127518,204.524994,2007-05-23,204.524994,196.500000,198.500000,197954
185.620987,201.800003,2007-05-24,208.250000,200.449997,204.524994,135404
186.632797,202.899994,2007-05-25,205.850006,197.875000,197.875000,259090
185.827957,202.024994,2007-05-28,204.949997,199.574997,204.425003,94324
187.437653,203.774994,2007-05-29,205.125000,198.024994,202.500000,163208
184.103287,200.149994,2007-05-30,203.425003,199.699997,202.500000,55266
187.805573,204.175003,2007-05-31,204.175003,198.000000,201.500000,270394
190.795029,207.425003,2007-06-01,208.274994,204.500000,204.500000,414824
186.977707,203.274994,2007-06-04,210.324997,203.274994,207.500000,141816
188.334473,204.750000,2007-06-05,207.350006,200.125000,203.500000,111458
184.586227,200.675003,2007-06-06,205.000000,200.675003,204.000000,75508
186.540833,202.800003,2007-06-07,204.449997,196.675003,200.949997,192372
183.022491,198.975006,2007-06-08,202.000000,198.750000,198.750000,56814
182.056671,197.925003,2007-06-11,201.925003,197.000000,201.925003,56990
178.975235,194.574997,2007-06-12,199.500000,193.975006,199.024994,91992
177.043655,192.475006,2007-06-13,195.925003,190.699997,192.774994,65592
175.341904,190.625000,2007-06-14,195.725006,188.625000,195.725006,59918
178.860275,194.449997,2007-06-15,194.449997,191.750000,191.750000,46164
179.527161,195.175003,2007-06-18,198.350006,194.000000,197.500000,93334
182.677551,198.600006,2007-06-19,199.100006,196.000000,196.000000,98302
186.333862,202.574997,2007-06-20,202.574997,199.500000,202.425003,106240
190.059174,206.625000,2007-06-21,206.625000,203.000000,203.074997,124184
186.655777,202.925003,2007-06-22,210.500000,202.500000,209.500000,88136
183.620392,199.625000,2007-06-25,205.500000,198.875000,205.500000,85162
184.287247,200.350006,2007-06-26,203.625000,197.024994,197.024994,95968
183.919312,199.949997,2007-06-27,201.500000,198.024994,201.500000,35938
182.309601,198.199997,2007-06-28,202.500000,197.500000,201.250000,47724
182.723541,198.649994,2007-06-29,200.500000,198.000000,199.949997,58980
181.665756,197.500000,2007-07-02,200.949997,196.000000,199.250000,57232
180.125031,195.824997,2007-07-03,201.000000,193.550003,201.000000,90800
178.055420,193.574997,2007-07-04,196.975006,192.625000,195.500000,342304
179.228195,194.850006,2007-07-05,196.949997,194.000000,195.500000,41926
188.196518,204.600006,2007-07-06,204.600006,195.125000,195.125000,162004
197.624725,214.850006,2007-07-09,214.850006,208.800003,214.824997,166680
207.512863,225.600006,2007-07-10,225.600006,222.500000,225.574997,116848
217.906906,236.899994,2007-07-11,236.899994,227.500000,234.500000,387096
228.806824,248.750000,2007-07-12,248.750000,237.500000,248.750000,300516
218.504822,237.550003,2007-07-13,261.200012,236.500000,254.699997,807684
218.895706,237.975006,2007-07-16,244.000000,235.000000,240.050003,126494
219.148682,238.250000,2007-07-17,245.000000,237.350006,241.949997,134070
217.630966,236.600006,2007-07-18,241.250000,229.000000,240.000000,188600
228.530884,248.449997,2007-07-19,248.449997,236.000000,236.000000,263052
218.067871,237.074997,2007-07-20,260.875000,236.024994,254.699997,580706
220.781326,240.024994,2007-07-23,245.500000,230.000000,237.000000,164212
220.068527,239.250000,2007-07-24,244.000000,236.750000,242.500000,237880
