adj_close,close,date,high,low,open,volume
0.687692,1.035000,2002-07-01,1.250000,1.030000,1.100000,657260
0.621249,0.935000,2002-07-02,1.000000,0.935000,1.000000,367010
0.561449,0.845000,2002-07-03,0.900000,0.845000,0.845000,1187970
0.504972,0.760000,2002-07-04,0.850000,0.760000,0.810000,1550940
0.531550,0.800000,2002-07-05,0.830000,0.685000,0.795000,1922940
0.578060,0.870000,2002-07-08,0.880000,0.780000,0.835000,1442790
0.584705,0.880000,2002-07-09,0.930000,0.850000,0.880000,1361680
0.531550,0.800000,2002-07-10,0.900000,0.795000,0.895000,462510
0.488361,0.735000,2002-07-11,0.800000,0.720000,0.760000,611900
0.521583,0.785000,2002-07-12,0.800000,0.705000,0.790000,628960
0.475072,0.715000,2002-07-15,0.770000,0.710000,0.770000,390600
0.495006,0.745000,2002-07-16,0.785000,0.660000,0.670000,686410
0.491683,0.740000,2002-07-17,0.800000,0.690000,0.735000,583820
0.488361,0.735000,2002-07-18,0.755000,0.725000,0.730000,154170
0.488361,0.735000,2002-07-19,0.740000,0.700000,0.710000,264650
0.441851,0.665000,2002-07-22,0.720000,0.665000,0.700000,237960
0.438528,0.660000,2002-07-23,0.690000,0.640000,0.640000,214820
0.431884,0.650000,2002-07-24,0.665000,0.640000,0.640000,224170
0.451817,0.680000,2002-07-25,0.705000,0.650000,0.650000,663590
0.435206,0.655000,2002-07-26,0.700000,0.640000,0.680000,315970
0.458462,0.690000,2002-07-29,0.715000,0.590000,0.650000,595480
0.475072,0.715000,2002-07-30,0.750000,0.670000,0.705000,1007160
0.458462,0.690000,2002-07-31,0.720000,0.650000,0.720000,180810
0.438528,0.660000,2002-08-01,0.685000,0.655000,0.685000,98560
0.418595,0.630000,2002-08-02,0.670000,0.610000,0.645000,159830
0.431884,0.650000,2002-08-05,0.670000,0.640000,0.640000,143660
0.428562,0.645000,2002-08-06,0.665000,0.640000,0.660000,49920
0.411951,0.620000,2002-08-07,0.660000,0.620000,0.650000,108360
0.411951,0.620000,2002-08-08,0.630000,0.610000,0.615000,87050
0.395340,0.595000,2002-08-09,0.610000,0.590000,0.605000,118890
0.388696,0.585000,2002-08-12,0.620000,0.585000,0.620000,62480
0.385373,0.580000,2002-08-13,0.590000,0.555000,0.555000,92040
0.378729,0.570000,2002-08-14,0.600000,0.560000,0.575000,1280570
0.378729,0.570000,2002-08-15,0.570000,0.570000,0.570000,0
0.392018,0.590000,2002-08-16,0.595000,0.540000,0.560000,181360
0.392018,0.590000,2002-08-19,0.595000,0.570000,0.570000,67390
