adj_close,close,date,high,low,open,volume
9.621775,9.621775,2000-10-26,10.741550,8.709365,9.953560,2526101
9.538828,9.538828,2000-10-27,9.953560,9.331462,9.870614,1257839
8.916731,8.916731,2000-10-30,9.621775,8.626419,9.580301,945047
8.377580,8.377580,2000-10-31,8.999677,8.294633,8.750838,958660
8.709365,8.709365,2000-11-01,8.999677,8.336106,8.336106,587540
8.833784,8.833784,2000-11-02,8.875258,8.543472,8.709365,303440
8.667892,8.667892,2000-11-03,8.875258,8.584945,8.833784,405317
8.626419,8.626419,2000-11-06,8.750838,8.460526,8.750838,323567
8.501999,8.501999,2000-11-07,8.667892,8.460526,8.626419,416410
9.082623,9.082623,2000-11-08,9.331462,8.584945,8.709365,837236
9.455882,9.455882,2000-11-09,9.538828,9.082623,9.124097,509514
9.289989,9.289989,2000-11-10,9.580301,9.082623,9.372936,656862
9.124097,9.124097,2000-11-13,9.331462,9.082623,9.165570,417621
9.165570,9.165570,2000-11-14,9.331462,9.124097,9.165570,410928
9.124097,9.124097,2000-11-15,9.497355,9.124097,9.331462,237383
9.082623,9.082623,2000-11-16,9.248516,8.916731,9.248516,167985
8.916731,8.916731,2000-11-17,9.124097,8.750838,9.124097,181735
9.331462,9.331462,2000-11-20,9.414409,8.999677,9.124097,201034
9.289989,9.289989,2000-11-21,9.372936,9.124097,9.124097,224006
9.538828,9.538828,2000-11-22,10.119453,9.331462,9.497355,760306
9.621775,9.621775,2000-11-23,9.746194,9.414409,9.746194,232204
9.580301,9.580301,2000-11-24,9.953560,9.455882,9.787667,677360
9.746194,9.746194,2000-11-27,9.829141,9.580301,9.663248,215907
9.663248,9.663248,2000-11-28,9.787667,9.580301,9.663248,391928
9.704721,9.704721,2000-11-29,9.787667,9.580301,9.787667,175427
9.746194,9.746194,2000-11-30,9.746194,9.621775,9.746194,177577
9.663248,9.663248,2000-12-01,9.746194,9.580301,9.704721,81711
9.621775,9.621775,2000-12-04,9.746194,9.621775,9.621775,113052
9.621775,9.621775,2000-12-05,9.704721,9.580301,9.704721,205641
9.497355,9.497355,2000-12-06,10.285345,9.455882,9.870614,332070
9.704721,9.704721,2000-12-07,9.746194,9.538828,9.704721,134321
9.704721,9.704721,2000-12-08,9.787667,9.663248,9.704721,186017
9.704721,9.704721,2000-12-11,9.787667,9.663248,9.787667,245450
9.704721,9.704721,2000-12-12,9.787667,9.538828,9.787667,312760
9.787667,9.787667,2000-12-13,9.912087,9.538828,9.912087,300763
9.704721,9.704721,2000-12-14,9.953560,9.663248,9.829141,347088
9.746194,9.746194,2000-12-15,9.870614,9.621775,9.787667,155570
9.621775,9.621775,2000-12-18,9.953560,8.958204,9.953560,115414
9.207043,9.207043,2000-12-19,9.704721,9.165570,9.704721,357814
9.414409,9.414409,2000-12-20,9.538828,9.289989,9.372936,105747
9.331462,9.331462,2000-12-21,9.663248,9.124097,9.663248,122808
9.041150,9.041150,2000-12-22,9.414409,8.958204,9.165570,203754
9.041150,9.041150,2000-12-25,9.041150,9.041150,9.041150,0
8.294633,8.294633,2000-12-26,9.124097,8.170214,9.124097,422746
8.916731,8.916731,2000-12-27,8.999677,8.460526,8.460526,101870
8.958204,8.958204,2000-12-28,9.082623,8.792311,8.833784,164066
8.999677,8.999677,2000-12-29,9.082623,8.875258,8.916731,378591
8.916731,8.916731,2001-01-01,9.124097,8.833784,8.958204,95220
8.916731,8.916731,2001-01-02,9.041150,8.709365,8.916731,145185
9.124097,9.124097,2001-01-03,9.455882,8.584945,8.584945,165300
9.124097,9.124097,2001-01-04,9.497355,9.082623,9.165570,122708
9.289989,9.289989,2001-01-05,9.331462,9.041150,9.165570,142393
9.207043,9.207043,2001-01-08,9.331462,9.082623,9.124097,133581
9.124097,9.124097,2001-01-09,9.497355,9.082623,9.497355,149385
9.248516,9.248516,2001-01-10,9.372936,9.165570,9.331462,135517
8.999677,8.999677,2001-01-11,9.248516,8.958204,9.165570,154046
9.041150,9.041150,2001-01-12,9.124097,8.792311,9.124097,75194
8.875258,8.875258,2001-01-15,9.207043,8.709365,9.207043,98756
8.750838,8.750838,2001-01-16,8.916731,8.667892,8.916731,192244
8.750838,8.750838,2001-01-17,9.041150,8.709365,8.792311,99838
8.916731,8.916731,2001-01-18,8.958204,8.501999,8.543472,63791
9.041150,9.041150,2001-01-19,9.041150,8.875258,8.999677,110857
9.041150,9.041150,2001-01-22,9.124097,8.875258,9.041150,93920
8.958204,8.958204,2001-01-23,9.041150,8.750838,8.916731,165240
9.041150,9.041150,2001-01-24,9.207043,8.916731,9.207043,109680
9.372936,9.372936,2001-01-25,9.663248,8.999677,9.124097,391045
9.372936,9.372936,2001-01-26,9.372936,9.372936,9.372936,0
9.331462,9.331462,2001-01-29,9.455882,8.999677,9.207043,291835
9.289989,9.289989,2001-01-30,9.455882,9.248516,9.455882,258547
9.124097,9.124097,2001-01-31,9.414409,9.082623,9.414409,310779
9.165570,9.165570,2001-02-01,9.289989,9.041150,9.124097,126722
9.207043,9.207043,2001-02-02,9.289989,9.124097,9.289989,114775
9.289989,9.289989,2001-02-05,9.497355,9.082623,9.289989,244060
9.414409,9.414409,2001-02-06,9.455882,9.248516,9.289989,269013
9.331462,9.331462,2001-02-07,9.704721,9.289989,9.455882,395800
9.580301,9.580301,2001-02-08,9.621775,9.289989,9.455882,174482
9.538828,9.538828,2001-02-09,9.663248,9.455882,9.580301,189148
9.663248,9.663248,2001-02-12,10.160926,9.580301,9.621775,224687
9.538828,9.538828,2001-02-13,9.787667,9.455882,9.663248,357334
9.538828,9.538828,2001-02-14,9.663248,9.455882,9.663248,105745
9.497355,9.497355,2001-02-15,9.580301,9.455882,9.538828,147216
9.414409,9.414409,2001-02-16,9.538828,9.372936,9.538828,124646
9.289989,9.289989,2001-02-19,9.497355,9.289989,9.455882,127806
9.538828,9.538828,2001-02-20,9.704721,9.455882,9.538828,386230
9.497355,9.497355,2001-02-21,9.663248,9.455882,9.538828,204133
9.414409,9.414409,2001-02-22,9.621775,9.289989,9.455882,218444
9.331462,9.331462,2001-02-23,9.455882,9.289989,9.414409,118916
9.497355,9.497355,2001-02-26,9.538828,9.248516,9.372936,118376
8.999677,8.999677,2001-02-27,9.538828,8.875258,9.497355,329649
9.331462,9.331462,2001-02-28,9.704721,9.041150,9.124097,317123
9.082623,9.082623,2001-03-01,9.704721,8.999677,9.538828,138928
8.792311,8.792311,2001-03-02,9.331462,8.709365,9.331462,113837
8.336106,8.336106,2001-03-05,9.704721,8.211687,8.626419,370767
8.336106,8.336106,2001-03-06,8.336106,8.336106,8.336106,0
8.543472,8.543472,2001-03-07,8.999677,8.419053,8.999677,101502
8.584945,8.584945,2001-03-08,8.750838,8.419053,8.419053,86630
8.336106,8.336106,2001-03-09,8.584945,8.087267,8.543472,151478
