adj_close,close,date,high,low,open,volume
8.605038,10.410000,2003-12-04,10.610000,10.125000,10.600000,429280
9.468849,11.455000,2003-12-05,11.455000,10.000000,10.600000,1238250
10.419453,12.605000,2003-12-08,12.605000,11.810000,12.045000,1068940
10.671569,12.910000,2003-12-09,13.750000,12.150000,12.900000,1982710
10.154936,12.285000,2003-12-10,13.500000,11.800000,13.050000,515930
9.754030,11.800000,2003-12-11,12.645000,11.605000,12.500000,710030
9.253930,11.195000,2003-12-12,12.415000,11.120000,12.200000,727220
9.398584,11.370000,2003-12-15,11.790000,10.770000,11.300000,2081890
10.332659,12.500000,2003-12-16,12.510000,11.505000,11.580000,2822830
10.084676,12.200000,2003-12-17,13.380000,11.705000,12.500000,2400320
9.667235,11.695000,2003-12-18,12.700000,11.510000,12.475000,1361860
9.109275,11.020000,2003-12-19,11.900000,10.900000,11.800000,1730990
8.828223,10.680000,2003-12-22,11.350000,10.400000,11.100000,2956900
8.853021,10.710000,2003-12-23,11.240000,10.605000,10.900000,2173760
9.043144,10.940000,2003-12-24,11.000000,10.500000,11.000000,2970170
9.043144,10.940000,2003-12-25,10.940000,10.940000,10.940000,0
9.328325,11.285000,2003-12-26,11.425000,10.725000,11.090000,2217270
9.022476,10.915000,2003-12-29,11.350000,10.800000,11.350000,790480
8.948082,10.825000,2003-12-30,11.100000,10.500000,11.015000,1029930
9.196066,11.125000,2003-12-31,11.290000,10.700000,11.000000,1074610
9.410985,11.385000,2004-01-01,11.750000,11.210000,11.290000,1104990
9.485382,11.475000,2004-01-02,11.570000,11.115000,11.450000,1490820
9.431653,11.410000,2004-01-05,12.000000,11.000000,12.000000,1992620
9.348989,11.310000,2004-01-06,11.500000,11.200000,11.300000,1962790
8.873686,10.735000,2004-01-07,11.300000,10.500000,11.130000,337000
8.952216,10.830000,2004-01-08,11.300000,10.800000,11.135000,234570
8.650502,10.465000,2004-01-09,10.985000,10.200000,10.950000,417170
8.290925,10.030000,2004-01-12,10.750000,9.610000,10.510000,888500
8.439716,10.210000,2004-01-13,10.500000,10.035000,10.195000,231590
8.997680,10.885000,2004-01-14,10.940000,10.370000,10.685000,380780
8.886085,10.750000,2004-01-15,10.900000,10.500000,10.795000,948940
8.596773,10.400000,2004-01-16,10.700000,10.095000,10.415000,244340
8.799294,10.645000,2004-01-19,11.150000,10.335000,10.335000,580650
8.824091,10.675000,2004-01-20,11.020000,10.575000,10.575000,1125250
8.501711,10.285000,2004-01-21,11.005000,9.770000,10.000000,811990
8.034675,9.720000,2004-01-22,10.650000,9.395000,10.400000,262660
8.439716,10.210000,2004-01-23,10.300000,9.725000,9.725000,337660
8.439716,10.210000,2004-01-26,10.210000,10.210000,10.210000,0
8.671165,10.490000,2004-01-27,10.550000,10.210000,10.210000,435250
