adj_close,close,date,high,low,open,volume
null,1017.13,2004-01-02,1017.13,1017.13,1017.13,null
null,1007.38,2004-01-05,1007.38,1007.38,1007.38,null
null,985.81,2004-01-06,985.81,985.81,985.81,null
null,971.03,2004-01-07,971.03,971.03,971.03,null
null,1002.12,2004-01-08,1002.12,1002.12,1002.12,null
null,1003.77,2004-01-09,1003.77,1003.77,1003.77,null
null,986.77,2004-01-12,986.77,986.77,986.77,null
null,991.98,2004-01-13,991.98,991.98,991.98,null
null,1003.96,2004-01-14,1003.96,1003.96,1003.96,null
null,995.00,2004-01-15,995.00,995.00,995.00,null
null,964.29,2004-01-16,964.29,964.29,964.29,null
null,963.50,2004-01-19,963.50,963.50,963.50,null
null,948.59,2004-01-20,948.59,948.59,948.59,null
null,877.17,2004-01-21,877.17,877.17,877.17,null
null,849.48,2004-01-22,849.48,849.48,849.48,null
null,895.59,2004-01-23,895.59,895.59,895.59,null
null,922.94,2004-01-27,922.94,922.94,922.94,null
null,903.34,2004-01-28,903.34,903.34,903.34,null
null,899.02,2004-01-29,899.02,899.02,899.02,null
null,874.16,2004-01-30,874.16,874.16,874.16,null
null,821.16,2004-02-03,821.16,821.16,821.16,null
null,835.84,2004-02-04,835.84,835.84,835.84,null
null,837.69,2004-02-05,837.69,837.69,837.69,null
null,837.71,2004-02-06,837.71,837.71,837.71,null
null,858.19,2004-02-09,858.19,858.19,858.19,null
null,858.86,2004-02-10,858.86,858.86,858.86,null
null,861.40,2004-02-11,861.40,861.40,861.40,null
null,864.07,2004-02-12,864.07,864.07,864.07,null
null,886.71,2004-02-13,886.71,886.71,886.71,null
null,902.73,2004-02-16,902.73,902.73,902.73,null
null,899.58,2004-02-17,899.58,899.58,899.58,null
null,897.73,2004-02-18,897.73,897.73,897.73,null
null,870.39,2004-02-19,870.39,870.39,870.39,null
null,866.72,2004-02-20,866.72,866.72,866.72,null
null,848.67,2004-02-23,848.67,848.67,848.67,null
null,851.57,2004-02-24,851.57,851.57,851.57,null
null,839.35,2004-02-25,839.35,839.35,839.35,null
null,834.58,2004-02-26,834.58,834.58,834.58,null
null,832.06,2004-02-27,832.06,832.06,832.06,null
null,846.25,2004-03-01,846.25,846.25,846.25,null
null,847.46,2004-03-03,847.46,847.46,847.46,null
null,841.67,2004-03-04,841.67,841.67,841.67,null
null,847.47,2004-03-05,847.47,847.47,847.47,null
null,855.65,2004-03-08,855.65,855.65,855.65,null
null,846.53,2004-03-09,846.53,846.53,846.53,null
null,842.11,2004-03-10,842.11,842.11,842.11,null
null,833.51,2004-03-11,833.51,833.51,833.51,null
null,830.60,2004-03-12,830.60,830.60,830.60,null
null,811.96,2004-03-15,811.96,811.96,811.96,null
null,793.80,2004-03-16,793.80,793.80,793.80,null
null,798.13,2004-03-17,798.13,798.13,798.13,null
null,785.35,2004-03-18,785.35,785.35,785.35,null
null,781.43,2004-03-19,781.43,781.43,781.43,null
null,752.06,2004-03-22,752.06,752.06,752.06,null
null,744.51,2004-03-23,744.51,744.51,744.51,null
null,744.56,2004-03-24,744.56,744.56,744.56,null
null,759.82,2004-03-25,759.82,759.82,759.82,null
null,780.97,2004-03-26,780.97,780.97,780.97,null
null,793.91,2004-03-29,793.91,793.91,793.91,null
null,809.78,2004-03-30,809.78,809.78,809.78,null
null,817.97,2004-03-31,817.97,817.97,817.97,null
null,844.30,2004-04-01,844.30,844.30,844.30,null
null,853.09,2004-04-02,853.09,853.09,853.09,null
null,863.83,2004-04-05,863.83,863.83,863.83,null
null,854.44,2004-04-06,854.44,854.44,854.44,null
null,853.11,2004-04-07,853.11,853.11,853.11,null
null,859.90,2004-04-08,859.90,859.90,859.90,null
null,866.30,2004-04-12,866.30,866.30,866.30,null
null,874.27,2004-04-13,874.27,874.27,874.27,null
null,885.74,2004-04-15,885.74,885.74,885.74,null
null,899.47,2004-04-16,899.47,899.47,899.47,null
null,913.83,2004-04-17,913.83,913.83,913.83,null
null,898.95,2004-04-19,898.95,898.95,898.95,null
null,894.64,2004-04-20,894.64,894.64,894.64,null
null,909.77,2004-04-21,909.77,909.77,909.77,null
null,924.67,2004-04-22,924.67,924.67,924.67,null
null,929.19,2004-04-23,929.19,929.19,929.19,null
null,883.22,2004-04-27,883.22,883.22,883.22,null
null,887.05,2004-04-28,887.05,887.05,887.05,null
null,893.29,2004-04-29,893.29,893.29,893.29,null
null,890.89,2004-04-30,890.89,890.89,890.89,null
null,870.49,2004-05-03,870.49,870.49,870.49,null
null,896.09,2004-05-04,896.09,896.09,896.09,null
null,906.11,2004-05-05,906.11,906.11,906.11,null
null,922.81,2004-05-06,922.81,922.81,922.81,null
null,913.68,2004-05-07,913.68,913.68,913.68,null
null,901.07,2004-05-10,901.07,901.07,901.07,null
null,860.98,2004-05-11,860.98,860.98,860.98,null
null,873.55,2004-05-12,873.55,873.55,873.55,null
null,877.57,2004-05-13,877.57,877.57,877.57,null
null,808.44,2004-05-14,808.44,808.44,808.44,null
null,718.80,2004-05-17,718.80,718.80,718.80,null
null,771.81,2004-05-18,771.81,771.81,771.81,null
null,806.15,2004-05-19,806.15,806.15,806.15,null
null,813.02,2004-05-20,813.02,813.02,813.02,null
null,807.75,2004-05-21,807.75,807.75,807.75,null
null,837.06,2004-05-24,837.06,837.06,837.06,null
null,834.79,2004-05-25,834.79,834.79,834.79,null
null,839.46,2004-05-26,839.46,839.46,839.46,null
null,832.87,2004-05-27,832.87,832.87,832.87,null
null,801.00,2004-05-28,801.00,801.00,801.00,null
null,774.45,2004-05-31,774.45,774.45,774.45,null
null,782.66,2004-06-01,782.66,782.66,782.66,null
null,787.18,2004-06-02,787.18,787.18,787.18,null
null,777.97,2004-06-03,777.97,777.97,777.97,null
null,776.34,2004-06-04,776.34,776.34,776.34,null
null,785.15,2004-06-07,785.15,785.15,785.15,null
null,786.49,2004-06-08,786.49,786.49,786.49,null
null,792.84,2004-06-09,792.84,792.84,792.84,null
null,798.16,2004-06-10,798.16,798.16,798.16,null
null,792.02,2004-06-11,792.02,792.02,792.02,null
null,771.01,2004-06-14,771.01,771.01,771.01,null
null,777.66,2004-06-15,777.66,777.66,777.66,null
null,777.84,2004-06-16,777.84,777.84,777.84,null
null,780.08,2004-06-17,780.08,780.08,780.08,null
null,778.25,2004-06-18,778.25,778.25,778.25,null
null,770.41,2004-06-21,770.41,770.41,770.41,null
null,763.03,2004-06-22,763.03,763.03,763.03,null
null,743.88,2004-06-23,743.88,743.88,743.88,null
null,742.77,2004-06-24,742.77,742.77,742.77,null
null,759.67,2004-06-25,759.67,759.67,759.67,null
null,780.09,2004-06-28,780.09,780.09,780.09,null
null,784.51,2004-06-29,784.51,784.51,784.51,null
null,786.47,2004-06-30,786.47,786.47,786.47,null
null,796.91,2004-07-01,796.91,796.91,796.91,null
null,799.97,2004-07-02,799.97,799.97,799.97,null
null,795.34,2004-07-05,795.34,795.34,795.34,null
null,801.32,2004-07-06,801.32,801.32,801.32,null
null,804.74,2004-07-07,804.74,804.74,804.74,null
null,776.74,2004-07-08,776.74,776.74,776.74,null
null,794.73,2004-07-09,794.73,794.73,794.73,null
null,805.79,2004-07-12,805.79,805.79,805.79,null
null,803.08,2004-07-13,803.08,803.08,803.08,null
null,806.75,2004-07-14,806.75,806.75,806.75,null
null,828.22,2004-07-15,828.22,828.22,828.22,null
null,848.52,2004-07-16,848.52,848.52,848.52,null
null,859.84,2004-07-19,859.84,859.84,859.84,null
null,852.43,2004-07-20,852.43,852.43,852.43,null
null,860.70,2004-07-21,860.70,860.70,860.70,null
null,862.68,2004-07-22,862.68,862.68,862.68,null
null,870.55,2004-07-23,870.55,870.55,870.55,null
null,871.64,2004-07-26,871.64,871.64,871.64,null
null,860.82,2004-07-27,860.82,860.82,860.82,null
null,859.00,2004-07-28,859.00,859.00,859.00,null
null,866.79,2004-07-29,866.79,866.79,866.79,null
null,872.22,2004-07-30,872.22,872.22,872.22,null
null,873.57,2004-08-02,873.57,873.57,873.57,null
null,876.88,2004-08-03,876.88,876.88,876.88,null
null,881.16,2004-08-04,881.16,881.16,881.16,null
null,897.92,2004-08-05,897.92,897.92,897.92,null
null,893.72,2004-08-06,893.72,893.72,893.72,null
null,897.25,2004-08-09,897.25,897.25,897.25,null
null,907.13,2004-08-10,907.13,907.13,907.13,null
null,888.09,2004-08-11,888.09,888.09,888.09,null
null,879.19,2004-08-12,879.19,879.19,879.19,null
null,893.49,2004-08-13,893.49,893.49,893.49,null
null,897.58,2004-08-16,897.58,897.58,897.58,null
null,910.01,2004-08-17,910.01,910.01,910.01,null
null,905.66,2004-08-18,905.66,905.66,905.66,null
null,915.36,2004-08-19,915.36,915.36,915.36,null
null,909.31,2004-08-20,909.31,909.31,909.31,null
null,902.09,2004-08-23,902.09,902.09,902.09,null
null,914.64,2004-08-24,914.64,914.64,914.64,null
null,916.95,2004-08-25,916.95,916.95,916.95,null
null,930.78,2004-08-26,930.78,930.78,930.78,null
null,943.62,2004-08-27,943.62,943.62,943.62,null
null,971.69,2004-08-30,971.69,971.69,971.69,null
null,977.21,2004-08-31,977.21,977.21,977.21,null
null,985.48,2004-09-01,985.48,985.48,985.48,null
null,975.54,2004-09-02,975.54,975.54,975.54,null
null,982.51,2004-09-03,982.51,982.51,982.51,null
null,997.92,2004-09-06,997.92,997.92,997.92,null
null,1007.41,2004-09-07,1007.41,1007.41,1007.41,null
null,1011.70,2004-09-08,1011.70,1011.70,1011.70,null
null,997.07,2004-09-09,997.07,997.07,997.07,null
null,1007.27,2004-09-10,1007.27,1007.27,1007.27,null
null,1010.74,2004-09-13,1010.74,1010.74,1010.74,null
null,1003.61,2004-09-14,1003.61,1003.61,1003.61,null
null,1000.62,2004-09-15,1000.62,1000.62,1000.62,null
null,1010.45,2004-09-16,1010.45,1010.45,1010.45,null
null,1015.58,2004-09-17,1015.58,1015.58,1015.58,null
null,1014.70,2004-09-20,1014.70,1014.70,1014.70,null
null,1019.68,2004-09-21,1019.68,1019.68,1019.68,null
null,1023.05,2004-09-22,1023.05,1023.05,1023.05,null
null,1018.11,2004-09-23,1018.11,1018.11,1018.11,null
null,1028.88,2004-09-24,1028.88,1028.88,1028.88,null
null,1029.79,2004-09-27,1029.79,1029.79,1029.79,null
null,1023.04,2004-09-28,1023.04,1023.04,1023.04,null
