adj_close,close,date,high,low,open,volume
300.394867,519.000000,2000-01-04,525.000000,514.000000,520.000000,613000
299.237335,517.000000,2000-01-05,535.000000,516.000000,518.000000,1405000
302.710052,523.000000,2000-01-06,540.000000,523.000000,537.000000,982000
312.549622,540.000000,2000-01-07,559.000000,530.000000,530.000000,1769000
312.549622,540.000000,2000-01-10,540.000000,540.000000,540.000000,0
324.704407,561.000000,2000-01-11,575.000000,550.000000,570.000000,1673000
327.019501,565.000000,2000-01-12,570.000000,558.000000,560.000000,2187000
342.068146,591.000000,2000-01-13,592.000000,569.000000,569.000000,4680000
349.592712,604.000000,2000-01-14,605.000000,595.000000,600.000000,6301000
349.592712,604.000000,2000-01-17,606.000000,599.000000,605.000000,1697000
348.434967,602.000000,2000-01-18,603.000000,599.000000,603.000000,1864000
347.277374,600.000000,2000-01-19,602.000000,594.000000,599.000000,2165000
348.434967,602.000000,2000-01-20,606.000000,598.000000,605.000000,2146000
338.016724,584.000000,2000-01-21,588.000000,575.000000,582.000000,3062000
333.965088,577.000000,2000-01-24,588.000000,571.000000,582.000000,1960000
333.965088,577.000000,2000-01-25,582.000000,570.000000,570.000000,1951000
332.807465,575.000000,2000-01-26,585.000000,570.000000,581.000000,1510000
329.334747,569.000000,2000-01-27,579.000000,567.000000,578.000000,1977000
329.334747,569.000000,2000-01-28,575.000000,566.000000,566.000000,1744000
346.698578,599.000000,2000-01-31,599.000000,571.000000,571.000000,2017000
342.647003,592.000000,2000-02-01,598.000000,580.000000,598.000000,1314000
339.174255,586.000000,2000-02-02,595.000000,586.000000,595.000000,1254000
353.065277,610.000000,2000-02-03,613.000000,594.000000,595.000000,4583000
348.434967,602.000000,2000-02-04,614.000000,602.000000,614.000000,2238000
340.331909,588.000000,2000-02-07,601.000000,585.000000,600.000000,1400000
346.119781,598.000000,2000-02-08,602.000000,592.000000,592.000000,2756000
344.383423,595.000000,2000-02-09,605.000000,595.000000,603.000000,961000
347.856232,601.000000,2000-02-10,610.000000,593.000000,595.000000,2234000
347.856232,601.000000,2000-02-11,601.000000,601.000000,601.000000,0
350.171417,605.000000,2000-02-14,617.000000,600.000000,610.000000,1803000
348.434967,602.000000,2000-02-15,608.000000,596.000000,605.000000,1838000
357.695740,618.000000,2000-02-16,618.000000,605.000000,605.000000,2865000
373.901825,646.000000,2000-02-17,652.000000,625.000000,648.000000,7913000
377.374908,652.000000,2000-02-18,669.000000,648.000000,654.000000,7983000
375.638428,649.000000,2000-02-21,653.000000,632.000000,632.000000,2685000
375.638428,649.000000,2000-02-22,655.000000,642.000000,649.000000,2799000
385.477875,666.000000,2000-02-23,675.000000,649.000000,650.000000,3799000
380.847473,658.000000,2000-02-24,674.000000,652.000000,674.000000,1438000
383.741302,663.000000,2000-02-25,665.000000,640.000000,658.000000,1688000
371.586823,642.000000,2000-02-28,659.000000,641.000000,653.000000,1427000
375.638428,649.000000,2000-02-29,655.000000,640.000000,642.000000,1142000
386.635590,668.000000,2000-03-01,668.000000,647.000000,649.000000,1652000
380.268646,657.000000,2000-03-02,665.000000,654.000000,665.000000,1115000
380.847473,658.000000,2000-03-03,660.000000,653.000000,658.000000,890000
376.217194,650.000000,2000-03-06,672.000000,650.000000,664.000000,2673000
399.368866,690.000000,2000-03-07,693.000000,656.000000,660.000000,6846000
396.475098,685.000000,2000-03-08,690.000000,675.000000,675.000000,3273000
390.687103,675.000000,2000-03-09,689.000000,675.000000,684.000000,1955000
402.263031,695.000000,2000-03-10,695.000000,675.000000,680.000000,5927000
403.999146,698.000000,2000-03-13,706.000000,686.000000,695.000000,3349000
387.793121,670.000000,2000-03-14,694.000000,660.000000,691.000000,1585000
383.741302,663.000000,2000-03-15,667.000000,646.000000,663.000000,2426000
387.793121,670.000000,2000-03-16,673.000000,645.000000,673.000000,2484000
386.635590,668.000000,2000-03-17,668.000000,654.000000,660.000000,2299000
386.635590,668.000000,2000-03-20,668.000000,668.000000,668.000000,0
391.265808,676.000000,2000-03-21,697.000000,658.000000,678.000000,2571000
382.005096,660.000000,2000-03-22,667.000000,656.000000,666.000000,1806000
386.056702,667.000000,2000-03-23,667.000000,651.000000,651.000000,2249000
401.684204,694.000000,2000-03-24,694.000000,655.000000,667.000000,2531000
405.157013,700.000000,2000-03-27,700.000000,681.000000,695.000000,2322000
401.669373,691.000000,2000-03-28,695.000000,672.000000,684.000000,1286000
414.457581,713.000000,2000-03-29,713.000000,688.000000,699.000000,3044000
399.344086,687.000000,2000-03-30,710.000000,683.000000,710.000000,1937000
380.742767,655.000000,2000-03-31,686.000000,655.000000,684.000000,1520000
410.388519,706.000000,2000-04-03,710.000000,660.000000,665.000000,2301000
413.294830,711.000000,2000-04-04,715.000000,702.000000,706.000000,2714000
414.457581,713.000000,2000-04-05,720.000000,700.000000,703.000000,1907000
400.506622,689.000000,2000-04-06,708.000000,687.000000,703.000000,1730000
406.900726,700.000000,2000-04-07,715.000000,689.000000,689.000000,2825000
406.319489,699.000000,2000-04-10,713.000000,696.000000,710.000000,1226000
410.969666,707.000000,2000-04-11,710.000000,680.000000,693.000000,1698000
412.132507,709.000000,2000-04-12,711.000000,696.000000,705.000000,1646000
418.526550,720.000000,2000-04-13,720.000000,709.000000,710.000000,2162000
410.969666,707.000000,2000-04-14,720.000000,703.000000,720.000000,2558000
392.949890,676.000000,2000-04-17,694.000000,654.000000,667.000000,2866000
393.531219,677.000000,2000-04-18,687.000000,665.000000,678.000000,1836000
378.999084,652.000000,2000-04-19,675.000000,650.000000,667.000000,2483000
373.186188,642.000000,2000-04-20,652.000000,642.000000,650.000000,2284000
372.023651,640.000000,2000-04-21,650.000000,620.000000,650.000000,2527000
377.836426,650.000000,2000-04-24,655.000000,630.000000,649.000000,2944000
380.161682,654.000000,2000-04-25,664.000000,647.000000,650.000000,2971000
383.067963,659.000000,2000-04-26,677.000000,649.000000,663.000000,3322000
369.117218,635.000000,2000-04-27,656.000000,634.000000,650.000000,1566000
361.560455,622.000000,2000-04-28,641.000000,622.000000,632.000000,1713000
377.255219,649.000000,2000-05-01,655.000000,637.000000,642.000000,2482000
378.417664,651.000000,2000-05-02,657.000000,643.000000,652.000000,2932000
378.417664,651.000000,2000-05-03,651.000000,651.000000,651.000000,0
378.417664,651.000000,2000-05-04,651.000000,651.000000,651.000000,0
378.417664,651.000000,2000-05-05,651.000000,651.000000,651.000000,0
401.087799,690.000000,2000-05-08,696.000000,675.000000,681.000000,2866000
401.087799,690.000000,2000-05-09,690.000000,690.000000,690.000000,0
406.319489,699.000000,2000-05-10,699.000000,682.000000,689.000000,1554000
