adj_close,close,date,high,low,open,volume
1406.370972,1406.370972,2000-01-04,1407.517944,1361.213989,1368.692993,0
1409.682007,1409.682007,2000-01-05,1433.780029,1398.322998,1407.828979,0
1463.942017,1463.942017,2000-01-06,1463.954956,1400.253052,1406.036011,0
1516.604004,1516.604004,2000-01-07,1522.824951,1477.154053,1477.154053,0
1545.112061,1545.112061,2000-01-10,1546.723022,1506.404053,1531.712036,0
1479.781006,1479.781006,2000-01-11,1547.708008,1468.756958,1547.677979,0
1438.020020,1438.020020,2000-01-12,1489.280029,1434.995972,1473.760986,0
1424.442017,1424.442017,2000-01-13,1444.066040,1418.813965,1437.453003,0
1408.848022,1408.848022,2000-01-14,1433.473999,1401.706055,1426.223999,0
1433.329956,1433.329956,2000-01-17,1433.383057,1402.662964,1408.988037,0
1426.623047,1426.623047,2000-01-18,1443.592041,1421.641968,1436.887939,0
1440.723999,1440.723999,2000-01-19,1443.671997,1425.142944,1425.874023,0
1466.863037,1466.863037,2000-01-20,1466.901001,1443.093994,1443.093994,0
1465.084961,1465.084961,2000-01-21,1476.456055,1458.925049,1471.905029,0
1477.343994,1477.343994,2000-01-24,1477.411987,1449.472046,1465.858032,0
1476.505981,1476.505981,2000-01-25,1490.463989,1467.437988,1483.032959,0
1481.116943,1481.116943,2000-01-26,1482.463989,1469.979980,1477.295044,0
1506.766968,1506.766968,2000-01-27,1506.921997,1485.234009,1490.447021,0
1534.996948,1534.996948,2000-01-28,1536.345947,1510.744995,1514.557983,0
null,null,2000-01-31,null,null,null,null
null,null,2000-02-01,null,null,null,null
null,null,2000-02-02,null,null,null,null
null,null,2000-02-03,null,null,null,null
null,null,2000-02-04,null,null,null,null
null,null,2000-02-07,null,null,null,null
null,null,2000-02-08,null,null,null,null
null,null,2000-02-09,null,null,null,null
null,null,2000-02-10,null,null,null,null
null,null,2000-02-11,null,null,null,null
1673.942993,1673.942993,2000-02-14,1674.131958,1587.817993,1591.444946,0
1670.670044,1670.670044,2000-02-15,1746.442993,1663.005005,1709.223999,0
1693.109009,1693.109009,2000-02-16,1695.880981,1649.698975,1674.936035,0
1640.649048,1640.649048,2000-02-17,1770.880005,1615.629028,1734.267944,0
1668.090942,1668.090942,2000-02-18,1668.163940,1583.582031,1623.961060,0
1677.135986,1677.135986,2000-02-21,1697.010010,1652.475952,1681.360962,0
1632.293945,1632.293945,2000-02-22,1687.510986,1627.467041,1681.298950,0
1594.930054,1594.930054,2000-02-23,1630.546021,1586.634033,1618.008057,0
1634.308960,1634.308960,2000-02-24,1634.322998,1593.928955,1593.947998,0
1631.576050,1631.576050,2000-02-25,1650.364990,1618.177002,1639.918945,0
1704.854980,1704.854980,2000-02-28,1704.884033,1639.696045,1639.798950,0
