adj_close,close,date,high,low,open,volume
3.833292,4.346666,2000-01-04,4.360000,4.106666,4.213333,347411
3.793313,4.301333,2000-01-05,4.426666,4.114666,4.213333,481773
3.925009,4.450666,2000-01-06,4.488000,4.232000,4.232000,555922
3.995561,4.530666,2000-01-07,4.573333,4.322666,4.488000,1380888
4.054353,4.597333,2000-01-10,4.661333,4.485333,4.533333,1260795
3.859161,4.376000,2000-01-11,4.560000,4.341333,4.560000,627795
3.748630,4.250666,2000-01-12,4.405333,4.234666,4.346666,544788
3.774501,4.280000,2000-01-13,4.293333,4.229333,4.250666,370402
3.701596,4.197333,2000-01-14,4.272000,4.186666,4.213333,257250
3.783906,4.290666,2000-01-17,4.314666,4.181333,4.186666,288180
3.701596,4.197333,2000-01-18,4.298666,4.189333,4.290666,299595
3.877975,4.397333,2000-01-19,4.400000,4.165333,4.165333,414397
3.917953,4.442666,2000-01-20,4.525333,4.317333,4.397333,592451
4.082574,4.629333,2000-01-21,4.797333,4.400000,4.400000,4285867
4.214269,4.778666,2000-01-24,4.960000,4.642666,4.661333,3206032
4.091980,4.640000,2000-01-25,4.826666,4.560000,4.802666,1531770
3.957934,4.488000,2000-01-26,4.666666,4.480000,4.664000,679878
4.183697,4.744000,2000-01-27,4.800000,4.488000,4.560000,1776690
4.195456,4.757333,2000-01-28,4.853333,4.669333,4.805333,1890161
4.195456,4.757333,2000-01-31,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-01,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-02,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-03,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-04,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-07,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-08,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-09,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-10,4.853333,4.669333,4.805333,0
4.195456,4.757333,2000-02-11,4.853333,4.669333,4.805333,0
4.614061,5.232000,2000-02-14,5.232000,4.842666,4.880000,4099740
4.482365,5.082666,2000-02-15,5.680000,5.066666,5.330666,4893011
