adj_close,close,date,high,low,open,volume
293.750000,293.750000,2011-12-20,315.000000,265.375000,310.000000,2328000
318.750000,318.750000,2011-12-21,341.250000,297.500000,297.500000,876000
310.500000,310.500000,2011-12-22,335.000000,305.000000,331.250000,357600
306.250000,306.250000,2011-12-26,322.375000,301.250000,322.375000,136800
301.250000,301.250000,2011-12-27,306.250000,300.125000,306.250000,88800
329.250000,329.250000,2011-12-28,329.250000,301.500000,301.500000,175200
331.250000,331.250000,2011-12-29,341.250000,322.500000,335.500000,334400
323.750000,323.750000,2011-12-30,336.625000,323.500000,331.250000,196000
329.375000,329.375000,2012-01-04,345.000000,325.250000,341.125000,627200
339.000000,339.000000,2012-01-05,342.500000,327.125000,331.875000,236800
341.250000,341.250000,2012-01-06,342.500000,333.125000,341.250000,212000
333.500000,333.500000,2012-01-10,341.750000,330.500000,341.000000,134400
328.125000,328.125000,2012-01-11,334.375000,325.000000,333.500000,99200
325.000000,325.000000,2012-01-12,325.000000,318.875000,321.875000,60000
316.250000,316.250000,2012-01-13,320.000000,310.000000,319.250000,94400
302.625000,302.625000,2012-01-16,319.875000,302.625000,310.000000,52000
291.250000,291.250000,2012-01-17,302.750000,290.750000,293.875000,128000
291.250000,291.250000,2012-01-18,304.250000,283.250000,287.500000,111200
289.125000,289.125000,2012-01-19,293.750000,287.500000,287.500000,32000
285.000000,285.000000,2012-01-20,285.625000,282.875000,285.250000,48000
287.000000,287.000000,2012-01-23,291.625000,285.000000,285.000000,18400
298.625000,298.625000,2012-01-24,301.625000,285.375000,285.375000,27200
295.000000,295.000000,2012-01-25,296.250000,291.375000,294.625000,26400
290.625000,290.625000,2012-01-26,295.000000,287.500000,295.000000,24000
287.500000,287.500000,2012-01-27,288.750000,284.500000,287.500000,40000
283.250000,283.250000,2012-01-30,290.375000,283.125000,286.625000,65600
281.250000,281.250000,2012-01-31,287.125000,278.125000,283.250000,52800
280.625000,280.625000,2012-02-01,281.125000,278.125000,278.250000,40800
278.375000,278.375000,2012-02-02,281.250000,278.125000,279.000000,13600
298.750000,298.750000,2012-02-03,306.250000,278.125000,280.500000,103200
297.875000,297.875000,2012-02-06,308.625000,293.875000,306.250000,73600
306.875000,306.875000,2012-02-07,325.000000,288.750000,297.875000,125600
310.625000,310.625000,2012-02-08,324.750000,310.000000,310.000000,81600
304.500000,304.500000,2012-02-09,311.000000,302.875000,307.625000,52000
303.500000,303.500000,2012-02-10,306.250000,295.000000,306.250000,29600
299.375000,299.375000,2012-02-13,306.250000,290.000000,306.250000,44800
291.000000,291.000000,2012-02-14,300.375000,290.000000,293.750000,27200
291.250000,291.250000,2012-02-15,291.500000,287.000000,289.125000,45600
286.500000,286.500000,2012-02-16,289.875000,286.375000,286.375000,24800
287.750000,287.750000,2012-02-17,288.375000,286.125000,286.250000,51200
282.500000,282.500000,2012-02-20,287.875000,282.500000,287.750000,39200
281.375000,281.375000,2012-02-21,286.125000,281.250000,286.125000,30400
288.750000,288.750000,2012-02-22,304.750000,281.375000,281.375000,94400
293.750000,293.750000,2012-02-23,298.000000,287.500000,290.875000,48000
286.875000,286.875000,2012-02-24,290.375000,286.250000,289.750000,53600
287.750000,287.750000,2012-02-27,291.625000,284.875000,286.875000,27200
288.750000,288.750000,2012-02-28,288.750000,285.375000,287.500000,26400
282.875000,282.875000,2012-02-29,284.250000,278.750000,282.500000,119200
267.500000,267.500000,2012-03-01,280.000000,267.500000,279.375000,104800
242.500000,242.500000,2012-03-02,256.250000,225.625000,243.750000,261600
240.625000,240.625000,2012-03-05,250.000000,235.250000,236.250000,61600
235.375000,235.375000,2012-03-06,243.625000,233.125000,239.625000,36000
237.500000,237.500000,2012-03-07,241.250000,232.625000,235.000000,39200
256.250000,256.250000,2012-03-08,274.250000,238.750000,238.750000,220800
250.000000,250.000000,2012-03-09,262.500000,248.750000,262.500000,64800
240.250000,240.250000,2012-03-12,250.125000,238.125000,250.125000,45600
263.125000,263.125000,2012-03-13,275.000000,240.000000,240.250000,182400
250.000000,250.000000,2012-03-14,269.375000,250.000000,269.375000,62400
252.750000,252.750000,2012-03-15,265.000000,251.500000,251.500000,36800
257.500000,257.500000,2012-03-16,259.000000,250.000000,259.000000,32800
251.875000,251.875000,2012-03-19,255.500000,250.750000,255.500000,24000
251.500000,251.500000,2012-03-21,253.875000,250.250000,253.875000,35200
253.750000,253.750000,2012-03-22,254.875000,251.500000,251.500000,20800
251.625000,251.625000,2012-03-23,255.000000,250.625000,253.750000,32800
258.500000,258.500000,2012-03-26,262.500000,256.250000,262.500000,31200
261.250000,261.250000,2012-03-27,261.250000,251.875000,256.250000,24000
256.250000,256.250000,2012-03-28,256.250000,245.000000,245.000000,22400
264.750000,264.750000,2012-03-29,270.000000,256.250000,256.250000,31600
271.000000,271.000000,2012-03-30,271.250000,262.000000,268.500000,36400
259.000000,259.000000,2012-04-02,280.000000,259.000000,272.750000,46000
259.250000,259.250000,2012-04-03,263.000000,259.000000,260.000000,25200
262.000000,262.000000,2012-04-04,269.500000,248.750000,260.000000,36400
253.500000,253.500000,2012-04-05,261.250000,250.000000,261.250000,22800
328.500000,328.500000,2012-04-06,328.500000,328.500000,328.500000,67200
338.750000,338.750000,2012-04-09,362.500000,330.250000,345.000000,1016800
337.000000,337.000000,2012-04-10,342.250000,320.000000,342.250000,222800
332.000000,332.000000,2012-04-11,350.000000,320.000000,341.250000,368000
330.000000,330.000000,2012-04-12,337.500000,322.250000,337.500000,106000
320.500000,320.500000,2012-04-13,336.250000,316.250000,329.500000,82800
306.000000,306.000000,2012-04-16,316.000000,303.000000,310.250000,102400
301.500000,301.500000,2012-04-17,306.500000,297.500000,306.000000,58000
311.750000,311.750000,2012-04-18,312.500000,300.000000,302.500000,44400
324.750000,324.750000,2012-04-19,334.250000,309.500000,310.250000,93600
323.000000,323.000000,2012-04-20,327.000000,320.000000,324.750000,31200
312.750000,312.750000,2012-04-23,323.000000,308.750000,320.250000,49600
311.250000,311.250000,2012-04-24,318.750000,311.250000,318.750000,18400
315.500000,315.500000,2012-04-25,331.750000,314.500000,314.500000,65600
322.500000,322.500000,2012-04-26,335.000000,320.000000,320.000000,107200
320.750000,320.750000,2012-04-27,331.750000,318.000000,325.500000,44000
322.500000,322.500000,2012-05-01,323.750000,312.500000,312.500000,58800
330.250000,330.250000,2012-05-02,331.750000,322.250000,323.000000,47600
328.250000,328.250000,2012-05-07,331.250000,320.500000,331.250000,58800
342.250000,342.250000,2012-05-08,346.000000,322.750000,327.500000,114400
334.000000,334.000000,2012-05-09,345.000000,329.000000,345.000000,106400
334.000000,334.000000,2012-05-10,336.000000,328.000000,328.250000,54000
323.750000,323.750000,2012-05-11,333.250000,323.750000,333.250000,45600
325.000000,325.000000,2012-05-14,330.000000,316.250000,322.500000,97600
257.750000,257.750000,2012-05-15,269.250000,250.000000,250.000000,216800
258.750000,258.750000,2012-05-16,262.250000,233.750000,250.250000,182000
309.000000,309.000000,2012-05-17,317.250000,262.500000,262.500000,158400
280.250000,280.250000,2012-05-18,297.500000,275.250000,294.000000,104000
292.500000,292.500000,2012-05-21,309.250000,267.000000,275.000000,154800
282.500000,282.500000,2012-05-22,292.500000,280.000000,292.500000,60400
275.000000,275.000000,2012-05-23,287.500000,272.000000,281.250000,48800
294.750000,294.750000,2012-05-24,297.500000,262.250000,272.500000,93600
290.000000,290.000000,2012-05-25,300.000000,282.750000,300.000000,45600
273.000000,273.000000,2012-05-28,282.500000,273.000000,282.500000,44800
262.250000,262.250000,2012-05-29,270.000000,252.500000,270.000000,35600
253.750000,253.750000,2012-05-30,263.750000,251.500000,258.750000,52400
262.500000,262.500000,2012-05-31,265.000000,249.750000,250.750000,50800
262.500000,262.500000,2012-06-01,268.750000,255.000000,265.000000,19200
255.000000,255.000000,2012-06-04,259.500000,252.500000,252.500000,30400
250.000000,250.000000,2012-06-05,258.750000,246.750000,252.750000,60400
257.500000,257.500000,2012-06-06,257.500000,250.500000,251.250000,24000
270.250000,270.250000,2012-06-07,271.000000,256.250000,261.250000,88800
263.500000,263.500000,2012-06-08,276.250000,260.000000,269.500000,39200
267.500000,267.500000,2012-06-11,272.500000,262.500000,270.000000,27600
255.000000,255.000000,2012-06-12,257.250000,248.000000,255.500000,63200
253.250000,253.250000,2012-06-13,260.000000,250.000000,256.250000,65600
255.250000,255.250000,2012-06-14,262.500000,248.750000,253.500000,89200
252.500000,252.500000,2012-06-15,255.250000,249.500000,255.250000,64000
239.500000,239.500000,2012-06-18,243.750000,207.750000,212.500000,542400
232.750000,232.750000,2012-06-19,241.250000,228.750000,235.750000,150000
223.000000,223.000000,2012-06-20,232.250000,221.750000,232.250000,283600
226.000000,226.000000,2012-06-21,228.000000,223.750000,226.000000,174400
226.250000,226.250000,2012-06-22,227.500000,225.000000,225.000000,83600
225.500000,225.500000,2012-06-25,232.000000,225.000000,232.000000,107200
225.000000,225.000000,2012-06-26,227.500000,223.250000,224.500000,111200
226.000000,226.000000,2012-06-27,227.000000,223.250000,227.000000,98800
225.250000,225.250000,2012-06-28,226.250000,222.750000,223.250000,125600
228.750000,228.750000,2012-06-29,231.750000,223.750000,225.000000,243600
230.000000,230.000000,2012-07-02,232.500000,226.000000,230.000000,150000
240.750000,240.750000,2012-07-03,241.750000,230.000000,231.000000,355600
256.250000,256.250000,2012-07-04,262.500000,238.000000,238.000000,775600
248.750000,248.750000,2012-07-05,268.500000,247.500000,256.500000,636400
247.750000,247.750000,2012-07-06,253.750000,246.250000,248.500000,233600
249.750000,249.750000,2012-07-09,252.500000,245.250000,246.250000,106800
248.500000,248.500000,2012-07-10,251.250000,246.500000,249.250000,155200
249.250000,249.250000,2012-07-11,260.000000,242.500000,249.500000,265600
251.250000,251.250000,2012-07-12,252.500000,241.500000,244.500000,132000
247.750000,247.750000,2012-07-13,250.000000,245.250000,245.750000,79600
244.500000,244.500000,2012-07-17,250.000000,244.500000,250.000000,48800
239.750000,239.750000,2012-07-18,242.500000,225.000000,242.500000,165200
244.250000,244.250000,2012-07-19,250.000000,240.000000,242.500000,68400
246.750000,246.750000,2012-07-20,256.000000,242.500000,242.500000,194000
237.000000,237.000000,2012-07-23,245.000000,234.750000,245.000000,94800
243.250000,243.250000,2012-07-24,247.500000,232.500000,233.250000,56400
243.000000,243.000000,2012-07-25,255.000000,236.000000,239.500000,132800
240.250000,240.250000,2012-07-26,249.750000,237.500000,239.500000,91200
246.750000,246.750000,2012-07-27,251.000000,240.000000,242.500000,122800
250.000000,250.000000,2012-07-30,253.750000,245.250000,248.000000,110400
254.500000,254.500000,2012-07-31,257.500000,246.000000,250.000000,113200
253.750000,253.750000,2012-08-01,254.500000,247.750000,254.500000,89200
249.000000,249.000000,2012-08-02,253.000000,247.000000,252.500000,101600
247.500000,247.500000,2012-08-03,250.500000,240.500000,247.000000,81200
237.500000,237.500000,2012-08-06,241.250000,232.000000,240.000000,188000
231.250000,231.250000,2012-08-07,236.500000,225.250000,236.500000,208400
237.500000,237.500000,2012-08-08,245.000000,230.000000,230.000000,140000
242.750000,242.750000,2012-08-09,246.500000,237.500000,241.250000,53600
245.000000,245.000000,2012-08-10,250.000000,237.250000,239.000000,106000
246.250000,246.250000,2012-08-13,250.250000,245.000000,245.000000,83200
248.750000,248.750000,2012-08-14,251.500000,243.750000,243.750000,77200
