adj_close,close,date,high,low,open,volume
-0.010452,1.362615,2002-07-01,1.401700,1.334259,1.364148,1080397
-0.010535,1.373344,2002-07-02,1.390971,1.356484,1.386372,1016147
-0.010535,1.373344,2002-07-03,1.387139,1.364914,1.371811,980394
-0.010593,1.381008,2002-07-04,1.401700,1.379475,1.379475,972747
-0.010570,1.377942,2002-07-05,1.388672,1.372578,1.388672,974496
-0.011034,1.438486,2002-07-08,1.454580,1.364914,1.394803,1061686
-0.010746,1.400934,2002-07-09,1.440785,1.391737,1.433121,1024719
-0.010735,1.399401,2002-07-10,1.410130,1.387139,1.410130,946638
-0.010558,1.376410,2002-07-11,1.449215,1.372578,1.449215,968220
-0.010640,1.387139,2002-07-12,1.403233,1.379475,1.391737,967763
-0.010423,1.358783,2002-07-15,1.378709,1.353418,1.371811,974157
-0.010517,1.371045,2002-07-16,1.381008,1.364148,1.364148,959138
-0.010435,1.360316,2002-07-17,1.371811,1.356484,1.371811,955902
-0.010558,1.376410,2002-07-18,1.397102,1.364914,1.397102,958081
-0.010517,1.371045,2002-07-19,1.387139,1.357250,1.387139,1022018
-0.010270,1.338857,2002-07-22,1.377176,1.329661,1.348820,959229
-0.010270,1.338857,2002-07-23,1.363381,1.302837,1.302837,950108
-0.010000,1.303604,2002-07-24,1.343455,1.303604,1.325829,1004507
-0.010094,1.315866,2002-07-25,1.361848,1.295174,1.341156,929688
-0.009782,1.275248,2002-07-26,1.283678,1.266051,1.283678,934529
-0.009541,1.243827,2002-07-29,1.295174,1.228499,1.295174,955236
-0.009435,1.230032,2002-07-30,1.295174,1.226200,1.295174,972108
-0.009347,1.218536,2002-07-31,1.249191,1.195545,1.249191,961513
-0.009459,1.233097,2002-08-01,1.260687,1.226200,1.226200,953331
-0.009365,1.220835,2002-08-02,1.226200,1.200910,1.226200,939461
-0.009347,1.218536,2002-08-05,1.287510,1.197078,1.287510,982116
-0.009218,1.201676,2002-08-06,1.226200,1.196311,1.226200,971195
-0.009388,1.223901,2002-08-07,1.241527,1.214704,1.241527,966576
-0.009247,1.205508,2002-08-08,1.249191,1.199377,1.249191,971443
-0.009318,1.214704,2002-08-09,1.222368,1.203209,1.210872,918884
-0.009359,1.220069,2002-08-12,1.225434,1.210872,1.219303,489590
-0.009324,1.215471,2002-08-13,1.225434,1.210872,1.221602,384772
-0.009230,1.203209,2002-08-14,1.223134,1.190180,1.223134,482452
-0.009230,1.203209,2002-08-15,1.203209,1.203209,1.203209,0
-0.009083,1.184049,2002-08-16,1.210872,1.177152,1.200143,520671
-0.009077,1.183283,2002-08-19,1.210872,1.173320,1.210872,501059
-0.009071,1.182517,2002-08-20,1.194779,1.180217,1.194779,507936
-0.009159,1.194012,2002-08-21,1.205508,1.187881,1.197844,507062
-0.009188,1.197844,2002-08-22,1.207041,1.187881,1.197844,495383
-0.009218,1.201676,2002-08-23,1.210872,1.187881,1.203975,519588
-0.009188,1.197844,2002-08-26,1.226200,1.193246,1.210106,552014
-0.009136,1.190947,2002-08-27,1.208573,1.184049,1.201676,504152
-0.009153,1.193246,2002-08-28,1.203209,1.184816,1.203209,491338
-0.009100,1.186348,2002-08-29,1.195545,1.180217,1.195545,489146
-0.009124,1.189414,2002-08-30,1.191713,1.180984,1.186348,488768
-0.009224,1.202442,2002-09-02,1.210106,1.194012,1.194012,514408
-0.009200,1.199377,2002-09-03,1.204741,1.190180,1.203209,493035
0.036471,1.191713,2002-09-04,1.201676,1.187881,1.197844,478760
0.036518,1.193246,2002-09-05,1.201676,1.189414,1.201676,492461
0.036447,1.190947,2002-09-06,1.199377,1.176386,1.199377,510128
0.036025,1.177152,2002-09-09,1.184049,1.149562,1.149562,488272
0.036025,1.177152,2002-09-10,1.177152,1.177152,1.177152,0
0.035884,1.172554,2002-09-11,1.187115,1.158759,1.187115,564188
0.035767,1.168722,2002-09-12,1.176386,1.153394,1.153394,504609
0.036002,1.176386,2002-09-13,1.184816,1.162591,1.184816,513534
0.035697,1.166423,2002-09-16,1.180217,1.157226,1.172554,511485
0.035650,1.164890,2002-09-17,1.174853,1.149562,1.161058,499846
0.035533,1.161058,2002-09-18,1.171787,1.153394,1.153394,506044
0.035415,1.157226,2002-09-19,1.164890,1.153394,1.157226,485989
0.035298,1.153394,2002-09-20,1.157226,1.145731,1.157226,492578
0.035439,1.157993,2002-09-23,1.163357,1.146497,1.149562,527652
0.034477,1.126571,2002-09-24,1.153394,1.088252,1.088252,568011
0.034079,1.113543,2002-09-25,1.134235,1.089785,1.089785,528109
0.033891,1.107412,2002-09-26,1.126571,1.100514,1.118907,539331
0.033774,1.103580,2002-09-27,1.118907,1.011615,1.011615,602772
0.033093,1.081355,2002-09-30,1.110477,1.015447,1.015447,506827
0.031897,1.042270,2002-10-01,1.072925,0.984025,0.984025,517996
0.031897,1.042270,2002-10-02,1.042270,1.042270,1.042270,0
0.031522,1.030008,2002-10-03,1.042270,0.997820,0.997820,514160
0.031405,1.026176,2002-10-04,1.048401,1.023111,1.048401,496179
0.032108,1.049167,2002-10-07,1.051466,1.026942,1.026942,497445
0.033985,1.110477,2002-10-08,1.118907,1.046102,1.046102,519836
0.034899,1.140366,2002-10-09,1.157226,1.116608,1.126571,561304
0.033891,1.107412,2002-10-10,1.130403,1.089785,1.089785,502860
0.034571,1.129637,2002-10-11,1.145731,1.111244,1.125805,556829
0.034430,1.125038,2002-10-14,1.138067,1.115076,1.130403,493752
0.034430,1.125038,2002-10-15,1.125038,1.125038,1.125038,0
0.034243,1.118907,2002-10-16,1.133469,1.111244,1.133469,497797
0.034149,1.115842,2002-10-17,1.122739,1.112010,1.121207,505365
0.033961,1.109711,2002-10-18,1.127338,1.103580,1.103580,496297
0.033985,1.110477,2002-10-21,1.118907,1.099748,1.111244,497471
0.033938,1.108945,2002-10-22,1.125805,1.105113,1.111244,503017
0.033985,1.110477,2002-10-23,1.121207,1.105879,1.111244,512477
0.032531,1.062962,2002-10-24,1.088252,1.010849,1.080589,623754
0.031616,1.033073,2002-10-25,1.056831,1.013914,1.049934,565910
0.031311,1.023111,2002-10-28,1.029242,0.993988,1.011615,515635
0.031686,1.035373,2002-10-29,1.042270,1.019279,1.019279,493687
0.031803,1.039204,2002-10-30,1.056831,1.026942,1.047635,516183
0.032132,1.049934,2002-10-31,1.056065,1.034606,1.056065,490034
0.032015,1.046102,2002-11-01,1.062962,1.030774,1.050700,489668
0.032085,1.048401,2002-11-04,1.065261,1.027709,1.057597,362172
0.031921,1.043036,2002-11-05,1.063728,1.043036,1.058364,487098
0.031921,1.043036,2002-11-06,1.043036,1.043036,1.043036,0
0.032718,1.069093,2002-11-07,1.084421,1.049934,1.073691,493309
0.032554,1.063728,2002-11-08,1.092851,1.050700,1.092851,501190
0.034243,1.118907,2002-11-11,1.128104,1.044569,1.074458,557898
0.034595,1.130403,2002-11-12,1.141899,1.104346,1.140366,513730
0.035017,1.144198,2002-11-13,1.149562,1.115076,1.115076,511446
0.035978,1.175619,2002-11-14,1.187881,1.138833,1.138833,534672
0.036893,1.205508,2002-11-15,1.210106,1.173320,1.180217,546455
0.036705,1.199377,2002-11-18,1.210872,1.187881,1.210106,485349
0.036705,1.199377,2002-11-19,1.199377,1.199377,1.199377,0
0.036635,1.197078,2002-11-20,1.207807,1.177152,1.202442,469991
0.036330,1.187115,2002-11-21,1.203975,1.173320,1.203209,495631
0.036236,1.184049,2002-11-22,1.218536,1.180217,1.218536,464524
0.036119,1.180217,2002-11-25,1.199377,1.149562,1.149562,455560
0.036494,1.192479,2002-11-26,1.207041,1.187881,1.207041,462736
0.036588,1.195545,2002-11-27,1.197844,1.172554,1.172554,448540
0.036330,1.187115,2002-11-28,1.196311,1.184049,1.195545,453641
0.036307,1.186348,2002-11-29,1.210106,1.149562,1.149562,477885
0.036330,1.187115,2002-12-02,1.218536,1.172554,1.172554,362589
0.035931,1.174086,2002-12-03,1.202442,1.149562,1.177152,308556
0.035181,1.149562,2002-12-04,1.164890,1.142665,1.142665,308399
0.036025,1.177152,2002-12-05,1.187881,1.142665,1.142665,308021
0.036072,1.178685,2002-12-06,1.191713,1.165656,1.186348,296590
0.035650,1.164890,2002-12-09,1.190180,1.150329,1.182517,303441
0.035111,1.147263,2002-12-10,1.180217,1.142665,1.180217,314336
0.035275,1.152628,2002-12-11,1.180217,1.134235,1.163357,305085
0.034641,1.131936,2002-12-12,1.149562,1.011615,1.019279,714140
0.034876,1.139600,2002-12-13,1.152628,1.126571,1.126571,338763
0.035251,1.151862,2002-12-16,1.172554,1.126571,1.141899,327215
