adj_close,close,date,high,low,open,volume
7.214364,22.950001,2000-01-04,23.299999,22.333332,22.388887,161100
7.792419,24.788889,2000-01-05,24.788889,22.277777,22.333332,243000
7.659692,24.366667,2000-01-06,26.100000,24.177776,26.000000,320400
7.535701,23.972221,2000-01-07,24.777777,23.666666,24.777777,102600
7.317400,23.277777,2000-01-10,24.222221,22.777777,22.777777,360000
6.814438,21.677776,2000-01-11,23.333332,21.555555,23.333332,262800
7.062427,22.466665,2000-01-12,23.311111,22.222221,22.772223,150300
6.945421,22.094444,2000-01-13,22.549999,22.000000,22.444445,405000
6.789989,21.600000,2000-01-14,21.888887,21.455555,21.566666,293400
6.810942,21.666666,2000-01-17,21.722221,21.472221,21.666666,229500
6.510567,20.711111,2000-01-18,21.549999,20.577778,21.549999,335700
6.711403,21.350000,2000-01-19,21.555555,21.222221,21.222221,446400
6.720133,21.377777,2000-01-20,21.605555,21.333332,21.333332,162900
6.662504,21.194445,2000-01-21,21.555555,20.555555,20.555555,142200
6.700922,21.316666,2000-01-24,21.388887,20.777777,21.111111,165600
6.611855,21.033333,2000-01-25,21.333332,20.777777,20.916666,158400
6.611855,21.033333,2000-01-26,21.033333,21.033333,21.033333,0
7.141014,22.716665,2000-01-27,22.716665,21.222221,21.433332,193500
7.174196,22.822222,2000-01-28,23.322222,21.888887,23.000000,202500
7.324385,23.299999,2000-01-31,23.888887,22.833332,23.888887,521100
7.512999,23.900000,2000-02-01,24.100000,22.366667,22.888887,415800
7.497279,23.850000,2000-02-02,24.966665,23.777777,24.444445,357300
7.324385,23.299999,2000-02-03,23.888887,23.272223,23.500000,117000
7.408214,23.566666,2000-02-04,23.888887,22.583332,23.888887,156600
7.561896,24.055555,2000-02-07,24.666666,23.111111,23.994444,267300
7.327880,23.311111,2000-02-08,24.444445,23.000000,23.566666,325800
7.430916,23.638887,2000-02-09,23.883333,23.238888,23.883333,81000
7.216111,22.955555,2000-02-10,23.333332,22.666666,22.777777,207000
6.686953,21.272223,2000-02-11,22.227777,21.122223,22.122223,266400
6.617095,21.049999,2000-02-14,21.655556,20.888887,21.655556,91800
6.213680,19.766666,2000-02-15,21.266666,19.500000,21.111111,150300
6.505327,20.694445,2000-02-16,21.105555,20.566666,20.888887,104400
6.519297,20.738888,2000-02-17,20.944445,20.555555,20.944445,67500
6.400542,20.361111,2000-02-18,20.772223,19.394444,19.394444,70200
6.262578,19.922222,2000-02-21,20.277777,19.777777,19.900000,97200
6.122863,19.477777,2000-02-22,20.000000,19.000000,19.988888,157500
6.112389,19.444445,2000-02-23,20.111111,19.444445,20.000000,92700
6.000617,19.088888,2000-02-24,19.805555,18.955555,19.555555,45900
5.705477,18.150000,2000-02-25,19.266666,17.900000,19.250000,74700
6.163032,19.605555,2000-02-28,19.605555,18.011110,18.444445,88200
5.841696,18.583332,2000-02-29,20.933332,18.111111,20.888887,248400
6.025068,19.166666,2000-03-01,19.305555,18.455555,18.455555,65700
5.597201,17.805555,2000-03-02,19.444445,17.666666,19.283333,162900
5.424307,17.255554,2000-03-03,17.927776,16.666666,16.666666,79200
5.494162,17.477777,2000-03-06,17.777777,16.666666,16.666666,270000
5.258400,16.727777,2000-03-07,17.755554,16.372223,17.444445,86400
5.148376,16.377777,2000-03-08,17.433332,16.333332,17.433332,152100
5.378901,17.111111,2000-03-09,17.333332,16.222221,16.888887,90000
5.054073,16.077778,2000-03-10,16.888887,15.888888,16.666666,117900
4.907375,15.611111,2000-03-13,16.266666,15.138888,16.011110,159300
5.029620,16.000000,2000-03-14,16.444445,15.016666,15.666666,363600
5.345720,17.005554,2000-03-15,17.222221,16.122223,16.122223,287037
5.192038,16.516666,2000-03-16,17.222221,16.361111,17.111111,67698
5.192038,16.516666,2000-03-17,16.516666,16.516666,16.516666,0
5.192038,16.516666,2000-03-20,16.516666,16.516666,16.516666,0
4.841012,15.400000,2000-03-21,16.277777,15.238888,16.222221,144414
5.017398,15.961111,2000-03-22,16.427776,15.444444,15.444444,32985
5.012158,15.944444,2000-03-23,17.049999,15.900000,16.111111,88263
5.076772,16.150000,2000-03-24,16.222221,15.777777,16.216665,46566
4.865459,15.477777,2000-03-27,16.666666,15.388888,16.666666,76914
4.813067,15.311111,2000-03-28,16.044443,15.111111,15.555555,96093
4.793859,15.250000,2000-03-29,16.105555,15.111111,15.555555,153090
4.732735,15.055555,2000-03-30,15.555555,14.894444,15.555555,80955
4.767662,15.166666,2000-03-31,15.333333,15.011111,15.111111,99279
4.671609,14.861111,2000-04-03,15.333333,14.583333,15.266666,150984
4.558094,14.500000,2000-04-04,15.333333,14.333333,15.333333,296514
4.627950,14.722222,2000-04-05,14.888888,14.611111,14.888888,100719
4.400918,14.000000,2000-04-06,15.000000,13.555555,15.000000,298539
4.624457,14.711111,2000-04-07,14.888888,14.000000,14.055555,228519
4.645414,14.777777,2000-04-10,15.211111,14.222222,14.222222,155070
4.472521,14.227777,2000-04-11,14.777777,14.116666,14.222222,101250
4.561588,14.511111,2000-04-12,14.777777,14.222222,14.333333,140580
4.463791,14.200000,2000-04-13,14.388888,14.000000,14.000000,133434
4.463791,14.200000,2000-04-14,14.200000,14.200000,14.200000,0
4.107523,13.066666,2000-04-17,13.666666,13.066666,13.666666,339435
3.817623,12.144444,2000-04-18,13.555555,12.022222,13.444444,1171107
3.513749,11.177777,2000-04-19,12.544444,10.766666,12.222222,3774924
3.625519,11.533333,2000-04-20,11.611111,10.722222,11.322222,1303992
3.625519,11.533333,2000-04-21,11.533333,11.533333,11.533333,0
3.877997,11.861111,2000-04-24,11.944444,11.350000,11.666666,548955
3.856203,11.794444,2000-04-25,11.938888,11.444444,11.666666,399618
4.023308,12.305555,2000-04-26,12.488888,11.777777,12.222222,503460
3.941572,12.055555,2000-04-27,12.222222,11.666666,12.105555,293274
3.983347,12.183333,2000-04-28,12.222222,11.722222,11.722222,187623
3.983347,12.183333,2000-05-01,12.183333,12.183333,12.183333,0
3.916142,11.977777,2000-05-02,12.666666,11.777777,12.666666,254493
3.936121,12.038888,2000-05-03,12.111111,11.577777,11.705555,154890
4.014228,12.277777,2000-05-04,12.322222,12.000000,12.083333,282438
3.948837,12.077777,2000-05-05,12.388888,12.022222,12.138888,444915
3.714522,11.361111,2000-05-08,12.105555,11.111111,12.105555,468198
3.649132,11.161111,2000-05-09,11.311111,10.566666,10.777777,725157
3.812608,11.661111,2000-05-10,11.772222,11.111111,11.116666,254556
3.772646,11.538888,2000-05-11,11.644444,11.222222,11.555555,356490
3.810790,11.655555,2000-05-12,11.722222,11.466666,11.700000,110403
3.794442,11.605555,2000-05-15,11.666666,11.000000,11.500000,164151
3.845302,11.761111,2000-05-16,12.000000,11.366666,11.666666,159228
4.135924,12.650000,2000-05-17,12.705555,11.900000,12.094444,480708
4.208580,12.872222,2000-05-18,13.533333,12.166666,12.355555,413541
4.170436,12.755555,2000-05-19,12.861111,12.222222,12.861111,259524
4.172253,12.761111,2000-05-22,12.888888,12.233333,12.666666,210105
4.168621,12.750000,2000-05-23,12.777777,12.361111,12.566666,264762
4.263072,13.038888,2000-05-24,13.066666,12.600000,12.777777,156861
4.426547,13.538888,2000-05-25,14.000000,13.055555,13.244444,196308
4.471956,13.677777,2000-05-26,13.866666,12.861111,12.861111,239031
4.521001,13.827777,2000-05-29,14.211111,13.677777,13.722222,101871
4.637249,14.183333,2000-05-30,14.333333,13.600000,13.877777,172782
4.664495,14.266666,2000-05-31,14.988888,14.000000,14.555555,215757
4.517368,13.816666,2000-06-01,14.444444,13.138888,14.227777,242964
4.546430,13.905555,2000-06-02,14.150000,13.611111,13.888888,179730
4.600922,14.072222,2000-06-05,14.111111,13.811111,14.000000,123345
4.521001,13.827777,2000-06-06,14.027777,13.672222,13.877777,102807
4.580941,14.011111,2000-06-07,14.277777,13.777777,13.777777,73134
4.695372,14.361111,2000-06-08,14.433333,13.900000,14.055555,92880
4.706273,14.394444,2000-06-09,14.444444,14.055555,14.122222,82197
4.751682,14.533333,2000-06-12,14.977777,14.444444,14.466666,154845
4.680842,14.316666,2000-06-13,14.638888,14.244444,14.444444,81576
4.755315,14.544444,2000-06-14,15.000000,14.444444,14.500000,102798
4.646332,14.211111,2000-06-15,14.666666,14.166666,14.666666,41085
4.673578,14.294444,2000-06-16,14.322222,13.777777,14.000000,112266
4.677208,14.305555,2000-06-19,14.422222,14.111111,14.377777,128880
4.651781,14.227777,2000-06-20,14.383333,14.116666,14.222222,70794
4.831602,14.777777,2000-06-21,15.366666,14.055555,14.055555,377181
5.218494,15.961111,2000-06-22,15.961111,14.333333,14.555555,328401
5.612650,17.166666,2000-06-23,17.238888,15.888888,15.888888,1003464
5.545444,16.961111,2000-06-26,17.555555,15.805555,16.783333,451512
5.532730,16.922222,2000-06-27,17.111111,16.400000,16.666666,179964
5.392868,16.494444,2000-06-28,16.777777,16.111111,16.777777,96066
5.365622,16.411112,2000-06-29,16.666666,16.222221,16.666666,157203
5.124042,15.672222,2000-06-30,16.111111,15.516666,15.944444,220851
5.078633,15.533333,2000-07-03,15.661111,15.138888,15.444444,41643
5.118594,15.655555,2000-07-04,15.738888,15.311111,15.555555,98595
5.080451,15.538888,2000-07-05,15.855555,15.444444,15.661111,26514
5.171268,15.816666,2000-07-06,15.877777,15.355555,15.388888,54909
5.227576,15.988888,2000-07-07,16.305555,15.694444,15.866666,57474
5.238475,16.022223,2000-07-10,16.094444,15.611111,15.611111,49797
5.214861,15.950000,2000-07-11,16.088888,15.722222,15.833333,59688
5.365622,16.411112,2000-07-12,16.444445,15.755555,15.783333,82395
5.263904,16.100000,2000-07-13,16.333332,16.000000,16.333332,39600
5.216678,15.955555,2000-07-14,16.055555,15.833333,16.055555,15480
5.194882,15.888888,2000-07-17,15.944444,15.666666,15.944444,23508
5.082265,15.544444,2000-07-18,15.877777,15.444444,15.444444,65358
5.193065,15.883333,2000-07-19,16.072222,15.622222,15.622222,39159
5.109511,15.627777,2000-07-20,15.666666,15.222222,15.444444,35568
5.120409,15.661111,2000-07-21,15.672222,15.277777,15.277777,32715
4.889727,14.955555,2000-07-24,15.000000,14.500000,14.944444,63702
4.916973,15.038888,2000-07-25,15.311111,14.222222,14.333333,102195
5.062283,15.483333,2000-07-26,15.555555,15.000000,15.500000,101736
5.031408,15.388888,2000-07-27,15.872222,15.177777,15.555555,260073
5.065917,15.494444,2000-07-28,15.666666,15.166666,15.666666,168453
4.927872,15.072222,2000-07-31,15.305555,15.000000,15.122222,19530
4.722620,14.444444,2000-08-01,14.888888,14.400000,14.866666,223623
4.831602,14.777777,2000-08-02,14.777777,14.500000,14.555555,27594
4.898809,14.983333,2000-08-03,15.000000,14.666666,14.666666,30384
4.566411,13.966666,2000-08-04,14.666666,13.900000,14.666666,82845
4.402935,13.466666,2000-08-07,13.761111,13.333333,13.666666,21330
4.346626,13.294444,2000-08-08,13.555555,13.116666,13.333333,510651
4.348443,13.300000,2000-08-09,13.555555,13.255555,13.333333,68940
4.337544,13.266666,2000-08-10,13.388888,13.111111,13.388888,143550
4.232194,12.944444,2000-08-11,13.333333,12.888888,13.155555,30906
4.006961,12.255555,2000-08-14,12.833333,12.116666,12.777777,87840
4.006961,12.255555,2000-08-15,12.255555,12.255555,12.255555,0
4.150455,12.694444,2000-08-16,12.777777,12.472222,12.666666,111249
4.146823,12.683333,2000-08-17,13.533333,12.561111,12.777777,435600
4.075984,12.466666,2000-08-18,12.916666,12.333333,12.883333,268479
4.019677,12.294444,2000-08-21,12.633333,12.244444,12.555555,231543
3.896162,11.916666,2000-08-22,12.411111,11.777777,12.238888,335574
4.066903,12.438888,2000-08-23,12.522222,12.222222,12.322222,183456
4.061453,12.422222,2000-08-24,12.533333,12.222222,12.388888,77589
4.041474,12.361111,2000-08-25,13.000000,12.250000,13.000000,126153
4.190125,12.527777,2000-08-28,12.638888,12.333333,12.527777,152856
4.162251,12.444444,2000-08-29,12.583333,12.338888,12.500000,257994
4.245868,12.694444,2000-08-30,12.766666,12.444444,12.444444,201429
4.255160,12.722222,2000-08-31,12.844444,12.555555,12.777777,125955
4.255160,12.722222,2000-09-01,12.722222,12.722222,12.722222,0
4.310903,12.888888,2000-09-04,12.888888,12.666666,12.694444,104355
4.325768,12.933333,2000-09-05,13.216666,12.794444,12.888888,60489
4.346208,12.994444,2000-09-06,13.111111,12.788888,12.788888,115974
4.401953,13.161111,2000-09-07,13.411111,13.000000,13.211111,185301
4.316478,12.905555,2000-09-08,13.322222,12.777777,12.888888,151596
4.322053,12.922222,2000-09-11,13.322222,12.894444,12.988888,95571
4.283031,12.805555,2000-09-12,12.972222,12.677777,12.688888,169947
4.338777,12.972222,2000-09-13,13.222222,12.788888,13.222222,68859
4.312762,12.894444,2000-09-14,13.000000,12.766666,12.888888,84042
4.260734,12.738888,2000-09-15,13.111111,12.677777,13.105555,100368
4.212422,12.594444,2000-09-18,12.777777,12.333333,12.777777,64692
4.095358,12.244444,2000-09-19,12.772222,11.944444,12.772222,274122
