adj_close,close,date,high,low,open,volume
19002.859375,19002.859375,2000-01-04,19187.609375,18937.449219,18937.449219,0
18542.550781,18542.550781,2000-01-05,19003.509766,18221.820313,19003.509766,0
18168.269531,18168.269531,2000-01-06,18582.740234,18168.269531,18574.009766,0
18193.410156,18193.410156,2000-01-07,18285.730469,18068.099609,18194.050781,0
null,null,2000-01-10,null,null,null,null
18850.919922,18850.919922,2000-01-11,18887.560547,18246.099609,18246.099609,0
18677.419922,18677.419922,2000-01-12,18811.869141,18626.919922,18780.169922,0
18833.289063,18833.289063,2000-01-13,18845.029297,18667.179688,18667.179688,0
18956.550781,18956.550781,2000-01-14,19058.019531,18733.830078,18882.990234,0
19437.230469,19437.230469,2000-01-17,19442.580078,19025.619141,19025.619141,0
19196.570313,19196.570313,2000-01-18,19412.470703,19145.169922,19412.470703,0
18897.750000,18897.750000,2000-01-19,19181.869141,18897.750000,19181.869141,0
19008.009766,19008.009766,2000-01-20,19167.029297,18921.109375,18930.259766,0
18878.089844,18878.089844,2000-01-21,18994.890625,18713.169922,18994.890625,0
19056.710938,19056.710938,2000-01-24,19124.570313,18877.130859,18878.460938,0
18895.529297,18895.529297,2000-01-25,19131.189453,18815.369141,19004.390625,0
19111.189453,19111.189453,2000-01-26,19145.900391,18982.839844,18982.839844,0
19209.720703,19209.720703,2000-01-27,19238.080078,18971.679688,19125.619141,0
19434.779297,19434.779297,2000-01-28,19595.830078,19237.490234,19261.009766,0
19539.699219,19539.699219,2000-01-31,19539.699219,19224.470703,19375.109375,0
19423.380859,19423.380859,2000-02-01,19553.679688,19266.960938,19536.679688,0
19578.910156,19578.910156,2000-02-02,19860.259766,19522.330078,19522.330078,0
19786.419922,19786.419922,2000-02-03,19878.830078,19648.349609,19648.349609,0
19763.130859,19763.130859,2000-02-04,20011.910156,19752.119141,19866.189453,0
19945.429688,19945.429688,2000-02-07,19948.599609,19780.560547,19832.759766,0
19868.880859,19868.880859,2000-02-08,19983.439453,19834.810547,19955.300781,0
20007.769531,20007.769531,2000-02-09,20046.140625,19925.640625,19930.410156,0
19710.019531,19710.019531,2000-02-10,19915.560547,19710.019531,19915.529297,0
null,null,2000-02-11,null,null,null,null
19556.460938,19556.460938,2000-02-14,19748.419922,19556.460938,19698.570313,0
19367.830078,19367.830078,2000-02-15,19689.160156,19331.050781,19587.820313,0
19599.179688,19599.179688,2000-02-16,19612.599609,19300.140625,19418.560547,0
19791.400391,19791.400391,2000-02-17,19803.689453,19518.080078,19646.369141,0
19789.029297,19789.029297,2000-02-18,19862.939453,19670.050781,19852.179688,0
19543.750000,19543.750000,2000-02-21,19763.509766,19543.750000,19736.150391,0
19390.580078,19390.580078,2000-02-22,19712.369141,19353.400391,19553.619141,0
19519.550781,19519.550781,2000-02-23,19527.789063,19373.039063,19439.169922,0
19571.439453,19571.439453,2000-02-24,19698.949219,19558.039063,19616.259766,0
