adj_close,close,date,high,low,open,volume
null,9320.19,2006-09-01,9320.19,9320.19,9320.19,null
null,9414.07,2006-09-04,9414.07,9414.07,9414.07,null
null,9475.42,2006-09-05,9475.42,9475.42,9475.42,null
null,9430.58,2006-09-06,9430.58,9430.58,9430.58,null
null,9321.65,2006-09-07,9321.65,9321.65,9321.65,null
null,9361.88,2006-09-08,9361.88,9361.88,9361.88,null
null,9247.81,2006-09-11,9247.81,9247.81,9247.81,null
null,9113.70,2006-09-12,9113.70,9113.70,9113.70,null
null,8997.59,2006-09-13,8997.59,8997.59,8997.59,null
null,9000.84,2006-09-14,9000.84,9000.84,9000.84,null
null,8976.30,2006-09-15,8976.30,8976.30,8976.30,null
null,9003.27,2006-09-19,9003.27,9003.27,9003.27,null
null,8924.00,2006-09-20,8924.00,8924.00,8924.00,null
null,8963.33,2006-09-21,8963.33,8963.33,8963.33,null
null,8915.58,2006-09-22,8915.58,8915.58,8915.58,null
null,8874.72,2006-09-25,8874.72,8874.72,8874.72,null
null,8804.35,2006-09-26,8804.35,8804.35,8804.35,null
null,8980.29,2006-09-27,8980.29,8980.29,8980.29,null
null,9085.84,2006-09-28,9085.84,9085.84,9085.84,null
null,9136.76,2006-09-29,9136.76,9136.76,9136.76,null
null,9187.15,2006-10-02,9187.15,9187.15,9187.15,null
null,9133.32,2006-10-03,9133.32,9133.32,9133.32,null
null,8952.33,2006-10-04,8952.33,8952.33,8952.33,null
null,9037.81,2006-10-05,9037.81,9037.81,9037.81,null
null,8991.93,2006-10-06,8991.93,8991.93,8991.93,null
null,8861.15,2006-10-10,8861.15,8861.15,8861.15,null
null,8646.64,2006-10-11,8646.64,8646.64,8646.64,null
null,8647.27,2006-10-12,8647.27,8647.27,8647.27,null
null,8836.34,2006-10-13,8836.34,8836.34,8836.34,null
null,9032.25,2006-10-16,9032.25,9032.25,9032.25,null
null,9056.30,2006-10-17,9056.30,9056.30,9056.30,null
null,9107.66,2006-10-18,9107.66,9107.66,9107.66,null
null,9211.02,2006-10-19,9211.02,9211.02,9211.02,null
null,9205.69,2006-10-20,9205.69,9205.69,9205.69,null
null,9253.37,2006-10-23,9253.37,9253.37,9253.37,null
null,9208.30,2006-10-24,9208.30,9208.30,9208.30,null
null,9142.84,2006-10-25,9142.84,9142.84,9142.84,null
null,9153.48,2006-10-26,9153.48,9153.48,9153.48,null
null,9120.50,2006-10-27,9120.50,9120.50,9120.50,null
null,8968.68,2006-10-30,8968.68,8968.68,8968.68,null
null,9052.99,2006-10-31,9052.99,9052.99,9052.99,null
null,9058.13,2006-11-01,9058.13,9058.13,9058.13,null
null,9057.57,2006-11-02,9057.57,9057.57,9057.57,null
null,9032.67,2006-11-06,9032.67,9032.67,9032.67,null
null,9010.61,2006-11-07,9010.61,9010.61,9010.61,null
null,8851.73,2006-11-08,8851.73,8851.73,8851.73,null
null,8810.82,2006-11-09,8810.82,8810.82,8810.82,null
null,8774.50,2006-11-10,8774.50,8774.50,8774.50,null
null,8665.01,2006-11-13,8665.01,8665.01,8665.01,null
null,8874.90,2006-11-14,8874.90,8874.90,8874.90,null
null,8830.47,2006-11-15,8830.47,8830.47,8830.47,null
null,8798.00,2006-11-16,8798.00,8798.00,8798.00,null
null,8714.03,2006-11-17,8714.03,8714.03,8714.03,null
null,8385.47,2006-11-20,8385.47,8385.47,8385.47,null
null,8366.66,2006-11-21,8366.66,8366.66,8366.66,null
null,8565.31,2006-11-22,8565.31,8565.31,8565.31,null
null,8556.93,2006-11-24,8556.93,8556.93,8556.93,null
null,8651.05,2006-11-27,8651.05,8651.05,8651.05,null
null,8719.75,2006-11-28,8719.75,8719.75,8719.75,null
null,8829.08,2006-11-29,8829.08,8829.08,8829.08,null
null,8933.74,2006-11-30,8933.74,8933.74,8933.74,null
null,8970.41,2006-12-01,8970.41,8970.41,8970.41,null
null,9048.14,2006-12-04,9048.14,9048.14,9048.14,null
null,8989.87,2006-12-05,8989.87,8989.87,8989.87,null
null,9054.41,2006-12-06,9054.41,9054.41,9054.41,null
null,9098.06,2006-12-07,9098.06,9098.06,9098.06,null
null,9076.19,2006-12-08,9076.19,9076.19,9076.19,null
null,9167.90,2006-12-11,9167.90,9167.90,9167.90,null
null,9182.88,2006-12-12,9182.88,9182.88,9182.88,null
null,9242.58,2006-12-13,9242.58,9242.58,9242.58,null
null,9268.15,2006-12-14,9268.15,9268.15,9268.15,null
null,9302.41,2006-12-15,9302.41,9302.41,9302.41,null
null,9322.38,2006-12-18,9322.38,9322.38,9322.38,null
null,9188.71,2006-12-19,9188.71,9188.71,9188.71,null
null,9303.45,2006-12-20,9303.45,9303.45,9303.45,null
null,9323.54,2006-12-21,9323.54,9323.54,9323.54,null
null,9281.94,2006-12-22,9281.94,9281.94,9281.94,null
null,9217.58,2006-12-25,9217.58,9217.58,9217.58,null
null,9330.36,2006-12-26,9330.36,9330.36,9330.36,null
null,9358.09,2006-12-27,9358.09,9358.09,9358.09,null
null,9336.39,2006-12-28,9336.39,9336.39,9336.39,null
null,9371.05,2006-12-29,9371.05,9371.05,9371.05,null
null,9427.90,2007-01-04,9427.90,9427.90,9427.90,null
null,9276.30,2007-01-05,9276.30,9276.30,9276.30,null
null,9338.69,2007-01-09,9338.69,9338.69,9338.69,null
null,9214.90,2007-01-10,9214.90,9214.90,9214.90,null
null,9210.92,2007-01-11,9210.92,9210.92,9210.92,null
null,9330.80,2007-01-12,9330.80,9330.80,9330.80,null
null,9444.35,2007-01-15,9444.35,9444.35,9444.35,null
null,9477.60,2007-01-16,9477.60,9477.60,9477.60,null
null,9516.12,2007-01-17,9516.12,9516.12,9516.12,null
null,9585.09,2007-01-18,9585.09,9585.09,9585.09,null
null,9635.79,2007-01-19,9635.79,9635.79,9635.79,null
null,9725.44,2007-01-22,9725.44,9725.44,9725.44,null
null,9709.63,2007-01-23,9709.63,9709.63,9709.63,null
null,9723.31,2007-01-24,9723.31,9723.31,9723.31,null
null,9618.30,2007-01-25,9618.30,9618.30,9618.30,null
null,9620.60,2007-01-26,9620.60,9620.60,9620.60,null
null,9650.10,2007-01-29,9650.10,9650.10,9650.10,null
null,9604.52,2007-01-30,9604.52,9604.52,9604.52,null
null,9545.14,2007-01-31,9545.14,9545.14,9545.14,null
null,9631.48,2007-02-01,9631.48,9631.48,9631.48,null
null,9644.19,2007-02-02,9644.19,9644.19,9644.19,null
null,9561.45,2007-02-05,9561.45,9561.45,9561.45,null
null,9646.57,2007-02-06,9646.57,9646.57,9646.57,null
null,9598.57,2007-02-07,9598.57,9598.57,9598.57,null
null,9538.09,2007-02-08,9538.09,9538.09,9538.09,null
null,9633.64,2007-02-09,9633.64,9633.64,9633.64,null
null,9689.88,2007-02-13,9689.88,9689.88,9689.88,null
null,9697.60,2007-02-14,9697.60,9697.60,9697.60,null
null,9716.01,2007-02-15,9716.01,9716.01,9716.01,null
null,9721.77,2007-02-16,9721.77,9721.77,9721.77,null
null,9794.61,2007-02-19,9794.61,9794.61,9794.61,null
null,9802.90,2007-02-20,9802.90,9802.90,9802.90,null
null,9846.44,2007-02-21,9846.44,9846.44,9846.44,null
null,9958.53,2007-02-22,9958.53,9958.53,9958.53,null
null,10053.03,2007-02-23,10053.03,10053.03,10053.03,null
null,10077.58,2007-02-26,10077.58,10077.58,10077.58,null
null,10013.88,2007-02-27,10013.88,10013.88,10013.88,null
null,9677.51,2007-02-28,9677.51,9677.51,9677.51,null
null,9657.79,2007-03-01,9657.79,9657.79,9657.79,null
null,9576.60,2007-03-02,9576.60,9576.60,9576.60,null
null,9127.57,2007-03-05,9127.57,9127.57,9127.57,null
null,9375.98,2007-03-06,9375.98,9375.98,9375.98,null
null,9377.08,2007-03-07,9377.08,9377.08,9377.08,null
null,9541.22,2007-03-08,9541.22,9541.22,9541.22,null
null,9574.89,2007-03-09,9574.89,9574.89,9574.89,null
null,9666.86,2007-03-12,9666.86,9666.86,9666.86,null
null,9555.85,2007-03-13,9555.85,9555.85,9555.85,null
null,9285.36,2007-03-14,9285.36,9285.36,9285.36,null
null,9381.25,2007-03-15,9381.25,9381.25,9381.25,null
null,9274.04,2007-03-16,9274.04,9274.04,9274.04,null
null,9288.18,2007-03-19,9288.18,9288.18,9288.18,null
null,9347.61,2007-03-20,9347.61,9347.61,9347.61,null
null,9465.51,2007-03-22,9465.51,9465.51,9465.51,null
null,9449.15,2007-03-23,9449.15,9449.15,9449.15,null
null,9498.84,2007-03-26,9498.84,9498.84,9498.84,null
null,9399.94,2007-03-27,9399.94,9399.94,9399.94,null
null,9362.07,2007-03-28,9362.07,9362.07,9362.07,null
null,9395.26,2007-03-29,9395.26,9395.26,9395.26,null
null,9445.05,2007-03-30,9445.05,9445.05,9445.05,null
null,9226.14,2007-04-02,9226.14,9226.14,9226.14,null
null,9227.90,2007-04-03,9227.90,9227.90,9227.90,null
null,9327.67,2007-04-04,9327.67,9327.67,9327.67,null
null,9292.66,2007-04-05,9292.66,9292.66,9292.66,null
null,9256.38,2007-04-06,9256.38,9256.38,9256.38,null
null,9360.61,2007-04-09,9360.61,9360.61,9360.61,null
null,9361.91,2007-04-10,9361.91,9361.91,9361.91,null
null,9327.82,2007-04-11,9327.82,9327.82,9327.82,null
null,9308.08,2007-04-12,9308.08,9308.08,9308.08,null
null,9194.82,2007-04-13,9194.82,9194.82,9194.82,null
null,9195.46,2007-04-16,9195.46,9195.46,9195.46,null
null,9133.70,2007-04-17,9133.70,9133.70,9133.70,null
null,9222.10,2007-04-18,9222.10,9222.10,9222.10,null
null,9135.71,2007-04-19,9135.71,9135.71,9135.71,null
null,9065.95,2007-04-20,9065.95,9065.95,9065.95,null
null,9037.60,2007-04-23,9037.60,9037.60,9037.60,null
