adj_close,close,date,high,low,open,volume
0.765186,0.948717,2000-01-04,0.980186,0.892773,0.897435,27357484
0.754376,0.935314,2000-01-05,0.958624,0.926573,0.944055,5590762
0.799028,0.990675,2000-01-06,0.996503,0.938228,0.938228,12776049
0.841799,1.043706,2000-01-07,1.089743,0.979020,0.990675,54958966
0.839449,1.040792,2000-01-10,1.061188,1.019813,1.046037,14107699
0.828639,1.027389,2000-01-11,1.059440,1.019813,1.040209,9361620
0.824879,1.022727,2000-01-12,1.031468,1.013986,1.019813,5714365
0.845090,1.047785,2000-01-13,1.082750,1.019813,1.019813,24357813
0.838979,1.040209,2000-01-14,1.071095,1.022727,1.048951,5214117
0.843210,1.045454,2000-01-17,1.060606,1.025641,1.043123,4033200
0.816889,1.012820,2000-01-18,1.043123,1.012820,1.040209,7106831
0.830519,1.029720,2000-01-19,1.060606,0.992424,0.992424,6602721
0.822529,1.019813,2000-01-20,1.047785,1.013986,1.031468,6207166
0.904781,1.121794,2000-01-21,1.121794,1.016899,1.028554,31733696
0.951313,1.179487,2000-01-24,1.182983,1.083916,1.118298,27102075
0.928282,1.150932,2000-01-25,1.176573,1.145104,1.176573,9227875
0.925462,1.147435,2000-01-26,1.156759,1.117715,1.150932,7096792
0.937213,1.162004,2000-01-27,1.193473,1.124708,1.156759,13823512
0.938153,1.163170,2000-01-28,1.196386,1.145104,1.162004,18501843
0.938153,1.163170,2000-01-31,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-01,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-02,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-03,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-04,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-07,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-08,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-09,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-10,1.196386,1.145104,1.162004,0
0.938153,1.163170,2000-02-11,1.196386,1.145104,1.162004,0
1.032156,1.279720,2000-02-14,1.279720,1.206293,1.206293,42620566
1.064588,1.319930,2000-02-15,1.407925,1.311188,1.334498,29657662
1.147780,1.423076,2000-02-16,1.433566,1.311188,1.319930,14694056
1.119579,1.388111,2000-02-17,1.544289,1.351981,1.438228,14677994
1.107359,1.372960,2000-02-18,1.413170,1.296620,1.340326,9798994
1.080568,1.339743,2000-02-21,1.398601,1.299533,1.375291,7028289
1.073988,1.331585,2000-02-22,1.391025,1.317016,1.328671,7256260
1.107359,1.372960,2000-02-23,1.463869,1.319930,1.319930,16530090
1.127099,1.397435,2000-02-24,1.439393,1.351981,1.398601,7873316
1.047197,1.298368,2000-02-25,1.427738,1.282634,1.427738,30476897
1.003485,1.244172,2000-02-28,1.317016,1.180069,1.298368,41489448
1.030746,1.277972,2000-02-29,1.360722,1.201048,1.244172,27959114
1.053777,1.306526,2000-03-01,1.349067,1.270396,1.270396,11333733
1.030276,1.277389,2000-03-02,1.301282,1.250000,1.295454,7737392
1.007245,1.248834,2000-03-03,1.308275,1.242424,1.270396,6788564
0.986094,1.222610,2000-03-06,1.248834,1.216783,1.247086,7158276
0.984214,1.220279,2000-03-07,1.261655,1.193473,1.200466,3987366
1.009596,1.251748,2000-03-08,1.252913,1.200466,1.222610,4546439
1.022286,1.267482,2000-03-09,1.282634,1.229603,1.229603,5217154
1.026986,1.273310,2000-03-10,1.287878,1.253496,1.287878,4163153
1.079158,1.337995,2000-03-13,1.361305,1.258741,1.258741,8665096
1.057537,1.311188,2000-03-14,1.358974,1.283216,1.326923,9479698
1.034036,1.282051,2000-03-15,1.340326,1.227272,1.311771,7757555
1.037326,1.286130,2000-03-16,1.344988,1.270396,1.282051,14811225
1.091378,1.353146,2000-03-17,1.375291,1.281468,1.281468,10003198
1.200422,1.488344,2000-03-20,1.488344,1.346153,1.351981,20477525
1.238024,1.534965,2000-03-21,1.629953,1.515151,1.515151,17286829
1.268574,1.572843,2000-03-22,1.599650,1.526806,1.547202,7782574
1.252594,1.553030,2000-03-23,1.571678,1.486013,1.544289,14598870
1.202772,1.491258,2000-03-24,1.631701,1.486013,1.631701,132836984
1.215932,1.507575,2000-03-27,1.574009,1.427738,1.514568,157263317
1.251654,1.551864,2000-03-28,1.561771,1.457459,1.504079,94053273
1.217812,1.509906,2000-03-29,1.576923,1.456876,1.555944,104718059
1.257294,1.558857,2000-03-30,1.561771,1.491841,1.491841,4402363
1.248834,1.548368,2000-03-31,1.573426,1.508741,1.573426,9400076
1.287375,1.596153,2000-04-03,1.698717,1.506993,1.526806,24339812
1.311346,1.625874,2000-04-04,1.689976,1.585081,1.590909,11561121
1.313696,1.628787,2000-04-05,1.660839,1.585081,1.589160,4526344
1.305236,1.618298,2000-04-06,1.656759,1.603729,1.631701,2221825
1.311346,1.625874,2000-04-07,1.649184,1.589743,1.630536,5826935
1.308996,1.622960,2000-04-10,1.652680,1.596736,1.631701,22477146
1.303356,1.615967,2000-04-11,1.643356,1.573426,1.573426,6001795
1.308996,1.622960,2000-04-12,1.630536,1.601398,1.614219,2024948
1.242723,1.540792,2000-04-13,1.654428,1.497668,1.620046,29289546
1.262934,1.565850,2000-04-14,1.605477,1.555361,1.555361,12597945
1.284555,1.592657,2000-04-17,1.601398,1.555944,1.565850,11226140
1.337667,1.658508,2000-04-18,1.691142,1.593240,1.593240,16753548
1.414279,1.753496,2000-04-19,1.765734,1.666666,1.684149,11722785
1.555755,1.928904,2000-04-20,1.928904,1.759906,1.777389,30949776
1.581605,1.960955,2000-04-21,2.109557,1.899766,1.923076,14047193
1.523793,1.889277,2000-04-24,2.010489,1.865967,1.958041,14073018
1.508753,1.870629,2000-04-25,1.963869,1.846153,1.905594,11932171
