adj_close,close,date,high,low,open,volume
3497.020996,3497.060059,2000-01-04,3512.300049,3360.209961,3374.110107,0
3486.250977,3486.290039,2000-01-05,3589.179932,3468.689941,3500.129883,0
3655.158936,3655.199951,2000-01-06,3663.219971,3454.350098,3475.459961,0
3827.997070,3828.040039,2000-01-07,3848.060059,3701.479980,3701.479980,0
3921.436035,3921.479980,2000-01-10,3929.060059,3832.199951,3881.750000,0
3716.738281,3716.780029,2000-01-11,3931.080078,3691.560059,3924.709961,0
3605.779785,3605.820068,2000-01-12,3768.139893,3585.469971,3699.290039,0
3580.939697,3580.979980,2000-01-13,3637.679932,3552.050049,3604.280029,0
3542.780273,3542.820068,2000-01-14,3609.189941,3524.510010,3582.159912,0
3594.609619,3594.649902,2000-01-17,3597.770020,3496.000000,3535.510010,0
3571.929932,3571.969971,2000-01-18,3633.110107,3558.860107,3601.879883,0
3603.819824,3603.860107,2000-01-19,3640.090088,3559.939941,3560.590088,0
3668.799072,3668.840088,2000-01-20,3670.189941,3603.989990,3608.169922,0
3702.048584,3702.090088,2000-01-21,3744.270020,3644.080078,3687.189941,0
3734.688232,3734.729980,2000-01-24,3736.429932,3646.169922,3709.189941,0
3726.018311,3726.060059,2000-01-25,3803.770020,3702.649902,3752.530029,0
3737.948242,3737.989990,2000-01-26,3754.100098,3700.659912,3718.129883,0
3844.926758,3844.969971,2000-01-27,3855.350098,3754.100098,3782.889893,0
3952.365479,3952.409912,2000-01-28,3952.409912,3869.419922,3889.139893,0
null,null,2000-01-31,null,null,null,null
null,null,2000-02-01,null,null,null,null
null,null,2000-02-02,null,null,null,null
null,null,2000-02-03,null,null,null,null
null,null,2000-02-04,null,null,null,null
null,null,2000-02-07,null,null,null,null
null,null,2000-02-08,null,null,null,null
null,null,2000-02-09,null,null,null,null
null,null,2000-02-10,null,null,null,null
null,null,2000-02-11,null,null,null,null
4322.321777,4322.370117,2000-02-14,4323.350098,4096.459961,4102.649902,0
4394.641113,4394.689941,2000-02-15,4578.620117,4343.580078,4442.120117,0
4457.360352,4457.410156,2000-02-16,4475.020020,4329.140137,4425.850098,0
4313.921875,4313.970215,2000-02-17,4685.490234,4256.259766,4564.589844,0
4356.551270,4356.600098,2000-02-18,4360.430176,4095.669922,4274.100098,0
4344.441406,4344.490234,2000-02-21,4437.850098,4275.299805,4389.419922,0
4186.653320,4186.700195,2000-02-22,4395.910156,4174.959961,4341.850098,0
