adj_close,close,date,high,low,open,volume
22550.000000,22550.000000,2023-07-27,32750.000000,22200.000000,31600.000000,4484016
23400.000000,23400.000000,2023-07-28,25250.000000,22450.000000,23850.000000,1022469
null,null,2023-07-31,null,null,null,null
null,null,2023-08-01,null,null,null,null
null,null,2023-08-02,null,null,null,null
22100.000000,22100.000000,2023-08-03,23400.000000,21300.000000,23350.000000,277765
22450.000000,22450.000000,2023-08-04,22900.000000,21300.000000,22000.000000,173887
21800.000000,21800.000000,2023-08-07,23100.000000,21600.000000,22650.000000,160783
22400.000000,22400.000000,2023-08-08,24800.000000,21100.000000,21900.000000,1202130
22200.000000,22200.000000,2023-08-09,22850.000000,22000.000000,22400.000000,216363
21300.000000,21300.000000,2023-08-10,21800.000000,21250.000000,21800.000000,154740
22000.000000,22000.000000,2023-08-11,22200.000000,21200.000000,21500.000000,179152
23050.000000,23050.000000,2023-08-14,23350.000000,21600.000000,21800.000000,246085
22000.000000,22000.000000,2023-08-16,24250.000000,21950.000000,22500.000000,424342
21700.000000,21700.000000,2023-08-17,22200.000000,21100.000000,21500.000000,139496
20300.000000,20300.000000,2023-08-18,21900.000000,20200.000000,21700.000000,271827
20950.000000,20950.000000,2023-08-21,22400.000000,20100.000000,20400.000000,266839
20000.000000,20000.000000,2023-08-22,21750.000000,19980.000000,21150.000000,179880
20400.000000,20400.000000,2023-08-23,22750.000000,19780.000000,20000.000000,871261
20050.000000,20050.000000,2023-08-24,21100.000000,19990.000000,20850.000000,305179
19850.000000,19850.000000,2023-08-25,20200.000000,19680.000000,19810.000000,106140
20000.000000,20000.000000,2023-08-28,20250.000000,19710.000000,19970.000000,99976
20550.000000,20550.000000,2023-08-29,21150.000000,19970.000000,20150.000000,180333
20550.000000,20550.000000,2023-08-30,21050.000000,20350.000000,20850.000000,112936
20200.000000,20200.000000,2023-08-31,20600.000000,20100.000000,20500.000000,72133
21550.000000,21550.000000,2023-09-01,21650.000000,20200.000000,20250.000000,283525
22400.000000,22400.000000,2023-09-04,25500.000000,21900.000000,22150.000000,1237856
24000.000000,24000.000000,2023-09-05,24600.000000,22350.000000,22800.000000,543311
25750.000000,25750.000000,2023-09-06,26750.000000,23850.000000,24400.000000,1009529
24750.000000,24750.000000,2023-09-07,25750.000000,23800.000000,25300.000000,461617
24000.000000,24000.000000,2023-09-08,25000.000000,23400.000000,24550.000000,263808
24150.000000,24150.000000,2023-09-11,24300.000000,23250.000000,24200.000000,138401
25100.000000,25100.000000,2023-09-12,25450.000000,24050.000000,24200.000000,245068
24450.000000,24450.000000,2023-09-13,26100.000000,24200.000000,25100.000000,231034
24950.000000,24950.000000,2023-09-14,25000.000000,23850.000000,24500.000000,130632
24450.000000,24450.000000,2023-09-15,25600.000000,24400.000000,25350.000000,134329
24200.000000,24200.000000,2023-09-18,24600.000000,23500.000000,24000.000000,106253
22800.000000,22800.000000,2023-09-19,24400.000000,22550.000000,24300.000000,174672
22550.000000,22550.000000,2023-09-20,23100.000000,22100.000000,22950.000000,98076
21350.000000,21350.000000,2023-09-21,22400.000000,21150.000000,22150.000000,165980
21750.000000,21750.000000,2023-09-22,22500.000000,20850.000000,20900.000000,99557
21350.000000,21350.000000,2023-09-25,22000.000000,21100.000000,21750.000000,49483
20900.000000,20900.000000,2023-09-26,21450.000000,20800.000000,21350.000000,62083
21750.000000,21750.000000,2023-09-27,21750.000000,20300.000000,20750.000000,62317
20800.000000,20800.000000,2023-10-04,21450.000000,20750.000000,21450.000000,39761
20200.000000,20200.000000,2023-10-05,21150.000000,19920.000000,21050.000000,73475
20650.000000,20650.000000,2023-10-06,21000.000000,20000.000000,20350.000000,26257
20950.000000,20950.000000,2023-10-10,22400.000000,20400.000000,20400.000000,149454
21150.000000,21150.000000,2023-10-11,22100.000000,21050.000000,21250.000000,70406
20650.000000,20650.000000,2023-10-12,21450.000000,20550.000000,21450.000000,95105
20250.000000,20250.000000,2023-10-13,21250.000000,20250.000000,20700.000000,86239
19090.000000,19090.000000,2023-10-16,20250.000000,18980.000000,20250.000000,127493
19870.000000,19870.000000,2023-10-17,19940.000000,19190.000000,19280.000000,43130
19340.000000,19340.000000,2023-10-18,19880.000000,19190.000000,19800.000000,40148
18160.000000,18160.000000,2023-10-19,19030.000000,18100.000000,19020.000000,68268
17860.000000,17860.000000,2023-10-20,18050.000000,17500.000000,18000.000000,38722
17430.000000,17430.000000,2023-10-23,17900.000000,17400.000000,17610.000000,33516
17640.000000,17640.000000,2023-10-24,17650.000000,16780.000000,17440.000000,58851
18040.000000,18040.000000,2023-10-25,18450.000000,17500.000000,17660.000000,51253
17340.000000,17340.000000,2023-10-26,18240.000000,17110.000000,17680.000000,31526
17600.000000,17600.000000,2023-10-27,17670.000000,16800.000000,17020.000000,65185
17450.000000,17450.000000,2023-10-30,17880.000000,17360.000000,17410.000000,19725
16950.000000,16950.000000,2023-10-31,17850.000000,16720.000000,17490.000000,33791
17160.000000,17160.000000,2023-11-01,17230.000000,16940.000000,16950.000000,27405
18260.000000,18260.000000,2023-11-02,18700.000000,17500.000000,17500.000000,72920
18660.000000,18660.000000,2023-11-03,19090.000000,18130.000000,18530.000000,67545
18610.000000,18610.000000,2023-11-06,19200.000000,18590.000000,18730.000000,68434
18250.000000,18250.000000,2023-11-07,18710.000000,17960.000000,18610.000000,40358
17910.000000,17910.000000,2023-11-08,18540.000000,17760.000000,18440.000000,33914
17750.000000,17750.000000,2023-11-09,18180.000000,17490.000000,17920.000000,43916
17630.000000,17630.000000,2023-11-10,17660.000000,17100.000000,17540.000000,57321
17100.000000,17100.000000,2023-11-13,17870.000000,17050.000000,17640.000000,48321
17590.000000,17590.000000,2023-11-14,17750.000000,17010.000000,17100.000000,31649
17860.000000,17860.000000,2023-11-15,18220.000000,17480.000000,17590.000000,81807
17560.000000,17560.000000,2023-11-16,17950.000000,17420.000000,17920.000000,24913
19130.000000,19130.000000,2023-11-17,19380.000000,17370.000000,17540.000000,246440
18980.000000,18980.000000,2023-11-20,19720.000000,18770.000000,19500.000000,101794
19180.000000,19180.000000,2023-11-21,19480.000000,18790.000000,19000.000000,84843
18730.000000,18730.000000,2023-11-22,19140.000000,18730.000000,19000.000000,55376
18600.000000,18600.000000,2023-11-23,19260.000000,18470.000000,18740.000000,68106
18790.000000,18790.000000,2023-11-24,18970.000000,18200.000000,18560.000000,81999
22350.000000,22350.000000,2023-11-27,23100.000000,19400.000000,19650.000000,1293599
22200.000000,22200.000000,2023-11-28,22800.000000,21000.000000,21850.000000,513228
22700.000000,22700.000000,2023-11-29,23200.000000,21900.000000,22450.000000,600085
23100.000000,23100.000000,2023-11-30,23650.000000,22100.000000,22450.000000,492124
23700.000000,23700.000000,2023-12-01,24100.000000,23000.000000,23300.000000,431305
23100.000000,23100.000000,2023-12-04,24000.000000,22200.000000,24000.000000,274178
22400.000000,22400.000000,2023-12-05,23700.000000,22200.000000,23000.000000,193046
22350.000000,22350.000000,2023-12-06,22800.000000,21800.000000,22700.000000,134409
20950.000000,20950.000000,2023-12-07,22250.000000,20900.000000,22150.000000,277941
21850.000000,21850.000000,2023-12-08,22250.000000,20850.000000,21350.000000,244660
22150.000000,22150.000000,2023-12-11,22450.000000,21650.000000,21900.000000,173325
21750.000000,21750.000000,2023-12-12,22650.000000,21500.000000,22150.000000,122744
22100.000000,22100.000000,2023-12-13,22350.000000,21350.000000,21750.000000,109683
22550.000000,22550.000000,2023-12-14,22700.000000,21850.000000,22400.000000,185264
21450.000000,21450.000000,2023-12-15,22700.000000,21000.000000,22600.000000,220482
21800.000000,21800.000000,2023-12-18,21850.000000,21000.000000,21350.000000,84600
22100.000000,22100.000000,2023-12-19,22100.000000,21450.000000,21800.000000,98619
22100.000000,22100.000000,2023-12-20,22400.000000,21650.000000,22300.000000,96802
21900.000000,21900.000000,2023-12-21,22450.000000,21500.000000,21650.000000,113679
22150.000000,22150.000000,2023-12-22,22600.000000,21800.000000,22050.000000,219088
